,COSCO SHIPPING Holdings Company Limited (Class H),Yanzhou Coal Mining Company Limited (Class H),Jiangxi Copper Company Ltd. (Class H),688.HK,392.HK,"Chongqing Changan Automobile Co., Ltd. (Class B)",1114.HK,836.HK,1585.HK,"China Molybdenum Co., Ltd. (Class H)","Zijin Mining Group Co., Ltd.",1378.HK,"Xinjiang Goldwind Science & Technology Co., Ltd. (Class H)",2328.HK,2269.HK,992.HK,COSCO SHIPPING Energy Transportation Company Limited (Class H),"Flat Glass Group Co., Ltd. (Class H)",2777.HK,489.HK,1813.HK,Great Wall Motor Company Limited (Class H),2020.HK,2357.HK,US Dollar,1313.HK,285.HK,China Railway Group Ltd. (Class H),968.HK,China Petroleum & Chemical Corporation (Sinopec) (Class H),China Shenhua Energy Company Limited (Class H),1801.HK,China Coal Energy Company Limited,3383.HK,China National Building Material Company Ltd. (Class H),Aluminum Corporation of China Limited (Class H),"Huaxin Cement Co., Ltd. (Class B)","Zoomlion Heavy Industry Science and Technology Co., Ltd. (Class H)",2331.HK,2382.HK,Huadian Power International Corp. Ltd. (Class H),2013.HK,BYD Company Limited (Class H),3888.HK,586.HK,Anhui Conch Cement Company Limited (Class H),1919.HK,1171.HK,D7N.,358.HK,200625.SZ,2899.HK,6865.HK,2208.HK,1138.HK,2333.HK,390.HK,SNPMF,1088.HK,1898.HK,3323.HK,2600.HK,1157.HK,900933.SZ,SHX.,BY6.,AQE.,Hong Kong Dollar,Us Dollars,347.HK,1548.HK,598.HK,3759.HK,1918.HK,ACRE,956.HK,2196.HK,867.HK,3808.HK,1268.HK,2359.HK,135.HK,788.HK,916.HK,3998.HK,857.HK,3380.HK,881.HK,1109.HK,148.HK,3988.HK,1359.HK,3328.HK,6098.HK,Angang Steel Company Limited (Class H),Sinotrans Limited (Class H),6078.HK,"Pharmaron Beijing Co., Ltd. (Class H)","Shanghai Fosun Pharmaceutical (Group) Co, Ltd. (Class H)",China Suntien Green Energy Corporation Limited (Class H),Sinotruk (Hong Kong) Limited,"WuXi AppTec Co., Ltd. (Class H)",Bosideng International Holdings Limited,PetroChina Company Limited (Class H),Bank of China Ltd.,"Bank of Communications Co., Ltd. (Class H)",n/a,8174.T,SUM
07/09/2021,7.59,4.65,3.61,3.6,3.57,3.54,3.53,3.47,3.47,3.32,3.31,3.09,2.58,2.51,2.49,2.46,2.44,2.41,2.38,2.1,2.0,1.98,1.94,1.86,1.84,1.67,1.6,1.58,1.58,1.52,1.43,1.42,1.37,1.31,1.28,1.16,1.16,1.14,1.13,0.93,0.77,0.76,0.71,0.59,0.58,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,6.94,4.56,3.63,3.6,3.44,3.58,3.54,3.41,3.65,3.9,3.31,3.07,2.66,2.43,2.66,2.51,2.37,2.65,2.3,2.12,1.98,2.16,2.03,1.89,1.82,1.67,1.53,1.57,1.59,1.46,1.4,1.37,1.29,1.28,1.28,1.17,1.12,1.14,1.17,0.92,0.76,0.73,0.69,0.57,0.57,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,6.94,4.56,3.63,3.6,3.44,3.58,3.54,3.41,3.65,3.9,3.31,3.07,2.66,2.43,2.66,2.51,2.37,2.65,2.3,2.12,1.98,2.16,2.03,1.89,1.82,1.67,1.53,1.57,1.59,1.46,1.4,1.37,1.29,1.28,1.28,1.17,1.12,1.14,1.17,0.92,0.76,0.73,0.69,0.57,0.57,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,0.0,0.0,0.0,3.67,3.48,0.0,3.57,3.45,3.72,0.0,0.0,3.13,0.0,2.47,2.73,2.56,0.0,0.0,2.33,2.16,2.02,0.0,2.08,1.92,0.0,1.7,1.57,0.0,1.64,0.0,0.0,1.4,0.0,1.29,0.0,0.0,0.0,0.0,1.2,0.95,0.0,0.75,0.0,0.59,0.58,0.0,7.11,4.63,4.0,3.73,3.62,3.41,2.74,2.72,2.41,2.18,1.59,1.48,1.42,1.31,1.3,1.19,1.16,1.14,0.77,0.7,0.55,0.07,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,0.0,0.0,0.0,3.67,3.49,0.0,3.59,3.46,3.78,0.0,0.0,3.08,0.0,2.44,2.71,2.51,0.0,0.0,2.37,2.13,2.05,0.0,2.04,1.89,0.0,1.7,1.56,0.0,1.65,0.0,0.0,1.47,0.0,1.31,0.0,0.0,0.0,0.0,1.13,0.91,0.0,0.75,0.0,0.61,0.58,0.0,7.02,4.55,3.91,3.8,3.66,3.44,2.8,2.7,2.37,2.17,1.59,1.46,1.4,1.32,1.29,1.18,1.14,1.14,0.76,0.75,0.56,0.18,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97000000000004
07/16/2021,0.0,0.0,0.0,3.66,3.48,0.0,3.56,3.45,3.74,0.0,0.0,3.11,0.0,2.45,2.61,2.46,0.0,0.0,2.35,2.13,2.01,0.0,2.03,1.89,0.0,1.69,1.59,0.0,1.68,0.0,0.0,1.44,0.0,1.31,0.0,0.0,0.0,0.0,1.15,0.9,0.0,0.72,0.0,0.62,0.59,0.0,7.13,4.77,3.69,3.72,3.63,3.4,2.79,2.77,2.37,2.21,1.61,1.48,1.42,1.36,1.27,1.19,1.11,1.14,0.77,0.75,0.56,0.32,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,0.0,0.0,0.0,3.4,0.0,0.0,2.47,2.62,0.0,0.0,0.0,1.93,0.0,2.04,1.9,0.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0,0.0,0.0,3.18,2.32,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,2.54,0.0,2.99,0.73,0.0,3.36,1.87,1.37,0.0,0.0,0.0,0.71,0.0,3.15,1.31,3.47,0.0,3.24,0.0,2.5,0.57,1.84,3.18,0.02,0.23,3.47,3.14,2.69,2.51,2.5,2.47,2.15,1.91,1.85,1.69,1.49,1.33,1.32,1.3,1.29,1.25,1.2,1.14,0.8,0.69,0.68,0.65,0.64,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,0.0,0.0,0.0,3.46,0.0,0.0,2.42,2.65,0.0,0.0,0.0,2.0,0.0,2.06,1.95,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,3.23,2.35,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,2.52,0.0,3.07,0.76,0.0,3.41,1.85,1.38,0.0,0.0,0.0,0.73,0.0,3.16,1.33,3.57,0.0,3.36,0.0,2.52,0.57,1.85,3.18,0.04,-0.53,3.61,3.17,2.65,2.3,2.48,2.43,2.09,2.06,1.84,1.67,1.5,1.39,1.28,1.32,1.33,1.26,1.19,1.15,0.8,0.69,0.68,0.66,0.66,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/21/2021,0.0,0.0,0.0,3.46,0.0,0.0,2.42,2.65,0.0,0.0,0.0,2.0,0.0,2.06,1.95,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,3.23,2.35,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,2.52,0.0,3.07,0.76,0.0,3.41,1.85,1.38,0.0,0.0,0.0,0.73,0.0,3.16,1.33,3.57,0.0,3.36,0.0,2.52,0.57,1.85,3.18,0.04,-0.53,3.61,3.17,2.65,2.3,2.48,2.43,2.09,2.06,1.84,1.67,1.5,1.39,1.28,1.32,1.33,1.26,1.19,1.15,0.8,0.69,0.68,0.66,0.66,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/22/2021,3.08,0.78,3.28,3.4,0.0,1.73,2.39,2.66,0.0,0.0,1.35,1.98,0.0,2.01,1.93,0.0,0.0,0.0,0.0,3.21,0.0,0.72,0.0,0.0,1.32,3.16,2.27,0.0,0.0,3.08,1.32,0.0,3.57,2.51,0.0,3.45,2.44,0.0,0.0,0.0,0.57,0.0,1.8,1.74,2.48,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,2.38,0.0,0.0,0.0,1.78,0.0,1.45,0.0,1.27,1.31,1.29,0.0,0.0,1.13,0.79,0.67,0.67,0.0,0.63,0.0,0.58,3.46,2.58,2.39,2.23,2.12,2.1,1.63,1.36,1.2,1.18,0.65,0.58,0.0,0.0,100.03999999999998
