,WEED.TO,SNDL,CRON.TO,HEXO.TO,ACB,TLRY,OGI.TO,CWEB.TO,VLNS.TO,RIV.TO,CRBP,ZYNE,XLY.TO,TGOD.TO,PCLO.V,FAF.TO,AH.TO,TBP.TO,LABS.TO,YCBD,CPH.AX,CRDL.TO,CAN.AX,CASH,SUM
07/09/2021,10.8,9.24,8.91,8.43,8.33,8.17,5.01,4.4,4.13,4.09,3.86,3.82,2.84,2.59,2.27,2.09,1.92,1.68,1.57,1.51,1.44,1.41,1.36,0.14,100.01
07/12/2021,10.57,9.5,9.02,8.3,8.32,8.14,5.12,4.38,3.78,4.17,3.89,3.86,2.85,2.6,2.23,2.07,1.98,1.66,1.62,1.56,1.52,1.39,1.35,0.15,100.03
07/13/2021,10.57,9.5,9.02,8.3,8.32,8.14,5.12,4.38,3.78,4.17,3.89,3.86,2.85,2.6,2.23,2.07,1.98,1.66,1.62,1.56,1.52,1.39,1.35,0.15,100.03
07/14/2021,10.63,9.41,9.04,8.15,8.4,8.04,5.1,4.38,3.83,4.1,4.0,3.87,2.95,2.63,2.16,2.1,1.95,1.58,1.57,1.64,1.52,1.44,1.35,0.15,99.99
07/15/2021,10.76,9.2,9.08,8.19,8.56,8.13,5.13,4.3,3.68,4.2,3.86,3.72,3.03,2.66,2.11,2.06,1.99,1.59,1.64,1.54,1.54,1.51,1.36,0.16,100.0
07/16/2021,10.57,9.2,9.04,8.07,8.5,8.07,5.65,4.46,3.78,4.42,3.68,3.68,3.03,2.69,2.0,2.13,1.91,1.51,1.62,1.48,1.51,1.51,1.32,0.16,99.99
07/19/2021,10.5,9.22,9.08,7.86,8.0,7.65,5.5,4.53,3.83,4.43,3.78,3.78,3.13,2.84,2.11,2.13,2.0,1.73,1.72,1.52,1.62,1.45,1.41,0.18,100.0
07/20/2021,10.5,9.22,9.08,7.86,8.0,7.65,5.5,4.53,3.83,4.43,3.78,3.78,3.13,2.84,2.11,2.13,2.0,1.73,1.72,1.52,1.62,1.45,1.41,0.18,100.0
07/21/2021,10.42,9.47,8.9,7.9,7.93,7.63,5.39,4.49,3.73,4.51,3.8,3.8,3.22,2.84,2.15,2.15,2.0,1.64,1.71,1.51,1.73,1.44,1.45,0.2,100.01
07/22/2021,10.52,9.65,9.03,7.71,8.11,7.64,5.49,4.44,3.59,4.48,3.73,3.9,3.08,2.78,2.29,2.1,2.02,1.54,1.63,1.55,1.75,1.4,1.38,0.21,100.02
07/23/2021,10.53,9.79,8.97,7.79,8.2,7.76,5.47,4.41,3.44,4.45,3.85,3.87,2.98,2.72,2.22,2.1,2.0,1.59,1.62,1.6,1.64,1.43,1.36,0.21,100.0
07/26/2021,10.53,9.62,8.91,7.62,8.12,7.62,5.33,4.57,3.85,4.45,3.75,3.86,2.99,2.76,2.44,2.08,2.03,1.54,1.66,1.61,1.6,1.48,1.39,0.22,100.03
07/27/2021,10.53,9.62,8.91,7.62,8.12,7.62,5.33,4.57,3.85,4.45,3.75,3.86,2.99,2.76,2.44,2.08,2.03,1.54,1.66,1.61,1.6,1.48,1.39,0.22,100.03
07/29/2021,10.51,9.58,9.02,7.47,8.15,7.55,5.52,4.53,3.97,4.41,3.58,3.77,3.02,2.73,2.94,2.12,2.02,1.51,1.69,1.49,1.54,1.47,1.16,0.23,99.98
07/30/2021,10.2,9.57,9.18,7.54,8.04,7.3,5.48,4.58,3.94,4.57,3.73,3.93,3.13,2.7,2.8,2.13,1.96,1.48,1.71,1.55,1.47,1.48,1.26,0.25,99.98
08/02/2021,10.26,9.5,9.22,7.21,7.93,8.38,5.66,4.55,4.2,4.42,3.56,3.73,2.94,2.76,2.83,2.11,1.93,1.5,1.64,1.55,1.34,1.42,1.13,0.24,100.01
08/03/2021,10.26,9.5,9.22,7.21,7.93,8.38,5.66,4.55,4.2,4.42,3.56,3.73,2.94,2.76,2.83,2.11,1.93,1.5,1.64,1.55,1.34,1.42,1.13,0.24,100.01
08/04/2021,10.11,9.68,9.17,7.17,7.95,8.07,5.59,4.54,4.3,4.44,3.54,3.69,3.04,2.79,2.89,2.09,1.98,1.52,1.7,1.57,1.35,1.54,1.05,0.25,100.02
08/05/2021,10.1,9.55,9.16,7.16,8.02,8.07,5.59,4.54,4.3,4.43,3.67,3.76,3.03,2.79,2.88,2.09,1.98,1.52,1.7,1.48,1.36,1.54,1.05,0.24,100.01
08/06/2021,10.13,9.7,9.27,7.19,8.26,7.98,5.61,4.47,4.18,4.11,3.59,3.76,3.05,2.85,2.81,2.08,1.96,1.59,1.69,1.51,1.38,1.52,1.06,0.26,100.00999999999999
