,MRNA,AMGN,GILD,ILMN,REGN,BIIB,VRTX,BNTX,SGEN,HZNP,ALNY,AZN,NVAX,INCY,RPRX,BGNE,BMRN,SNY,NTLA,GH,CRSP,ZLAB,SYNH,UTHR,JAZZ,ARGX,FATE,NBIX,BBIO,XLRN,MRTX,BEAM,SRPT,DNLI,ASND,RARE,ARWR,MEDP,PACB,HALO,EXEL,BPMC,IONS,VIR,TWST,ALKS,ADPT,APLS,KOD,ARVN,EDIT,IBRX,ALLK,SWTX,IOVA,RETA,TPTX,KRTX,CRTX,RLAY,ARNA,ALLO,BCRX,ACAD,VCYT,TBIO,PTCT,FOLD,INSM,AGIO,NKTR,CYTK,ALXO,PRTA,MYGN,PCRX,SAGE,NSTG,ITCI,IMAB,GMAB,HCM,IRWD,ALEC,RUBY,AMRN,PTGX,ZNTL,INO,IGMS,AUP.TO,RCKT,RVNC,XNCR,NGM,GBT,LGND,RVMD,GRFS,CSTL,DCPH,DRNA,CDXS,SGMO,MGNX,REPL,MDGL,NRIX,SRRK,PCVX,QURE,RGNX,SUPN,YMAB,ARCT,BLUE,ALVR,PGEN,RPTX,NKTX,GBIO,KRYS,AMTI,FGEN,IMGN,KURA,FMTX,INVA,ARQT,ATRA,CHRS,LEGN,MNKD,CCXI,ISEE,ENDP,TBPH,OMER,STOK,ENTA,RAPT,AMPH,AXSM,TVTX,VNDA,KDMN,ITOS,PSNL,MRSN,IDYA,STRO,OCUL,KROS,IMVT,SMMT,SNDX,PETQ,ANNX,ZGNX,CRNX,RNA,PLRX,AFMD,FULC,XENE,RYTM,RIGL,ORIC,AERI,DTIL,GOSS,CARA,AKRO,RDUS,ANAB,COLL,MGTX,PASG,GTHX,MCRB,EGRX,KDNY,CGEN,PSTX,EPZM,TCRR,ADAP,CLVS,ICPT,PAHC,SELB,ACIU,VSTM,XBIT,KALV,AVDL,SIGA,MRNS,ALT,SPRO,FRTT,GLPG,BPFH,APLT,AUPH,AKBA,PLLDA.AX,GERN,RDHL,SUM
08/16/2021,12.57,7.26,7.1,5.96,4.58,4.13,4.03,2.38,2.28,1.93,1.9,1.65,1.47,1.29,1.18,1.16,1.11,0.94,0.88,0.86,0.83,0.74,0.73,0.73,0.71,0.68,0.68,0.66,0.61,0.6,0.58,0.54,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.48,0.45,0.45,0.45,0.44,0.43,0.38,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.29,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.52
08/17/2021,12.52,7.32,7.14,6.04,4.71,4.15,4.02,2.41,2.28,1.93,1.86,1.68,1.53,1.3,1.22,1.11,1.1,0.95,0.85,0.82,0.78,0.74,0.74,0.73,0.69,0.68,0.66,0.68,0.6,0.6,0.58,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.47,0.48,0.46,0.45,0.45,0.44,0.4,0.37,0.36,0.37,0.37,0.36,0.34,0.35,0.36,0.3,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.46
08/18/2021,12.52,7.32,7.14,6.04,4.71,4.15,4.02,2.41,2.28,1.93,1.86,1.68,1.53,1.3,1.22,1.11,1.1,0.95,0.85,0.82,0.78,0.74,0.74,0.73,0.69,0.68,0.66,0.68,0.6,0.6,0.58,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.47,0.48,0.46,0.45,0.45,0.44,0.4,0.37,0.36,0.37,0.37,0.36,0.34,0.35,0.36,0.3,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.46
08/19/2021,12.18,7.47,7.3,6.21,4.81,4.23,4.01,2.22,2.31,1.95,1.89,1.71,1.38,1.33,1.23,1.15,1.12,0.97,0.85,0.81,0.76,0.73,0.76,0.73,0.69,0.68,0.67,0.7,0.6,0.61,0.58,0.53,0.5,0.51,0.5,0.49,0.52,0.54,0.46,0.48,0.47,0.45,0.45,0.45,0.39,0.37,0.35,0.37,0.36,0.35,0.33,0.34,0.35,0.3,0.26,0.27,0.27,0.26,0.23,0.24,0.24,0.25,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.14,0.15,0.15,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.62
08/20/2021,12.83,7.32,7.28,6.07,4.85,4.22,4.08,2.32,2.32,1.9,1.89,1.7,1.39,1.33,1.23,1.13,1.12,0.96,0.84,0.81,0.73,0.69,0.75,0.73,0.67,0.67,0.64,0.7,0.59,0.61,0.57,0.52,0.5,0.5,0.51,0.48,0.51,0.52,0.44,0.47,0.48,0.44,0.44,0.43,0.38,0.37,0.34,0.37,0.37,0.34,0.33,0.31,0.37,0.29,0.26,0.27,0.26,0.25,0.22,0.24,0.23,0.25,0.2,0.22,0.21,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.2,0.19,0.2,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.14,0.15,0.13,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.14,0.12,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.06,0.1,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.04,0.05,0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.68
08/23/2021,12.48,7.39,7.43,5.68,5.11,4.25,4.17,2.19,2.39,1.93,1.93,1.76,1.34,1.36,1.27,1.15,1.14,1.0,0.82,0.83,0.74,0.67,0.77,0.75,0.66,0.7,0.67,0.71,0.58,0.61,0.57,0.51,0.49,0.49,0.52,0.44,0.51,0.53,0.43,0.46,0.46,0.45,0.45,0.49,0.4,0.4,0.35,0.41,0.38,0.34,0.33,0.29,0.35,0.3,0.26,0.26,0.26,0.25,0.23,0.23,0.23,0.25,0.21,0.22,0.21,0.24,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.22,0.22,0.2,0.2,0.19,0.2,0.15,0.19,0.17,0.18,0.17,0.15,0.18,0.18,0.18,0.14,0.15,0.14,0.15,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.06,0.1,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.07,0.07,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.04,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7
08/24/2021,12.52,7.25,7.39,5.79,5.09,4.22,4.12,2.26,2.37,1.93,1.91,1.74,1.4,1.35,1.25,1.02,1.13,0.99,0.83,0.84,0.73,0.68,0.76,0.75,0.66,0.7,0.52,0.71,0.6,0.61,0.57,0.53,0.49,0.49,0.52,0.45,0.51,0.53,0.46,0.46,0.47,0.45,0.45,0.49,0.41,0.4,0.35,0.41,0.38,0.35,0.34,0.31,0.35,0.31,0.26,0.26,0.26,0.26,0.21,0.24,0.23,0.27,0.21,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.22,0.22,0.21,0.2,0.19,0.2,0.16,0.19,0.17,0.18,0.16,0.15,0.17,0.18,0.19,0.14,0.16,0.0,0.15,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.09,0.08,0.08,0.04,0.08,0.08,0.07,0.09,0.07,0.07,0.07,0.1,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.08,0.05,0.06,0.07,0.05,0.05,0.05,0.06,0.06,0.04,0.06,0.06,0.06,0.05,0.05,0.06,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.14,0.03,0.0,0.0,0.0,0.0,0.0,98.62
08/25/2021,12.52,7.25,7.39,5.79,5.09,4.22,4.12,2.26,2.37,1.93,1.91,1.74,1.4,1.35,1.25,1.02,1.13,0.99,0.83,0.84,0.73,0.68,0.76,0.75,0.66,0.7,0.52,0.71,0.6,0.61,0.57,0.53,0.49,0.49,0.52,0.45,0.51,0.53,0.46,0.46,0.47,0.45,0.45,0.49,0.41,0.4,0.35,0.41,0.38,0.35,0.34,0.31,0.35,0.31,0.26,0.26,0.26,0.26,0.21,0.24,0.23,0.27,0.21,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.22,0.22,0.21,0.2,0.19,0.2,0.16,0.19,0.17,0.18,0.16,0.15,0.17,0.18,0.19,0.14,0.16,0.0,0.15,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.09,0.08,0.08,0.04,0.08,0.08,0.07,0.09,0.07,0.07,0.07,0.1,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.08,0.05,0.06,0.07,0.05,0.05,0.05,0.06,0.06,0.04,0.06,0.06,0.06,0.05,0.05,0.06,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.14,0.03,0.0,0.0,0.0,0.0,0.0,98.62
08/26/2021,13.05,7.09,7.18,5.51,4.96,4.15,4.05,2.4,2.39,1.93,1.85,1.67,1.47,1.32,1.21,1.08,1.1,0.95,0.86,0.87,0.76,0.71,0.74,0.73,0.67,0.72,0.54,0.7,0.58,0.6,0.59,0.53,0.47,0.5,0.51,0.46,0.52,0.51,0.46,0.46,0.47,0.45,0.44,0.5,0.42,0.38,0.36,0.4,0.38,0.34,0.35,0.33,0.36,0.31,0.27,0.26,0.27,0.27,0.23,0.24,0.25,0.27,0.21,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.21,0.21,0.23,0.22,0.22,0.21,0.2,0.19,0.2,0.17,0.19,0.16,0.17,0.17,0.15,0.18,0.18,0.2,0.14,0.16,0.0,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.12,0.11,0.12,0.12,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.08,0.08,0.05,0.08,0.08,0.07,0.09,0.07,0.07,0.07,0.1,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.08,0.06,0.06,0.06,0.05,0.06,0.07,0.08,0.05,0.06,0.07,0.05,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.04,0.15,0.0,0.0,0.0,0.0,98.64
08/27/2021,12.56,7.07,7.17,5.55,5.0,4.2,4.09,2.32,2.43,1.94,1.89,1.66,1.37,1.32,1.22,1.14,1.13,0.95,0.88,0.91,0.77,0.71,0.75,0.73,0.66,0.75,0.54,0.7,0.59,0.61,0.61,0.54,0.49,0.51,0.51,0.47,0.52,0.52,0.47,0.46,0.47,0.44,0.45,0.52,0.45,0.39,0.37,0.39,0.37,0.34,0.35,0.35,0.36,0.3,0.28,0.26,0.28,0.27,0.23,0.23,0.24,0.27,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.2,0.21,0.24,0.23,0.22,0.21,0.2,0.21,0.21,0.17,0.18,0.17,0.17,0.17,0.15,0.18,0.18,0.2,0.14,0.15,0.0,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.13,0.13,0.13,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.08,0.08,0.05,0.05,0.08,0.08,0.09,0.07,0.07,0.08,0.1,0.07,0.07,0.08,0.07,0.06,0.07,0.08,0.06,0.06,0.08,0.06,0.07,0.06,0.05,0.06,0.07,0.08,0.05,0.06,0.08,0.06,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.04,0.16,0.0,0.0,0.0,0.0,98.66
