,T,VZ,CVS,BMY,GILD,ALL,CNC,F,WBA,ANTM,C,GM,CI,INTC,BIIB,DD,IBM,NEM,FDX,MU,WFC,BK,MET,BAC,GIS,COF,LHX,KMI,TFC,GS,NOC,ARW,TRV,MS,PFE,GD,PGR,CMCSA,DOW,CB,HCA,USB,BRK.B,HPE,KNX,AIG,NUE,BLK,JPM,PM,EBAY,PNC,CSCO,RS,TTMI,LEA,EOG,WRK,TGT,HPQ,BERY,BDX,TSN,PHM,AFL,DG,CACI,ABC,KHC,ABBV,TAP,JCI,AL,UHS,CTSH,AVT,PRU,GPK,HUM,KR,SJM,HLF,VTRS,BWA,XOM,PRGO,XRX,WMT,CAG,INGR,IP,LEN,SM,REGN,PVH,HRB,AN,DISCK,MTH,SR,DGX,MAN,COG,FOX,APA,ARCB,RJF,FAF,CPRI,STLD,CNA,CMI,SNX,DISH,SLB,RE,KSS,PSX,AVGO,TOL,HOG,HAFC,FANG,AMG,NYCB,SLM,MHK,URI,DXC,BPOP,SMP,AYI,FMBI,MTG,EMN,WHR,LB,CFG,TROW,UTHR,KBH,RTX,INVA,USM,QRTEA,UHAL,RDN,XEC,MDU,OC,JAZZ,KELYA,UGI,ESNT,TPC,ACGL,ADS,REVG,TEN,OVV,JBL,QDEL,UFS,ALLY,TGNA,SANM,AZO,RF,PAG,LUMN,PEG,HWC,AEL,SSB,SON,RNR,BANR,NVT,FLO,MOS,MRK,CMRE,FISV,CONN,MESA,COP,BUSE,ESGR,VIAC,IVZ,ETRN,SF,INT,PKI,DELL,GCO,VRTV,BZH,INSW,TMST,SUM
07/09/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
07/12/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
07/13/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
07/14/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
07/15/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
07/16/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
07/19/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
07/20/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
07/21/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
07/22/2021,0.98,0.94,0.88,0.87,0.82,0.82,0.75,0.72,0.71,0.71,0.7,0.7,0.69,0.64,0.62,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55.74999999999999
