,MSFT,AAPL,JNJ,VZ,PG,PFE,JPM,HD,MRK,CSCO,AVGO,PEP,INTC,BAC,UNH,CMCSA,BMY,AMGN,MCD,TXN,C,ABT,MMM,MDT,NEE,QCOM,UPS,WMT,RTX,DUK,UNP,LLY,LMT,HON,ACN,BLK,ORCL,TFC,V,SBUX,LIN,USB,MS,CAT,PNC,LOW,MDLZ,NKE,GS,KMB,ADP,MA,CL,AEP,COST,EXC,TGT,CB,SRE,MET,APD,ITW,ETN,CME,EMR,AXP,ANTM,GD,SCHW,TROW,ADI,PEG,EIX,ED,ALL,FIS,BDX,BK,MMC,NOC,XEL,WM,SYK,CSX,LHX,TRV,WEC,ES,ICE,SPGI,AFL,IFF,IP,XTSLA,CMI,LRCX,ETR,ADM,INTU,GLW,STT,APH,DTE,TEL,VFC,FAST,BBY,DHR,YUM,OMC,NTRS,TT,HPE,CLX,K,CAH,KLAC,KR,RF,AEE,SHW,CMS,TSN,AMP,STZ,DFS,ROK,EL,ZTS,MSI,ECL,GPC,HIG,EVRG,HSY,BAX,PPG,SYF,SWK,AON,AWK,PCAR,DG,MCO,NUE,OTIS,AES,NTAP,XLNX,MCHP,SJM,RSG,SWKS,LNT,FNF,AJG,HUM,CINF,PNW,ATVI,WU,HAS,DGX,MKC,NI,EMN,USD,WHR,ATO,MSCI,BR,HRL,LNC,GWW,CTAS,DOV,CE,RMD,RE,CDW,MAS,SNA,ROP,TSCO,CHD,ABC,CHRW,ALLY,UGI,DHI,MCK,A,NDAQ,WTRG,HUBB,VMC,STLD,RJF,SON,ALB,BAH,FAF,SNV,WSM,RPM,LEG,600340.SS,XYL,EXPD,ZION,DPZ,AVY,RHI,n/a,RGA,SUM
07/09/2021,3.26,3.23,2.85,2.76,2.72,2.7,2.64,2.32,2.18,1.93,1.89,1.81,1.75,1.63,1.52,1.47,1.41,1.3,1.22,1.21,1.17,1.09,1.05,1.02,0.99,0.99,0.97,0.97,0.94,0.92,0.91,0.89,0.79,0.78,0.76,0.76,0.73,0.71,0.7,0.69,0.69,0.68,0.64,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.51,0.5,0.48,0.47,0.46,0.46,0.45,0.43,0.42,0.41,0.4,0.4,0.39,0.39,0.37,0.37,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.72
07/12/2021,3.27,3.27,2.88,2.73,2.75,2.71,2.61,2.33,2.19,1.95,1.88,1.83,1.73,1.58,1.53,1.49,1.41,1.31,1.22,1.2,1.15,1.1,1.06,1.02,0.99,0.97,0.98,0.97,0.94,0.93,0.89,0.9,0.8,0.79,0.77,0.75,0.76,0.69,0.7,0.7,0.69,0.67,0.63,0.64,0.59,0.56,0.56,0.54,0.51,0.51,0.51,0.5,0.48,0.47,0.47,0.46,0.46,0.42,0.41,0.4,0.41,0.4,0.39,0.39,0.38,0.36,0.35,0.34,0.32,0.32,0.32,0.32,0.32,0.32,0.3,0.3,0.31,0.3,0.31,0.31,0.3,0.29,0.27,0.26,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.26,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.0,0.06,0.06,0.06,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.75
07/13/2021,3.27,3.27,2.88,2.73,2.75,2.71,2.61,2.33,2.19,1.95,1.88,1.83,1.73,1.58,1.53,1.49,1.41,1.31,1.22,1.2,1.15,1.1,1.06,1.02,0.99,0.97,0.98,0.97,0.94,0.93,0.89,0.9,0.8,0.79,0.77,0.75,0.76,0.69,0.7,0.7,0.69,0.67,0.63,0.64,0.59,0.56,0.56,0.54,0.51,0.51,0.51,0.5,0.48,0.47,0.47,0.46,0.46,0.42,0.41,0.4,0.41,0.4,0.39,0.39,0.38,0.36,0.35,0.34,0.32,0.32,0.32,0.32,0.32,0.32,0.3,0.3,0.31,0.3,0.31,0.31,0.3,0.29,0.27,0.26,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.26,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.0,0.06,0.06,0.06,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.75
07/14/2021,3.24,3.27,2.86,2.72,2.72,2.7,2.66,2.32,2.16,1.94,1.9,1.8,1.73,1.61,1.52,1.47,1.41,1.3,1.22,1.2,1.16,1.09,1.06,1.02,0.97,0.98,0.97,0.96,0.94,0.92,0.9,0.88,0.79,0.8,0.77,0.76,0.77,0.71,0.7,0.7,0.7,0.69,0.64,0.65,0.61,0.56,0.55,0.53,0.52,0.5,0.51,0.49,0.48,0.46,0.47,0.45,0.46,0.43,0.41,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.31,0.31,0.31,0.3,0.3,0.29,0.27,0.26,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.12,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8
07/15/2021,3.24,3.27,2.86,2.72,2.72,2.7,2.66,2.32,2.16,1.94,1.9,1.8,1.73,1.61,1.52,1.47,1.41,1.3,1.22,1.2,1.16,1.09,1.06,1.02,0.97,0.98,0.97,0.96,0.94,0.92,0.9,0.88,0.79,0.8,0.77,0.76,0.77,0.71,0.7,0.7,0.7,0.69,0.64,0.65,0.61,0.56,0.55,0.53,0.52,0.5,0.51,0.49,0.48,0.46,0.47,0.45,0.46,0.43,0.41,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.31,0.31,0.31,0.3,0.3,0.29,0.27,0.26,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.12,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8
07/16/2021,3.28,3.29,2.85,2.72,2.72,2.71,2.66,2.29,2.16,1.93,1.92,1.85,1.76,1.61,1.54,1.47,1.42,1.3,1.23,1.2,1.17,1.09,1.06,1.01,0.98,0.98,0.96,0.96,0.93,0.93,0.89,0.88,0.78,0.8,0.77,0.76,0.76,0.71,0.71,0.71,0.69,0.69,0.66,0.64,0.61,0.56,0.55,0.54,0.53,0.5,0.51,0.51,0.48,0.46,0.47,0.45,0.46,0.43,0.41,0.41,0.4,0.4,0.4,0.4,0.38,0.37,0.36,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.27,0.26,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.26,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.84
07/19/2021,3.27,3.34,2.83,2.74,2.76,2.73,2.65,2.32,2.16,1.93,1.88,1.87,1.72,1.56,1.54,1.47,1.41,1.3,1.23,1.18,1.16,1.06,1.07,0.99,1.0,0.98,0.97,0.97,0.92,0.95,0.89,0.86,0.78,0.82,0.78,0.74,0.75,0.72,0.72,0.71,0.69,0.71,0.65,0.63,0.6,0.56,0.56,0.53,0.52,0.51,0.52,0.52,0.48,0.47,0.47,0.46,0.46,0.44,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.37,0.35,0.34,0.33,0.32,0.31,0.32,0.32,0.32,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.26,0.26,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.23,0.24,0.15,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.72
07/20/2021,3.27,3.34,2.83,2.74,2.76,2.73,2.65,2.32,2.16,1.93,1.88,1.87,1.72,1.56,1.54,1.47,1.41,1.3,1.23,1.18,1.16,1.06,1.07,0.99,1.0,0.98,0.97,0.97,0.92,0.95,0.89,0.86,0.78,0.82,0.78,0.74,0.75,0.72,0.72,0.71,0.69,0.71,0.65,0.63,0.6,0.56,0.56,0.53,0.52,0.51,0.52,0.52,0.48,0.47,0.47,0.46,0.46,0.44,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.37,0.35,0.34,0.33,0.32,0.31,0.32,0.32,0.32,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.26,0.26,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.23,0.24,0.15,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.72
07/21/2021,3.28,3.31,2.84,2.75,2.8,2.76,2.6,2.33,2.17,1.95,1.86,1.88,1.71,1.53,1.55,1.46,1.42,1.32,1.22,1.17,1.14,1.08,1.06,1.0,1.02,0.97,0.96,0.97,0.91,0.96,0.89,0.87,0.78,0.82,0.77,0.74,0.77,0.71,0.73,0.71,0.69,0.69,0.65,0.62,0.59,0.57,0.57,0.53,0.51,0.52,0.52,0.52,0.49,0.48,0.47,0.46,0.46,0.44,0.42,0.4,0.4,0.4,0.4,0.39,0.38,0.36,0.35,0.34,0.32,0.32,0.31,0.33,0.32,0.32,0.3,0.31,0.31,0.31,0.31,0.3,0.31,0.29,0.26,0.26,0.27,0.27,0.28,0.27,0.25,0.25,0.25,0.23,0.24,0.16,0.23,0.22,0.23,0.22,0.22,0.21,0.23,0.22,0.22,0.2,0.19,0.2,0.19,0.2,0.19,0.17,0.17,0.19,0.17,0.19,0.18,0.17,0.16,0.18,0.16,0.17,0.17,0.16,0.15,0.16,0.15,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.06,0.0,0.1,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,94.82000000000002
07/22/2021,3.29,3.27,2.86,2.76,2.84,2.79,2.56,2.35,2.18,1.95,1.88,1.91,1.72,1.52,1.53,1.46,1.42,1.33,1.21,1.19,1.13,1.11,1.06,0.99,1.02,0.98,0.98,0.99,0.9,0.97,0.88,0.89,0.78,0.8,0.78,0.72,0.78,0.69,0.71,0.7,0.69,0.67,0.64,0.62,0.58,0.57,0.57,0.53,0.51,0.53,0.52,0.49,0.49,0.48,0.49,0.46,0.47,0.43,0.41,0.4,0.4,0.41,0.39,0.39,0.37,0.35,0.35,0.34,0.31,0.32,0.31,0.32,0.32,0.32,0.3,0.3,0.31,0.3,0.3,0.3,0.31,0.29,0.26,0.26,0.27,0.27,0.28,0.28,0.25,0.25,0.25,0.23,0.23,0.16,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.19,0.21,0.19,0.2,0.18,0.17,0.17,0.19,0.17,0.19,0.19,0.17,0.17,0.19,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.06,0.06,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.83
