,BUL,CALF,COWZ,GCOW,Pacer Dev Mkts Intl Csh Cows 100 ETF,URC.V,ICOW,Pacer US Small Cap Cash Cows 100 ETF,U.S. Bank Money Market Deposit Account,n/a,BIDI11.SA,SUM
07/09/2021,20.17,20.14,20.09,19.83,19.76,0.02,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,20.38,0.0,20.13,20.02,0.0,0.0,19.94,19.5,0.03,0.0,0.0,100.0
07/13/2021,20.38,0.0,20.13,20.02,0.0,0.0,19.94,19.5,0.03,0.0,0.0,100.0
07/14/2021,20.37,0.0,20.16,20.09,0.0,0.0,19.87,19.49,0.03,0.0,0.0,100.01
07/15/2021,20.16,19.94,20.07,19.96,19.83,0.0,0.0,0.0,0.03,0.0,0.0,99.99
07/16/2021,20.16,19.94,20.07,19.96,19.83,0.0,0.0,0.0,0.03,0.0,0.0,99.99
07/19/2021,20.15,0.0,20.04,20.13,0.0,0.0,20.13,19.52,0.03,0.0,0.0,100.0
07/20/2021,20.22,0.0,20.07,20.19,0.0,0.0,20.07,19.41,0.03,0.0,0.0,99.99
07/21/2021,20.31,0.0,20.13,20.27,0.0,0.0,20.06,19.2,0.03,0.0,0.0,100.0
07/22/2021,20.31,0.0,20.13,20.27,0.0,0.0,20.06,19.2,0.03,0.0,0.0,100.0
07/23/2021,20.43,0.0,20.27,20.24,0.0,0.0,19.91,19.11,0.03,0.0,0.0,99.99
07/26/2021,20.34,0.0,20.35,19.95,0.0,0.0,19.77,19.57,0.03,0.0,0.0,100.01
07/27/2021,20.34,0.0,20.35,19.95,0.0,0.0,19.77,19.57,0.03,0.0,0.0,100.01
07/28/2021,20.64,0.0,20.41,19.95,0.0,0.0,19.73,19.23,0.03,0.0,0.0,99.99
07/29/2021,20.5,0.0,20.4,19.94,0.0,0.0,19.77,19.36,0.03,0.0,0.0,100.0
07/30/2021,20.5,0.0,20.4,19.94,0.0,0.0,19.77,19.36,0.03,0.0,0.0,100.0
08/02/2021,20.44,0.0,20.39,20.05,0.0,0.0,19.8,19.29,0.03,0.0,0.0,100.0
08/03/2021,20.44,0.0,20.39,20.05,0.0,0.0,19.8,19.29,0.03,0.0,0.0,100.0
08/04/2021,20.44,0.0,20.39,20.05,0.0,0.0,19.8,19.29,0.03,0.0,0.0,100.0
08/05/2021,20.44,0.0,20.39,20.05,0.0,0.0,19.8,19.29,0.03,0.0,0.0,100.0
08/06/2021,20.42,0.0,20.57,19.96,0.0,0.0,19.63,19.38,0.03,0.0,0.0,99.99
08/25/2021,20.6,19.35,20.79,19.9,0.0,0.0,0.0,0.0,0.0,19.35,0.02,100.01
08/26/2021,20.6,19.35,20.79,19.9,0.0,0.0,0.0,0.0,0.0,19.35,0.02,100.01
08/27/2021,20.55,19.58,20.75,19.73,0.0,0.0,0.0,0.0,0.0,19.37,0.02,100.0
