,MRVL,DXCM,PINS,ALXN,MPC,PSX,PXD,TDG,IFF,DFS,CDNS,PANW,MSI,KKR,RMD,ZBH,ADM,AFL,SBAC,HLT,CSGP,WELL,YUM,PAYX,VLO,FRC,ROK,OTIS,SWK,FTNT,CTVA,WMB,TTD,GLW,LUV,PTON,AZO,XLNX,MTD,AME,PCAR,SIVB,OKTA,WLTW,PEG,ANSS,MCK,EFX,STT,DHI,AJG,NUE,SWKS,CBRE,EPAM,AVB,KR,FAST,AMP,DAL,VRSK,WEC,KEYS,AWK,ZBRA,ES,BLL,OXY,MXIM,CPRT,FITB,EQR,WST,SYF,VFC,VIAC,LEN,LYB,BBY,O,GNRC,DTE,HUBS,HSY,WY,KSU,LH,ED,OKE,ARE,DELL,HES,CERN,FTV,W,ENPH,VMC,IP,ODFL,RNG,EXPE,NTRS,CDW,HIG,WORK,DLTR,VRSN,RSG,DDOG,SPLK,None,ETSY,MLM,FLT,ABNB,MKC,TSN,EXK.,BURL,EXR,VTR,CCL,URI,CZR,AEE,KEY,IT,KMX,TSCO,XYL,EXPD,TRU,DOV,WAT,INVH,HBAN,HAL,TDOC,WDC,PPL,TER,EIX,HZNP,CLX,GRMN,LNG,TDY,SGEN,ANET,TTWO,NET,MDB,STE,ETR,TRMB,CFG,FE,NDAQ,ALNY,QRVO,None.1,CHD,CVNA,Z,MAA,NVCR,AKAM,ULTA,MTB,HPE,SUI,RF,RCL,ESS,COO,ALB,BR,AVTR,PAYC,NTAP,POOL,PODD,PEAK,TFX,TYL,GPC,CTLT,DRI,GWW,ALLY,DPZ,PKI,DVN,FANG,ZEN,OMC,BKR,UAL,ABC,STX,LB,DRE,CRL,DGX,AMCR,MKTX,CMS,HOLX,TECH,VTRS,K,MPWR,CAG,ZS,IR,VICI,CE,IEX,SSNC,CINF,CAH,NVR,J,ELAN,AVY,ON,BBWI WI,n/a,DKNG,MKL,ADI,MGM,EXAS,BIO,NVAX,BILL,COUP,ENTG,SUM
07/09/2021,0.52,0.47,0.47,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.38
07/22/2021,0.53,0.49,0.46,0.47,0.38,0.36,0.37,0.39,0.41,0.42,0.45,0.45,0.43,0.39,0.43,0.37,0.38,0.38,0.43,0.38,0.4,0.41,0.4,0.41,0.3,0.39,0.39,0.4,0.38,0.41,0.35,0.35,0.35,0.36,0.34,0.36,0.41,0.37,0.39,0.36,0.35,0.34,0.35,0.33,0.36,0.35,0.35,0.36,0.33,0.33,0.33,0.32,0.36,0.32,0.35,0.36,0.37,0.36,0.32,0.29,0.35,0.35,0.34,0.36,0.32,0.34,0.32,0.25,0.3,0.34,0.29,0.33,0.33,0.29,0.29,0.28,0.31,0.28,0.29,0.3,0.33,0.26,0.29,0.31,0.29,0.28,0.32,0.3,0.26,0.31,0.27,0.24,0.27,0.27,0.25,0.26,0.27,0.27,0.28,0.24,0.25,0.26,0.28,0.26,0.27,0.27,0.27,0.28,0.27,0.26,0.27,0.28,0.25,0.24,0.23,0.26,0.25,0.23,0.25,0.26,0.26,0.0,0.25,0.22,0.25,0.21,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.27,0.26,0.23,0.0,0.23,0.23,0.25,0.24,0.25,0.24,0.28,0.26,0.22,0.23,0.22,0.24,0.23,0.24,0.21,0.24,0.24,0.23,0.21,0.24,0.24,0.24,0.25,0.0,0.25,0.24,0.2,0.24,0.0,0.23,0.21,0.0,0.21,0.24,0.21,0.0,0.24,0.23,0.24,0.23,0.22,0.21,0.0,0.22,0.21,0.22,0.21,0.23,0.22,0.23,0.21,0.23,0.21,0.22,0.21,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.07
07/23/2021,0.54,0.5,0.45,0.0,0.38,0.36,0.37,0.4,0.41,0.43,0.45,0.45,0.43,0.39,0.43,0.37,0.37,0.39,0.43,0.39,0.4,0.43,0.4,0.41,0.29,0.4,0.4,0.4,0.38,0.41,0.35,0.35,0.35,0.36,0.35,0.38,0.4,0.37,0.39,0.36,0.35,0.37,0.35,0.32,0.35,0.35,0.35,0.36,0.33,0.34,0.33,0.32,0.36,0.32,0.35,0.37,0.35,0.36,0.33,0.3,0.35,0.34,0.33,0.35,0.32,0.34,0.32,0.25,0.3,0.34,0.29,0.34,0.32,0.29,0.29,0.28,0.32,0.28,0.29,0.3,0.32,0.26,0.29,0.3,0.29,0.28,0.31,0.29,0.27,0.31,0.27,0.24,0.27,0.27,0.25,0.27,0.27,0.26,0.28,0.25,0.25,0.27,0.28,0.26,0.27,0.26,0.26,0.28,0.27,0.26,0.24,0.28,0.25,0.24,0.23,0.25,0.24,0.23,0.25,0.27,0.26,0.2,0.26,0.22,0.25,0.22,0.26,0.26,0.25,0.25,0.25,0.25,0.27,0.27,0.26,0.24,0.21,0.23,0.23,0.25,0.24,0.25,0.24,0.26,0.26,0.22,0.23,0.21,0.23,0.23,0.24,0.21,0.23,0.24,0.23,0.21,0.24,0.24,0.25,0.25,0.0,0.25,0.24,0.2,0.25,0.0,0.22,0.21,0.0,0.21,0.24,0.21,0.0,0.25,0.23,0.25,0.23,0.22,0.22,0.0,0.21,0.21,0.23,0.21,0.23,0.22,0.22,0.22,0.23,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23,0.22,0.22,0.0,0.2,0.2,0.21,0.21,0.21,0.0,0.0,0.2,0.2,0.2,0.21,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.86
07/26/2021,0.55,0.5,0.46,0.0,0.39,0.37,0.38,0.41,0.42,0.43,0.46,0.45,0.43,0.41,0.43,0.38,0.37,0.38,0.42,0.4,0.41,0.42,0.41,0.41,0.3,0.39,0.4,0.4,0.38,0.42,0.36,0.35,0.35,0.36,0.35,0.36,0.4,0.39,0.39,0.37,0.35,0.37,0.36,0.34,0.35,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.36,0.33,0.36,0.36,0.34,0.36,0.33,0.3,0.35,0.34,0.33,0.34,0.33,0.34,0.31,0.26,0.3,0.35,0.29,0.33,0.32,0.28,0.3,0.28,0.32,0.28,0.28,0.3,0.32,0.25,0.29,0.3,0.29,0.28,0.31,0.29,0.27,0.3,0.28,0.24,0.27,0.27,0.24,0.28,0.27,0.26,0.28,0.25,0.26,0.26,0.29,0.25,0.0,0.26,0.27,0.28,0.27,0.26,0.32,0.29,0.25,0.24,0.24,0.24,0.24,0.23,0.25,0.26,0.26,0.21,0.27,0.22,0.24,0.21,0.25,0.25,0.24,0.25,0.25,0.25,0.27,0.27,0.26,0.23,0.21,0.23,0.22,0.25,0.24,0.24,0.26,0.26,0.26,0.22,0.24,0.21,0.24,0.23,0.25,0.22,0.24,0.23,0.24,0.21,0.24,0.25,0.24,0.25,0.0,0.24,0.25,0.0,0.24,0.0,0.22,0.22,0.0,0.21,0.24,0.21,0.2,0.25,0.23,0.26,0.23,0.22,0.22,0.2,0.21,0.21,0.23,0.21,0.23,0.21,0.23,0.22,0.23,0.22,0.24,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.23,0.22,0.23,0.0,0.0,0.2,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.120000000000005
07/27/2021,0.55,0.51,0.48,0.0,0.39,0.36,0.38,0.4,0.42,0.42,0.46,0.45,0.43,0.41,0.43,0.38,0.37,0.38,0.42,0.4,0.41,0.42,0.42,0.41,0.29,0.4,0.4,0.4,0.38,0.42,0.35,0.35,0.38,0.37,0.34,0.36,0.4,0.39,0.39,0.36,0.35,0.37,0.37,0.33,0.35,0.36,0.36,0.35,0.34,0.35,0.33,0.32,0.36,0.33,0.36,0.36,0.34,0.36,0.33,0.29,0.35,0.34,0.33,0.34,0.34,0.34,0.3,0.25,0.3,0.35,0.29,0.33,0.32,0.29,0.3,0.28,0.32,0.28,0.29,0.3,0.33,0.26,0.29,0.3,0.29,0.28,0.31,0.29,0.27,0.31,0.28,0.23,0.27,0.27,0.24,0.27,0.27,0.26,0.28,0.25,0.26,0.26,0.29,0.25,0.0,0.26,0.25,0.28,0.27,0.26,0.27,0.3,0.25,0.24,0.23,0.24,0.24,0.23,0.25,0.26,0.26,0.0,0.27,0.21,0.24,0.21,0.26,0.25,0.25,0.25,0.25,0.25,0.27,0.27,0.26,0.23,0.0,0.23,0.22,0.25,0.24,0.24,0.26,0.26,0.26,0.22,0.24,0.21,0.24,0.23,0.26,0.22,0.24,0.23,0.24,0.21,0.24,0.25,0.24,0.25,0.0,0.24,0.25,0.0,0.25,0.0,0.22,0.21,0.0,0.21,0.24,0.21,0.0,0.25,0.23,0.25,0.23,0.22,0.22,0.2,0.21,0.21,0.22,0.21,0.23,0.21,0.23,0.22,0.23,0.22,0.23,0.21,0.0,0.0,0.2,0.0,0.0,0.0,0.21,0.0,0.23,0.22,0.23,0.21,0.2,0.0,0.21,0.21,0.21,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.08
07/28/2021,0.55,0.51,0.48,0.0,0.39,0.36,0.38,0.4,0.42,0.42,0.46,0.45,0.43,0.41,0.43,0.38,0.37,0.38,0.42,0.4,0.41,0.42,0.42,0.41,0.29,0.4,0.4,0.4,0.38,0.42,0.35,0.35,0.38,0.37,0.34,0.36,0.4,0.39,0.39,0.36,0.35,0.37,0.37,0.33,0.35,0.36,0.36,0.35,0.34,0.35,0.33,0.32,0.36,0.33,0.36,0.36,0.34,0.36,0.33,0.29,0.35,0.34,0.33,0.34,0.34,0.34,0.3,0.25,0.3,0.35,0.29,0.33,0.32,0.29,0.3,0.28,0.32,0.28,0.29,0.3,0.33,0.26,0.29,0.3,0.29,0.28,0.31,0.29,0.27,0.31,0.28,0.23,0.27,0.27,0.24,0.27,0.27,0.26,0.28,0.25,0.26,0.26,0.29,0.25,0.0,0.26,0.25,0.28,0.27,0.26,0.27,0.3,0.25,0.24,0.23,0.24,0.24,0.23,0.25,0.26,0.26,0.0,0.27,0.21,0.24,0.21,0.26,0.25,0.25,0.25,0.25,0.25,0.27,0.27,0.26,0.23,0.0,0.23,0.22,0.25,0.24,0.24,0.26,0.26,0.26,0.22,0.24,0.21,0.24,0.23,0.26,0.22,0.24,0.23,0.24,0.21,0.24,0.25,0.24,0.25,0.0,0.24,0.25,0.0,0.25,0.0,0.22,0.21,0.0,0.21,0.24,0.21,0.0,0.25,0.23,0.25,0.23,0.22,0.22,0.2,0.21,0.21,0.22,0.21,0.23,0.21,0.23,0.22,0.23,0.22,0.23,0.21,0.0,0.0,0.2,0.0,0.0,0.0,0.21,0.0,0.23,0.22,0.23,0.21,0.2,0.0,0.21,0.21,0.21,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.08
07/29/2021,0.55,0.5,0.48,0.0,0.39,0.37,0.38,0.4,0.42,0.43,0.46,0.44,0.43,0.41,0.43,0.38,0.37,0.38,0.42,0.4,0.4,0.42,0.42,0.41,0.3,0.39,0.39,0.41,0.38,0.42,0.35,0.36,0.4,0.36,0.35,0.37,0.4,0.38,0.39,0.36,0.34,0.36,0.36,0.3,0.35,0.36,0.36,0.35,0.34,0.35,0.32,0.33,0.36,0.34,0.35,0.36,0.34,0.36,0.33,0.3,0.34,0.34,0.33,0.34,0.33,0.34,0.3,0.26,0.3,0.34,0.29,0.33,0.32,0.29,0.3,0.29,0.32,0.29,0.29,0.3,0.32,0.25,0.3,0.29,0.29,0.28,0.31,0.29,0.27,0.31,0.28,0.24,0.27,0.27,0.24,0.27,0.27,0.26,0.28,0.25,0.26,0.27,0.29,0.25,0.0,0.26,0.25,0.28,0.27,0.26,0.28,0.3,0.25,0.24,0.24,0.24,0.24,0.22,0.25,0.26,0.26,0.21,0.27,0.22,0.24,0.21,0.26,0.25,0.25,0.25,0.25,0.25,0.27,0.27,0.26,0.23,0.21,0.22,0.22,0.25,0.24,0.24,0.25,0.26,0.26,0.22,0.24,0.21,0.24,0.23,0.25,0.22,0.23,0.24,0.24,0.22,0.24,0.24,0.24,0.25,0.0,0.24,0.25,0.2,0.24,0.0,0.22,0.22,0.0,0.22,0.24,0.21,0.0,0.25,0.23,0.26,0.23,0.22,0.22,0.0,0.21,0.0,0.23,0.21,0.23,0.21,0.22,0.22,0.23,0.22,0.24,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.2,0.23,0.22,0.22,0.0,0.0,0.0,0.21,0.21,0.21,0.0,0.0,0.2,0.0,0.0,0.21,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.07
07/30/2021,0.54,0.5,0.47,0.0,0.39,0.37,0.38,0.4,0.43,0.43,0.46,0.44,0.43,0.42,0.44,0.39,0.38,0.39,0.43,0.41,0.4,0.42,0.43,0.42,0.3,0.39,0.39,0.4,0.37,0.42,0.36,0.35,0.41,0.36,0.34,0.37,0.4,0.37,0.39,0.36,0.34,0.36,0.36,0.3,0.36,0.36,0.37,0.36,0.34,0.35,0.33,0.34,0.36,0.35,0.35,0.36,0.34,0.36,0.33,0.3,0.34,0.35,0.33,0.35,0.33,0.34,0.3,0.25,0.3,0.34,0.29,0.33,0.32,0.29,0.3,0.28,0.32,0.29,0.29,0.3,0.32,0.26,0.29,0.3,0.3,0.27,0.31,0.3,0.27,0.31,0.28,0.23,0.27,0.27,0.23,0.27,0.27,0.26,0.28,0.24,0.26,0.27,0.29,0.25,0.0,0.26,0.25,0.28,0.27,0.26,0.28,0.29,0.25,0.24,0.24,0.24,0.24,0.22,0.25,0.26,0.26,0.21,0.27,0.22,0.25,0.22,0.26,0.25,0.25,0.26,0.24,0.26,0.27,0.27,0.26,0.24,0.21,0.23,0.22,0.25,0.23,0.25,0.26,0.26,0.26,0.22,0.23,0.21,0.24,0.22,0.25,0.22,0.24,0.24,0.23,0.22,0.24,0.24,0.24,0.24,0.0,0.24,0.25,0.2,0.25,0.0,0.22,0.21,0.2,0.21,0.24,0.21,0.0,0.25,0.23,0.25,0.23,0.22,0.22,0.2,0.22,0.0,0.23,0.21,0.23,0.21,0.22,0.22,0.23,0.22,0.24,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.23,0.22,0.22,0.21,0.2,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18
08/02/2021,0.56,0.5,0.45,0.0,0.4,0.37,0.39,0.4,0.42,0.43,0.46,0.44,0.43,0.42,0.44,0.38,0.38,0.39,0.42,0.42,0.39,0.41,0.44,0.41,0.31,0.4,0.4,0.4,0.36,0.42,0.36,0.35,0.41,0.37,0.34,0.36,0.4,0.41,0.4,0.36,0.33,0.36,0.35,0.3,0.36,0.36,0.37,0.36,0.34,0.35,0.32,0.35,0.37,0.36,0.35,0.36,0.35,0.36,0.34,0.3,0.34,0.34,0.33,0.35,0.33,0.34,0.3,0.25,0.3,0.34,0.29,0.33,0.34,0.29,0.3,0.28,0.33,0.29,0.29,0.3,0.3,0.26,0.29,0.29,0.29,0.27,0.32,0.29,0.27,0.31,0.27,0.24,0.27,0.27,0.22,0.28,0.27,0.26,0.29,0.24,0.26,0.27,0.29,0.26,0.0,0.26,0.24,0.27,0.27,0.26,0.21,0.28,0.26,0.24,0.24,0.24,0.24,0.22,0.25,0.26,0.26,0.0,0.26,0.21,0.24,0.22,0.26,0.25,0.24,0.25,0.24,0.26,0.27,0.27,0.26,0.24,0.21,0.23,0.22,0.25,0.24,0.24,0.26,0.26,0.27,0.23,0.24,0.21,0.24,0.22,0.26,0.22,0.24,0.24,0.24,0.21,0.23,0.24,0.24,0.25,0.0,0.24,0.25,0.2,0.25,0.0,0.22,0.21,0.2,0.22,0.24,0.21,0.2,0.24,0.23,0.27,0.23,0.22,0.22,0.2,0.22,0.0,0.23,0.21,0.23,0.21,0.23,0.22,0.23,0.22,0.23,0.23,0.0,0.0,0.2,0.0,0.0,0.0,0.21,0.2,0.24,0.21,0.23,0.21,0.0,0.0,0.0,0.21,0.21,0.2,0.0,0.22,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19
08/03/2021,0.56,0.5,0.45,0.0,0.4,0.37,0.39,0.4,0.42,0.43,0.46,0.44,0.43,0.42,0.44,0.38,0.38,0.39,0.42,0.42,0.39,0.41,0.44,0.41,0.31,0.4,0.4,0.4,0.36,0.42,0.36,0.35,0.41,0.37,0.34,0.36,0.4,0.41,0.4,0.36,0.33,0.36,0.35,0.3,0.36,0.36,0.37,0.36,0.34,0.35,0.32,0.35,0.37,0.36,0.35,0.36,0.35,0.36,0.34,0.3,0.34,0.34,0.33,0.35,0.33,0.34,0.3,0.25,0.3,0.34,0.29,0.33,0.34,0.29,0.3,0.28,0.33,0.29,0.29,0.3,0.3,0.26,0.29,0.29,0.29,0.27,0.32,0.29,0.27,0.31,0.27,0.24,0.27,0.27,0.22,0.28,0.27,0.26,0.29,0.24,0.26,0.27,0.29,0.26,0.0,0.26,0.24,0.27,0.27,0.26,0.21,0.28,0.26,0.24,0.24,0.24,0.24,0.22,0.25,0.26,0.26,0.0,0.26,0.21,0.24,0.22,0.26,0.25,0.24,0.25,0.24,0.26,0.27,0.27,0.26,0.24,0.21,0.23,0.22,0.25,0.24,0.24,0.26,0.26,0.27,0.23,0.24,0.21,0.24,0.22,0.26,0.22,0.24,0.24,0.24,0.21,0.23,0.24,0.24,0.25,0.0,0.24,0.25,0.2,0.25,0.0,0.22,0.21,0.2,0.22,0.24,0.21,0.2,0.24,0.23,0.27,0.23,0.22,0.22,0.2,0.22,0.0,0.23,0.21,0.23,0.21,0.23,0.22,0.23,0.22,0.23,0.23,0.0,0.0,0.2,0.0,0.0,0.0,0.21,0.2,0.24,0.21,0.23,0.21,0.0,0.0,0.0,0.21,0.21,0.2,0.0,0.22,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19
