,T,VZ,CVX,ABBV,PFE,PM,MRK,KO,AVGO,MO,IBM,GILD,DUK,SO,COP,BX,KMI,PRU,KMB,NEM,AEP,EXC,SRE,PPL,GIS,WBA,PEG,ED,EIX,LYB,FE,IP,ETR,DTE,DVN,KEY,CFG,OMC,HBAN,K,HPE,CAH,PFG,APO,EVRG,IPG,US Dollar,FNF,NRG,PNW,WU,CMA,NWL,NI,OGE,CPB,FHN,NYCB,BEN,PBCT,JNPR,ORI,ARES,SCCO,APAM,UNM,HBI,HRB,UMPQ,UBSI,FLO,NFG,VLY,FNB,HE,MSM,POR,SR,SWX,ALE,MC,BKH,Axis Capital Holdings Limited,DTM WI,AVA,ISBC,NAVI,NJR,NWE,OGS,SJI,FHI,ASB,BOH,AGR,CVBF,FFBC,FULT,WSBC,MCY,PDCO,VIRT,AXS,018000.KQ,SUM
07/09/2021,10.16,7.14,6.94,6.48,5.97,5.3,4.82,4.4,4.17,4.16,3.75,2.47,2.03,1.88,1.64,1.61,1.43,1.2,1.12,1.12,1.03,1.01,0.92,0.86,0.84,0.83,0.71,0.7,0.7,0.67,0.58,0.53,0.5,0.47,0.46,0.45,0.43,0.4,0.4,0.4,0.4,0.39,0.37,0.33,0.33,0.28,0.28,0.27,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.2,0.19,0.19,0.17,0.17,0.16,0.16,0.15,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.0,0.0,100.0
07/12/2021,9.92,7.07,6.92,6.5,5.99,5.32,4.8,4.43,4.21,4.2,3.81,2.45,2.04,1.87,1.62,1.64,1.44,1.2,1.11,1.11,1.03,1.0,0.91,0.87,0.83,0.82,0.71,0.7,0.71,0.69,0.57,0.55,0.5,0.48,0.47,0.45,0.43,0.4,0.4,0.41,0.4,0.39,0.37,0.31,0.33,0.29,0.43,0.27,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.19,0.18,0.16,0.15,0.16,0.15,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.12,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.0,0.0,100.01
07/13/2021,9.92,7.07,6.92,6.5,5.99,5.32,4.8,4.43,4.21,4.2,3.81,2.45,2.04,1.87,1.62,1.64,1.44,1.2,1.11,1.11,1.03,1.0,0.91,0.87,0.83,0.82,0.71,0.7,0.71,0.69,0.57,0.55,0.5,0.48,0.47,0.45,0.43,0.4,0.4,0.41,0.4,0.39,0.37,0.31,0.33,0.29,0.43,0.27,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.19,0.18,0.16,0.15,0.16,0.15,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.12,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.0,0.0,100.01
07/14/2021,9.95,7.09,6.94,6.52,6.01,5.33,4.81,4.44,4.23,4.22,3.82,2.46,2.05,1.87,1.63,1.65,1.45,1.2,1.12,1.12,1.03,1.01,0.92,0.87,0.83,0.83,0.71,0.7,0.72,0.69,0.57,0.55,0.51,0.49,0.47,0.45,0.43,0.4,0.4,0.41,0.4,0.39,0.38,0.31,0.33,0.29,0.0,0.27,0.25,0.25,0.25,0.24,0.23,0.24,0.22,0.21,0.21,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.12,0.12,0.12,0.11,0.11,0.12,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.09,0.07,100.03
07/15/2021,9.94,7.08,6.94,6.57,6.02,5.28,4.78,4.43,4.27,4.22,3.8,2.45,2.06,1.88,1.62,1.68,1.43,1.21,1.11,1.1,1.03,1.01,0.92,0.87,0.82,0.83,0.71,0.7,0.71,0.68,0.57,0.55,0.51,0.49,0.47,0.46,0.44,0.4,0.41,0.4,0.4,0.39,0.38,0.31,0.33,0.29,0.0,0.27,0.25,0.25,0.25,0.24,0.23,0.24,0.22,0.21,0.21,0.21,0.2,0.19,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.12,0.12,0.12,0.11,0.11,0.12,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.0,0.0,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.09,0.13,100.04
07/16/2021,9.92,7.12,6.96,6.62,6.04,5.26,4.81,4.5,4.27,4.18,3.8,2.46,2.07,1.87,1.62,1.66,1.42,1.2,1.12,1.11,1.03,1.01,0.92,0.86,0.83,0.83,0.7,0.7,0.71,0.69,0.57,0.55,0.5,0.48,0.48,0.45,0.43,0.39,0.4,0.4,0.38,0.39,0.37,0.31,0.33,0.28,0.0,0.27,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.2,0.2,0.21,0.19,0.19,0.18,0.16,0.15,0.16,0.15,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.0,0.0,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.09,0.13,99.99999999999996
07/19/2021,9.94,7.15,6.75,6.55,6.08,5.33,4.81,4.6,4.2,4.22,3.79,2.47,2.11,1.91,1.55,1.69,1.38,1.2,1.13,1.11,1.05,1.02,0.91,0.86,0.83,0.81,0.72,0.71,0.71,0.68,0.57,0.53,0.51,0.49,0.44,0.45,0.43,0.39,0.4,0.4,0.39,0.38,0.37,0.3,0.34,0.28,0.0,0.27,0.24,0.25,0.25,0.24,0.23,0.24,0.22,0.2,0.2,0.21,0.18,0.19,0.18,0.16,0.15,0.16,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.12,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.0,0.0,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.09,0.15,99.96999999999998
07/20/2021,9.96,7.17,6.61,6.6,6.15,5.33,4.84,4.62,4.14,4.23,3.77,2.49,2.14,1.93,1.51,1.7,1.37,1.19,1.15,1.08,1.06,1.03,0.93,0.88,0.84,0.81,0.73,0.72,0.71,0.65,0.58,0.53,0.52,0.49,0.43,0.43,0.41,0.39,0.39,0.41,0.39,0.39,0.37,0.29,0.35,0.28,0.0,0.27,0.25,0.26,0.25,0.23,0.23,0.24,0.22,0.21,0.19,0.21,0.18,0.19,0.18,0.16,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.0,0.0,0.08,0.08,0.09,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.09,0.15,99.97999999999998
07/21/2021,9.96,7.17,6.61,6.6,6.15,5.33,4.84,4.62,4.14,4.23,3.77,2.49,2.14,1.93,1.51,1.7,1.37,1.19,1.15,1.08,1.06,1.03,0.93,0.88,0.84,0.81,0.73,0.72,0.71,0.65,0.58,0.53,0.52,0.49,0.43,0.43,0.41,0.39,0.39,0.41,0.39,0.39,0.37,0.29,0.35,0.28,0.0,0.27,0.25,0.26,0.25,0.23,0.23,0.24,0.22,0.21,0.19,0.21,0.18,0.19,0.18,0.16,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.0,0.0,0.08,0.08,0.09,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.09,0.15,99.97999999999998
07/22/2021,9.89,7.18,6.51,6.57,6.2,5.35,4.84,4.62,4.17,4.24,3.79,2.51,2.15,1.94,1.48,1.68,1.36,1.16,1.17,1.08,1.05,1.03,0.91,0.87,0.86,0.81,0.72,0.72,0.7,0.63,0.58,0.52,0.51,0.49,0.42,0.42,0.4,0.39,0.38,0.42,0.39,0.39,0.36,0.29,0.35,0.27,0.51,0.27,0.24,0.26,0.25,0.22,0.23,0.24,0.22,0.21,0.19,0.2,0.18,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.0,0.0,100.02
