,LLY,EW,NOVOB.CO,REGN,AZN,RO SW,BSX,ABBV,BMY,SYK,MDT,JNJ,BIIB,AMGN,4519.T,DXCM,WELL,ALC.SW,ZBH,068270.KS,4503.T,4543.T,BGNE,SGEN,GMAB.CO,STMN.SW,SOON.SW,3692.HK,FME.DE,VTR,EXAS,UCB.BR,TFX,SN.L,NVCR,PODD,INCY,853.HK,ABMD,DEMANT.CO,DVA,GN.CO,COH.AX,AMP.MI,ALEC,DNLI,NBIX,AMED,OHI,ORP.PA,UTHR,FGEN,HALO,LHCG,1302.HK,INGN,MNKD,1789.HK,ACAD,BKD,1858.HK,AED.BR,EXEL,ANGO,CSH.UN.TO,AGIO,2186.HK,BLUE,EKTA B.ST,MMSI,8086.T,ARNA,LIVN,ITGR,KORI.PA,SBRA,NUVA,BPMC,GKOS,TCMD,SILK,2500.HK,PNTG,ENSG,NHC,4547.T,RYM.NZ,EPZM,DHC,ATEC,NHI,RDUS,LTC,HRTX,OMER,AERI,PHM.MC,AMRN,TBPH,CASH,n/a,SUM
07/09/2021,3.57,3.52,3.41,3.38,3.36,3.27,3.13,3.03,2.99,2.95,2.92,2.86,2.85,2.73,2.69,2.31,1.93,1.92,1.85,1.77,1.74,1.66,1.61,1.5,1.48,1.4,1.33,1.33,1.28,1.17,1.11,1.09,1.04,1.03,1.02,1.02,0.98,0.83,0.81,0.75,0.71,0.7,0.62,0.6,0.54,0.5,0.49,0.46,0.46,0.44,0.43,0.36,0.36,0.35,0.35,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.19,0.18,0.17,0.0,100.0
07/12/2021,3.59,3.57,3.47,3.34,3.33,3.32,3.11,3.05,2.99,2.93,2.93,2.88,3.04,2.74,2.68,2.35,1.92,1.92,1.81,1.74,1.72,1.68,1.59,1.47,1.5,1.44,1.36,1.26,1.3,1.16,1.06,1.1,1.07,1.02,1.05,1.0,0.96,0.81,0.8,0.76,0.71,0.71,0.64,0.59,0.54,0.48,0.5,0.47,0.45,0.44,0.43,0.38,0.35,0.36,0.34,0.35,0.31,0.3,0.31,0.32,0.3,0.31,0.3,0.31,0.3,0.29,0.28,0.29,0.29,0.29,0.3,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.22,0.22,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.2,0.18,0.17,0.0,100.06
07/13/2021,3.59,3.57,3.47,3.34,3.33,3.32,3.11,3.05,2.99,2.93,2.93,2.88,3.04,2.74,2.68,2.35,1.92,1.92,1.81,1.74,1.72,1.68,1.59,1.47,1.5,1.44,1.36,1.26,1.3,1.16,1.06,1.1,1.07,1.02,1.05,1.0,0.96,0.81,0.8,0.76,0.71,0.71,0.64,0.59,0.54,0.48,0.5,0.47,0.45,0.44,0.43,0.38,0.35,0.36,0.34,0.35,0.31,0.3,0.31,0.32,0.3,0.31,0.3,0.31,0.3,0.29,0.28,0.29,0.29,0.29,0.3,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.22,0.22,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.2,0.18,0.17,0.0,100.06
07/14/2021,3.57,3.55,3.49,3.38,3.35,3.31,3.13,3.06,3.02,2.94,2.95,2.9,2.96,2.75,2.61,2.32,1.96,1.91,1.81,1.71,1.72,1.66,1.64,1.47,1.52,1.45,1.26,1.28,1.31,1.19,1.09,1.11,1.07,1.02,1.07,1.0,0.96,0.8,0.8,0.7,0.72,0.68,0.64,0.55,0.51,0.47,0.5,0.47,0.46,0.44,0.44,0.38,0.35,0.35,0.35,0.36,0.3,0.32,0.31,0.33,0.31,0.32,0.3,0.32,0.3,0.3,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.25,0.26,0.25,0.25,0.24,0.26,0.25,0.25,0.24,0.25,0.23,0.22,0.24,0.24,0.24,0.22,0.22,0.23,0.22,0.21,0.17,0.17,0.0,100.05
07/15/2021,3.57,3.52,3.48,3.33,3.39,3.34,3.11,3.07,3.02,2.94,2.94,2.88,2.87,2.73,2.67,2.33,1.98,1.92,1.81,1.71,1.76,1.65,1.64,1.44,1.55,1.47,1.29,1.29,1.32,1.2,1.05,1.12,1.06,1.02,1.05,0.98,0.95,0.8,0.79,0.72,0.73,0.69,0.64,0.56,0.5,0.45,0.49,0.46,0.46,0.44,0.43,0.37,0.35,0.35,0.35,0.37,0.29,0.32,0.31,0.33,0.31,0.32,0.3,0.32,0.31,0.29,0.28,0.28,0.28,0.29,0.3,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.26,0.25,0.26,0.24,0.26,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.23,0.24,0.21,0.22,0.22,0.22,0.2,0.17,0.16,0.0,99.98
07/16/2021,3.58,3.53,3.49,3.36,3.41,3.35,3.1,3.06,3.03,2.92,2.94,2.89,2.91,2.75,2.69,2.35,1.98,1.92,1.79,1.72,1.77,1.66,1.65,1.42,1.55,1.49,1.3,1.29,1.34,1.2,1.04,1.12,1.06,1.02,1.04,0.96,0.95,0.79,0.79,0.73,0.72,0.7,0.63,0.56,0.52,0.43,0.49,0.46,0.46,0.44,0.43,0.36,0.35,0.34,0.35,0.36,0.29,0.32,0.32,0.33,0.31,0.32,0.3,0.31,0.3,0.29,0.27,0.27,0.28,0.28,0.3,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.24,0.26,0.25,0.25,0.23,0.26,0.26,0.26,0.24,0.24,0.23,0.24,0.24,0.23,0.24,0.21,0.22,0.22,0.21,0.19,0.17,0.2,0.0,100.0
07/19/2021,3.56,3.56,3.56,3.48,3.25,3.38,3.07,3.11,3.07,2.9,2.93,2.91,2.75,2.81,2.64,2.35,2.04,1.89,1.76,1.78,1.8,1.64,1.67,1.44,1.55,1.53,1.34,1.34,1.33,1.22,1.03,1.1,0.96,1.0,1.02,0.94,0.95,0.91,0.78,0.72,0.72,0.7,0.64,0.59,0.47,0.42,0.48,0.45,0.46,0.43,0.44,0.33,0.34,0.35,0.4,0.35,0.28,0.34,0.31,0.33,0.32,0.32,0.29,0.3,0.3,0.29,0.28,0.26,0.28,0.28,0.31,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.18,0.25,0.24,0.26,0.22,0.26,0.26,0.27,0.25,0.24,0.24,0.22,0.25,0.23,0.24,0.21,0.22,0.22,0.2,0.19,0.17,0.2,0.0,100.02
07/20/2021,3.56,3.56,3.56,3.48,3.25,3.38,3.07,3.11,3.07,2.9,2.93,2.91,2.75,2.81,2.64,2.35,2.04,1.89,1.76,1.78,1.8,1.64,1.67,1.44,1.55,1.53,1.34,1.34,1.33,1.22,1.03,1.1,0.96,1.0,1.02,0.94,0.95,0.91,0.78,0.72,0.72,0.7,0.64,0.59,0.47,0.42,0.48,0.45,0.46,0.43,0.44,0.33,0.34,0.35,0.4,0.35,0.28,0.34,0.31,0.33,0.32,0.32,0.29,0.3,0.3,0.29,0.28,0.26,0.28,0.28,0.31,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.18,0.25,0.24,0.26,0.22,0.26,0.26,0.27,0.25,0.24,0.24,0.22,0.25,0.23,0.24,0.21,0.22,0.22,0.2,0.19,0.17,0.2,0.0,100.02
07/21/2021,3.58,3.58,3.6,3.44,3.24,3.43,3.07,3.12,3.06,2.91,2.94,2.91,2.72,2.82,2.61,2.39,2.06,1.9,1.77,1.8,1.78,1.62,1.64,1.47,1.55,1.53,1.32,1.34,1.34,1.22,1.05,1.11,1.0,0.99,1.02,0.97,0.93,0.87,0.79,0.73,0.72,0.7,0.63,0.59,0.46,0.42,0.49,0.45,0.47,0.43,0.44,0.21,0.33,0.34,0.39,0.35,0.28,0.32,0.31,0.32,0.31,0.32,0.28,0.3,0.3,0.29,0.28,0.26,0.28,0.28,0.3,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.19,0.25,0.25,0.25,0.22,0.26,0.27,0.27,0.25,0.24,0.23,0.22,0.25,0.23,0.25,0.21,0.21,0.22,0.21,0.19,0.17,0.19,0.0,99.96
07/22/2021,3.64,3.49,3.64,3.49,3.26,3.45,3.04,3.1,3.06,2.84,2.9,2.92,2.75,2.84,2.71,2.34,1.97,1.91,1.75,1.76,1.82,1.62,1.64,1.46,1.57,1.56,1.34,1.36,1.33,1.2,1.07,1.12,0.97,0.97,1.04,0.97,0.93,0.86,0.8,0.75,0.72,0.7,0.64,0.6,0.44,0.43,0.49,0.45,0.46,0.43,0.44,0.2,0.33,0.35,0.41,0.35,0.28,0.34,0.31,0.31,0.32,0.32,0.28,0.29,0.29,0.3,0.28,0.26,0.29,0.28,0.3,0.27,0.27,0.26,0.26,0.27,0.26,0.27,0.19,0.25,0.25,0.25,0.22,0.26,0.27,0.27,0.25,0.24,0.21,0.22,0.24,0.23,0.25,0.2,0.22,0.23,0.21,0.2,0.17,0.19,0.0,100.01
