,ADBE,ADSK,IDXX,AMD,FTNT,ALGN,GOOG,AMZN,TGT,LOW,AAPL,FB,CCI,NVDA,VRTX,REGN,CMG,WST,NKE,TXN,LULU,QCOM,EBAY,NOW,PYPL,ODFL,MXIM,EPAM,BAH,ILMN,CDNS,VEEV,ZM,LRCX,PKI,ULTA,DOCU,MOH,BBY,AMAT,NBIX,KLAC,TXRH,MKTX,CRWD,HUBS,WEN,PAYC,LPLA,TW,TER,PHM,WM,MPWR,PTC,TTD,OLED,DAR,CSGP,TPX,MSFT,SAM,BC,AN,AZPN,AMED,WSM,MNST,EXEL,LSCC,UPST,MSCI,INTU,APPS,Ssc Government Mm Gvmxx,RGEN,ENTG,SPGI,IT,SNPS,QRVO,FICO,LHCG,RSG,SITE,CLX,OVV,GNRC,XPO,MTD,BX,LLY,DECK,DXCM,DDOG,DPZ,XEC,JBHT,MTCH,JCOM,FMC,SCHW,TEAM,MCO,DG,PCTY,NWSA,SBUX,ORLY,RH,APTV,AVTR,BJ,NVR,HRC,EL,BRKR,ALXN,PEN,TSCO,ZTS,EOG,ORCL,FIVE,SKX,TROW,CTXS,G,SBAC,YUMC,CTAS,AMT,FDS,HCA,HD,KIM,LAMR,CERN,AXP,NFLX,DVA,FND,CACI,ICLR,UPS,TREX,ABT,HSY,V,MMM,DHI,WMB,TTEK,CABO,XYL,COST,SYK,CHE,TPR,PG,IQV,VMW,MAN,AGCO,CBRE,MA,PANW,BSX,FDX,PFPT,YUM,GWW,IPGP,TJX,NUE,SF,RPM,MAS,WDAY,OSK,GLOB,JLL,CMI,OC,EHC,WHR,ON,NVCR,STX,DLTR,KSU,RS,TTWO,Y,ATUS,AON,MKSI,CE,GLW,VMC,SNA,RGLD,Stericycle Inc,SUM
07/09/2021,3.7,2.88,2.86,2.47,2.05,1.96,1.93,1.85,1.83,1.81,1.71,1.68,1.67,1.65,1.61,1.6,1.59,1.58,1.48,1.46,1.43,1.4,1.37,1.31,1.28,1.24,1.23,1.23,1.22,1.18,1.16,1.09,1.08,1.06,1.04,1.0,0.97,0.97,0.97,0.96,0.95,0.94,0.92,0.81,0.81,0.81,0.8,0.8,0.79,0.72,0.72,0.7,0.67,0.65,0.62,0.62,0.6,0.57,0.56,0.55,0.52,0.5,0.48,0.48,0.48,0.46,0.46,0.41,0.37,0.37,0.36,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,99.65
07/12/2021,3.79,2.86,2.93,2.35,2.1,1.94,1.95,1.97,1.85,1.79,1.75,1.64,1.71,1.61,1.59,1.58,1.61,1.61,1.49,1.44,1.46,1.36,1.34,1.34,1.31,1.24,1.17,1.23,1.25,1.18,1.16,1.11,1.07,1.02,1.03,0.96,1.01,0.96,0.91,0.93,0.96,0.92,0.9,0.81,0.85,0.82,0.79,0.8,0.76,0.73,0.69,0.67,0.67,0.65,0.62,0.62,0.58,0.56,0.58,0.51,0.52,0.51,0.46,0.47,0.48,0.48,0.46,0.4,0.37,0.36,0.35,0.28,0.27,0.24,0.55,0.26,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.23,0.17,0.14,0.16,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.0,99.8
07/13/2021,3.79,2.86,2.93,2.35,2.1,1.94,1.95,1.97,1.85,1.79,1.75,1.64,1.71,1.61,1.59,1.58,1.61,1.61,1.49,1.44,1.46,1.36,1.34,1.34,1.31,1.24,1.17,1.23,1.25,1.18,1.16,1.11,1.07,1.02,1.03,0.96,1.01,0.96,0.91,0.93,0.96,0.92,0.9,0.81,0.85,0.82,0.79,0.8,0.76,0.73,0.69,0.67,0.67,0.65,0.62,0.62,0.58,0.56,0.58,0.51,0.52,0.51,0.46,0.47,0.48,0.48,0.46,0.4,0.37,0.36,0.35,0.28,0.27,0.24,0.55,0.26,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.23,0.17,0.14,0.16,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.0,99.8
07/14/2021,3.75,2.84,2.93,2.36,2.11,1.96,1.93,1.95,1.84,1.8,1.76,1.65,1.7,1.6,1.58,1.58,1.61,1.6,1.48,1.44,1.46,1.38,1.35,1.34,1.32,1.25,1.17,1.25,1.24,1.17,1.16,1.1,1.06,1.02,1.02,0.97,1.0,0.97,0.92,0.93,0.95,0.92,0.92,0.8,0.84,0.82,0.79,0.79,0.78,0.74,0.7,0.67,0.67,0.66,0.62,0.63,0.59,0.56,0.58,0.52,0.52,0.51,0.48,0.49,0.48,0.47,0.47,0.4,0.37,0.36,0.35,0.28,0.27,0.24,0.46,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.23,0.16,0.14,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,99.78
07/15/2021,3.71,2.81,2.89,2.35,2.1,2.0,1.94,1.94,1.86,1.8,1.75,1.66,1.71,1.64,1.58,1.56,1.63,1.61,1.48,1.45,1.42,1.38,1.33,1.33,1.33,1.23,1.18,1.26,1.24,1.19,1.15,1.1,1.04,1.04,1.03,0.97,1.0,0.97,0.92,0.94,0.93,0.94,0.94,0.8,0.84,0.8,0.79,0.77,0.78,0.74,0.7,0.67,0.67,0.67,0.61,0.63,0.59,0.57,0.58,0.53,0.52,0.51,0.48,0.5,0.47,0.47,0.47,0.41,0.36,0.36,0.38,0.28,0.27,0.24,0.46,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.16,0.14,0.16,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.0,99.79000000000002
07/16/2021,3.76,2.86,2.92,2.35,2.12,2.01,1.96,1.93,1.86,1.79,1.77,1.66,1.69,1.63,1.59,1.57,1.63,1.6,1.49,1.45,1.44,1.38,1.34,1.33,1.32,1.24,1.18,1.27,1.25,1.19,1.15,1.1,1.04,1.04,1.02,0.96,0.99,0.97,0.92,0.95,0.94,0.93,0.93,0.8,0.84,0.78,0.79,0.77,0.77,0.73,0.71,0.65,0.67,0.67,0.62,0.62,0.58,0.56,0.57,0.52,0.52,0.49,0.47,0.5,0.47,0.46,0.47,0.41,0.36,0.36,0.35,0.28,0.27,0.24,0.47,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.16,0.14,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,99.75
07/19/2021,3.8,2.87,2.92,2.28,2.14,1.97,1.98,1.93,1.89,1.82,1.82,1.64,1.73,1.54,1.61,1.62,1.62,1.61,1.5,1.44,1.47,1.39,1.34,1.34,1.32,1.26,1.17,1.29,1.26,1.15,1.16,1.09,0.99,1.03,1.03,0.97,0.97,0.99,0.94,0.93,0.91,0.92,0.91,0.8,0.81,0.76,0.78,0.77,0.77,0.73,0.69,0.66,0.69,0.66,0.62,0.59,0.57,0.58,0.59,0.51,0.53,0.49,0.47,0.5,0.48,0.45,0.46,0.42,0.36,0.35,0.34,0.28,0.27,0.23,0.47,0.25,0.25,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.22,0.17,0.13,0.16,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,99.77
07/20/2021,3.82,2.87,2.99,2.27,2.17,1.96,2.0,1.91,1.89,1.84,1.81,1.63,1.74,1.48,1.64,1.61,1.61,1.63,1.49,1.43,1.46,1.38,1.35,1.34,1.31,1.24,1.16,1.27,1.27,1.17,1.17,1.1,1.01,1.0,1.04,0.95,1.0,0.98,0.94,0.9,0.93,0.89,0.92,0.81,0.81,0.77,0.78,0.78,0.76,0.74,0.68,0.66,0.69,0.67,0.61,0.58,0.56,0.56,0.6,0.51,0.53,0.49,0.46,0.5,0.48,0.46,0.45,0.42,0.35,0.34,0.34,0.29,0.27,0.23,0.49,0.26,0.25,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.22,0.17,0.13,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.12,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.12,0.11,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.1,0.11,0.11,0.11,0.0,99.79
07/21/2021,3.82,2.87,2.99,2.27,2.17,1.96,2.0,1.91,1.89,1.84,1.81,1.63,1.74,1.48,1.64,1.61,1.61,1.63,1.49,1.43,1.46,1.38,1.35,1.34,1.31,1.24,1.16,1.27,1.27,1.17,1.17,1.1,1.01,1.0,1.04,0.95,1.0,0.98,0.94,0.9,0.93,0.89,0.92,0.81,0.81,0.77,0.78,0.78,0.76,0.74,0.68,0.66,0.69,0.67,0.61,0.58,0.56,0.56,0.6,0.51,0.53,0.49,0.46,0.5,0.48,0.46,0.45,0.42,0.35,0.34,0.34,0.29,0.27,0.23,0.49,0.26,0.25,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.22,0.17,0.13,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.12,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.12,0.11,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.1,0.11,0.11,0.11,0.0,99.79
07/22/2021,3.82,2.87,2.99,2.27,2.17,1.96,2.0,1.91,1.89,1.84,1.81,1.63,1.74,1.48,1.64,1.61,1.61,1.63,1.49,1.43,1.46,1.38,1.35,1.34,1.31,1.24,1.16,1.27,1.27,1.17,1.17,1.1,1.01,1.0,1.04,0.95,1.0,0.98,0.94,0.9,0.93,0.89,0.92,0.81,0.81,0.77,0.78,0.78,0.76,0.74,0.68,0.66,0.69,0.67,0.61,0.58,0.56,0.56,0.6,0.51,0.53,0.49,0.46,0.5,0.48,0.46,0.45,0.42,0.35,0.34,0.34,0.29,0.27,0.23,0.49,0.26,0.25,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.22,0.17,0.13,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.12,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.12,0.11,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.1,0.11,0.11,0.11,0.0,99.79
