,VGR,BGS,KTB,RCII,CMP,SJI,CMC,GEF,MED,AVA,MCY,CBT,BIG,PDCO,NAVI,BKE,TRN,TDS,JW.A,UVV,AROC,DLX,NUS,HCSG,RGR,NSA,CWT,OTTR,MATX,MWA,ISBC,NWN,FUL,MC,KRO,HNI,GCMG,ANAT,VSH,CVA,MGEE,SWM,MANT,KALU,PZZA,SSTK,FRG,BDN,MLHR,ABM,PRGS,ASB,MGRC,WMK,CPK,IDCC,PBI,KW,CSGS,ILPT,BRC,CATY,FHI,STRA,WMG,RILY,FCPT,UNIT,FFBC,WRI,JACK,OPI,EPRT,HEES,SBGI,MLI,BKU,GBX,SCL,PDM,BGFV,CXP,SCS,NWBI,MNRO,SFNC,CVBF,WSBC,EPC,SNDR,FULT,GES,ONB,GTY,KFY,FIX,PFS,GVA,LZB,ETH,HVT,WWW,CTRE,SFBS,FSS,BMI,COLB,MATW,HOPE,WRE,SCHN,NHC,PGRE,CORE,AUB,SJW,PSMT,B,GHC,SHEN,SWCH,IBOC,RUSHA,WAFD,HLNE,WD,GIC,BXS,SAFT,LTC,ANDE,BCC,ALX,CAI,WWE,SPTN,SASR,MOG.A,EBF,DEA,AIN,PRK,NP,NPO,FWRD,MNR,GPI,PATK,LNN,APOG,SXC,UTL,UCBI,SMP,WABC,SCHL,IOSP,NVEC,AAT,CFFN,BANR,TOWN,KFRC,HTH,LMNX,INT,TRMK,BHE,FIBK,FRME,ACCO,PETS,WHD,PLOW,TR,EVTC,ADTN,IBTX,INDB,FBP,XPER,CAL,CHCO,GOOD,RNST,GFF,MEI,IRT,SWBI,NXRT,STC,BFS,BUSE,MYE,BPYU,CWH,FCF,KAI,ABCB,SSP,MSEX,AZZ,VRS,IMKTA,CSR,GLT,LKFN,SITC,RGP,WGO,DCOM,PIPR,HWKN,CADE,SUM
07/09/2021,1.68,1.56,1.49,1.2,1.13,1.12,1.08,1.04,1.0,0.98,0.91,0.89,0.81,0.78,0.76,0.73,0.73,0.73,0.72,0.7,0.7,0.7,0.68,0.63,0.63,0.6,0.56,0.55,0.53,0.53,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.83000000000001
07/12/2021,1.65,1.58,1.45,1.18,1.15,1.14,1.1,1.06,1.02,1.0,0.9,0.91,0.8,0.79,0.75,0.68,0.72,0.73,0.72,0.7,0.67,0.64,0.69,0.63,0.63,0.63,0.58,0.56,0.54,0.53,0.5,0.51,0.52,0.51,0.5,0.48,0.49,0.49,0.48,0.48,0.46,0.45,0.46,0.45,0.45,0.45,0.43,0.43,0.45,0.43,0.43,0.42,0.41,0.43,0.42,0.41,0.42,0.41,0.41,0.42,0.4,0.39,0.38,0.38,0.39,0.37,0.38,0.38,0.37,0.37,0.36,0.36,0.37,0.36,0.34,0.35,0.34,0.34,0.35,0.34,0.32,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.29,0.3,0.31,0.29,0.3,0.3,0.29,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.28,0.27,0.29,0.29,0.28,0.27,0.27,0.27,0.28,0.26,0.27,0.28,0.26,0.27,0.25,0.26,0.25,0.26,0.25,0.26,0.24,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.19,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.86
07/13/2021,1.65,1.58,1.45,1.18,1.15,1.14,1.1,1.06,1.02,1.0,0.9,0.91,0.8,0.79,0.75,0.68,0.72,0.73,0.72,0.7,0.67,0.64,0.69,0.63,0.63,0.63,0.58,0.56,0.54,0.53,0.5,0.51,0.52,0.51,0.5,0.48,0.49,0.49,0.48,0.48,0.46,0.45,0.46,0.45,0.45,0.45,0.43,0.43,0.45,0.43,0.43,0.42,0.41,0.43,0.42,0.41,0.42,0.41,0.41,0.42,0.4,0.39,0.38,0.38,0.39,0.37,0.38,0.38,0.37,0.37,0.36,0.36,0.37,0.36,0.34,0.35,0.34,0.34,0.35,0.34,0.32,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.29,0.3,0.31,0.29,0.3,0.3,0.29,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.28,0.27,0.29,0.29,0.28,0.27,0.27,0.27,0.28,0.26,0.27,0.28,0.26,0.27,0.25,0.26,0.25,0.26,0.25,0.26,0.24,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.19,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.86
07/14/2021,1.65,1.6,1.49,1.19,1.17,1.14,1.1,1.05,1.0,0.99,0.88,0.9,0.82,0.79,0.78,0.71,0.73,0.72,0.71,0.68,0.68,0.65,0.68,0.63,0.62,0.62,0.57,0.55,0.56,0.53,0.5,0.51,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.47,0.45,0.43,0.44,0.43,0.43,0.42,0.42,0.43,0.43,0.42,0.41,0.46,0.41,0.4,0.41,0.39,0.39,0.38,0.37,0.39,0.35,0.39,0.38,0.37,0.38,0.36,0.36,0.37,0.35,0.34,0.35,0.35,0.36,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.3,0.29,0.29,0.29,0.28,0.29,0.27,0.28,0.28,0.29,0.3,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.28,0.25,0.26,0.25,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.0,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00999999999999
07/15/2021,1.65,1.6,1.49,1.19,1.17,1.14,1.1,1.05,1.0,0.99,0.88,0.9,0.82,0.79,0.78,0.71,0.73,0.72,0.71,0.68,0.68,0.65,0.68,0.63,0.62,0.62,0.57,0.55,0.56,0.53,0.5,0.51,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.47,0.45,0.43,0.44,0.43,0.43,0.42,0.42,0.43,0.43,0.42,0.41,0.46,0.41,0.4,0.41,0.39,0.39,0.38,0.37,0.39,0.35,0.39,0.38,0.37,0.38,0.36,0.36,0.37,0.35,0.34,0.35,0.35,0.36,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.3,0.29,0.29,0.29,0.28,0.29,0.27,0.28,0.28,0.29,0.3,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.28,0.25,0.26,0.25,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.0,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00999999999999
07/16/2021,1.66,1.57,1.48,1.19,1.17,1.13,1.1,1.06,0.99,0.98,0.89,0.9,0.78,0.78,0.79,0.71,0.74,0.71,0.7,0.67,0.69,0.66,0.67,0.64,0.62,0.63,0.57,0.55,0.55,0.53,0.49,0.51,0.51,0.49,0.5,0.49,0.48,0.49,0.47,0.49,0.46,0.45,0.45,0.45,0.46,0.46,0.44,0.45,0.44,0.44,0.42,0.42,0.42,0.43,0.42,0.4,0.45,0.41,0.4,0.42,0.39,0.39,0.39,0.36,0.38,0.35,0.39,0.38,0.37,0.38,0.36,0.37,0.37,0.36,0.33,0.35,0.35,0.36,0.34,0.35,0.32,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.31,0.3,0.3,0.31,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.27,0.28,0.28,0.29,0.29,0.28,0.27,0.27,0.28,0.28,0.27,0.27,0.28,0.25,0.26,0.25,0.27,0.25,0.26,0.25,0.26,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.25,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.0,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.0,0.0,0.17,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.89
07/19/2021,1.65,1.56,1.49,1.17,1.34,1.13,1.09,1.05,0.95,0.99,0.9,0.89,0.77,0.8,0.8,0.69,0.74,0.71,0.69,0.67,0.68,0.66,0.67,0.65,0.61,0.64,0.58,0.57,0.55,0.53,0.49,0.51,0.51,0.49,0.5,0.48,0.48,0.49,0.47,0.53,0.47,0.45,0.46,0.43,0.48,0.45,0.43,0.45,0.43,0.45,0.42,0.42,0.42,0.44,0.43,0.4,0.43,0.41,0.41,0.42,0.39,0.39,0.38,0.37,0.39,0.35,0.39,0.39,0.37,0.38,0.36,0.37,0.38,0.35,0.32,0.34,0.34,0.36,0.34,0.35,0.31,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.29,0.3,0.32,0.29,0.3,0.29,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.26,0.28,0.27,0.3,0.29,0.28,0.27,0.27,0.27,0.28,0.27,0.27,0.28,0.25,0.26,0.25,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.26,0.23,0.23,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.24,0.25,0.23,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.2,0.22,0.23,0.22,0.21,0.21,0.22,0.21,0.2,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.19,0.18,0.18,0.18,0.2,0.0,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.0,0.0,0.19,0.0,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.96
07/20/2021,1.64,1.56,1.44,1.19,1.4,1.13,1.09,1.05,0.95,1.02,0.88,0.85,0.77,0.8,0.8,0.65,0.73,0.71,0.68,0.67,0.66,0.66,0.66,0.62,0.6,0.65,0.61,0.59,0.55,0.53,0.49,0.53,0.51,0.49,0.5,0.47,0.49,0.51,0.46,0.54,0.49,0.45,0.46,0.43,0.47,0.46,0.42,0.45,0.41,0.47,0.42,0.42,0.42,0.45,0.44,0.39,0.42,0.41,0.41,0.44,0.39,0.39,0.39,0.36,0.38,0.34,0.4,0.4,0.37,0.38,0.36,0.37,0.38,0.34,0.31,0.34,0.33,0.35,0.34,0.36,0.28,0.34,0.32,0.34,0.31,0.31,0.31,0.3,0.3,0.31,0.31,0.27,0.3,0.32,0.29,0.29,0.3,0.28,0.28,0.28,0.29,0.28,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.3,0.3,0.3,0.27,0.27,0.27,0.29,0.27,0.26,0.28,0.25,0.26,0.25,0.28,0.26,0.26,0.25,0.26,0.24,0.25,0.27,0.23,0.21,0.25,0.25,0.22,0.25,0.24,0.23,0.23,0.25,0.22,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.22,0.21,0.22,0.23,0.22,0.23,0.23,0.2,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.2,0.0,0.2,0.21,0.19,0.21,0.2,0.19,0.18,0.19,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.0,0.19,0.19,0.18,0.18,0.17,0.2,0.0,0.2,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.0,0.0,0.2,0.0,0.19,0.17,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.82
07/21/2021,1.64,1.56,1.44,1.19,1.4,1.13,1.09,1.05,0.95,1.02,0.88,0.85,0.77,0.8,0.8,0.65,0.73,0.71,0.68,0.67,0.66,0.66,0.66,0.62,0.6,0.65,0.61,0.59,0.55,0.53,0.49,0.53,0.51,0.49,0.5,0.47,0.49,0.51,0.46,0.54,0.49,0.45,0.46,0.43,0.47,0.46,0.42,0.45,0.41,0.47,0.42,0.42,0.42,0.45,0.44,0.39,0.42,0.41,0.41,0.44,0.39,0.39,0.39,0.36,0.38,0.34,0.4,0.4,0.37,0.38,0.36,0.37,0.38,0.34,0.31,0.34,0.33,0.35,0.34,0.36,0.28,0.34,0.32,0.34,0.31,0.31,0.31,0.3,0.3,0.31,0.31,0.27,0.3,0.32,0.29,0.29,0.3,0.28,0.28,0.28,0.29,0.28,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.3,0.3,0.3,0.27,0.27,0.27,0.29,0.27,0.26,0.28,0.25,0.26,0.25,0.28,0.26,0.26,0.25,0.26,0.24,0.25,0.27,0.23,0.21,0.25,0.25,0.22,0.25,0.24,0.23,0.23,0.25,0.22,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.22,0.21,0.22,0.23,0.22,0.23,0.23,0.2,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.2,0.0,0.2,0.21,0.19,0.21,0.2,0.19,0.18,0.19,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.0,0.19,0.19,0.18,0.18,0.17,0.2,0.0,0.2,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.0,0.0,0.2,0.0,0.19,0.17,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.82
07/22/2021,1.64,1.56,1.44,1.19,1.4,1.13,1.09,1.05,0.95,1.02,0.88,0.85,0.77,0.8,0.8,0.65,0.73,0.71,0.68,0.67,0.66,0.66,0.66,0.62,0.6,0.65,0.61,0.59,0.55,0.53,0.49,0.53,0.51,0.49,0.5,0.47,0.49,0.51,0.46,0.54,0.49,0.45,0.46,0.43,0.47,0.46,0.42,0.45,0.41,0.47,0.42,0.42,0.42,0.45,0.44,0.39,0.42,0.41,0.41,0.44,0.39,0.39,0.39,0.36,0.38,0.34,0.4,0.4,0.37,0.38,0.36,0.37,0.38,0.34,0.31,0.34,0.33,0.35,0.34,0.36,0.28,0.34,0.32,0.34,0.31,0.31,0.31,0.3,0.3,0.31,0.31,0.27,0.3,0.32,0.29,0.29,0.3,0.28,0.28,0.28,0.29,0.28,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.3,0.3,0.3,0.27,0.27,0.27,0.29,0.27,0.26,0.28,0.25,0.26,0.25,0.28,0.26,0.26,0.25,0.26,0.24,0.25,0.27,0.23,0.21,0.25,0.25,0.22,0.25,0.24,0.23,0.23,0.25,0.22,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.22,0.21,0.22,0.23,0.22,0.23,0.23,0.2,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.2,0.0,0.2,0.21,0.19,0.21,0.2,0.19,0.18,0.19,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.0,0.19,0.19,0.18,0.18,0.17,0.2,0.0,0.2,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.0,0.0,0.2,0.0,0.19,0.17,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.82
