,SNPS,CPRT,APH,CDNS,WAT,VRSK,JBHT,TYL,GXO,ZBRA,LH,FAST,NVR,STE,PH,CTAS,TTC,DHI,GGG,ODFL,CSL,XRAY,HEI,ROL,LKQ,TDY,KEYS,CHE,CACI,FLT,SUM
11/03/2021,5.05,5.04,4.38,4.37,4.2,4.06,3.91,3.9,3.48,3.48,3.35,3.31,3.28,3.25,3.25,3.21,3.2,3.16,3.15,3.01,2.93,2.86,2.81,2.65,2.61,2.59,2.58,2.39,2.36,2.18,100.0
11/04/2021,5.05,5.04,4.38,4.37,4.2,4.06,3.91,3.9,3.48,3.48,3.35,3.31,3.28,3.25,3.25,3.21,3.2,3.16,3.15,3.01,2.93,2.86,2.81,2.65,2.61,2.59,2.58,2.39,2.36,2.18,100.0
11/05/2021,5.05,5.04,4.38,4.37,4.2,4.06,3.91,3.9,3.48,3.48,3.35,3.31,3.28,3.25,3.25,3.21,3.2,3.16,3.15,3.01,2.93,2.86,2.81,2.65,2.61,2.59,2.58,2.39,2.36,2.18,100.0
11/08/2021,5.24,5.02,4.24,4.62,3.93,4.02,3.87,3.97,3.83,3.8,3.31,3.36,3.29,3.03,3.44,3.24,3.04,3.11,3.18,3.27,2.99,2.63,2.72,2.42,2.59,2.54,2.65,2.46,2.34,1.85,100.0
11/09/2021,3.59,5.07,4.45,4.66,3.96,4.05,3.86,3.99,3.77,3.93,3.26,3.41,3.37,3.12,3.51,3.31,3.13,3.25,3.24,3.26,3.09,2.72,2.88,2.44,2.63,2.58,2.66,2.55,2.37,1.91,100.01999999999998
11/10/2021,3.59,5.07,4.45,4.66,3.96,4.05,3.86,3.99,3.77,3.93,3.26,3.41,3.37,3.12,3.51,3.31,3.13,3.25,3.24,3.26,3.09,2.72,2.88,2.44,2.63,2.58,2.66,2.55,2.37,1.91,100.01999999999998
11/11/2021,3.53,4.97,4.36,4.6,3.95,3.97,3.8,3.97,3.73,3.78,3.26,3.33,3.3,3.12,3.47,3.2,3.1,3.18,3.22,3.22,3.07,2.67,3.36,2.38,2.58,2.49,2.64,3.02,2.83,1.89,99.99
11/12/2021,3.53,4.97,4.36,4.6,3.95,3.97,3.8,3.97,3.73,3.78,3.26,3.33,3.3,3.12,3.47,3.2,3.1,3.18,3.22,3.22,3.07,2.67,3.36,2.38,2.58,2.49,2.64,3.02,2.83,1.89,99.99
11/15/2021,3.57,4.95,4.38,4.66,3.94,3.98,3.8,3.95,3.77,3.76,3.19,3.35,3.36,3.1,3.46,3.19,3.11,3.33,3.22,3.21,3.04,2.64,3.4,2.35,2.56,2.47,2.63,3.0,2.79,1.85,100.01
11/16/2021,3.57,4.95,4.38,4.66,3.94,3.98,3.8,3.95,3.77,3.76,3.19,3.35,3.36,3.1,3.46,3.19,3.11,3.33,3.22,3.21,3.04,2.64,3.4,2.35,2.56,2.47,2.63,3.0,2.79,1.85,100.01
11/17/2021,3.57,4.95,4.38,4.66,3.94,3.98,3.8,3.95,3.77,3.76,3.19,3.35,3.36,3.1,3.46,3.19,3.11,3.33,3.22,3.21,3.04,2.64,3.4,2.35,2.56,2.47,2.63,3.0,2.79,1.85,100.01
11/18/2021,3.57,4.95,4.38,4.66,3.94,3.98,3.8,3.95,3.77,3.76,3.19,3.35,3.36,3.1,3.46,3.19,3.11,3.33,3.22,3.21,3.04,2.64,3.4,2.35,2.56,2.47,2.63,3.0,2.79,1.85,100.01
11/19/2021,3.52,4.98,4.49,4.62,3.86,3.98,3.85,3.99,3.84,3.7,3.27,3.43,3.38,3.12,3.42,3.18,3.12,3.3,3.13,3.26,3.07,2.59,3.3,2.36,2.61,2.48,2.64,2.97,2.73,1.82,100.01
11/22/2021,3.52,4.98,4.49,4.62,3.86,3.98,3.85,3.99,3.84,3.7,3.27,3.43,3.38,3.12,3.42,3.18,3.12,3.3,3.13,3.26,3.07,2.59,3.3,2.36,2.61,2.48,2.64,2.97,2.73,1.82,100.01
11/23/2021,3.52,4.98,4.49,4.62,3.86,3.98,3.85,3.99,3.84,3.7,3.27,3.43,3.38,3.12,3.42,3.18,3.12,3.3,3.13,3.26,3.07,2.59,3.3,2.36,2.61,2.48,2.64,2.97,2.73,1.82,100.01
11/24/2021,3.57,4.93,4.45,4.69,3.8,4.12,3.76,3.9,4.02,3.78,3.28,3.44,3.26,3.13,3.44,3.19,3.2,3.44,3.09,3.17,3.06,2.51,3.29,2.33,2.61,2.5,2.71,2.98,2.64,1.71,100.0
11/25/2021,3.63,4.83,4.48,4.75,3.89,4.18,3.74,3.95,3.92,3.72,3.24,3.44,3.33,3.12,3.42,3.22,3.19,3.46,3.1,3.17,3.04,2.47,3.26,2.32,2.57,2.47,2.72,2.99,2.63,1.71,99.95999999999997
11/26/2021,3.55,4.67,4.46,4.69,3.88,4.18,3.82,3.92,4.02,3.78,3.26,3.46,3.35,3.11,3.41,3.22,3.21,3.41,3.13,3.22,3.07,2.47,3.27,2.32,2.62,2.45,2.7,2.98,2.67,1.69,99.99
11/29/2021,3.57,4.74,4.46,4.66,3.85,4.18,3.88,3.74,3.85,3.75,3.26,3.45,3.44,3.07,3.39,3.21,3.22,3.44,3.14,3.26,3.06,2.42,3.3,2.37,2.64,2.45,2.81,2.98,2.68,1.73,100.00000000000004
11/30/2021,3.58,4.77,4.42,4.64,3.88,4.23,3.86,3.73,3.89,3.8,3.4,3.49,3.48,3.13,3.31,3.18,3.26,3.44,3.11,3.27,3.06,2.41,3.18,2.39,2.62,2.44,2.76,2.96,2.67,1.67,100.03
12/01/2021,3.58,4.77,4.42,4.64,3.88,4.23,3.86,3.73,3.89,3.8,3.4,3.49,3.48,3.13,3.31,3.18,3.26,3.44,3.11,3.27,3.06,2.41,3.18,2.39,2.62,2.44,2.76,2.96,2.67,1.67,100.03
12/02/2021,3.58,4.77,4.42,4.64,3.88,4.23,3.86,3.73,3.89,3.8,3.4,3.49,3.48,3.13,3.31,3.18,3.26,3.44,3.11,3.27,3.06,2.41,3.18,2.39,2.62,2.44,2.76,2.96,2.67,1.67,100.03
12/06/2021,3.6,4.79,4.46,4.68,3.87,4.23,3.79,3.83,3.78,3.84,3.45,3.49,3.66,3.06,3.22,3.19,3.24,3.5,3.05,3.35,3.07,2.4,3.17,2.22,2.62,2.43,2.87,2.94,2.61,1.6,100.01
