,IMOM,IVAL,QVAL,QMOM,First American Government Obligs X,Alpha Architect US Quantitative Momt ETF,FGXXX,n/a,SUM
07/09/2021,29.84,27.57,21.0,20.99,0.6,0.0,0.0,0.0,100.0
07/12/2021,30.71,28.16,21.06,19.8,0.27,0.0,0.0,0.0,100.0
07/13/2021,30.71,28.16,21.06,19.8,0.27,0.0,0.0,0.0,100.0
07/14/2021,30.71,28.2,21.01,19.8,0.28,0.0,0.0,0.0,100.0
07/15/2021,30.69,28.13,21.04,19.89,0.25,0.0,0.0,0.0,100.0
07/16/2021,30.69,28.13,21.04,19.89,0.25,0.0,0.0,0.0,100.0
07/19/2021,30.93,28.58,20.88,19.36,0.25,0.0,0.0,0.0,100.0
07/20/2021,30.89,28.63,20.97,0.0,0.0,19.25,0.26,0.0,100.0
07/21/2021,30.92,28.67,20.94,0.0,0.0,19.22,0.26,0.0,100.01
07/22/2021,30.92,28.67,20.94,0.0,0.0,19.22,0.26,0.0,100.01
07/23/2021,30.92,28.62,21.05,19.15,0.26,0.0,0.0,0.0,100.0
07/26/2021,30.9,28.14,21.07,19.64,0.25,0.0,0.0,0.0,100.0
07/27/2021,30.9,28.14,21.07,19.64,0.25,0.0,0.0,0.0,100.0
07/28/2021,31.31,28.09,21.05,0.0,0.0,19.3,0.25,0.0,100.0
07/29/2021,31.45,28.0,20.94,0.0,0.0,19.36,0.25,0.0,100.0
07/30/2021,31.45,28.0,20.94,0.0,0.0,19.36,0.25,0.0,100.0
08/02/2021,31.49,28.07,20.97,0.0,0.0,19.21,0.25,0.0,99.99
08/03/2021,31.49,28.07,20.97,0.0,0.0,19.21,0.25,0.0,99.99
08/04/2021,31.49,28.07,20.97,0.0,0.0,19.21,0.25,0.0,99.99
08/05/2021,31.49,28.07,20.97,0.0,0.0,19.21,0.25,0.0,99.99
08/06/2021,31.55,27.71,21.23,0.0,0.0,19.25,0.25,0.0,99.99
08/09/2021,31.52,27.37,21.13,19.75,0.0,0.0,0.0,0.23,100.0
08/10/2021,31.52,27.37,21.13,19.75,0.0,0.0,0.0,0.23,100.0
08/11/2021,31.52,27.37,21.13,19.75,0.0,0.0,0.0,0.23,100.0
08/12/2021,31.49,27.38,21.22,0.0,0.0,0.0,0.23,19.69,100.01
08/13/2021,31.43,27.32,21.4,19.62,0.0,0.0,0.0,0.23,100.0
08/16/2021,31.41,27.29,21.43,0.0,0.0,0.0,0.23,19.64,100.0
08/17/2021,31.41,27.29,21.43,0.0,0.0,0.0,0.23,19.64,100.0
08/18/2021,31.58,27.32,21.35,0.0,0.0,0.0,0.23,19.53,100.01
08/19/2021,31.58,27.32,21.35,19.53,0.0,0.0,0.0,0.23,100.01
08/20/2021,31.37,27.33,21.56,19.51,0.0,0.0,0.0,0.23,100.0
08/23/2021,31.45,27.39,21.63,0.0,0.0,0.0,0.24,19.3,100.01
08/24/2021,31.45,27.39,21.63,0.0,0.0,0.0,0.24,19.3,100.01
08/25/2021,31.19,27.19,21.91,19.48,0.0,0.0,0.0,0.23,100.0
08/26/2021,31.19,27.19,21.91,19.48,0.0,0.0,0.0,0.23,100.0
08/27/2021,31.29,26.99,21.67,0.0,0.0,0.0,0.23,19.82,100.0
08/30/2021,30.02,27.5,20.85,21.05,0.0,0.0,0.6,0.0,100.01999999999998
08/31/2021,31.5,26.88,21.68,19.71,0.0,0.0,0.0,0.23,100.0
09/01/2021,31.52,26.59,21.65,0.0,0.0,0.0,0.22,20.02,100.0
09/02/2021,31.52,26.59,21.65,0.0,0.0,0.0,0.22,20.02,100.0
09/03/2021,31.68,26.63,21.65,19.82,0.0,0.0,0.0,0.22,100.0
09/06/2021,31.69,26.65,21.57,0.0,0.0,0.0,0.22,19.87,100.0
09/07/2021,31.69,26.65,21.57,19.87,0.0,0.0,0.22,0.0,100.0
