,S&P 500 Index Swap Bank Of America Na,S&P 500 Index Swap Societe Generale,Cash,S&P 500 Index Swap Citibank Na,S&P 500 Index Swap Goldman Sachs International,S&P 500 Index Swap Morgan Stanley & Co. International Plc,S&P 500 Index Swap Jp Morgan Securities,S&P 500 Index Swap Ubs Ag,S&P 500 Index Swap Credit Suisse International,S&P 500 Index Swap Bnp Paribas,E-mini S&P 500 Future Sept 21,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,ADBE,XOM,CMCSA,NFLX,VZ,INTC,CRM,CSCO,PFE,KO,ABT,T,PEP,CVX,ABBV,TMO,NKE,MRK,AVGO,WMT,ACN,WFC,LLY,TXN,COST,MCD,DHR,MDT,QCOM,BAC,PM,HON,UPS,LIN,BMY,UNP,NEE,ORCL,AMGN,LOW,MS,INTU,SBUX,BA,IBM,AMAT,RTX,GS,BLK,AMT,TGT,CAT,GE,MMM,AMD,DE,CVS,SCHW,ISRG,NOW,AXP,CHTR,SPGI,MU,ANTM,LRCX,LMT,BKNG,ZTS,PLD,MO,FIS,MDLZ,GILD,SYK,C,TMUS,ADP,CCI,COP,CI,TJX,PNC,USB,CME,DUK,GM,TFC,ATVI,EL,CSX,FDX,EQIX,MMC,CB,BDX,COF,ILMN,CL,ICE,NSC,SHW,EW,ITW,ADSK,SO,APD,FISV,ADI,BSX,D,ETN,REGN,MCO,F,EMR,PGR,HUM,NXPI,GPN,TWTR,WM,NOC,FCX,HCA,AON,IDXX,VRTX,BIIB,ECL,DG,NEM,KLAC,ROP,JCI,EOG,DOW,IQV,PSA,EBAY,KMB,TROW,A,SLB,TEL,MET,LHX,ROST,TT,ALGN,MSCI,CMG,EXC,GD,SPG,APTV,CNC,DLR,AEP,INFO,SNPS,SRE,BK,DXCM,DD,EA,MCHP,APH,AIG,ALXN,BAX,SUM
07/09/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
07/12/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
07/13/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
07/14/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
07/15/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
07/16/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
07/19/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
07/20/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
07/21/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
07/22/2021,58.62,44.01,36.94,32.44,22.58,22.44,18.94,17.98,7.29,7.14,5.48,3.75,3.56,2.58,1.45,1.28,1.25,0.92,0.91,0.87,0.82,0.76,0.69,0.66,0.6,0.59,0.58,0.56,0.56,0.49,0.47,0.46,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,325.69000000000005
