,CNTY,RRR,BYD,VICI,GLPI,MCRI,WH,FLL,MAR,BVH,GDEN,PENN,ABNB,TH,NCLH,PLYA,CHH,RCL,DIS,CCL,MTN,BKNG,EXPE,HLT,HGV,TNL,FENER.IS,TRIP,VAC,n/a,H,LIND,002960.SZ,IHG,SUM
08/16/2021,6.05,5.89,5.68,5.09,4.93,4.92,4.8,4.75,4.6,4.46,4.37,4.36,3.96,3.55,3.4,3.28,2.71,2.7,2.34,2.04,1.93,1.83,1.83,1.67,1.62,1.56,1.39,1.09,1.0,0.9,0.67,0.64,0.0,0.0,100.01
08/20/2021,5.69,5.93,5.68,5.33,5.2,4.97,4.92,4.24,4.71,4.7,4.3,4.16,3.99,3.76,3.31,3.31,2.82,2.71,2.43,2.04,1.98,1.87,1.83,1.72,1.66,1.57,0.8,1.08,1.02,0.92,0.7,0.65,0.0,0.0,100.0
08/23/2021,5.43,5.92,5.62,5.33,5.22,5.08,4.99,4.21,4.81,4.55,4.29,4.19,4.04,3.76,3.29,3.33,2.85,2.79,2.44,2.05,2.0,1.87,1.81,1.75,1.64,1.56,0.81,1.09,1.02,0.93,0.7,0.64,0.0,0.0,100.01
08/24/2021,5.4,5.87,5.58,5.26,5.18,5.12,4.97,4.27,4.77,4.55,4.34,4.29,4.01,3.9,3.32,3.3,2.85,2.81,2.43,2.05,1.99,1.84,1.78,1.76,1.64,1.56,0.8,1.07,1.03,0.92,0.69,0.65,0.0,0.0,100.0
08/25/2021,5.4,5.87,5.58,5.26,5.18,5.12,4.97,4.27,4.77,4.55,4.34,4.29,4.01,3.9,3.32,3.3,2.85,2.81,2.43,2.05,1.99,1.84,1.78,1.76,1.64,1.56,0.0,1.07,1.03,0.92,0.69,0.65,0.8,0.0,100.0
08/26/2021,5.5,6.07,5.65,5.15,5.08,5.14,4.85,4.23,4.76,4.54,4.45,4.35,4.0,3.75,3.38,3.31,2.78,2.81,2.41,2.08,1.97,1.85,1.8,1.73,1.64,1.56,0.0,1.08,1.03,0.9,0.69,0.67,0.78,0.0,99.99
08/27/2021,5.65,6.01,5.64,4.98,4.92,5.06,4.81,4.42,4.69,4.42,4.38,4.39,4.24,4.03,3.41,3.32,2.74,2.8,2.33,2.09,1.92,1.87,1.79,1.72,1.66,1.58,0.0,1.08,1.03,0.89,0.7,0.68,0.75,0.0,100.0
08/30/2021,5.56,6.31,5.69,5.06,4.92,4.9,4.85,4.28,4.56,4.44,4.66,4.81,4.0,3.93,3.34,3.3,2.73,2.72,2.3,2.05,1.94,1.9,1.75,1.7,1.65,1.58,0.0,1.1,1.02,0.87,0.68,0.66,0.75,0.0,100.01
08/31/2021,5.7,6.33,5.75,5.0,4.83,4.87,4.82,4.33,4.52,4.37,4.61,4.85,3.93,4.03,3.36,3.3,2.74,2.73,2.29,2.07,1.92,1.87,1.74,1.68,1.69,1.59,0.0,1.09,1.03,0.87,0.67,0.68,0.73,0.0,99.99
09/01/2021,5.7,6.33,5.75,5.0,4.83,4.87,4.82,4.33,4.52,4.37,4.61,4.85,3.93,4.03,3.36,3.3,2.74,2.73,2.29,2.07,1.92,1.87,1.74,1.68,1.69,1.59,0.0,1.09,1.03,0.87,0.67,0.68,0.73,0.0,99.99
09/02/2021,5.64,6.25,5.73,5.12,4.9,4.77,4.85,4.29,4.56,4.55,4.32,4.8,4.04,4.09,3.31,3.36,2.75,2.73,2.32,2.04,1.94,1.88,1.73,1.68,1.71,1.59,0.0,1.05,1.01,0.88,0.67,0.66,0.74,0.0,99.96
