,2EEM  211231C00000410,2EEM  211231P00051670,Cash&Other,2EEM  211231P00043920,2EEM  211231C00057020,SUM
07/09/2021,99.39,3.96,0.39,-1.44,-2.31,99.99
07/12/2021,99.39,4.33,0.38,-1.73,-2.37,100.0
07/13/2021,99.39,4.33,0.38,-1.73,-2.37,100.0
07/14/2021,99.39,4.33,0.38,-1.73,-2.37,100.0
07/15/2021,99.1,4.28,0.38,-1.58,-2.17,100.01
07/16/2021,99.17,4.14,0.37,-1.49,-2.2,99.99
07/19/2021,99.44,3.69,0.36,-1.42,-2.07,100.0
07/20/2021,98.37,4.43,0.36,-1.23,-1.94,99.99
07/21/2021,98.37,4.43,0.36,-1.23,-1.94,99.99
07/22/2021,98.09,5.22,0.36,-1.84,-1.83,100.0
07/23/2021,98.4,4.83,0.36,-1.64,-1.94,100.01
07/26/2021,98.55,4.14,0.35,-1.17,-1.88,99.99
07/27/2021,97.63,4.43,0.35,-1.28,-1.13,100.0
07/28/2021,97.63,4.43,0.35,-1.28,-1.13,100.0
07/29/2021,97.19,5.89,0.35,-2.12,-1.31,100.0
07/30/2021,95.86,7.25,0.34,-2.55,-0.9,100.0
08/02/2021,97.52,5.05,0.33,-1.66,-1.25,99.99
08/03/2021,97.1,5.73,0.33,-1.92,-1.24,100.0
08/04/2021,97.1,5.73,0.33,-1.92,-1.24,100.0
08/05/2021,97.56,4.98,0.32,-1.71,-1.16,99.99
08/06/2021,97.74,4.82,0.32,-1.66,-1.23,99.99
08/10/2021,97.23,4.87,0.31,-1.41,-1.0,100.0
08/11/2021,97.23,4.87,0.31,-1.41,-1.0,100.0
08/13/2021,97.86,4.36,0.31,-1.35,-1.19,99.99
08/16/2021,97.18,4.79,0.3,-1.39,-0.89,99.99
08/17/2021,96.89,4.6,0.3,-1.3,-0.49,100.0
08/18/2021,96.89,4.6,0.3,-1.3,-0.49,100.0
08/19/2021,96.63,4.94,0.3,-1.44,-0.43,100.0
08/20/2021,95.74,6.1,0.3,-1.62,-0.52,100.0
08/23/2021,94.65,7.59,0.29,-1.85,-0.68,100.0
08/24/2021,94.86,8.66,0.29,-3.54,-0.28,99.99
08/25/2021,94.86,8.66,0.29,-3.54,-0.28,99.99
08/26/2021,95.38,6.76,0.28,-1.84,-0.58,100.0
08/27/2021,96.61,5.53,0.28,-1.6,-0.82,100.0
08/30/2021,95.69,5.97,0.27,-1.45,-0.48,100.0
08/31/2021,97.07,5.05,0.27,-1.64,-0.75,100.0
09/01/2021,97.07,5.05,0.27,-1.64,-0.75,100.0
09/02/2021,96.98,4.84,0.26,-1.31,-0.78,99.99
09/03/2021,97.86,4.2,0.26,-1.31,-1.01,100.0
09/06/2021,98.36,3.87,0.25,-1.26,-1.23,99.99
09/07/2021,98.3,3.53,0.26,-1.02,-1.08,99.99
09/08/2021,98.3,3.53,0.26,-1.02,-1.08,99.99
09/09/2021,98.3,3.53,0.26,-1.02,-1.08,99.99
09/10/2021,99.11,2.78,0.26,-0.91,-1.23,100.01
09/13/2021,97.61,4.0,0.25,-1.01,-0.85,100.0
09/14/2021,97.7,4.04,0.25,-1.12,-0.88,99.99
09/15/2021,97.7,4.04,0.25,-1.12,-0.88,99.99
09/16/2021,97.88,3.98,0.24,-1.03,-1.07,100.0
09/17/2021,97.35,4.31,0.24,-1.04,-0.86,100.0
09/20/2021,96.85,4.92,0.23,-1.22,-0.79,99.99
09/21/2021,96.58,5.53,0.23,-1.73,-0.61,100.0
09/22/2021,96.58,5.53,0.23,-1.73,-0.61,100.0
