,US Dollar,WORK,NUAN,KNL,TLND,MXIM,ATH,XLNX,INFO,MGLN,PNM,PFPT,ORBC,AJRD,CLDR,PPD,GRA,CHNG,EBSB,HOME,CNST,SPWH,ICLR,INDB,CRM,MLHR,SPGI,AMD,APO,ADI,Us Dollars,SUM
07/09/2021,51.95,7.16,6.25,6.04,5.63,5.37,5.27,4.26,3.68,3.64,3.46,3.42,2.62,2.57,2.55,2.51,2.23,2.17,2.09,1.92,1.82,1.81,-0.01,-2.12,-3.09,-3.52,-3.8,-4.82,-5.53,-5.57,0.0,99.96
07/12/2021,52.0,7.18,6.26,5.97,5.65,5.27,5.12,4.03,3.68,3.66,3.46,3.44,2.61,2.55,2.51,2.51,2.25,2.16,2.1,1.92,1.83,1.82,-0.01,-2.13,-3.04,-3.44,-3.82,-4.66,-5.34,-5.53,0.0,100.01
07/13/2021,52.0,7.18,6.26,5.97,5.65,5.27,5.12,4.03,3.68,3.66,3.46,3.44,2.61,2.55,2.51,2.51,2.25,2.16,2.1,1.92,1.83,1.82,-0.01,-2.13,-3.04,-3.44,-3.82,-4.66,-5.34,-5.53,0.0,100.01
07/16/2021,0.0,7.11,6.28,5.97,5.65,5.3,4.99,3.98,3.62,3.66,3.46,3.43,2.61,2.53,2.49,2.51,2.24,2.12,2.08,1.92,1.83,1.82,-0.01,-2.1,-3.03,-3.45,-3.76,-4.63,-5.23,-5.56,52.16,99.99
07/19/2021,0.0,7.17,6.28,5.88,5.63,5.18,4.96,3.84,3.66,3.65,3.44,3.43,2.6,2.56,2.51,2.5,2.24,2.11,2.11,1.92,1.82,1.82,-0.01,-2.13,-2.94,-3.34,-3.77,-4.44,-5.16,-5.42,51.92,100.02
07/20/2021,0.0,7.31,6.4,5.88,5.73,5.18,4.83,3.87,3.75,3.71,3.51,3.49,2.65,2.61,2.56,2.55,2.27,2.17,2.11,1.96,0.0,1.85,-0.01,-2.13,-3.0,-3.28,-3.86,-4.46,-5.01,-5.4,52.78,100.02
07/21/2021,0.0,7.31,6.4,5.88,5.73,5.18,4.83,3.87,3.75,3.71,3.51,3.49,2.65,2.61,2.56,2.55,2.27,2.17,2.11,1.96,0.0,1.85,-0.01,-2.13,-3.0,-3.28,-3.86,-4.46,-5.01,-5.4,52.78,100.02
07/22/2021,56.15,7.24,6.27,0.0,5.63,5.03,4.69,3.82,3.64,3.64,3.44,3.43,2.6,2.57,2.51,2.5,2.23,2.13,2.03,1.92,0.0,1.81,-0.01,-2.03,-2.93,-0.02,-3.74,-4.41,-4.87,-5.25,0.0,100.02
08/02/2021,0.0,0.0,6.59,0.0,5.95,5.47,5.21,4.57,3.91,3.82,3.59,3.61,2.75,2.63,2.65,2.64,2.35,2.2,2.17,0.0,0.0,1.9,-0.01,-2.18,0.03,-0.02,-4.07,-5.52,-5.43,-5.78,60.96,99.99
08/03/2021,68.45,0.0,6.3,0.0,0.0,5.26,4.94,4.45,3.79,3.66,3.44,3.45,2.64,2.53,2.54,2.52,2.25,2.08,2.05,0.0,0.0,1.82,-0.01,-2.08,0.03,-0.02,-3.94,-5.45,-5.13,-5.56,0.0,100.00999999999999
