,BCPC,ARNC,FUL,KWR,LTHM,UFS,ATI,SCL,OI,TSE,IOSP,KALU,CRS,FOE,MTRN,SWM,USCR,KRA,GCP,NP,HCC,ASIX,MYE,KOP,CENX,GLT,HWKN,SXC,TMST,MERC,CLW,AVD,HAYN,RYAM,TG,ZEUS,FF,AGPXX,003000.KS,Cash/Receivables/Payables,AP4.SI,n/a,4300.SR,SLVM WI,SLVM,SUM
07/09/2021,7.94,6.35,6.18,5.81,5.28,4.84,4.84,4.78,4.72,4.14,4.12,3.53,3.43,3.35,2.86,2.3,2.26,2.21,2.09,1.63,1.6,1.51,1.42,1.26,1.18,1.18,1.17,1.07,0.95,0.91,0.91,0.89,0.84,0.83,0.64,0.49,0.46,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/12/2021,7.76,6.43,6.16,5.75,5.34,4.72,5.11,4.7,4.72,4.16,4.12,3.57,3.56,3.25,2.79,2.27,2.2,2.36,2.06,1.6,1.68,1.53,1.41,1.24,1.19,1.18,1.12,1.1,0.98,0.89,0.92,0.86,0.84,0.84,0.63,0.5,0.45,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,7.76,6.43,6.16,5.75,5.34,4.72,5.11,4.7,4.72,4.16,4.12,3.57,3.56,3.25,2.79,2.27,2.2,2.36,2.06,1.6,1.68,1.53,1.41,1.24,1.19,1.18,1.12,1.1,0.98,0.89,0.92,0.86,0.84,0.84,0.63,0.5,0.45,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,7.76,6.43,6.16,5.75,5.34,4.72,5.11,4.7,4.72,4.16,4.11,3.57,3.56,3.25,2.79,2.27,2.2,2.36,2.06,1.6,1.68,1.53,1.41,1.24,1.19,1.18,1.12,1.1,0.98,0.89,0.92,0.86,0.84,0.84,0.62,0.5,0.45,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,7.76,6.38,6.14,5.7,5.63,4.7,5.09,4.68,4.64,4.16,4.12,3.58,3.52,3.25,2.78,2.27,2.19,2.38,2.06,1.59,1.7,1.55,1.4,1.23,1.16,1.19,1.13,1.08,0.98,0.89,0.92,0.86,0.84,0.85,0.63,0.5,0.45,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,7.81,6.23,6.17,5.76,5.44,4.79,5.01,4.73,4.67,4.18,4.14,3.57,3.47,3.29,2.8,2.28,2.24,2.37,2.06,1.6,1.68,1.57,1.42,1.24,1.14,1.18,1.13,1.09,0.98,0.9,0.92,0.87,0.84,0.84,0.64,0.5,0.45,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,7.92,6.1,6.27,5.7,5.44,4.84,5.0,4.75,4.59,4.03,4.21,3.5,3.49,3.31,2.81,2.29,2.25,2.25,2.09,1.57,1.72,1.62,1.44,1.24,1.15,1.19,1.13,1.08,0.99,0.92,0.92,0.88,0.85,0.83,0.65,0.52,0.45,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,8.07,6.18,6.31,5.79,5.04,4.95,4.9,4.87,4.55,3.88,4.21,3.52,3.45,3.39,2.79,2.31,2.29,2.3,2.1,1.6,1.71,1.6,1.45,1.21,1.13,1.22,1.14,1.07,0.95,0.9,0.95,0.89,0.88,0.82,0.65,0.51,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/21/2021,8.07,6.18,6.31,5.79,5.04,4.95,4.9,4.87,4.55,3.88,4.21,3.52,3.45,3.39,2.79,2.31,2.29,2.3,2.1,1.6,1.71,1.6,1.45,1.21,1.13,1.22,1.14,1.07,0.95,0.9,0.95,0.89,0.88,0.82,0.65,0.51,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/22/2021,8.07,6.18,6.31,5.79,5.04,4.95,4.9,4.87,4.55,3.88,4.21,3.52,3.45,3.39,2.79,2.31,2.29,2.3,2.1,1.6,1.71,1.6,1.45,1.21,1.13,1.22,1.14,1.07,0.95,0.9,0.95,0.89,0.88,0.82,0.65,0.51,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/23/2021,8.16,6.13,6.27,5.92,5.22,4.98,4.84,4.89,4.44,3.86,4.16,3.51,3.49,3.38,2.76,2.31,2.31,2.31,2.1,1.59,1.69,1.59,1.45,1.23,1.16,1.2,1.16,1.04,0.94,0.89,0.94,0.89,0.87,0.77,0.63,0.51,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/27/2021,8.14,6.21,6.26,6.04,5.3,4.95,4.8,4.79,4.32,3.88,4.1,3.51,3.5,3.34,2.7,2.27,2.28,2.32,2.07,1.57,1.75,1.62,1.48,1.24,1.21,1.21,1.16,1.07,0.94,0.88,0.94,0.88,0.89,0.79,0.63,0.51,0.43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/28/2021,8.14,6.21,6.26,6.04,5.3,4.95,4.8,4.79,4.32,3.88,4.1,3.51,3.5,3.34,2.7,2.27,2.28,2.32,2.07,1.57,1.75,1.62,1.48,1.24,1.21,1.21,1.16,1.07,0.94,0.88,0.94,0.88,0.89,0.79,0.63,0.51,0.43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/29/2021,8.06,6.31,6.25,5.93,5.29,4.88,4.89,4.76,4.27,3.95,4.06,3.63,3.53,3.27,2.69,2.26,2.24,2.29,2.07,1.57,1.75,1.63,1.48,1.25,1.26,1.23,1.15,1.08,0.97,0.88,0.94,0.87,0.91,0.83,0.64,0.52,0.43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/30/2021,8.11,6.26,6.29,6.02,5.14,4.91,4.92,4.78,4.28,3.9,4.09,3.59,3.49,3.28,2.67,2.25,2.25,2.24,2.07,1.57,1.75,1.68,1.47,1.24,1.3,1.23,1.15,1.08,0.96,0.88,0.95,0.87,0.93,0.83,0.64,0.51,0.42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,7.94,6.6,6.15,6.07,5.24,4.74,4.94,4.61,4.22,3.91,4.04,3.64,3.53,3.2,2.69,2.26,2.17,2.3,2.07,1.55,1.84,1.71,1.44,1.22,1.35,1.24,1.14,1.22,0.97,0.88,0.92,0.84,0.95,0.83,0.63,0.52,0.41,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,8.03,6.46,6.2,6.11,5.28,4.76,4.79,4.63,4.29,3.92,4.05,3.59,3.41,3.2,2.71,2.3,2.18,2.28,2.09,1.57,1.78,1.75,1.43,1.22,1.37,1.27,1.29,1.2,0.96,0.86,0.92,0.84,0.89,0.83,0.63,0.51,0.41,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/04/2021,8.03,6.46,6.2,6.11,5.28,4.76,4.79,4.63,4.29,3.92,4.05,3.59,3.41,3.2,2.71,2.3,2.18,2.28,2.09,1.57,1.78,1.75,1.43,1.22,1.37,1.27,1.29,1.2,0.96,0.86,0.92,0.84,0.89,0.83,0.63,0.51,0.41,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/05/2021,7.97,6.4,6.15,6.12,5.46,4.79,4.64,4.69,4.43,3.86,4.07,3.57,3.41,3.21,2.7,2.28,2.2,2.27,2.12,1.56,1.85,1.77,1.43,1.22,1.36,1.26,1.26,1.17,0.93,0.86,0.91,0.83,0.88,0.84,0.63,0.5,0.41,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/09/2021,8.05,6.05,6.3,6.23,5.62,4.84,4.58,4.68,4.38,3.69,4.04,3.61,3.31,3.22,2.81,2.33,2.24,2.31,2.19,1.51,1.86,1.89,1.47,1.23,1.05,1.3,1.28,1.12,0.95,0.86,0.94,0.79,0.89,0.79,0.63,0.53,0.42,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
