,BCPC,ARNC,FUL,KWR,LTHM,UFS,ATI,SCL,OI,TSE,IOSP,KALU,CRS,FOE,MTRN,SWM,USCR,KRA,GCP,NP,HCC,ASIX,MYE,KOP,CENX,GLT,HWKN,SXC,TMST,MERC,CLW,AVD,HAYN,RYAM,TG,ZEUS,FF,AGPXX,003000.KS,Cash/Receivables/Payables,AP4.SI,SUM
07/09/2021,7.94,6.35,6.18,5.81,5.28,4.84,4.84,4.78,4.72,4.14,4.12,3.53,3.43,3.35,2.86,2.3,2.26,2.21,2.09,1.63,1.6,1.51,1.42,1.26,1.18,1.18,1.17,1.07,0.95,0.91,0.91,0.89,0.84,0.83,0.64,0.49,0.46,0.02,0.0,0.0,0.0,99.98999999999998
07/12/2021,7.76,6.43,6.16,5.75,5.34,4.72,5.11,4.7,4.72,4.16,4.12,3.57,3.56,3.25,2.79,2.27,2.2,2.36,2.06,1.6,1.68,1.53,1.41,1.24,1.19,1.18,1.12,1.1,0.98,0.89,0.92,0.86,0.84,0.84,0.63,0.5,0.45,0.03,0.0,0.0,0.0,100.02
07/13/2021,7.76,6.43,6.16,5.75,5.34,4.72,5.11,4.7,4.72,4.16,4.12,3.57,3.56,3.25,2.79,2.27,2.2,2.36,2.06,1.6,1.68,1.53,1.41,1.24,1.19,1.18,1.12,1.1,0.98,0.89,0.92,0.86,0.84,0.84,0.63,0.5,0.45,0.03,0.0,0.0,0.0,100.02
07/14/2021,7.76,6.43,6.16,5.75,5.34,4.72,5.11,4.7,4.72,4.16,4.11,3.57,3.56,3.25,2.79,2.27,2.2,2.36,2.06,1.6,1.68,1.53,1.41,1.24,1.19,1.18,1.12,1.1,0.98,0.89,0.92,0.86,0.84,0.84,0.62,0.5,0.45,0.03,0.0,0.0,0.0,100.0
07/15/2021,7.76,6.38,6.14,5.7,5.63,4.7,5.09,4.68,4.64,4.16,4.12,3.58,3.52,3.25,2.78,2.27,2.19,2.38,2.06,1.59,1.7,1.55,1.4,1.23,1.16,1.19,1.13,1.08,0.98,0.89,0.92,0.86,0.84,0.85,0.63,0.5,0.45,0.03,0.0,0.0,0.0,100.01
07/16/2021,7.81,6.23,6.17,5.76,5.44,4.79,5.01,4.73,4.67,4.18,4.14,3.57,3.47,3.29,2.8,2.28,2.24,2.37,2.06,1.6,1.68,1.57,1.42,1.24,1.14,1.18,1.13,1.09,0.98,0.9,0.92,0.87,0.84,0.84,0.64,0.5,0.45,0.03,0.0,0.0,0.0,100.03
07/19/2021,7.92,6.1,6.27,5.7,5.44,4.84,5.0,4.75,4.59,4.03,4.21,3.5,3.49,3.31,2.81,2.29,2.25,2.25,2.09,1.57,1.72,1.62,1.44,1.24,1.15,1.19,1.13,1.08,0.99,0.92,0.92,0.88,0.85,0.83,0.65,0.52,0.45,0.03,0.0,0.0,0.0,100.02
07/20/2021,8.07,6.18,6.31,5.79,5.04,4.95,4.9,4.87,4.55,3.88,4.21,3.52,3.45,3.39,2.79,2.31,2.29,2.3,2.1,1.6,1.71,1.6,1.45,1.21,1.13,1.22,1.14,1.07,0.95,0.9,0.95,0.89,0.88,0.82,0.65,0.51,0.45,0.0,0.0,0.0,0.0,100.03
07/21/2021,8.07,6.18,6.31,5.79,5.04,4.95,4.9,4.87,4.55,3.88,4.21,3.52,3.45,3.39,2.79,2.31,2.29,2.3,2.1,1.6,1.71,1.6,1.45,1.21,1.13,1.22,1.14,1.07,0.95,0.9,0.95,0.89,0.88,0.82,0.65,0.51,0.45,0.0,0.0,0.0,0.0,100.03
07/22/2021,8.07,6.18,6.31,5.79,5.04,4.95,4.9,4.87,4.55,3.88,4.21,3.52,3.45,3.39,2.79,2.31,2.29,2.3,2.1,1.6,1.71,1.6,1.45,1.21,1.13,1.22,1.14,1.07,0.95,0.9,0.95,0.89,0.88,0.82,0.65,0.51,0.45,0.0,0.0,0.0,0.0,100.03
