,LIN GR,SAP.DE,SIE.DE,ALV.DE,DAI.DE,BAS.DE,DTE.DE,DPW.DE,ADS.DE,BAYN.DE,IFX.DE,VOW3.DE,MUV2.DE,VNA.DE,BMW.DE,DB1.DE,DHER.DE,DBK.DE,MRK.DE,RWE.DE,EOAN.DE,FRE.DE,DWNI.DE,HEN3.DE,FME.DE,CON.DE,ENR.DE,MTX.DE,HEI.DE,1COV.DE,CASH,LIN,4165.T,Cash,SUM
07/09/2021,10.16,10.14,8.29,7.26,5.11,5.04,4.78,4.77,4.7,4.14,3.6,3.09,2.69,2.55,2.3,2.26,1.87,1.82,1.78,1.76,1.72,1.5,1.28,1.28,1.12,1.07,1.06,0.93,0.88,0.86,0.22,0.0,0.0,0.0,100.03
07/12/2021,10.14,10.44,8.26,7.18,4.98,5.05,4.8,4.74,4.75,4.16,3.54,3.07,2.64,2.55,2.27,2.23,1.92,1.76,1.82,1.76,1.75,1.5,1.29,1.27,1.14,1.05,1.03,0.92,0.89,0.87,0.22,0.0,0.0,0.0,99.99
07/13/2021,10.14,10.44,8.26,7.18,4.98,5.05,4.8,4.74,4.75,4.16,3.54,3.07,2.64,2.55,2.27,2.23,1.92,1.76,1.82,1.76,1.75,1.5,1.29,1.27,1.14,1.05,1.03,0.92,0.89,0.87,0.22,0.0,0.0,0.0,99.99
07/14/2021,10.18,10.39,8.23,7.21,5.05,5.14,4.77,4.72,4.75,4.11,3.54,3.2,2.66,2.56,2.32,2.19,1.84,1.78,1.8,1.73,1.73,1.5,1.27,1.26,1.12,1.04,1.0,0.94,0.9,0.88,0.21,0.0,0.0,0.0,100.02
07/15/2021,10.14,10.41,8.22,7.16,5.04,5.11,4.81,4.72,4.75,4.07,3.5,3.26,2.65,2.58,2.33,2.2,1.89,1.79,1.79,1.76,1.73,1.51,1.26,1.24,1.13,1.03,1.01,0.91,0.88,0.88,0.21,0.0,0.0,0.0,99.96999999999996
07/16/2021,10.07,10.53,8.3,7.17,5.02,5.1,4.85,4.7,4.76,4.07,3.51,3.22,2.64,2.57,2.32,2.21,1.9,1.75,1.81,1.74,1.73,1.51,1.25,1.24,1.14,1.03,1.01,0.9,0.89,0.89,0.21,0.0,0.0,0.0,100.04
07/19/2021,10.25,10.49,8.1,7.2,5.09,5.11,4.85,4.73,4.72,4.1,3.51,3.18,2.65,2.57,2.32,2.19,1.9,1.77,1.82,1.7,1.76,1.52,1.27,1.24,1.14,1.03,0.89,0.9,0.89,0.91,0.21,0.0,0.0,0.0,100.01
07/20/2021,10.25,10.49,8.1,7.2,5.09,5.11,4.85,4.73,4.72,4.1,3.51,3.18,2.65,2.57,2.32,2.19,1.9,1.77,1.82,1.7,1.76,1.52,1.27,1.24,1.14,1.03,0.89,0.9,0.89,0.91,0.21,0.0,0.0,0.0,100.01
07/21/2021,10.27,10.55,8.1,7.17,5.01,5.11,4.91,4.75,4.69,4.13,3.43,3.16,2.65,2.62,2.28,2.19,1.9,1.75,1.83,1.69,1.79,1.53,1.28,1.25,1.15,1.02,0.89,0.91,0.88,0.9,0.2,0.0,0.0,0.0,99.99
07/22/2021,10.32,10.6,8.1,7.09,5.0,5.05,4.82,4.79,4.72,4.14,3.42,3.15,2.59,2.66,2.26,2.24,1.94,1.74,1.86,1.67,1.8,1.54,1.32,1.27,1.16,1.02,0.89,0.88,0.88,0.88,0.21,0.0,0.0,0.0,100.00999999999998
07/23/2021,10.47,10.43,8.12,7.13,5.0,5.09,4.79,4.8,4.69,4.18,3.42,3.16,2.62,2.64,2.26,2.22,1.92,1.76,1.84,1.64,1.79,1.53,1.31,1.27,1.14,1.03,0.88,0.89,0.89,0.89,0.21,0.0,0.0,0.0,100.01
