,SDY,XLK,XLY,XLU,XLP,PFF,HYG,Invesco Financial Preferred ETF,LQD,TLT,Invesco Govt Agency Instl 1901,GTES,Cash,BLV,BIV,BND,VGT,PFFD,VOO,QQQ,VHT,VOX,Vanguard Extended Market ETF,VXF,SUM
07/09/2021,11.09,10.95,10.74,9.88,9.86,9.77,9.63,9.54,9.23,8.65,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,10.92,10.92,10.7,9.93,9.81,9.73,9.58,9.52,9.28,8.85,0.0,0.72,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,10.92,10.92,10.7,9.93,9.81,9.73,9.58,9.52,9.28,8.85,0.0,0.72,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,11.05,11.0,10.77,9.92,9.84,9.73,9.57,9.51,9.21,8.7,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,11.06,10.99,10.83,9.94,9.81,9.73,9.56,9.49,9.2,8.68,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,11.03,11.12,10.78,9.94,9.89,9.75,9.6,9.52,9.23,8.67,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,10.01,9.95,9.95,9.89,9.88,9.87,9.87,9.8,9.76,9.6,0.0,100.0
07/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10.16,10.11,10.1,9.96,10.01,9.95,9.95,10.0,9.84,0.0,9.67,100.0
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10.16,10.11,10.1,9.96,10.01,9.95,9.95,10.0,9.84,0.0,9.67,100.0
07/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10.16,10.11,10.1,9.96,10.01,9.95,9.95,10.0,9.84,0.0,9.67,100.0
07/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10.35,10.22,10.2,9.89,10.01,9.84,9.91,9.97,9.74,0.0,9.62,100.0
07/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10.13,10.04,10.03,10.06,9.88,9.94,10.01,10.03,9.84,0.0,9.8,100.01
