,WMT,AMZN,AAPL,UNH,CVS,BRK.B,MCK,COST,ABC,XOM,MSFT,T,CI,CAH,HD,JPM,KR,VZ,ANTM,F,CNC,WBA,GM,CMCSA,TGT,GOOGL,GOOG,FB,LOW,CVX,UPS,BAC,JNJ,HUM,WFC,FDX,TMUS,PG,INTC,C,PEP,GE,MPC,IBM,LMT,ADM,HPQ,GS,PSX,MET,VLO,RTX,PRU,DIS,MS,BA,HCA,CHTR,ABBV,PFE,ACN,BBY,CSCO,ALL,PGR,NKE,MRK,BMY,CAT,SYY,TSN,DE,ABT,TMO,ORCL,AIG,TJX,TSLA,AXP,GD,DOW,CB,NOC,DG,EXC,KO,MMM,HON,TRV,MDT,QCOM,COF,NFLX,PM,DHR,LIN,VIAC,LLY,LYB,MDLZ,AVGO,GILD,DLTR,AMGN,LEN,HPE,DHI,PYPL,SBUX,KHC,MU,DUK,CRM,COP,CBRE,TFC,JCI,NVDA,USB,V,AFL,KMX,SO,AMAT,WHR,CDW,CMI,HIG,KMB,IP,UNP,MO,BDX,MCD,CARR,SLB,NUE,SHW,NEE,BLK,OXY,LUMN,PCAR,ETN,MMC,DD,GIS,LHX,DISH,BKR,PNC,EMR,DXC,GPC,LH,NRG,CL,CTSH,LNC,ROST,CHRW,WM,MA,SWK,AZO,WRK,GPS,EL,TXN,BK,AEP,SYK,ADBE,WDC,ADP,FISV,LB,CTVA,D,APTV,KMI,PPG,FCX,PH,K,EIX,SCHW,OTIS,ORLY,AMD,TEL,LRCX,TT,J,PFG,FIS,L,OMC,IQV,VTRS,ITW,BLL,DFS,LDOS,ED,EBAY,GE.,AMP,TXT,DVA,AON,BBWI WI,AMCR,PWR,BBWI,DGX,TSCO,AAL,DAL,EOG,UAL,BWA,HAL,AGPXX,OKE,PXD,SUM
07/09/2021,4.49,3.69,2.91,2.18,2.07,1.93,1.85,1.56,1.52,1.44,1.38,1.37,1.27,1.21,1.17,1.06,1.03,1.02,1.0,0.98,0.96,0.96,0.92,0.85,0.83,0.82,0.82,0.81,0.77,0.75,0.75,0.74,0.69,0.69,0.66,0.63,0.62,0.61,0.6,0.6,0.58,0.57,0.54,0.54,0.52,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.43,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.91
07/12/2021,4.47,3.71,2.96,2.17,2.05,1.94,1.84,1.61,1.5,1.43,1.37,1.34,1.26,1.2,1.17,1.06,1.04,1.01,1.01,0.97,0.95,0.95,0.93,0.85,0.84,0.81,0.81,0.8,0.77,0.74,0.75,0.73,0.69,0.69,0.66,0.63,0.62,0.61,0.6,0.6,0.58,0.58,0.54,0.55,0.52,0.5,0.49,0.48,0.47,0.48,0.45,0.47,0.46,0.46,0.44,0.44,0.43,0.42,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.34,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.89000000000001
07/13/2021,4.47,3.71,2.96,2.17,2.05,1.94,1.84,1.61,1.5,1.43,1.37,1.34,1.26,1.2,1.17,1.06,1.04,1.01,1.01,0.97,0.95,0.95,0.93,0.85,0.84,0.81,0.81,0.8,0.77,0.74,0.75,0.73,0.69,0.69,0.66,0.63,0.62,0.61,0.6,0.6,0.58,0.58,0.54,0.55,0.52,0.5,0.49,0.48,0.47,0.48,0.45,0.47,0.46,0.46,0.44,0.44,0.43,0.42,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.34,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.89000000000001
07/14/2021,4.47,3.71,2.96,2.17,2.05,1.94,1.84,1.61,1.5,1.43,1.37,1.34,1.26,1.2,1.17,1.06,1.04,1.01,1.01,0.97,0.95,0.95,0.93,0.85,0.84,0.81,0.81,0.8,0.77,0.74,0.75,0.73,0.69,0.69,0.66,0.63,0.62,0.61,0.6,0.6,0.58,0.58,0.54,0.55,0.52,0.5,0.49,0.48,0.47,0.48,0.45,0.47,0.46,0.46,0.44,0.44,0.43,0.42,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.34,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.89000000000001
07/15/2021,4.45,3.7,2.93,2.18,2.06,1.93,1.84,1.58,1.5,1.43,1.37,1.33,1.26,1.21,1.16,1.08,1.04,1.01,1.02,0.98,0.97,0.95,0.93,0.85,0.85,0.82,0.81,0.8,0.77,0.74,0.75,0.74,0.69,0.69,0.66,0.63,0.62,0.61,0.61,0.61,0.57,0.58,0.53,0.55,0.51,0.49,0.47,0.49,0.47,0.48,0.45,0.47,0.46,0.48,0.46,0.43,0.44,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.34,0.34,0.33,0.32,0.33,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.93
07/16/2021,4.49,3.68,2.98,2.21,2.07,1.94,1.84,1.59,1.5,1.43,1.39,1.33,1.27,1.21,1.15,1.07,1.04,1.01,1.03,0.97,0.97,0.95,0.93,0.85,0.85,0.83,0.82,0.8,0.77,0.74,0.74,0.73,0.69,0.69,0.65,0.64,0.63,0.61,0.61,0.6,0.59,0.57,0.53,0.55,0.51,0.49,0.46,0.49,0.47,0.48,0.44,0.47,0.46,0.48,0.46,0.42,0.44,0.4,0.41,0.4,0.4,0.39,0.38,0.38,0.37,0.38,0.37,0.34,0.34,0.32,0.32,0.33,0.32,0.32,0.33,0.31,0.31,0.32,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.94000000000001
07/19/2021,4.54,3.64,3.04,2.22,2.08,1.94,1.85,1.61,1.48,1.39,1.4,1.34,1.27,1.2,1.18,1.07,1.07,1.02,1.03,0.95,0.95,0.93,0.91,0.85,0.85,0.83,0.82,0.79,0.78,0.73,0.75,0.71,0.69,0.71,0.68,0.63,0.63,0.62,0.6,0.61,0.6,0.57,0.5,0.55,0.52,0.49,0.46,0.49,0.44,0.48,0.42,0.46,0.46,0.48,0.46,0.41,0.44,0.4,0.41,0.4,0.4,0.4,0.38,0.37,0.36,0.38,0.37,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.31,0.29,0.29,0.28,0.27,0.26,0.27,0.26,0.24,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.2,0.18,0.17,0.18,0.19,0.19,0.16,0.19,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.13,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.96000000000001
07/20/2021,4.57,3.61,3.02,2.24,2.09,1.95,1.86,1.62,1.49,1.36,1.41,1.35,1.27,1.21,1.18,1.05,1.09,1.03,1.03,0.93,0.95,0.93,0.89,0.85,0.85,0.83,0.83,0.79,0.78,0.71,0.75,0.7,0.69,0.72,0.68,0.63,0.64,0.63,0.6,0.6,0.61,0.56,0.49,0.55,0.52,0.49,0.45,0.48,0.43,0.47,0.41,0.46,0.46,0.47,0.45,0.4,0.44,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.38,0.38,0.35,0.33,0.32,0.32,0.32,0.32,0.32,0.34,0.32,0.31,0.31,0.31,0.31,0.29,0.31,0.29,0.29,0.28,0.27,0.26,0.27,0.26,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.2,0.21,0.21,0.22,0.21,0.21,0.2,0.21,0.19,0.2,0.19,0.2,0.2,0.19,0.18,0.2,0.18,0.17,0.18,0.18,0.19,0.16,0.18,0.18,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.14,0.15,0.16,0.15,0.15,0.13,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.87000000000002
07/21/2021,4.57,3.61,3.02,2.24,2.09,1.95,1.86,1.62,1.49,1.36,1.41,1.35,1.27,1.21,1.18,1.05,1.09,1.03,1.03,0.93,0.95,0.93,0.89,0.85,0.86,0.83,0.83,0.79,0.78,0.71,0.75,0.7,0.69,0.72,0.68,0.63,0.64,0.63,0.6,0.6,0.61,0.56,0.5,0.55,0.52,0.49,0.45,0.48,0.43,0.47,0.41,0.46,0.46,0.48,0.46,0.4,0.44,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.38,0.38,0.35,0.33,0.32,0.32,0.32,0.32,0.32,0.34,0.32,0.31,0.31,0.31,0.31,0.29,0.31,0.29,0.29,0.28,0.27,0.26,0.27,0.26,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.2,0.18,0.17,0.18,0.18,0.19,0.16,0.18,0.18,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.14,0.15,0.16,0.15,0.15,0.13,0.14,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.0,0.11,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.97
07/22/2021,4.57,3.61,3.02,2.24,2.09,1.95,1.86,1.62,1.49,1.36,1.41,1.35,1.27,1.21,1.18,1.05,1.09,1.03,1.03,0.93,0.95,0.93,0.89,0.85,0.85,0.83,0.83,0.79,0.78,0.71,0.75,0.7,0.69,0.72,0.68,0.63,0.64,0.63,0.6,0.6,0.61,0.56,0.49,0.55,0.52,0.49,0.45,0.48,0.43,0.47,0.41,0.46,0.46,0.47,0.45,0.4,0.44,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.38,0.38,0.35,0.33,0.32,0.32,0.32,0.32,0.32,0.34,0.32,0.31,0.31,0.31,0.31,0.29,0.31,0.29,0.29,0.28,0.27,0.26,0.27,0.26,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.2,0.21,0.21,0.22,0.21,0.21,0.2,0.21,0.19,0.2,0.19,0.2,0.2,0.19,0.18,0.2,0.18,0.17,0.18,0.18,0.19,0.16,0.18,0.18,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.14,0.15,0.16,0.15,0.15,0.13,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.87000000000002
