,VALE,RIO,MT,NUE,PKX,TX,SID,CLF,STLD,VEDL,GGB,X,TS,RS,CMC,WOR,ATI,ROCK,CRS,SCHN,HCC,TMST,SXC,RYI,ZEUS,ZK International Group Co Ltd,Us Dollar,PTBL.TA,n/a,SAR.AX,GVMXX,ZKIN,0A7W.L,HUDI,SUM
07/09/2021,15.46,14.6,7.32,6.57,6.06,5.18,4.83,4.56,4.44,4.41,4.4,4.37,4.33,4.26,1.86,1.61,1.33,1.26,0.94,0.67,0.44,0.32,0.3,0.28,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,15.25,14.89,7.11,6.58,6.01,5.51,4.83,4.41,4.52,4.6,4.37,4.2,4.14,4.26,1.87,1.61,1.38,1.26,0.95,0.69,0.47,0.31,0.29,0.28,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,15.25,14.89,7.11,6.58,6.01,5.51,4.83,4.41,4.52,4.6,4.37,4.2,4.14,4.26,1.87,1.61,1.38,1.26,0.95,0.69,0.47,0.31,0.29,0.28,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,15.3,14.9,7.19,6.56,5.9,5.51,4.62,4.56,4.46,4.59,4.29,4.42,4.16,4.2,1.87,1.62,1.39,1.23,0.96,0.71,0.45,0.31,0.29,0.27,0.16,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,15.3,14.9,7.19,6.56,5.9,5.51,4.62,4.56,4.46,4.59,4.29,4.42,4.16,4.2,1.87,1.62,1.39,1.23,0.96,0.71,0.45,0.31,0.29,0.27,0.16,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,15.3,14.9,7.19,6.56,5.9,5.51,4.62,4.56,4.46,4.59,4.29,4.42,4.16,4.2,1.87,1.62,1.39,1.23,0.96,0.71,0.45,0.31,0.29,0.27,0.16,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,15.43,14.99,7.2,6.46,5.94,5.83,4.87,4.39,4.48,4.48,4.38,4.19,3.96,4.2,1.85,1.64,1.33,1.17,0.92,0.7,0.45,0.31,0.28,0.28,0.17,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,15.59,14.85,7.05,6.43,5.97,5.91,4.86,4.18,4.5,4.6,4.45,4.08,4.02,4.26,1.87,1.63,1.32,1.2,0.91,0.72,0.45,0.3,0.28,0.28,0.16,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,15.59,14.85,7.05,6.43,5.97,5.91,4.86,4.18,4.5,4.6,4.45,4.08,4.02,4.26,1.87,1.63,1.32,1.2,0.91,0.72,0.45,0.3,0.28,0.28,0.16,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,15.59,14.85,7.05,6.43,5.97,5.91,4.86,4.18,4.5,4.6,4.45,4.08,4.02,4.26,1.87,1.63,1.32,1.2,0.91,0.72,0.45,0.3,0.28,0.28,0.16,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,15.59,14.85,7.05,6.43,5.97,5.91,4.86,4.18,4.5,4.6,4.45,4.08,4.02,4.26,1.87,1.63,1.32,1.2,0.91,0.72,0.45,0.3,0.28,0.28,0.16,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,15.32,14.55,7.5,6.48,5.97,6.0,4.83,4.36,4.39,4.47,4.47,4.24,3.96,4.25,1.88,1.64,1.28,1.19,0.92,0.69,0.46,0.29,0.27,0.28,0.16,0.04,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,15.17,14.53,7.5,6.45,6.08,6.15,4.77,4.42,4.34,4.52,4.44,4.22,3.97,4.25,1.87,1.64,1.27,1.19,0.91,0.7,0.46,0.29,0.28,0.28,0.16,0.04,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,15.17,14.53,7.5,6.45,6.08,6.15,4.77,4.42,4.34,4.52,4.44,4.22,3.97,4.25,1.87,1.64,1.27,1.19,0.91,0.7,0.46,0.29,0.28,0.28,0.16,0.04,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,15.09,14.63,7.62,6.47,5.97,6.17,4.82,4.37,4.34,4.55,4.48,4.26,3.96,4.18,1.87,1.62,1.27,1.15,0.9,0.69,0.45,0.3,0.27,0.27,0.16,0.04,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,15.05,14.27,7.7,6.61,6.12,6.24,4.82,4.48,4.41,4.34,4.41,4.27,3.97,4.22,1.88,1.62,1.29,1.15,0.9,0.68,0.45,0.29,0.28,0.27,0.16,0.04,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/02/2021,15.24,14.61,7.7,6.53,6.06,6.15,4.66,4.64,4.32,4.39,4.35,4.3,3.91,4.14,1.86,1.6,1.24,1.15,0.89,0.66,0.45,0.29,0.27,0.27,0.16,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/03/2021,15.24,14.61,7.7,6.53,6.06,6.15,4.66,4.64,4.32,4.39,4.35,4.3,3.91,4.14,1.86,1.6,1.24,1.15,0.89,0.66,0.45,0.29,0.27,0.27,0.16,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/04/2021,15.24,14.61,7.7,6.53,6.06,6.15,4.66,4.64,4.32,4.39,4.35,4.3,3.91,4.14,1.86,1.6,1.24,1.15,0.89,0.66,0.45,0.29,0.27,0.27,0.16,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/05/2021,15.24,14.61,7.7,6.53,6.06,6.15,4.66,4.64,4.32,4.39,4.35,4.3,3.91,4.14,1.86,1.6,1.24,1.15,0.89,0.66,0.45,0.29,0.27,0.27,0.16,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.97
