,VACN.SW,LOGN.SW,ABBN.SW,KNIN.SW,SIGN.SW,SCMN.SW,SPSN.SW,DUFN.SW,Sika AG (Registered),SFSN.SW,BKW.SW,BAER.SW,BUCN.SW,UBSG.SW,Holcim Ltd.,BANB.SW,PGHN.SW,ROG.SW,CSGN.SW,SLHN.SW,Helvetia Holding AG,VONN.SW,PSPN.SW,Compagnie Financiere Richemont S.A.,SWON.SW,NESN.SW,TECN.SW,EMMN.SW,SREN.SW,CLN.SW,ZURN.SW,BALN.SW,STMN.SW,FI-N.SW,LONN.SW,Chocoladefabriken Lindt & Spruengli AG (Participation Certificates),BARN.SW,NOVN.SW,Vifor Pharma AG,BCVN.SW,US Dollar,SIKA.SW,HOLN.SW,HELN.SW,RITN.,LISP.SW,VIFN.SW,Us Dollars,SUN.SW,GEBN.SW,SOON.SW,DAE.SW,UHR.SW,GIVN.SW,018000.KQ,n/a,CFR.SW,MEDX.SW,SUM
07/09/2021,5.11,4.83,4.66,4.58,4.34,4.03,3.9,3.7,3.65,3.6,3.55,3.44,3.42,3.25,3.21,3.18,2.99,2.48,2.4,2.39,2.32,2.27,2.19,2.0,1.83,1.6,1.58,1.52,1.44,1.42,1.41,1.33,1.05,0.86,0.85,0.77,0.76,0.73,0.64,0.62,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,5.23,4.84,4.81,4.54,4.36,4.06,3.94,3.53,3.7,3.66,3.56,3.27,3.45,3.17,3.19,3.11,2.96,2.48,2.33,2.39,2.34,2.27,2.26,2.0,1.81,1.6,1.58,1.52,1.46,1.44,1.41,1.33,1.08,0.89,0.85,0.79,0.76,0.73,0.65,0.61,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,5.23,4.84,4.81,4.54,4.36,4.06,3.94,3.53,3.7,3.66,3.56,3.27,3.45,3.17,3.19,3.11,2.96,2.48,2.33,2.39,2.34,2.27,2.26,2.0,1.81,1.6,1.58,1.52,1.46,1.44,1.41,1.33,1.08,0.89,0.85,0.79,0.76,0.73,0.65,0.61,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,5.23,4.84,4.81,4.54,4.36,4.06,3.94,3.52,0.0,3.65,3.56,3.27,3.45,3.18,0.0,3.11,2.97,2.48,2.33,2.39,0.0,2.26,2.26,0.0,1.81,1.6,1.58,1.52,1.46,1.44,1.42,1.33,1.08,0.89,0.85,0.0,0.76,0.73,0.0,0.61,0.0,3.7,3.19,2.34,2.0,0.79,0.64,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,5.28,4.79,4.76,4.57,4.42,4.07,3.98,3.43,0.0,3.62,3.56,3.29,3.44,3.17,0.0,3.15,3.01,2.48,2.33,2.38,0.0,2.28,2.28,0.0,1.81,1.59,1.59,1.51,1.46,1.43,1.41,1.32,1.09,0.88,0.85,0.0,0.75,0.73,0.0,0.61,0.0,3.69,3.17,2.32,2.01,0.79,0.65,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,5.34,4.7,4.76,4.57,4.46,4.08,3.99,3.38,0.0,3.65,3.56,3.31,3.42,3.17,0.0,3.12,3.0,2.48,2.29,2.38,0.0,2.34,2.29,0.0,1.83,1.59,1.57,1.52,1.47,1.43,1.41,1.32,1.1,0.89,0.84,0.0,0.76,0.73,0.0,0.61,0.0,3.7,3.16,2.31,2.01,0.79,0.64,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,3.56,4.05,3.43,4.15,3.31,4.19,4.24,0.0,0.0,2.48,4.16,1.59,0.0,3.21,0.0,4.28,0.84,1.68,3.07,2.48,0.0,1.72,3.4,0.0,0.0,0.82,0.85,0.84,0.0,4.18,1.61,2.47,2.7,0.85,0.0,0.0,0.85,1.64,0.0,0.8,0.0,2.55,3.17,2.47,3.3,0.0,0.83,0.03,4.15,2.57,2.46,1.69,1.67,1.67,0.0,0.0,0.0,0.0,100.01
07/20/2021,3.44,3.91,3.32,3.98,3.21,4.14,4.16,0.0,0.0,2.4,4.06,1.53,0.0,3.12,0.0,4.17,0.84,1.65,2.98,2.41,0.0,1.69,3.36,0.0,0.0,0.81,0.82,0.84,0.0,4.09,1.57,2.39,2.63,0.82,0.0,0.0,0.84,1.61,0.0,0.78,0.0,2.49,3.04,2.39,3.19,0.0,0.82,-0.04,3.99,2.5,2.37,1.66,1.55,1.64,2.83,0.0,0.0,0.0,100.0
07/21/2021,3.44,3.91,3.32,3.98,3.21,4.14,4.16,0.0,0.0,2.4,4.06,1.53,0.0,3.12,0.0,4.17,0.84,1.65,2.98,2.41,0.0,1.69,3.36,0.0,0.0,0.81,0.82,0.84,0.0,4.09,1.57,2.39,2.63,0.82,0.0,0.0,0.84,1.61,0.0,0.78,0.0,2.49,3.04,2.39,3.19,0.0,0.82,-0.04,3.99,2.5,2.37,1.66,1.55,1.64,2.83,0.0,0.0,0.0,100.0
07/22/2021,3.62,4.06,3.38,4.11,3.35,4.28,4.26,0.0,2.57,2.45,4.18,1.55,0.0,3.16,3.07,4.43,0.86,1.72,3.04,2.43,2.39,1.76,3.45,3.21,0.0,0.84,0.86,0.88,0.0,4.19,1.6,2.44,2.76,0.84,0.0,0.0,0.87,1.65,0.85,0.8,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,2.6,2.49,1.71,1.57,1.73,0.0,0.0,0.0,0.0,99.97
