,B 0 07/15/21,B 0 08/12/21,B 0 07/29/21,B 0 07/22/21,WisdomTree Floating Rate Treasury ETF,B 0 09/09/21,CMBR 0 09/09/21,B 0 09/16/21,United States Treasury Bills 0.01%,USFR,SUM
07/09/2021,25.1,24.76,23.06,22.78,4.3,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,25.1,24.76,23.06,22.78,4.3,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,25.1,24.76,23.06,22.78,4.3,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,25.1,24.76,23.06,22.78,4.3,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,25.1,24.76,23.06,22.78,4.3,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,25.1,24.76,23.06,22.78,4.3,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,25.1,24.76,23.06,22.78,4.31,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,0.0,25.48,24.82,24.59,3.99,21.11,0.0,0.0,0.0,0.0,99.99
07/21/2021,0.0,25.48,24.82,24.59,3.99,21.11,0.0,0.0,0.0,0.0,99.99
07/22/2021,0.0,25.48,24.82,24.59,3.99,21.11,0.0,0.0,0.0,0.0,99.99
07/23/2021,0.0,25.48,24.82,24.59,3.99,21.11,0.0,0.0,0.0,0.0,99.99
07/26/2021,0.0,24.43,23.8,0.0,4.39,0.0,23.81,23.57,0.0,0.0,100.0
07/27/2021,0.0,24.52,22.51,0.0,0.0,0.0,24.63,0.0,24.19,4.15,100.0
07/28/2021,0.0,24.52,22.51,0.0,4.15,0.0,24.63,24.19,0.0,0.0,100.0
07/29/2021,0.0,24.52,22.51,0.0,4.15,0.0,24.63,24.19,0.0,0.0,100.0
07/30/2021,0.0,24.52,22.51,0.0,4.15,0.0,24.63,24.19,0.0,0.0,100.00000000000001
