,CMBR 0 08/19/21,B 0 12/30/21,T 2.75 09/15/21,B 0 09/30/21,T 2 10/31/21,B 0 08/26/21,B 0 11/26/21,B 0 04/21/22,T 2.5 01/15/22,B 0 10/28/21,T 2.875 11/15/21,XIB 0 10/07/21,B 0 03/24/22,B 0 02/24/22,T 1.75 05/31/22,B 0 05/19/22,T 1.75 06/15/22,T 2.5 02/15/22,USD,B 0 08/19/21,CMBR 0 08/26/21,B 0 10/07/21,United States Treasury Notes 2.5%,XIB 0 10/28/21,B 0 01/27/22,B 0 06/16/22,B 0 07/14/22,n/a,SUM
07/09/2021,17.04,13.0,9.74,9.25,6.5,6.0,5.25,5.0,4.73,4.0,3.69,3.51,3.26,2.75,2.25,1.5,1.5,0.9,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,0.0,13.0,9.74,9.25,6.5,0.0,5.25,5.0,4.73,4.0,3.69,0.0,3.26,2.75,2.25,1.5,1.5,0.9,0.12,17.04,6.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,0.0,13.0,9.74,9.25,6.5,0.0,5.25,5.0,4.73,4.0,3.69,0.0,3.26,2.75,2.25,1.5,1.5,0.9,0.12,17.04,6.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,0.0,13.0,9.74,9.25,6.5,0.0,5.25,5.0,4.73,4.0,3.69,0.0,3.26,2.75,2.25,1.5,1.5,0.9,0.12,17.04,6.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,0.0,13.0,9.74,9.25,6.5,0.0,5.25,5.0,4.74,4.0,3.69,0.0,3.26,2.75,2.25,1.5,1.5,0.9,0.12,17.04,6.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,0.0,13.0,9.74,9.25,6.5,0.0,5.25,5.0,4.74,4.0,3.69,0.0,3.26,2.75,2.25,1.5,1.5,0.9,0.12,17.04,6.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,0.0,13.0,9.74,9.25,6.5,6.0,5.25,5.0,4.68,4.0,3.69,0.0,3.26,2.75,2.25,1.5,1.5,0.9,0.18,17.04,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,0.0,13.0,9.74,9.25,6.5,6.0,5.25,5.0,4.68,4.0,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.17,17.04,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,13.0,9.74,9.25,6.5,6.0,5.25,5.0,4.68,4.0,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.17,17.04,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,0.0,13.0,9.74,9.25,6.5,6.0,5.25,5.0,4.68,4.0,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.17,17.04,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,0.0,13.0,9.74,9.25,6.5,6.0,5.25,5.0,4.68,4.0,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.17,17.04,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,0.0,13.04,9.68,9.28,6.49,6.02,5.27,5.02,4.69,4.01,3.68,0.0,3.27,2.77,2.26,1.51,1.5,0.0,0.0,17.1,0.0,3.53,0.89,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,0.0,13.04,9.68,9.28,6.49,6.02,5.27,5.02,4.69,4.01,3.68,0.0,3.27,2.77,2.26,1.51,1.5,0.0,0.0,17.1,0.0,3.53,0.89,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,0.0,13.0,9.74,9.25,6.5,6.0,5.25,5.0,4.68,0.0,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.17,17.04,0.0,3.51,0.0,4.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,0.0,13.0,9.74,9.25,6.5,6.0,5.25,5.0,4.68,0.0,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.16,17.04,0.0,3.51,0.0,4.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,0.0,13.0,9.74,15.31,6.5,0.0,8.25,5.0,4.68,12.5,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.17,0.0,0.0,0.0,0.0,0.0,5.5,2.0,1.5,0.0,100.01
08/04/2021,0.0,13.0,9.74,15.31,6.5,0.0,8.25,5.0,4.68,12.5,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.17,0.0,0.0,0.0,0.0,0.0,5.5,2.0,1.5,0.0,100.01
08/05/2021,0.0,13.0,9.74,15.31,6.5,0.0,8.25,5.0,4.68,12.5,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.17,0.0,0.0,0.0,0.0,0.0,5.5,2.0,1.5,0.0,100.01
08/06/2021,0.0,13.0,9.74,15.31,6.5,0.0,8.25,5.0,4.68,12.5,3.69,0.0,3.26,2.76,2.25,1.5,1.5,0.9,0.17,0.0,0.0,0.0,0.0,0.0,5.5,2.0,1.5,0.0,100.01
08/10/2021,0.0,13.05,9.67,15.37,6.49,0.0,8.28,5.02,4.69,12.55,3.67,0.0,3.27,2.77,2.25,1.51,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,2.01,1.51,0.89,100.02
