,OXY,FANG,RMD,LB,PAYC,LEN,AZO,CTAS,CPRT,LH,COO,MRO,STE,URI,COP,TRMB,AAP,DHI,AOS,ABMD,WAT,ROL,UPS,OKE,COG,TFX,DPZ,ZBH,MSI,ODFL,PHM,PXD,VRSK,ETN,DVN,MHK,TSCO,XOM,PSA,PH,SWK,LKQ,BLL,ALB,TXT,JBHT,NEE,RSG,WM,UNP,FDX,SEE,EOG,AEP,TT,WAB,MAS,WRB,LIN,EMR,HBAN,MLM,VMC,CSX,NVR,GPN,FAST,HAL,HES,WMT,TDG,DLTR,PWR,TRV,CAT,HON,HWM,CMA,MCD,BRK.B,CF,ZION,WHR,ABC,FE,TFC,MPC,APA,CINF,HST,IP,KSU,ITW,WMB,PPL,KMI,SO,HBI,SYY,MO,PCAR,LNT,APD,HII,EXC,D,PPG,LEG,PSX,VLO,EVRG,LVS,FITB,CE,NI,SJM,ATO,KEY,REG,RF,PNW,CNP,ARE,LYB,LUV,EMN,ETR,WRK,BEN,ADM,MOS,NCLH,AAL,PENN,FMC,FCX,NUE,TAP,NEM,FGXXX,First American Government Obligs X,SUM
07/09/2021,0.84,0.82,0.82,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.29,0.0,100.0
07/12/2021,0.76,0.74,0.84,0.79,0.83,0.8,0.81,0.81,0.81,0.79,0.8,0.7,0.78,0.75,0.72,0.77,0.77,0.77,0.76,0.82,0.79,0.78,0.77,0.74,0.72,0.78,0.77,0.74,0.77,0.75,0.74,0.7,0.77,0.76,0.69,0.75,0.74,0.71,0.76,0.74,0.75,0.74,0.74,0.73,0.72,0.74,0.75,0.76,0.75,0.75,0.72,0.73,0.69,0.74,0.75,0.73,0.73,0.73,0.73,0.73,0.7,0.74,0.73,0.74,0.74,0.72,0.75,0.66,0.68,0.73,0.72,0.72,0.7,0.72,0.71,0.72,0.69,0.67,0.72,0.71,0.68,0.68,0.72,0.7,0.71,0.68,0.67,0.65,0.7,0.68,0.71,0.71,0.71,0.69,0.7,0.7,0.71,0.66,0.68,0.69,0.69,0.71,0.71,0.68,0.7,0.71,0.71,0.69,0.66,0.65,0.7,0.67,0.67,0.69,0.7,0.69,0.7,0.66,0.68,0.66,0.7,0.7,0.71,0.67,0.65,0.67,0.69,0.67,0.67,0.66,0.65,0.61,0.63,0.62,0.65,0.65,0.66,0.64,0.66,0.0,0.31,100.0
07/13/2021,0.76,0.74,0.84,0.79,0.83,0.8,0.81,0.81,0.81,0.79,0.8,0.7,0.78,0.75,0.72,0.77,0.77,0.77,0.76,0.82,0.79,0.78,0.77,0.74,0.72,0.78,0.77,0.74,0.77,0.75,0.74,0.7,0.77,0.76,0.69,0.75,0.74,0.71,0.76,0.74,0.75,0.74,0.74,0.73,0.72,0.74,0.75,0.76,0.75,0.75,0.72,0.73,0.69,0.74,0.75,0.73,0.73,0.73,0.73,0.73,0.7,0.74,0.73,0.74,0.74,0.72,0.75,0.66,0.68,0.73,0.72,0.72,0.7,0.72,0.71,0.72,0.69,0.67,0.72,0.71,0.68,0.68,0.72,0.7,0.71,0.68,0.67,0.65,0.7,0.68,0.71,0.71,0.71,0.69,0.7,0.7,0.71,0.66,0.68,0.69,0.69,0.71,0.71,0.68,0.7,0.71,0.71,0.69,0.66,0.65,0.7,0.67,0.67,0.69,0.7,0.69,0.7,0.66,0.68,0.66,0.7,0.7,0.71,0.67,0.65,0.67,0.69,0.67,0.67,0.66,0.65,0.61,0.63,0.62,0.65,0.65,0.66,0.64,0.66,0.0,0.31,100.0
07/14/2021,0.78,0.74,0.82,0.8,0.82,0.77,0.81,0.8,0.81,0.79,0.79,0.72,0.77,0.75,0.73,0.77,0.78,0.73,0.75,0.79,0.8,0.77,0.77,0.76,0.74,0.78,0.77,0.73,0.77,0.75,0.71,0.7,0.77,0.76,0.71,0.75,0.74,0.72,0.77,0.75,0.74,0.75,0.76,0.75,0.72,0.73,0.74,0.75,0.74,0.73,0.73,0.72,0.7,0.73,0.75,0.74,0.72,0.72,0.73,0.73,0.72,0.74,0.73,0.71,0.71,0.71,0.74,0.68,0.68,0.72,0.72,0.71,0.71,0.72,0.71,0.72,0.7,0.68,0.72,0.71,0.68,0.69,0.72,0.7,0.7,0.69,0.67,0.66,0.71,0.69,0.71,0.67,0.71,0.7,0.7,0.71,0.7,0.67,0.69,0.69,0.69,0.7,0.7,0.68,0.7,0.71,0.7,0.68,0.66,0.65,0.7,0.67,0.68,0.69,0.7,0.7,0.7,0.67,0.69,0.67,0.69,0.71,0.72,0.68,0.67,0.67,0.69,0.67,0.67,0.66,0.67,0.62,0.65,0.63,0.65,0.65,0.66,0.64,0.66,0.0,0.26,99.98
07/15/2021,0.77,0.75,0.83,0.83,0.8,0.77,0.82,0.8,0.81,0.79,0.79,0.72,0.77,0.76,0.72,0.78,0.77,0.73,0.75,0.78,0.8,0.77,0.76,0.75,0.74,0.77,0.77,0.73,0.76,0.74,0.71,0.7,0.76,0.77,0.71,0.75,0.73,0.71,0.77,0.75,0.75,0.75,0.75,0.8,0.72,0.73,0.74,0.75,0.74,0.72,0.73,0.72,0.71,0.73,0.76,0.74,0.72,0.73,0.73,0.74,0.72,0.73,0.73,0.71,0.7,0.71,0.75,0.68,0.68,0.72,0.71,0.71,0.71,0.72,0.72,0.72,0.69,0.69,0.72,0.71,0.68,0.69,0.72,0.7,0.7,0.7,0.67,0.65,0.71,0.69,0.71,0.67,0.71,0.69,0.7,0.7,0.7,0.67,0.68,0.69,0.69,0.71,0.7,0.67,0.7,0.71,0.7,0.68,0.66,0.64,0.7,0.67,0.69,0.7,0.7,0.69,0.71,0.68,0.7,0.68,0.69,0.7,0.72,0.67,0.67,0.67,0.69,0.67,0.67,0.66,0.67,0.61,0.64,0.63,0.66,0.65,0.67,0.64,0.65,0.0,0.26,99.98
07/16/2021,0.77,0.75,0.83,0.83,0.8,0.77,0.82,0.8,0.81,0.79,0.79,0.72,0.77,0.76,0.72,0.78,0.77,0.73,0.75,0.78,0.8,0.77,0.76,0.75,0.74,0.77,0.77,0.73,0.76,0.74,0.71,0.7,0.76,0.77,0.71,0.75,0.73,0.71,0.77,0.75,0.75,0.75,0.75,0.8,0.72,0.73,0.74,0.75,0.74,0.72,0.73,0.72,0.71,0.73,0.76,0.74,0.72,0.73,0.73,0.74,0.72,0.73,0.73,0.71,0.7,0.71,0.75,0.68,0.68,0.72,0.71,0.71,0.71,0.72,0.72,0.72,0.69,0.69,0.72,0.71,0.68,0.69,0.72,0.7,0.7,0.7,0.67,0.65,0.71,0.69,0.71,0.67,0.71,0.69,0.7,0.7,0.7,0.67,0.68,0.69,0.69,0.71,0.7,0.67,0.7,0.71,0.7,0.68,0.66,0.64,0.7,0.67,0.69,0.7,0.7,0.69,0.71,0.68,0.7,0.68,0.69,0.7,0.72,0.67,0.67,0.67,0.69,0.67,0.67,0.66,0.67,0.61,0.64,0.63,0.66,0.65,0.67,0.64,0.65,0.0,0.26,99.98
07/19/2021,0.72,0.71,0.84,0.83,0.8,0.77,0.83,0.79,0.82,0.79,0.79,0.69,0.77,0.75,0.71,0.77,0.78,0.72,0.76,0.77,0.81,0.78,0.77,0.73,0.72,0.78,0.79,0.72,0.77,0.76,0.7,0.69,0.78,0.77,0.69,0.74,0.75,0.71,0.78,0.75,0.75,0.76,0.76,0.79,0.72,0.76,0.76,0.77,0.76,0.73,0.73,0.72,0.69,0.75,0.76,0.74,0.73,0.73,0.74,0.74,0.72,0.74,0.74,0.72,0.7,0.73,0.75,0.66,0.66,0.74,0.71,0.72,0.71,0.74,0.71,0.75,0.68,0.69,0.74,0.71,0.68,0.69,0.72,0.7,0.7,0.69,0.64,0.62,0.71,0.68,0.71,0.67,0.73,0.68,0.71,0.69,0.71,0.68,0.68,0.7,0.7,0.72,0.71,0.67,0.71,0.72,0.71,0.68,0.64,0.61,0.72,0.66,0.68,0.71,0.71,0.7,0.72,0.67,0.71,0.67,0.71,0.7,0.73,0.68,0.67,0.67,0.69,0.66,0.64,0.66,0.66,0.58,0.65,0.6,0.66,0.62,0.66,0.63,0.66,0.0,0.27,100.02
07/20/2021,0.71,0.69,0.84,0.82,0.8,0.77,0.84,0.77,0.83,0.79,0.79,0.67,0.77,0.76,0.7,0.76,0.77,0.72,0.76,0.76,0.82,0.79,0.77,0.73,0.7,0.7,0.79,0.71,0.77,0.76,0.7,0.67,0.79,0.77,0.67,0.73,0.76,0.7,0.78,0.75,0.75,0.74,0.77,0.81,0.72,0.75,0.77,0.77,0.77,0.73,0.74,0.72,0.66,0.76,0.77,0.75,0.74,0.74,0.74,0.75,0.73,0.74,0.75,0.72,0.69,0.74,0.75,0.64,0.64,0.74,0.71,0.72,0.71,0.74,0.71,0.76,0.68,0.69,0.74,0.72,0.67,0.69,0.73,0.7,0.71,0.71,0.63,0.6,0.72,0.67,0.69,0.67,0.73,0.68,0.71,0.69,0.72,0.68,0.67,0.7,0.71,0.73,0.71,0.67,0.72,0.73,0.71,0.67,0.63,0.61,0.73,0.66,0.69,0.72,0.73,0.71,0.73,0.68,0.7,0.68,0.71,0.71,0.73,0.68,0.66,0.67,0.7,0.65,0.64,0.66,0.65,0.56,0.64,0.61,0.66,0.62,0.66,0.63,0.67,0.0,0.31,99.96
07/21/2021,0.68,0.67,0.87,0.81,0.82,0.77,0.85,0.82,0.84,0.8,0.8,0.65,0.78,0.75,0.69,0.75,0.77,0.73,0.76,0.79,0.82,0.81,0.77,0.72,0.7,0.74,0.8,0.72,0.77,0.76,0.7,0.65,0.81,0.78,0.66,0.72,0.76,0.69,0.79,0.74,0.74,0.75,0.79,0.79,0.72,0.74,0.79,0.78,0.78,0.74,0.74,0.71,0.65,0.77,0.77,0.75,0.75,0.75,0.74,0.75,0.71,0.74,0.75,0.73,0.7,0.75,0.76,0.62,0.64,0.75,0.71,0.72,0.71,0.75,0.7,0.76,0.67,0.67,0.74,0.72,0.65,0.67,0.73,0.7,0.73,0.7,0.63,0.59,0.73,0.67,0.69,0.67,0.73,0.68,0.73,0.69,0.74,0.67,0.67,0.71,0.71,0.75,0.71,0.68,0.73,0.74,0.72,0.67,0.61,0.6,0.75,0.64,0.67,0.71,0.74,0.73,0.74,0.66,0.71,0.66,0.74,0.73,0.75,0.65,0.65,0.65,0.72,0.64,0.63,0.66,0.64,0.54,0.63,0.59,0.66,0.61,0.64,0.63,0.66,0.0,0.31,100.05
07/22/2021,0.68,0.67,0.87,0.81,0.82,0.77,0.85,0.82,0.84,0.8,0.8,0.65,0.78,0.75,0.69,0.75,0.77,0.73,0.76,0.79,0.82,0.81,0.77,0.72,0.7,0.74,0.8,0.72,0.77,0.76,0.7,0.65,0.81,0.78,0.66,0.72,0.76,0.69,0.79,0.74,0.74,0.75,0.79,0.79,0.72,0.74,0.79,0.78,0.78,0.74,0.74,0.71,0.65,0.77,0.77,0.75,0.75,0.75,0.74,0.75,0.71,0.74,0.75,0.73,0.7,0.75,0.76,0.62,0.64,0.75,0.71,0.72,0.71,0.75,0.7,0.76,0.67,0.67,0.74,0.72,0.65,0.67,0.73,0.7,0.73,0.7,0.63,0.59,0.73,0.67,0.69,0.67,0.73,0.68,0.73,0.69,0.74,0.67,0.67,0.71,0.71,0.75,0.71,0.68,0.73,0.74,0.72,0.67,0.61,0.6,0.75,0.64,0.67,0.71,0.74,0.73,0.74,0.66,0.71,0.66,0.74,0.73,0.75,0.65,0.65,0.65,0.72,0.64,0.63,0.66,0.64,0.54,0.63,0.59,0.66,0.61,0.64,0.63,0.66,0.0,0.31,100.05
