,VCSH,PULS,CMBS,EMLC,VTV,SCHP,VCLT,TLH,BCI,SPHY,GQRE,NFRA,SHYG,VCIT,BAR,MXI,VYMI,SMMV,ACWV,VIGI,JEPI,BKNG,RYT,ABNB,DIS,SUSC,n/a,BA,WYNN,UBER,RCL,MA,MGM,SBUX,LDEM,SQ,GBTC,ETHE,TDV,SUM
10/15/2021,16.02,14.52,8.55,7.31,5.22,5.05,4.93,4.9,4.33,2.51,2.33,2.32,2.02,1.99,1.98,1.67,1.48,1.47,1.47,1.42,1.1,1.01,0.94,0.78,0.71,0.69,0.48,0.46,0.41,0.34,0.33,0.28,0.28,0.23,0.22,0.19,0.05,0.04,0.0,100.03000000000002
10/18/2021,15.91,14.41,8.47,7.3,5.27,5.05,4.97,4.91,4.37,2.51,2.36,2.35,2.01,1.99,2.01,1.7,1.49,1.48,1.48,1.44,1.11,1.01,0.96,0.76,0.71,0.69,0.47,0.44,0.41,0.34,0.32,0.28,0.27,0.23,0.23,0.2,0.05,0.04,0.0,100.00000000000004
10/19/2021,15.88,14.41,8.48,7.32,5.3,5.04,4.95,4.88,4.38,2.5,2.36,2.35,2.01,1.98,1.97,1.7,1.5,1.48,1.48,1.45,1.12,1.03,0.97,0.75,0.71,0.69,0.47,0.44,0.4,0.35,0.31,0.29,0.27,0.23,0.23,0.2,0.06,0.04,0.0,99.98000000000002
10/20/2021,15.88,14.41,8.48,7.32,5.3,5.04,4.95,4.88,4.38,2.5,2.36,2.35,2.01,1.98,1.97,1.7,1.5,1.48,1.48,1.45,1.12,1.03,0.97,0.75,0.71,0.69,0.47,0.44,0.4,0.35,0.31,0.29,0.27,0.23,0.23,0.2,0.06,0.04,0.0,99.98000000000002
10/21/2021,15.89,14.44,8.49,7.29,5.29,5.04,4.96,4.9,4.33,2.51,2.37,2.35,2.01,1.98,1.97,1.7,1.49,1.48,1.48,1.45,1.12,1.01,0.97,0.77,0.69,0.69,0.47,0.44,0.41,0.34,0.31,0.29,0.27,0.23,0.23,0.2,0.06,0.04,0.0,99.96000000000002
10/22/2021,15.88,14.43,8.51,7.31,5.34,5.03,4.91,4.85,4.35,2.51,2.37,2.37,2.01,1.97,1.98,1.71,1.5,1.48,1.49,1.46,1.12,1.0,0.98,0.76,0.69,0.69,0.47,0.44,0.41,0.34,0.31,0.29,0.27,0.23,0.23,0.21,0.06,0.04,0.0,100.0
10/25/2021,15.87,14.44,8.48,7.25,5.39,5.05,4.89,4.81,4.34,2.51,2.39,2.4,2.01,1.97,2.0,1.7,1.5,1.49,1.5,1.46,1.13,0.98,0.99,0.76,0.7,0.69,0.47,0.43,0.41,0.34,0.31,0.29,0.27,0.23,0.23,0.22,0.06,0.05,0.0,100.01
10/26/2021,15.85,14.43,8.45,7.25,5.4,5.05,4.91,4.85,4.35,2.5,2.4,2.41,2.01,1.97,2.01,1.7,1.5,1.49,1.5,1.47,1.13,0.97,0.99,0.74,0.69,0.69,0.47,0.43,0.4,0.33,0.31,0.29,0.27,0.23,0.23,0.21,0.06,0.05,0.0,99.99
10/27/2021,15.85,14.43,8.45,7.25,5.4,5.05,4.91,4.85,4.35,2.5,2.4,2.41,2.01,1.97,2.01,1.7,1.5,1.49,1.5,1.47,1.13,0.97,0.99,0.74,0.69,0.69,0.47,0.43,0.4,0.33,0.31,0.29,0.27,0.23,0.23,0.21,0.06,0.05,0.0,99.99
10/28/2021,15.84,14.39,8.44,7.25,5.4,5.06,4.9,4.84,4.42,2.5,2.4,2.39,2.01,1.97,2.02,1.71,1.5,1.49,1.5,1.46,1.13,0.98,0.99,0.75,0.7,0.69,0.47,0.43,0.4,0.33,0.31,0.29,0.27,0.23,0.23,0.21,0.06,0.05,0.0,100.01
