,BAC,WMT,WFC,AAPL,MSFT,T,BRK.B,CI,JPM,V,PG,CVS,MA,ADBE,C,CSCO,GM,ANTM,PFE,COF,ABT,TXN,PNC,GS,F,MS,UPS,LLY,ORCL,AXP,CNC,SPGI,HUM,TGT,AMAT,MMM,LMT,CB,USB,BBY,LEN,ADM,TFC,LRCX,MPC,EXC,PRU,TJX,KR,ADP,ZTS,SRE,PGR,WBA,HPQ,MET,VLO,VIAC,ALL,PSX,KMI,ITW,DHI,SHW,IDXX,TSN,BK,TRV,CAH,CTVA,AFL,LH,BKR,TT,SYF,MCO,KHC,KLAC,NOC,VRTX,ROST,NEM,CFG,FTNT,ED,PHM,DLTR,RF,NUE,EBAY,DFS,AIG,HPE,MTB,DOW,EIX,TROW,STT,IP,HBAN,ETR,HIG,DGX,WHR,CTSH,FITB,CAG,GIS,CMI,AMP,ETSY,PAYX,BIIB,STX,CTAS,FAST,PFG,CMA,KEY,BIO,SJM,DISH,MOS,WRK,MXIM,FOXA,CLX,UHS,CINF,LKQ,WY,HSY,FTV,EVRG,BWA,ZION,MHK,LNC,CHRW,LUMN,GNRC,AIZ,PWR,ULTA,QRVO,FLT,COO,NRG,RE,GPC,MKTX,POOL,DVN,L,CE,HOLX,HII,KIM,TAP,DISCK,RJF,UNM,NVR,IVZ,HWM,BF.B,ALLE,GL,AOS,IPG,RHI,PRGO,SNA,WRB,URC.V,JKHY,BEN,NWL,CPB,PBCT,ROL,NOV,UAA,NVDA,AMZN,TSLA,PYPL,DIS,NFLX,NKE,MCD,BA,AVGO,SBUX,BMY,AMT,INTU,NOW,ISRG,BKNG,AMD,CCI,EL,EW,ILMN,ADSK,EQIX,TWTR,ECL,EGCO.BK,NXPI,MSCI,ALGN,CMG,HLT,DAL,MAR,PSA,DXCM,TDG,SBAC,LUV,SLB,SPG,SNPS,CDNS,MCHP,YUM,MTD,RMD,MSI,EXPE,XLNX,WST,ANSS,CPRT,VRSK,CZR,OXY,RCL,ENPH,CCL,VRSN,LVS,WAT,WYNN,MGM,HES,UAL,IT,LYV,PAYC,DRI,HAL,AAL,DPZ,TYL,MPWR,FANG,ABMD,NLOK,NCLH,UDR,PTC,CTXS,HST,ALK,n/a,SUM
07/09/2021,4.39,3.58,3.01,2.72,2.7,2.51,2.43,2.42,2.38,2.36,2.28,2.24,2.22,1.66,1.59,1.52,1.41,1.34,1.33,1.32,1.28,1.28,1.25,1.16,1.11,1.1,1.05,0.95,0.93,0.88,0.88,0.87,0.87,0.84,0.81,0.73,0.72,0.7,0.68,0.67,0.66,0.64,0.61,0.6,0.59,0.58,0.57,0.55,0.53,0.52,0.52,0.51,0.51,0.51,0.51,0.5,0.49,0.49,0.46,0.44,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,2.05,1.19,1.42,2.87,5.26,0.0,0.0,0.54,2.38,4.61,2.31,0.0,4.14,3.29,0.0,1.52,0.0,0.0,1.38,0.62,1.31,2.18,0.56,0.0,0.0,0.0,1.12,1.88,1.01,0.9,0.0,1.48,0.0,0.86,0.79,0.74,0.73,0.0,0.66,0.25,0.18,0.0,0.0,0.57,0.0,0.0,0.0,0.55,0.0,0.53,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.79,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.13,0.36,0.18,0.7,0.0,0.34,0.34,0.33,0.32,0.33,0.12,0.53,0.0,0.09,0.0,0.13,0.0,0.3,0.29,0.0,0.0,0.12,0.28,0.0,0.28,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.21,0.21,0.35,0.4,0.21,0.0,0.2,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.3,0.06,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.24,0.12,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.11,0.0,0.08,0.17,0.08,0.0,0.07,0.08,0.07,0.0,0.08,0.08,0.0,0.08,0.0,0.07,0.07,0.0,0.1,0.04,0.03,2.63,2.52,2.41,1.88,1.76,1.45,1.21,1.07,1.04,1.0,0.92,0.9,0.74,0.71,0.69,0.68,0.58,0.56,0.5,0.45,0.4,0.4,0.39,0.39,0.35,0.34,0.33,0.31,0.3,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.0,99.98
07/13/2021,2.05,1.19,1.42,2.87,5.26,0.0,0.0,0.54,2.38,4.61,2.31,0.0,4.14,3.29,0.0,1.52,0.0,0.0,1.38,0.62,1.31,2.18,0.56,0.0,0.0,0.0,1.12,1.88,1.01,0.9,0.0,1.48,0.0,0.86,0.79,0.74,0.73,0.0,0.66,0.25,0.18,0.0,0.0,0.57,0.0,0.0,0.0,0.55,0.0,0.53,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.79,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.13,0.36,0.18,0.7,0.0,0.34,0.34,0.33,0.32,0.33,0.12,0.53,0.0,0.09,0.0,0.13,0.0,0.3,0.29,0.0,0.0,0.12,0.28,0.0,0.28,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.21,0.21,0.35,0.4,0.21,0.0,0.2,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.3,0.06,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.24,0.12,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.11,0.0,0.08,0.17,0.08,0.0,0.07,0.08,0.07,0.0,0.08,0.08,0.0,0.08,0.0,0.07,0.07,0.0,0.1,0.04,0.03,2.63,2.52,2.41,1.88,1.76,1.45,1.21,1.07,1.04,1.0,0.92,0.9,0.74,0.71,0.69,0.68,0.58,0.56,0.5,0.45,0.4,0.4,0.39,0.39,0.35,0.34,0.33,0.31,0.3,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.0,99.98
07/14/2021,2.01,1.2,1.39,2.86,5.24,0.0,0.0,0.53,2.35,4.57,2.32,0.0,4.13,3.31,0.0,1.53,0.0,0.0,1.38,0.62,1.31,2.18,0.56,0.0,0.0,0.0,1.12,1.91,1.01,0.89,0.0,1.48,0.0,0.86,0.78,0.74,0.72,0.0,0.66,0.25,0.18,0.0,0.0,0.57,0.0,0.0,0.0,0.55,0.0,0.53,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.79,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.13,0.35,0.18,0.7,0.0,0.34,0.35,0.33,0.32,0.33,0.12,0.53,0.0,0.09,0.0,0.13,0.0,0.29,0.29,0.0,0.0,0.12,0.27,0.0,0.27,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.21,0.21,0.36,0.4,0.22,0.0,0.2,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.3,0.06,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.12,0.24,0.12,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.09,0.0,0.1,0.0,0.08,0.17,0.08,0.0,0.07,0.08,0.07,0.0,0.08,0.08,0.0,0.08,0.0,0.07,0.07,0.0,0.1,0.04,0.03,2.59,2.56,2.46,1.88,1.77,1.45,1.23,1.07,1.07,1.01,0.91,0.9,0.75,0.71,0.7,0.68,0.58,0.56,0.5,0.45,0.4,0.4,0.39,0.39,0.34,0.34,0.39,0.31,0.3,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.0,99.97
07/15/2021,2.08,1.19,1.43,2.84,5.16,0.0,0.0,0.53,2.42,4.53,2.29,0.0,4.13,3.23,0.0,1.51,0.0,0.0,1.38,0.66,1.29,2.19,0.57,0.0,0.0,0.0,1.11,1.87,1.01,0.91,0.0,1.44,0.0,0.86,0.79,0.73,0.71,0.0,0.68,0.25,0.18,0.0,0.0,0.58,0.0,0.0,0.0,0.55,0.0,0.53,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.78,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.13,0.36,0.18,0.69,0.0,0.34,0.34,0.33,0.32,0.32,0.13,0.53,0.0,0.09,0.0,0.13,0.0,0.29,0.31,0.0,0.0,0.12,0.28,0.0,0.28,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.21,0.21,0.35,0.4,0.2,0.0,0.2,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.31,0.06,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.24,0.12,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.08,0.17,0.08,0.0,0.07,0.08,0.07,0.0,0.08,0.08,0.0,0.08,0.0,0.07,0.07,0.0,0.1,0.05,0.03,2.62,2.51,2.54,1.9,1.86,1.44,1.22,1.07,1.06,1.02,0.92,0.9,0.74,0.7,0.69,0.67,0.58,0.56,0.5,0.45,0.39,0.4,0.38,0.38,0.35,0.34,0.37,0.31,0.3,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.23,0.24,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.2,0.19,0.2,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.0,99.97
07/16/2021,2.08,1.19,1.43,2.84,5.16,0.0,0.0,0.53,2.42,4.53,2.29,0.0,4.13,3.23,0.0,1.51,0.0,0.0,1.38,0.66,1.29,2.19,0.57,0.0,0.0,0.0,1.11,1.87,1.01,0.91,0.0,1.44,0.0,0.86,0.79,0.73,0.71,0.0,0.68,0.25,0.18,0.0,0.0,0.58,0.0,0.0,0.0,0.55,0.0,0.53,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.78,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.13,0.36,0.18,0.69,0.0,0.34,0.34,0.33,0.32,0.32,0.13,0.53,0.0,0.09,0.0,0.13,0.0,0.29,0.31,0.0,0.0,0.12,0.28,0.0,0.28,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.21,0.21,0.35,0.4,0.2,0.0,0.2,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.31,0.06,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.24,0.12,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.08,0.17,0.08,0.0,0.07,0.08,0.07,0.0,0.08,0.08,0.0,0.08,0.0,0.07,0.07,0.0,0.1,0.05,0.03,2.62,2.51,2.54,1.9,1.86,1.44,1.22,1.07,1.06,1.02,0.92,0.9,0.74,0.7,0.69,0.67,0.58,0.56,0.5,0.45,0.39,0.4,0.38,0.38,0.35,0.34,0.37,0.31,0.3,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.23,0.24,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.2,0.19,0.2,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.0,99.97
07/19/2021,1.99,1.2,1.46,2.94,5.27,0.0,0.0,0.53,2.38,4.69,2.31,0.0,4.3,3.28,0.0,1.53,0.0,0.0,1.39,0.63,1.27,2.18,0.56,0.0,0.0,0.0,1.1,1.88,1.03,0.91,0.0,1.44,0.0,0.87,0.79,0.74,0.71,0.0,0.67,0.25,0.17,0.0,0.0,0.57,0.0,0.0,0.0,0.56,0.0,0.53,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.42,0.78,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.12,0.35,0.18,0.7,0.0,0.34,0.33,0.33,0.32,0.32,0.12,0.53,0.0,0.09,0.0,0.13,0.0,0.28,0.3,0.0,0.0,0.12,0.27,0.0,0.27,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.21,0.21,0.33,0.4,0.2,0.0,0.19,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.3,0.06,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.12,0.24,0.12,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.09,0.0,0.08,0.16,0.08,0.0,0.07,0.08,0.07,0.0,0.08,0.08,0.0,0.08,0.0,0.07,0.07,0.0,0.1,0.04,0.03,2.54,2.49,2.43,1.89,1.85,1.47,1.22,1.08,1.0,1.02,0.93,0.91,0.75,0.7,0.69,0.67,0.57,0.55,0.49,0.46,0.39,0.38,0.39,0.39,0.35,0.34,0.4,0.31,0.29,0.28,0.28,0.26,0.25,0.26,0.26,0.25,0.23,0.23,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.0,99.99
07/20/2021,2.0,1.21,1.47,2.94,5.26,0.0,0.0,0.53,2.4,4.76,2.34,0.0,4.31,3.28,0.0,1.53,0.0,0.0,1.4,0.64,1.27,2.16,0.57,0.0,0.0,0.0,1.11,1.84,1.01,0.91,0.0,1.44,0.0,0.87,0.78,0.75,0.71,0.0,0.7,0.25,0.17,0.0,0.0,0.57,0.0,0.0,0.0,0.55,0.0,0.54,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.42,0.78,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.12,0.36,0.18,0.7,0.0,0.33,0.34,0.33,0.32,0.33,0.13,0.53,0.0,0.09,0.0,0.13,0.0,0.29,0.3,0.0,0.0,0.12,0.27,0.0,0.28,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.21,0.21,0.33,0.41,0.19,0.0,0.19,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.3,0.06,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.24,0.12,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.09,0.0,0.08,0.16,0.08,0.0,0.07,0.07,0.07,0.0,0.08,0.08,0.0,0.08,0.0,0.07,0.07,0.0,0.1,0.04,0.03,2.44,2.46,2.42,1.87,1.87,1.47,1.22,1.08,1.0,1.01,0.93,0.9,0.75,0.7,0.69,0.67,0.57,0.54,0.5,0.46,0.39,0.38,0.39,0.39,0.34,0.35,0.49,0.3,0.3,0.27,0.27,0.26,0.25,0.26,0.26,0.25,0.23,0.23,0.23,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.0,100.05
07/21/2021,1.97,1.22,1.46,2.92,5.3,0.0,0.0,0.53,2.36,4.79,2.38,0.0,4.31,3.31,0.0,1.54,0.0,0.0,1.42,0.64,1.29,2.15,0.56,0.0,0.0,0.0,1.11,1.87,1.03,0.9,0.0,1.47,0.0,0.87,0.75,0.74,0.72,0.0,0.68,0.25,0.17,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.54,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.8,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.12,0.36,0.17,0.71,0.0,0.33,0.34,0.34,0.31,0.32,0.12,0.54,0.0,0.09,0.0,0.13,0.0,0.29,0.3,0.0,0.0,0.12,0.27,0.0,0.28,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.21,0.21,0.34,0.41,0.19,0.0,0.2,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.17,0.0,0.0,0.0,0.16,0.17,0.16,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.3,0.06,0.0,0.12,0.13,0.13,0.13,0.0,0.0,0.13,0.24,0.12,0.1,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.08,0.16,0.08,0.0,0.07,0.07,0.07,0.0,0.08,0.08,0.0,0.08,0.0,0.07,0.07,0.0,0.1,0.04,0.03,2.35,2.44,2.42,1.88,1.83,1.44,1.22,1.08,0.98,1.0,0.93,0.91,0.76,0.71,0.69,0.67,0.57,0.54,0.5,0.46,0.4,0.39,0.39,0.39,0.34,0.35,0.54,0.3,0.3,0.27,0.27,0.26,0.25,0.25,0.26,0.25,0.23,0.24,0.23,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.15,0.14,0.14,0.13,0.12,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.09,0.08,0.07,0.07,0.06,0.0,99.99
07/22/2021,1.97,1.22,1.46,2.92,5.3,0.0,0.0,0.53,2.36,4.79,2.38,0.0,4.31,3.31,0.0,1.54,0.0,0.0,1.42,0.64,1.29,2.15,0.56,0.0,0.0,0.0,1.11,1.87,1.03,0.9,0.0,1.47,0.0,0.87,0.75,0.74,0.72,0.0,0.68,0.25,0.17,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.54,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.8,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.12,0.36,0.17,0.71,0.0,0.33,0.34,0.34,0.31,0.32,0.12,0.54,0.0,0.09,0.0,0.13,0.0,0.29,0.3,0.0,0.0,0.12,0.27,0.0,0.28,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.21,0.21,0.34,0.41,0.19,0.0,0.2,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.17,0.0,0.0,0.0,0.16,0.17,0.16,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.3,0.06,0.0,0.12,0.13,0.13,0.13,0.0,0.0,0.13,0.24,0.12,0.1,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.08,0.16,0.08,0.0,0.07,0.07,0.07,0.0,0.08,0.08,0.0,0.08,0.0,0.07,0.07,0.0,0.1,0.04,0.03,2.35,2.44,2.42,1.88,1.83,1.44,1.22,1.08,0.98,1.0,0.93,0.91,0.76,0.71,0.69,0.67,0.57,0.54,0.5,0.46,0.4,0.39,0.39,0.39,0.34,0.35,0.54,0.3,0.3,0.27,0.27,0.26,0.25,0.25,0.26,0.25,0.23,0.24,0.23,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.15,0.14,0.14,0.13,0.12,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.09,0.08,0.07,0.07,0.06,0.0,99.99
