,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,NVDA,TSLA,PYPL,ADBE,HD,V,NFLX,CRM,MA,TMO,UNH,JNJ,PG,QCOM,ABBV,INTU,AVGO,NKE,AMAT,ABT,DHR,CMCSA,AMD,LLY,NOW,ACN,UPS,CHTR,SPGI,LOW,MRK,COST,TXN,LRCX,BLK,LIN,PEP,ORCL,DE,TGT,SBUX,ISRG,BMY,KO,UNP,AMGN,MCD,ZTS,ADSK,AMT,NEE,REGN,TMUS,IDXX,TWTR,CAT,VRTX,DG,CCI,KLAC,FDX,MSCI,SHW,EBAY,CMG,FISV,ALGN,ATVI,MCO,LMT,EQIX,SNPS,DXCM,SYK,EL,ADP,CDNS,CSX,EW,PGR,RMD,CL,ICE,XLNX,MMC,BKNG,ILMN,FTNT,MNST,MTD,A,FCX,ANSS,IQV,HUM,NSC,SIVB,ALXN,APD,VRSK,MCHP,APTV,CPRT,ITW,NEM,ORLY,TROW,AON,BIIB,INFO,WST,GNRC,ROP,ADI,APH,LHX,ENPH,CARR,ETSY,ODFL,ECL,SBAC,EMR,DOW,URI,FAST,CTAS,EA,QRVO,WM,TSCO,TDG,ZBRA,TER,TRMB,ANET,PH,TT,PSA,TTWO,ALB,AZO,TYL,PAYC,CTLT,CRL,ROK,POOL,PAYX,CTSH,DPZ,DHI,MKTX,FRC,PKI,OTIS,BLL,KMB,MSI,TEL,MXIM,KEYS,MPWR,SWKS,PTC,CLX,AME,EFX,YUM,CMI,ABMD,BIO,AWK,GLW,EXPD,CHD,FMC,NDAQ,KSU,HLT,HOLX,BBY,HES,WAT,GRMN,AJG,AKAM,CZR,GWW,IT,STE,CDW,EXR,J,HSY,SUM
07/09/2021,11.36,10.66,8.03,4.31,3.87,3.77,2.63,2.59,1.75,1.46,1.25,1.24,1.22,1.18,1.14,1.04,1.03,0.9,0.82,0.82,0.77,0.7,0.67,0.66,0.64,0.64,0.61,0.59,0.59,0.58,0.56,0.55,0.55,0.51,0.51,0.5,0.48,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.4,0.4,0.4,0.37,0.37,0.36,0.35,0.34,0.33,0.33,0.32,0.31,0.3,0.29,0.29,0.28,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,98.48
07/12/2021,11.48,10.68,8.17,4.23,3.84,3.76,2.53,2.57,1.77,1.48,1.25,1.23,1.2,1.16,1.13,1.04,1.03,0.91,0.83,0.8,0.78,0.71,0.67,0.67,0.62,0.64,0.61,0.6,0.56,0.59,0.56,0.56,0.55,0.52,0.51,0.49,0.48,0.49,0.47,0.44,0.44,0.44,0.44,0.44,0.41,0.42,0.4,0.4,0.4,0.37,0.36,0.36,0.35,0.35,0.33,0.33,0.32,0.31,0.3,0.29,0.27,0.28,0.26,0.27,0.27,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,98.49
07/13/2021,11.48,10.68,8.17,4.23,3.84,3.76,2.53,2.57,1.77,1.48,1.25,1.23,1.2,1.16,1.13,1.04,1.03,0.91,0.83,0.8,0.78,0.71,0.67,0.67,0.62,0.64,0.61,0.6,0.56,0.59,0.56,0.56,0.55,0.52,0.51,0.49,0.48,0.49,0.47,0.44,0.44,0.44,0.44,0.44,0.41,0.42,0.4,0.4,0.4,0.37,0.36,0.36,0.35,0.35,0.33,0.33,0.32,0.31,0.3,0.29,0.27,0.28,0.26,0.27,0.27,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,98.49
07/14/2021,11.55,10.62,8.08,4.26,3.83,3.75,2.53,2.57,1.79,1.47,1.25,1.23,1.2,1.15,1.13,1.03,1.03,0.91,0.82,0.81,0.77,0.7,0.68,0.66,0.63,0.64,0.61,0.59,0.56,0.58,0.57,0.56,0.55,0.52,0.51,0.5,0.48,0.49,0.47,0.44,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.4,0.4,0.37,0.36,0.36,0.36,0.35,0.33,0.33,0.32,0.31,0.3,0.29,0.28,0.28,0.26,0.26,0.26,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,98.51
07/15/2021,11.47,10.57,8.06,4.28,3.86,3.76,2.58,2.67,1.8,1.45,1.25,1.22,1.2,1.14,1.13,1.02,1.03,0.9,0.82,0.82,0.78,0.7,0.68,0.67,0.63,0.63,0.61,0.59,0.56,0.58,0.56,0.56,0.55,0.5,0.5,0.5,0.48,0.48,0.47,0.45,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.4,0.4,0.37,0.36,0.36,0.35,0.35,0.32,0.33,0.32,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.27,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.0,98.43
07/16/2021,11.56,10.71,7.97,4.27,3.87,3.78,2.55,2.61,1.79,1.46,1.23,1.25,1.21,1.14,1.16,1.02,1.04,0.9,0.82,0.81,0.78,0.7,0.68,0.66,0.63,0.63,0.6,0.59,0.55,0.58,0.56,0.56,0.54,0.5,0.5,0.49,0.48,0.48,0.47,0.45,0.45,0.44,0.45,0.44,0.42,0.42,0.41,0.4,0.4,0.38,0.36,0.36,0.36,0.35,0.33,0.33,0.32,0.31,0.3,0.29,0.28,0.28,0.26,0.26,0.26,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.0,98.41
07/19/2021,11.82,10.75,7.9,4.19,3.87,3.8,2.4,2.54,1.77,1.47,1.25,1.28,1.22,1.12,1.18,1.03,1.05,0.9,0.83,0.81,0.78,0.7,0.67,0.67,0.62,0.62,0.61,0.59,0.54,0.57,0.56,0.57,0.55,0.49,0.5,0.5,0.48,0.49,0.47,0.44,0.44,0.45,0.46,0.44,0.41,0.42,0.41,0.4,0.4,0.39,0.36,0.36,0.36,0.35,0.33,0.33,0.33,0.31,0.3,0.28,0.28,0.27,0.26,0.27,0.27,0.24,0.23,0.24,0.24,0.22,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.22,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.16,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.11,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.0,0.05,98.48
07/20/2021,11.73,10.8,7.82,4.18,3.9,3.84,2.31,2.54,1.77,1.48,1.26,1.29,1.2,1.13,1.18,1.04,1.05,0.9,0.85,0.81,0.78,0.7,0.66,0.66,0.6,0.63,0.63,0.59,0.53,0.58,0.56,0.56,0.54,0.5,0.51,0.5,0.48,0.49,0.46,0.43,0.44,0.45,0.46,0.45,0.41,0.42,0.41,0.4,0.4,0.39,0.36,0.36,0.36,0.35,0.33,0.33,0.33,0.31,0.31,0.29,0.27,0.27,0.27,0.27,0.27,0.23,0.23,0.24,0.24,0.22,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.2,0.19,0.19,0.18,0.19,0.19,0.18,0.16,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.16,0.13,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.0,0.06,98.38
07/21/2021,11.73,10.8,7.82,4.18,3.9,3.84,2.31,2.54,1.77,1.48,1.26,1.29,1.2,1.13,1.18,1.04,1.05,0.9,0.85,0.81,0.78,0.7,0.66,0.66,0.6,0.63,0.63,0.59,0.53,0.58,0.56,0.56,0.54,0.5,0.51,0.5,0.48,0.49,0.46,0.43,0.44,0.45,0.46,0.45,0.41,0.42,0.41,0.4,0.4,0.39,0.36,0.36,0.36,0.35,0.33,0.33,0.33,0.31,0.31,0.29,0.27,0.27,0.27,0.27,0.27,0.23,0.23,0.24,0.24,0.22,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.2,0.19,0.19,0.18,0.19,0.19,0.18,0.16,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.16,0.13,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.0,0.06,98.38
07/22/2021,11.73,10.8,7.82,4.18,3.9,3.84,2.31,2.54,1.77,1.48,1.26,1.29,1.2,1.13,1.18,1.04,1.05,0.9,0.85,0.81,0.78,0.7,0.66,0.66,0.6,0.63,0.63,0.59,0.53,0.58,0.56,0.56,0.54,0.5,0.51,0.5,0.48,0.49,0.46,0.43,0.44,0.45,0.46,0.45,0.41,0.42,0.41,0.4,0.4,0.39,0.36,0.36,0.36,0.35,0.33,0.33,0.33,0.31,0.31,0.29,0.27,0.27,0.27,0.27,0.27,0.23,0.23,0.24,0.24,0.22,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.2,0.19,0.19,0.18,0.19,0.19,0.18,0.16,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.16,0.13,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.0,0.06,98.38000000000001
