,4SPX  211029C01962120,4XSP  211029C00196230,4SPX  211029P03924240,4SPX  211029P03270180,4XSP  211029P00392460,4XSP  211029P00327030,4XSP  211029P00196230,4XSP  211029P00297590,4SPX  211029P01962120,Cash&Other,4SPX  211029P02975850,4XSP  211029C00392460,4XSP  211029C00388690,4SPX  211029C03924240,4SPX  211029C03886920,SUM
07/09/2021,118.76,4.8,1.53,0.44,0.06,0.02,0.0,-0.01,-0.11,-0.16,-0.27,-0.47,-0.5,-11.62,-12.45,100.02
07/12/2021,120.14,4.85,1.44,0.43,0.06,0.02,0.0,-0.01,-0.11,-0.17,-0.27,-0.5,-0.53,-12.25,-13.09,100.01
07/13/2021,120.14,4.85,1.44,0.43,0.06,0.02,0.0,-0.01,-0.11,-0.17,-0.27,-0.5,-0.53,-12.25,-13.09,100.01
07/14/2021,120.14,4.85,1.44,0.43,0.06,0.02,0.0,-0.01,-0.11,-0.17,-0.27,-0.5,-0.53,-12.25,-13.09,100.01
07/15/2021,120.89,4.88,1.37,0.4,0.06,0.02,0.0,-0.01,-0.1,-0.17,-0.24,-0.51,-0.54,-12.59,-13.43,100.02999999999996
07/16/2021,120.23,4.86,1.49,0.43,0.06,0.02,0.0,-0.01,-0.11,-0.17,-0.26,-0.5,-0.53,-12.35,-13.15,100.01
07/19/2021,119.57,4.83,1.51,0.42,0.06,0.02,0.0,-0.01,-0.1,-0.18,-0.25,-0.49,-0.52,-12.02,-12.85,99.99
07/20/2021,118.12,4.77,1.71,0.47,0.07,0.02,0.0,-0.01,-0.12,-0.18,-0.29,-0.46,-0.49,-11.37,-12.23,100.00999999999998
07/21/2021,118.12,4.77,1.71,0.47,0.07,0.02,0.0,-0.01,-0.12,-0.18,-0.29,-0.46,-0.49,-11.37,-12.23,100.00999999999998
07/22/2021,115.6,4.67,2.19,0.63,0.09,0.03,-0.01,-0.02,-0.16,-0.19,-0.38,-0.42,-0.45,-10.38,-11.18,100.02
07/23/2021,116.27,6.53,1.71,0.49,0.1,0.03,-0.01,-0.02,-0.13,0.05,-0.3,-0.63,-0.68,-11.3,-12.1,100.01000000000002
07/26/2021,118.22,6.64,1.38,0.39,0.08,0.02,-0.01,-0.01,-0.1,0.04,-0.24,-0.68,-0.72,-12.1,-12.91,100.0
