,4SPX  211029C01962120,4XSP  211029C00196230,4SPX  211029P03924240,4SPX  211029P03270180,4XSP  211029P00392460,4XSP  211029P00327030,4XSP  211029P00196230,4XSP  211029P00297590,4SPX  211029P01962120,Cash&Other,4SPX  211029P02975850,4XSP  211029C00392460,4XSP  211029C00388690,4SPX  211029C03924240,4SPX  211029C03886920,SUM
07/09/2021,118.76,4.8,1.53,0.44,0.06,0.02,0.0,-0.01,-0.11,-0.16,-0.27,-0.47,-0.5,-11.62,-12.45,100.02
07/12/2021,120.14,4.85,1.44,0.43,0.06,0.02,0.0,-0.01,-0.11,-0.17,-0.27,-0.5,-0.53,-12.25,-13.09,100.01
07/13/2021,120.14,4.85,1.44,0.43,0.06,0.02,0.0,-0.01,-0.11,-0.17,-0.27,-0.5,-0.53,-12.25,-13.09,100.01
07/14/2021,120.14,4.85,1.44,0.43,0.06,0.02,0.0,-0.01,-0.11,-0.17,-0.27,-0.5,-0.53,-12.25,-13.09,100.01
07/15/2021,120.89,4.88,1.37,0.4,0.06,0.02,0.0,-0.01,-0.1,-0.17,-0.24,-0.51,-0.54,-12.59,-13.43,100.02999999999996
07/16/2021,120.23,4.86,1.49,0.43,0.06,0.02,0.0,-0.01,-0.11,-0.17,-0.26,-0.5,-0.53,-12.35,-13.15,100.01
07/19/2021,119.57,4.83,1.51,0.42,0.06,0.02,0.0,-0.01,-0.1,-0.18,-0.25,-0.49,-0.52,-12.02,-12.85,99.99
07/20/2021,118.12,4.77,1.71,0.47,0.07,0.02,0.0,-0.01,-0.12,-0.18,-0.29,-0.46,-0.49,-11.37,-12.23,100.00999999999998
07/21/2021,118.12,4.77,1.71,0.47,0.07,0.02,0.0,-0.01,-0.12,-0.18,-0.29,-0.46,-0.49,-11.37,-12.23,100.00999999999998
07/22/2021,115.6,4.67,2.19,0.63,0.09,0.03,-0.01,-0.02,-0.16,-0.19,-0.38,-0.42,-0.45,-10.38,-11.18,100.02
07/23/2021,116.27,6.53,1.71,0.49,0.1,0.03,-0.01,-0.02,-0.13,0.05,-0.3,-0.63,-0.68,-11.3,-12.1,100.01000000000002
07/26/2021,118.22,6.64,1.38,0.39,0.08,0.02,-0.01,-0.01,-0.1,0.04,-0.24,-0.68,-0.72,-12.1,-12.91,100.0
07/27/2021,119.93,6.73,1.24,0.37,0.07,0.02,-0.01,-0.01,-0.1,0.03,-0.23,-0.72,-0.77,-12.86,-13.69,100.00000000000006
07/28/2021,119.93,6.73,1.24,0.37,0.07,0.02,-0.01,-0.01,-0.1,0.03,-0.23,-0.72,-0.77,-12.86,-13.69,100.00000000000006
07/29/2021,120.46,7.05,1.2,0.35,0.07,0.02,-0.01,-0.01,-0.09,-0.06,-0.22,-0.77,-0.82,-13.17,-14.0,100.0
07/30/2021,119.22,6.97,1.35,0.39,0.08,0.02,-0.01,-0.01,-0.11,-0.06,-0.25,-0.74,-0.79,-12.63,-13.45,99.98
08/02/2021,119.91,7.01,1.16,0.33,0.07,0.02,-0.01,-0.01,-0.09,-0.07,-0.21,-0.75,-0.8,-12.87,-13.7,99.98999999999998
08/03/2021,119.5,7.0,1.21,0.35,0.07,0.02,-0.01,-0.01,-0.09,-0.07,-0.21,-0.74,-0.79,-12.7,-13.53,100.0
08/04/2021,119.5,7.0,1.21,0.35,0.07,0.02,-0.01,-0.01,-0.09,-0.07,-0.21,-0.74,-0.79,-12.7,-13.53,100.0
08/05/2021,118.92,6.95,1.27,0.36,0.07,0.02,-0.01,-0.01,-0.09,-0.07,-0.22,-0.73,-0.78,-12.43,-13.25,100.0
08/06/2021,120.12,7.03,1.12,0.32,0.07,0.02,0.0,-0.01,-0.08,-0.07,-0.19,-0.76,-0.8,-12.96,-13.79,100.02
08/10/2021,121.04,6.79,0.94,0.26,0.05,0.01,0.0,-0.01,-0.05,0.01,-0.15,-0.74,-0.79,-13.26,-14.1,99.99999999999996
08/11/2021,121.04,6.79,0.94,0.26,0.05,0.01,0.0,-0.01,-0.05,0.01,-0.15,-0.74,-0.79,-13.26,-14.1,99.99999999999996
08/13/2021,120.77,6.81,0.9,0.24,0.05,0.01,0.0,-0.01,-0.05,0.05,-0.14,-0.74,-0.79,-13.13,-13.97,100.00000000000004
08/16/2021,121.92,6.87,0.75,0.19,0.04,0.01,0.0,-0.01,-0.04,0.04,-0.12,-0.77,-0.82,-13.61,-14.47,99.98
08/17/2021,122.36,6.9,0.73,0.2,0.04,0.01,0.0,-0.01,-0.04,0.04,-0.12,-0.78,-0.83,-13.82,-14.68,100.0
08/18/2021,122.36,6.9,0.73,0.2,0.04,0.01,0.0,-0.01,-0.04,0.04,-0.12,-0.78,-0.83,-13.82,-14.68,100.0
08/19/2021,122.82,6.92,0.7,0.19,0.04,0.01,0.0,-0.01,-0.04,0.03,-0.11,-0.79,-0.84,-14.04,-14.89,99.99
08/20/2021,121.26,6.83,0.84,0.22,0.05,0.01,0.0,-0.01,-0.04,0.03,-0.13,-0.75,-0.8,-13.33,-14.18,100.00000000000004
08/23/2021,119.85,6.75,1.1,0.31,0.06,0.02,0.0,-0.01,-0.06,0.02,-0.19,-0.72,-0.77,-12.77,-13.6,99.99
08/24/2021,121.07,6.82,0.86,0.23,0.05,0.01,0.0,-0.01,-0.04,0.02,-0.14,-0.75,-0.79,-13.24,-14.09,100.00000000000004
08/25/2021,121.07,6.82,0.86,0.23,0.05,0.01,0.0,-0.01,-0.04,0.02,-0.14,-0.75,-0.79,-13.24,-14.09,100.00000000000004
08/26/2021,123.06,6.94,0.66,0.18,0.04,0.01,0.0,-0.01,-0.03,0.02,-0.11,-0.8,-0.85,-14.13,-14.99,99.99
08/27/2021,123.19,6.94,0.65,0.18,0.04,0.01,0.0,-0.01,-0.03,0.02,-0.1,-0.8,-0.85,-14.19,-15.05,100.0
08/30/2021,122.56,6.91,0.7,0.19,0.04,0.01,0.0,-0.01,-0.03,0.01,-0.11,-0.78,-0.83,-13.9,-14.76,99.99999999999996
08/31/2021,124.17,7.0,0.54,0.15,0.03,0.01,0.0,-0.01,-0.02,0.01,-0.09,-0.82,-0.87,-14.61,-15.48,100.01000000000002
09/01/2021,124.17,7.0,0.54,0.15,0.03,0.01,0.0,-0.01,-0.02,0.01,-0.09,-0.82,-0.87,-14.61,-15.48,100.01000000000002
09/02/2021,125.24,7.06,0.48,0.13,0.03,0.01,0.0,0.0,-0.02,0.0,-0.08,-0.85,-0.9,-15.11,-15.98,100.00999999999996
09/03/2021,125.2,7.06,0.47,0.13,0.03,0.01,0.0,0.0,-0.02,0.0,-0.08,-0.85,-0.9,-15.09,-15.96,99.99999999999994
09/06/2021,125.48,7.07,0.43,0.12,0.02,0.01,0.0,0.0,-0.02,-0.01,-0.07,-0.86,-0.91,-15.2,-16.08,99.98000000000002
09/07/2021,125.54,7.08,0.43,0.13,0.02,0.01,0.0,0.0,-0.02,-0.01,-0.07,-0.86,-0.91,-15.23,-16.11,100.0
09/08/2021,125.54,7.08,0.43,0.13,0.02,0.01,0.0,0.0,-0.02,-0.01,-0.07,-0.86,-0.91,-15.23,-16.11,100.0
09/09/2021,125.54,7.08,0.43,0.13,0.02,0.01,0.0,0.0,-0.02,-0.01,-0.07,-0.86,-0.91,-15.23,-16.11,100.0
09/10/2021,124.74,7.09,0.44,0.11,0.03,0.01,0.0,0.0,-0.02,0.08,-0.07,-0.85,-0.9,-14.89,-15.77,100.0
09/13/2021,123.4,7.02,0.48,0.13,0.03,0.01,0.0,0.0,-0.02,0.07,-0.07,-0.81,-0.86,-14.25,-15.12,100.01000000000002
09/14/2021,122.08,6.94,0.59,0.15,0.03,0.01,0.0,0.0,-0.02,0.07,-0.09,-0.78,-0.83,-13.66,-14.51,99.98
09/15/2021,122.08,6.94,0.59,0.15,0.03,0.01,0.0,0.0,-0.02,0.07,-0.09,-0.78,-0.83,-13.66,-14.51,99.98
09/16/2021,124.75,4.74,0.52,0.12,0.02,0.0,0.0,0.0,-0.02,-0.07,-0.08,-0.53,-0.57,-14.0,-14.89,99.99
09/17/2021,123.6,4.7,0.49,0.12,0.02,0.0,0.0,0.0,-0.01,-0.07,-0.07,-0.51,-0.54,-13.42,-14.31,100.00000000000004
09/20/2021,124.81,4.74,0.4,0.1,0.02,0.0,0.0,0.0,-0.01,-0.08,-0.06,-0.53,-0.56,-13.97,-14.86,100.0
09/21/2021,122.58,4.66,0.53,0.12,0.02,0.0,0.0,0.0,-0.02,-0.08,-0.07,-0.49,-0.52,-12.93,-13.81,99.99
