,FANG,WFC L,JPM-PK,EVV,WFC C,COF L,DSL,TROW,SKT,DCUE,VIAC,FRT,SLG,BRX,MPLX,SPG,AES,PSXP,OMP,AMGN,KIM,BMY,GD,PTR,GLP,INTC,LMT,MDLZ,ALL,BK,BBY,TRV,STT,PRU,NS,AFL,SITC,JPM,HPQ,MET,WHR,CVS,TSN,CEQP,TX,HYT,ADM,SNP,C,RF E,KOF,EPD,NMR,BSM,GEL,DCP,WFC Z,CIM,GGN,VST,SKM,HFRO,NAVI,BAC O,OMF,JEF,PRGO,VALE,WES,ET,CAH,CNP,OZK,RDN,IVZ,VIRT,HII,FAF,ORI,JPC,CAG,UNM,FNF,KKR C,EQH,HBI,LNC,ZION,T C,CANG,PACW,RCII,BG,MDC,PKX,RDS/A.MX,KT,PBR,DLY,PRE J,COF 4.8 PERP J,BSAC,MUFG,GHY,FCT,TEI,SHG,NRGX,BGB,AKR,UE,BKE,ARI,PDM,RGR,SC,RILY,ISD,FHI,DSU,KRG,DHT,WD,PINC,EAD,REYN,THG,TRTN,SBTA.,PB,SFNC,BOKF,AAT,WAFD,FBP,ONB,BXS,FULT,BLW,SSB,ARDC,PAG,LCII,HOMB,BGFV,KIO,ACRE,JGH,AGPXX,HYI,Cash/Receivables/Payables,WFC 7.5 PERP L,T 4.75 PERP C,BAC 4.375 PERP NN,n/a,RDS/A,COF J,SBGI,SUM
07/09/2021,1.2,1.15,1.14,1.13,1.11,1.11,1.1,1.1,1.09,1.07,1.04,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.0,1.0,0.99,0.99,0.98,0.98,0.98,0.98,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.89,0.88,0.88,0.85,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.76,0.76,0.75,0.75,0.73,0.72,0.72,0.72,0.7,0.68,0.68,0.68,0.68,0.68,0.66,0.66,0.66,0.65,0.65,0.64,0.64,0.64,0.64,0.63,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.55,0.54,0.54,0.53,0.51,0.48,0.48,0.45,0.44,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.25,0.24,0.19,0.16,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,1.17,0.0,1.13,1.12,1.12,1.11,1.1,1.1,1.11,1.07,1.04,1.04,1.01,1.05,1.02,1.03,1.01,1.0,1.02,1.0,1.02,1.0,1.0,0.92,0.97,0.98,0.98,0.98,0.98,0.97,0.96,0.97,0.98,0.96,0.92,0.95,0.96,0.95,0.93,0.91,0.94,0.91,0.91,0.89,0.96,0.9,0.9,0.85,0.88,0.85,0.83,0.82,0.82,0.8,0.8,0.79,0.79,0.76,0.75,0.79,0.75,0.72,0.76,0.72,0.73,0.67,0.68,0.69,0.67,0.67,0.68,0.68,0.68,0.65,0.66,0.62,0.64,0.66,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.63,0.61,0.62,0.0,0.56,0.61,0.61,0.59,0.57,0.59,0.57,0.55,0.53,0.54,0.53,0.51,0.49,0.48,0.45,0.43,0.41,0.39,0.4,0.39,0.39,0.39,0.39,0.38,0.37,0.36,0.36,0.33,0.35,0.35,0.35,0.34,0.33,0.34,0.34,0.33,0.32,0.33,0.32,0.31,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.31,0.3,0.31,0.31,0.3,0.29,0.24,0.24,0.19,0.24,0.14,-0.01,1.15,0.6,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,1.17,0.0,1.13,1.12,1.12,1.11,1.1,1.1,1.11,1.07,1.04,1.04,1.01,1.05,1.02,1.03,1.01,1.0,1.02,1.0,1.02,1.0,1.0,0.92,0.97,0.98,0.98,0.98,0.98,0.97,0.96,0.97,0.98,0.96,0.92,0.95,0.96,0.95,0.93,0.91,0.94,0.91,0.91,0.89,0.96,0.9,0.9,0.85,0.88,0.85,0.83,0.82,0.82,0.8,0.8,0.79,0.79,0.76,0.75,0.79,0.75,0.72,0.76,0.72,0.73,0.67,0.68,0.69,0.67,0.67,0.68,0.68,0.68,0.65,0.66,0.62,0.64,0.66,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.63,0.61,0.62,0.0,0.56,0.61,0.61,0.59,0.57,0.59,0.57,0.55,0.53,0.54,0.53,0.51,0.49,0.48,0.45,0.43,0.41,0.39,0.4,0.39,0.39,0.39,0.39,0.38,0.37,0.36,0.36,0.33,0.35,0.35,0.35,0.34,0.33,0.34,0.34,0.33,0.32,0.33,0.32,0.31,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.31,0.3,0.31,0.31,0.3,0.29,0.24,0.24,0.19,0.24,0.14,-0.01,1.15,0.6,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,1.18,0.0,1.12,1.11,1.11,1.11,1.09,1.13,1.12,1.07,1.05,1.05,1.03,1.05,1.01,1.04,1.01,0.99,1.0,1.0,1.03,1.0,0.99,0.9,0.96,0.99,0.97,0.98,0.98,0.97,0.96,0.97,0.98,0.96,0.92,0.95,0.97,0.97,0.91,0.92,0.94,0.91,0.89,0.86,0.97,0.9,0.89,0.83,0.89,0.86,0.83,0.83,0.81,0.81,0.79,0.78,0.79,0.76,0.75,0.79,0.76,0.72,0.77,0.0,0.74,0.68,0.67,0.69,0.66,0.66,0.68,0.67,0.68,0.66,0.66,0.61,0.64,0.66,0.64,0.64,0.62,0.63,0.64,0.63,0.62,0.63,0.63,0.62,0.0,0.56,0.61,0.6,0.59,0.57,0.59,0.56,0.55,0.53,0.54,0.53,0.5,0.48,0.48,0.45,0.44,0.41,0.4,0.39,0.39,0.41,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.35,0.36,0.34,0.35,0.33,0.34,0.34,0.33,0.32,0.33,0.33,0.31,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.31,0.3,0.31,0.31,0.3,0.29,0.24,0.25,0.19,0.25,0.14,0.0,1.14,0.6,0.71,0.0,0.0,0.0,0.0,100.05
07/16/2021,1.2,1.16,1.14,1.13,1.12,1.12,1.11,1.12,1.11,1.08,1.04,1.04,1.01,1.04,0.99,1.02,0.99,0.98,0.99,1.01,1.02,1.01,1.0,0.92,0.98,1.0,0.98,0.99,0.98,0.98,0.96,0.98,0.98,0.96,0.91,0.95,0.96,0.96,0.89,0.92,0.93,0.92,0.9,0.86,0.98,0.91,0.89,0.86,0.89,0.87,0.83,0.83,0.83,0.8,0.78,0.76,0.8,0.75,0.76,0.78,0.77,0.72,0.78,0.72,0.73,0.68,0.67,0.7,0.66,0.66,0.69,0.66,0.67,0.65,0.67,0.6,0.64,0.65,0.63,0.64,0.6,0.63,0.63,0.62,0.62,0.64,0.62,0.61,0.61,0.59,0.6,0.6,0.59,0.56,0.59,0.57,0.56,0.54,0.54,0.54,0.51,0.48,0.48,0.45,0.44,0.42,0.4,0.39,0.4,0.4,0.39,0.39,0.38,0.38,0.36,0.37,0.34,0.36,0.36,0.35,0.34,0.32,0.34,0.34,0.33,0.32,0.33,0.33,0.3,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.28,0.25,0.24,0.19,0.25,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1
07/19/2021,1.09,0.0,1.14,1.12,1.12,1.13,1.09,1.12,1.1,1.1,1.02,1.05,1.01,1.04,0.97,1.02,0.98,0.98,0.98,1.03,1.04,1.02,1.01,0.9,0.98,0.99,0.99,1.01,0.97,0.96,0.99,1.0,0.97,0.97,0.9,0.97,0.97,0.97,0.89,0.92,0.95,0.93,0.9,0.84,1.03,0.9,0.89,0.87,0.89,0.87,0.85,0.82,0.82,0.79,0.77,0.74,0.8,0.74,0.75,0.78,0.76,0.72,0.79,0.72,0.73,0.72,0.68,0.71,0.63,0.63,0.68,0.68,0.68,0.66,0.65,0.61,0.64,0.66,0.63,0.64,0.61,0.63,0.64,0.62,0.62,0.63,0.62,0.62,0.61,0.57,0.6,0.6,0.58,0.56,0.6,0.55,0.57,0.53,0.54,0.54,0.51,0.47,0.48,0.45,0.44,0.41,0.4,0.38,0.39,0.39,0.39,0.38,0.38,0.38,0.35,0.37,0.33,0.35,0.35,0.34,0.34,0.32,0.35,0.35,0.33,0.32,0.33,0.33,0.29,0.33,0.32,0.32,0.32,0.33,0.32,0.31,0.31,0.32,0.3,0.31,0.3,0.31,0.31,0.29,0.26,0.25,0.25,0.19,0.33,0.14,-0.01,1.17,0.0,0.0,0.0,0.0,0.0,0.0,100.08
07/22/2021,1.01,0.0,1.18,1.16,1.16,1.16,1.1,1.12,1.03,1.13,1.02,1.04,0.99,1.02,0.94,0.98,0.97,0.96,0.93,1.06,0.99,1.04,1.02,0.9,0.96,1.0,1.01,1.05,0.98,0.97,0.99,1.01,0.97,0.96,0.9,0.97,0.94,0.95,0.9,0.91,0.94,0.95,0.92,0.81,1.04,0.91,0.9,0.87,0.88,0.89,0.87,0.82,0.85,0.8,0.72,0.7,0.83,0.75,0.73,0.77,0.79,0.74,0.79,0.74,0.73,0.71,0.69,0.69,0.61,0.62,0.7,0.69,0.66,0.66,0.64,0.62,0.64,0.67,0.63,0.66,0.65,0.62,0.64,0.63,0.62,0.63,0.59,0.59,0.63,0.56,0.58,0.61,0.59,0.58,0.59,0.54,0.59,0.52,0.55,0.56,0.52,0.49,0.48,0.46,0.45,0.42,0.4,0.37,0.41,0.38,0.39,0.36,0.38,0.38,0.36,0.38,0.32,0.36,0.35,0.35,0.31,0.32,0.35,0.36,0.34,0.34,0.33,0.32,0.29,0.32,0.31,0.31,0.31,0.33,0.31,0.3,0.3,0.31,0.31,0.3,0.31,0.31,0.32,0.28,0.25,0.25,0.25,0.19,0.3,0.15,-0.01,1.21,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/23/2021,1.01,1.17,1.15,1.14,1.14,1.13,1.1,1.13,1.07,1.11,1.01,1.06,1.02,1.05,0.97,1.03,0.97,0.99,0.94,1.04,1.04,1.02,1.03,0.88,0.95,0.99,1.01,1.03,0.97,0.99,0.99,0.99,0.99,0.97,0.91,0.97,0.99,0.94,0.9,0.92,0.92,0.94,0.91,0.84,1.03,0.91,0.89,0.84,0.88,0.87,0.85,0.82,0.84,0.79,0.72,0.74,0.81,0.76,0.73,0.77,0.78,0.73,0.8,0.72,0.74,0.71,0.68,0.69,0.63,0.64,0.71,0.69,0.66,0.66,0.64,0.61,0.65,0.67,0.63,0.65,0.63,0.63,0.64,0.63,0.63,0.63,0.6,0.61,0.61,0.54,0.62,0.63,0.58,0.58,0.58,0.53,0.59,0.52,0.54,0.55,0.51,0.51,0.48,0.45,0.44,0.41,0.39,0.37,0.4,0.39,0.4,0.37,0.39,0.39,0.35,0.37,0.32,0.35,0.35,0.34,0.32,0.31,0.35,0.35,0.33,0.33,0.33,0.32,0.29,0.32,0.31,0.32,0.32,0.33,0.31,0.3,0.29,0.31,0.31,0.3,0.3,0.32,0.33,0.28,0.26,0.25,0.25,0.19,0.29,0.15,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/03/2021,1.03,1.15,1.13,1.14,1.13,1.14,1.1,1.12,1.02,1.09,1.01,1.05,0.98,1.06,0.98,1.03,0.94,0.94,0.96,1.01,1.05,1.03,1.05,0.86,1.04,0.95,0.97,1.0,0.97,1.01,0.99,0.95,1.03,0.97,0.87,1.0,1.02,0.95,0.91,0.91,0.95,0.94,0.9,0.88,1.13,0.91,0.91,0.82,0.88,0.87,0.91,0.77,0.82,0.82,0.72,0.71,0.79,0.76,0.75,0.79,0.71,0.69,0.79,0.71,0.74,0.7,0.7,0.66,0.63,0.63,0.71,0.68,0.66,0.67,0.61,0.59,0.65,0.7,0.63,0.64,0.59,0.62,0.65,0.67,0.65,0.64,0.61,0.62,0.0,0.51,0.61,0.66,0.6,0.63,0.62,0.57,0.57,0.52,0.54,0.54,0.51,0.51,0.47,0.45,0.43,0.42,0.39,0.37,0.4,0.39,0.4,0.35,0.37,0.38,0.33,0.37,0.32,0.35,0.34,0.34,0.32,0.31,0.36,0.35,0.33,0.31,0.33,0.34,0.29,0.31,0.31,0.32,0.31,0.33,0.33,0.29,0.29,0.31,0.31,0.27,0.3,0.35,0.34,0.27,0.26,0.24,0.25,0.19,0.36,0.15,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,100.02
08/04/2021,1.03,1.15,1.13,1.14,1.13,1.14,1.1,1.12,1.02,1.09,1.01,1.05,0.98,1.06,0.98,1.03,0.94,0.94,0.96,1.01,1.05,1.03,1.05,0.86,1.04,0.95,0.97,1.0,0.97,1.01,0.99,0.95,1.03,0.97,0.87,1.0,1.02,0.95,0.91,0.91,0.95,0.94,0.9,0.88,1.13,0.91,0.91,0.82,0.88,0.87,0.91,0.77,0.82,0.82,0.72,0.71,0.79,0.76,0.75,0.79,0.71,0.69,0.79,0.71,0.74,0.7,0.7,0.66,0.63,0.63,0.71,0.68,0.66,0.67,0.61,0.59,0.65,0.7,0.63,0.64,0.59,0.62,0.65,0.67,0.65,0.64,0.61,0.62,0.0,0.51,0.61,0.66,0.6,0.63,0.62,0.57,0.57,0.52,0.54,0.54,0.51,0.51,0.47,0.45,0.43,0.42,0.39,0.37,0.4,0.39,0.4,0.35,0.37,0.38,0.33,0.37,0.32,0.35,0.34,0.34,0.32,0.31,0.36,0.35,0.33,0.31,0.33,0.34,0.29,0.31,0.31,0.32,0.31,0.33,0.33,0.29,0.29,0.31,0.31,0.27,0.3,0.35,0.34,0.27,0.26,0.24,0.25,0.19,0.36,0.15,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,100.02
