,NATURAL GAS FUTR May21,MORGAN STANLEY LIQ GOVT INST 8302,B 0 05/06/21,RBC US GOVTT 1 1465,CASH,BNY CASH RESERVE,GOLDMAN FS GOVT INST 465,FIDELITY INVESTMENT MM GOV 1 57,SUM
07/09/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/12/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/13/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/14/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/15/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/16/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/19/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/20/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/21/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/22/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/23/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/26/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/27/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/28/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/29/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
07/30/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
08/02/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
08/03/2021,100.0,63.16,18.26,7.32,4.71,4.06,0.4,0.0,197.91
