,United States Treasury Bills 0%,AAPL,MSFT,AMZN,FB,GOOG,TSLA,NVDA,GOOGL,PYPL,ADBE,CMCSA,NFLX,INTC,CSCO,PEP,AVGO,TMUS,TXN,COST,QCOM,AMGN,CHTR,INTU,SBUX,AMAT,AMD,ISRG,MRNA,BKNG,LRCX,ZM,MU,MDLZ,GILD,ADP,MELI,CSX,FISV,ATVI,ILMN,ADSK,JD,ADI,REGN,NXPI,IDXX,BIDU,BIIB,ASML,VRTX,DOCU,KDP,KHC,ALGN,MNST,KLAC,MRVL,EBAY,PDD,LULU,MAR,ROST,EXC,MTCH,WDAY,AEP,SNPS,WBA,ORLY,DXCM,EA,ALXN,CTAS,CHG.BK,MCHP,PAYX,CDNS,CTSH,XEL,NTES,XLNX,TEAM,PTON,PCAR,SWKS,CPRT,ANSS,OKTA,FAST,SGEN,VRSK,SIRI,MXIM,VRSN,CDW,CERN,DLTR,SPLK,TCOM,INCY,CHKP,FOXA,FOX,U.S. Bank Money Market Deposit Account,B 0 07/15/21,AZN,HON,n/a,EGCO.BK,BIDI11.SA,B 0 10/14/21,SUM
07/09/2021,44.84,6.06,5.41,4.57,2.25,2.17,2.14,2.02,1.95,1.36,1.13,1.07,0.95,0.92,0.91,0.83,0.77,0.73,0.71,0.7,0.64,0.57,0.55,0.54,0.54,0.51,0.45,0.44,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.31,0.3,0.29,0.29,0.28,0.26,0.26,0.25,0.25,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.07,0.07,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,44.45,6.33,5.53,4.88,2.21,2.21,2.02,2.02,1.99,1.39,1.16,1.06,0.95,0.91,0.9,0.83,0.76,0.74,0.7,0.72,0.63,0.56,0.56,0.55,0.55,0.49,0.44,0.45,0.35,0.36,0.35,0.37,0.35,0.36,0.34,0.35,0.31,0.3,0.29,0.29,0.28,0.26,0.24,0.24,0.25,0.22,0.23,0.2,0.22,0.21,0.21,0.22,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.0,0.15,0.16,0.15,0.14,0.15,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.07,0.07,0.06,0.05,0.03,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,44.45,6.33,5.53,4.88,2.21,2.21,2.02,2.02,1.99,1.39,1.16,1.06,0.95,0.91,0.9,0.83,0.76,0.74,0.7,0.72,0.63,0.56,0.56,0.55,0.55,0.49,0.44,0.45,0.35,0.36,0.35,0.37,0.35,0.36,0.34,0.35,0.31,0.3,0.29,0.29,0.28,0.26,0.24,0.24,0.25,0.22,0.23,0.2,0.22,0.21,0.21,0.22,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.0,0.15,0.16,0.15,0.14,0.15,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.07,0.07,0.06,0.05,0.03,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,44.51,6.34,5.48,4.9,2.2,2.2,2.05,1.98,1.97,1.4,1.15,1.06,0.95,0.91,0.91,0.83,0.78,0.72,0.7,0.73,0.64,0.56,0.55,0.55,0.55,0.49,0.44,0.45,0.37,0.36,0.35,0.36,0.35,0.35,0.34,0.35,0.31,0.29,0.29,0.29,0.28,0.26,0.24,0.25,0.24,0.22,0.23,0.2,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.17,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.0,0.15,0.16,0.15,0.14,0.14,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.06,0.07,0.07,0.05,0.03,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/15/2021,0.0,6.34,5.49,4.92,2.23,2.22,2.15,2.04,2.01,1.42,1.15,1.07,0.95,0.92,0.9,0.83,0.79,0.73,0.71,0.72,0.65,0.56,0.54,0.55,0.56,0.5,0.44,0.45,0.38,0.37,0.36,0.36,0.36,0.36,0.34,0.35,0.31,0.29,0.29,0.29,0.28,0.26,0.24,0.25,0.24,0.23,0.23,0.2,0.21,0.22,0.21,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.15,0.14,0.15,0.13,0.13,0.14,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.06,0.07,0.07,0.05,0.04,0.11,44.07,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/16/2021,0.0,6.36,5.54,4.85,2.21,2.22,2.09,2.0,2.0,1.4,1.15,1.05,0.96,0.92,0.9,0.84,0.78,0.73,0.7,0.72,0.64,0.56,0.53,0.55,0.56,0.5,0.43,0.45,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.35,0.31,0.29,0.29,0.29,0.28,0.26,0.25,0.25,0.24,0.23,0.23,0.2,0.21,0.22,0.21,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.17,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.0,0.15,0.16,0.15,0.14,0.14,0.14,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.06,0.07,0.07,0.05,0.03,0.58,43.87,0.0,0.0,0.0,0.0,0.0,0.0,99.94999999999996
07/19/2021,43.83,6.51,5.56,4.85,2.18,2.24,2.04,1.96,2.01,1.4,1.16,1.05,0.97,0.91,0.91,0.85,0.78,0.74,0.7,0.72,0.65,0.56,0.53,0.55,0.56,0.49,0.43,0.45,0.39,0.36,0.36,0.34,0.35,0.36,0.34,0.35,0.3,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.2,0.21,0.22,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.16,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.0,0.15,0.16,0.15,0.14,0.15,0.14,0.13,0.14,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.06,0.07,0.07,0.05,0.03,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/20/2021,43.83,6.51,5.56,4.85,2.18,2.24,2.04,1.96,2.01,1.4,1.16,1.05,0.97,0.91,0.91,0.85,0.78,0.74,0.7,0.72,0.65,0.56,0.53,0.55,0.56,0.49,0.43,0.45,0.39,0.36,0.36,0.34,0.35,0.36,0.34,0.35,0.3,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.2,0.21,0.22,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.16,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.0,0.15,0.16,0.15,0.14,0.15,0.14,0.13,0.14,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.06,0.07,0.07,0.05,0.03,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/21/2021,43.83,6.51,5.56,4.85,2.18,2.24,2.04,1.96,2.01,1.4,1.16,1.05,0.97,0.91,0.91,0.85,0.78,0.74,0.7,0.72,0.65,0.56,0.53,0.55,0.56,0.49,0.43,0.45,0.39,0.36,0.36,0.34,0.35,0.36,0.34,0.35,0.3,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.2,0.21,0.22,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.16,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.0,0.15,0.16,0.15,0.14,0.15,0.14,0.13,0.14,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.06,0.07,0.07,0.05,0.03,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/22/2021,43.83,6.51,5.56,4.85,2.18,2.24,2.04,1.96,2.01,1.4,1.16,1.05,0.97,0.91,0.91,0.85,0.78,0.74,0.7,0.72,0.65,0.56,0.53,0.55,0.56,0.49,0.43,0.45,0.39,0.36,0.36,0.34,0.35,0.36,0.34,0.35,0.3,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.2,0.21,0.22,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.16,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.0,0.15,0.16,0.15,0.14,0.15,0.14,0.13,0.14,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.06,0.07,0.07,0.05,0.03,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
