,WSO,SBAC,COO,TYL,BRO,AXON,SIVB,JLL,RMD,FAST,ALRM,MKL,GNTX,PCTY,BR,LCII,GXO,PAYC,SPLK,THO,XPO,IPGP,TSCO,TDOC,n/a,CGNX,AVLR,EVBG,HQY,ANSS,HSKA,CDLX,RARE,SUM
01/11/2022,6.74,5.35,4.95,4.77,4.67,4.6,4.49,4.28,4.16,4.08,3.77,3.76,3.6,3.57,3.26,2.95,2.87,2.72,2.65,2.62,2.48,2.25,1.95,1.95,1.87,1.86,1.85,1.54,1.5,1.0,0.83,0.75,0.3,99.99
01/12/2022,6.72,5.4,4.99,4.74,4.74,4.51,4.55,4.31,4.13,4.05,3.67,3.85,3.64,3.51,3.26,2.91,2.88,2.75,2.69,2.66,2.46,2.22,1.95,1.99,1.82,1.85,1.85,1.54,1.49,1.0,0.83,0.74,0.28,99.98
01/13/2022,6.72,5.4,4.99,4.74,4.74,4.51,4.55,4.31,4.13,4.05,3.67,3.85,3.64,3.51,3.26,2.91,2.88,2.75,2.69,2.66,2.46,2.22,1.95,1.99,1.82,1.85,1.85,1.54,1.49,1.0,0.83,0.74,0.28,99.98
01/14/2022,6.68,5.31,5.07,4.75,4.69,4.57,4.41,4.22,4.12,4.01,3.71,3.85,3.64,3.59,3.18,2.88,2.96,2.81,2.77,2.61,2.43,2.23,1.94,1.98,1.82,1.86,1.92,1.54,1.62,1.0,0.87,0.71,0.28,100.03
01/17/2022,6.77,5.2,5.09,4.71,4.74,4.47,4.43,4.37,4.39,4.06,3.68,3.9,3.66,3.41,3.11,2.84,3.11,2.65,2.83,2.57,2.44,2.2,1.98,1.9,1.84,1.85,1.85,1.44,1.64,0.97,0.81,0.82,0.27,100.0
01/18/2022,6.77,5.2,5.09,4.71,4.74,4.47,4.43,4.37,4.39,4.06,3.68,3.9,3.66,3.41,3.11,2.84,3.11,2.65,2.83,2.57,2.44,2.2,1.98,1.9,1.84,1.85,1.85,1.44,1.64,0.97,0.81,0.82,0.27,100.0
01/19/2022,6.77,5.2,5.09,4.71,4.74,4.47,4.43,4.37,4.39,4.06,3.68,3.9,3.66,3.41,3.11,2.84,3.11,2.65,2.83,2.57,2.44,2.2,1.98,1.9,1.84,1.85,1.85,1.44,1.64,0.97,0.81,0.82,0.27,100.0
01/20/2022,6.77,5.2,5.09,4.71,4.74,4.47,4.43,4.37,4.39,4.06,3.68,3.9,3.66,3.41,3.11,2.84,3.11,2.65,2.83,2.57,2.44,2.2,1.98,1.9,1.84,1.85,1.85,1.44,1.64,0.97,0.81,0.82,0.27,100.0
01/21/2022,6.83,5.26,5.08,4.74,4.73,4.27,4.31,4.34,4.36,4.05,3.73,4.02,3.75,3.4,3.15,2.69,3.09,2.59,2.88,2.51,2.57,2.26,1.97,1.9,1.9,1.86,1.82,1.4,1.67,0.97,0.84,0.79,0.27,100.0
01/24/2022,6.87,5.22,5.09,4.79,4.67,4.31,4.26,4.26,4.4,4.05,3.72,3.98,3.64,3.46,3.19,2.65,3.12,2.67,2.92,2.62,2.54,2.19,1.98,1.91,1.93,1.86,1.84,1.39,1.66,0.97,0.83,0.77,0.27,100.03
01/25/2022,6.8,5.22,5.11,4.77,4.71,4.41,4.27,4.35,4.4,3.98,3.74,4.03,3.57,3.47,3.22,2.52,3.22,2.7,2.94,2.37,2.51,2.17,1.91,1.95,1.96,1.83,1.85,1.42,1.71,0.98,0.84,0.79,0.28,100.0
01/26/2022,6.87,5.25,5.14,4.83,4.72,4.47,3.92,4.46,4.44,4.09,3.74,4.05,3.59,3.41,3.22,2.46,3.16,2.6,2.93,2.37,2.49,2.17,1.94,1.91,1.99,1.85,1.8,1.41,1.77,0.97,0.88,0.8,0.28,99.98
01/27/2022,6.87,5.25,5.14,4.83,4.72,4.47,3.92,4.46,4.44,4.09,3.74,4.05,3.59,3.41,3.22,2.46,3.16,2.6,2.93,2.37,2.49,2.17,1.94,1.91,1.99,1.85,1.8,1.41,1.77,0.97,0.88,0.8,0.28,99.98
