,IDXX,IQV,CNC,DLR,MCHP,APTV,APH,CARR,VEEV,SNPS,MRVL,CMG,INFO,MSCI,DFS,DOCU,DXCM,CDNS,MTCH,IFF,MSI,CTVA,TDG,WLTW,CSGP,FRC,PANW,GLW,DHI,PXD,VLO,SBAC,WCN.TO,CTAS,WELL,FCX,AME,XLNX,NUE,KKR,FAST,MTD,DAL,AMP,FTNT,SIVB,FITB,RMD,WEC,NEM,ANSS,AVB,EQR,EFX,AJG,WY,VRSK,AWK,SWKS,CBRE,ODFL,ES,LEN,PTON,CPRT,MXIM,BBY,KSU,OKTA,BLL,LH,ZBRA,DTE,KEYS,LBRDK,SYF,WST,O,EPAM,TTD,IP,EXPE,KLAC,CCL,ARE,VMC,OXY,URI,NTRS,CERN,CDW,OKE,TSN,HIG,FTV,HES,VIAC,FLT,DLTR,AIG,MLM,RF,W,PPL,KEY,CLX,HUBS,MKC,TER,TWTR,WDC,GRMN,STT,DOV,BURL,TTWO,XYL,EXPD,CFG,EIX,VRSN,TSCO,SGEN,SPG,ETR,CHD,WORK,ALGN,VTR,AEE,QRVO,MTB,HPE,FE,GWW,INVH,ALLY,TRU,STX,TDOC,RCL,MPC,RNG,WAT,CRWD,ETSY,EXR,SPLK,IT,ALB,TRMB,ANET,LNG,COO,NDAQ,LULU,ESS,DDOG,HAL,GPC,CE,TFX,KMX,EXAS,SUI,DRI,IR,CINF,AKAM,ADM,ED,VTRS,ULTA,J,BR,ALXN,PSX,MAA,AVY,Z,UAL,LUV,CMS,PEAK,PFG,PODD,OMC,CAG,DGX,NET,HLT,PINS,DRE,NTAP,COUP,NVR,EMN,OTIS,ELAN,MGM,AMC,GNRC,ROKU,PLTR,HBAN,HZNP,CZR,ALNY,STE,TDY,PLUG,PAYC,TYL,DPZ,AES,SUM
07/09/2021,0.72,0.69,0.64,0.64,0.64,0.61,0.61,0.6,0.6,0.58,0.58,0.58,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.18
07/12/2021,0.72,0.69,0.64,0.64,0.64,0.61,0.61,0.6,0.6,0.58,0.58,0.58,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.18
07/13/2021,0.72,0.69,0.64,0.64,0.64,0.61,0.61,0.6,0.6,0.58,0.58,0.58,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.18
07/14/2021,0.72,0.69,0.64,0.64,0.64,0.61,0.61,0.6,0.6,0.58,0.58,0.58,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.18
07/15/2021,0.72,0.69,0.64,0.64,0.64,0.61,0.61,0.6,0.6,0.58,0.58,0.58,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.18
07/16/2021,0.72,0.69,0.64,0.64,0.64,0.61,0.61,0.6,0.6,0.58,0.58,0.58,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.18
07/19/2021,0.78,0.68,0.62,0.62,0.6,0.62,0.59,0.61,0.62,0.61,0.68,0.63,0.59,0.61,0.52,0.75,0.6,0.55,0.59,0.54,0.54,0.48,0.49,0.43,0.48,0.48,0.5,0.46,0.43,0.52,0.46,0.51,0.45,0.5,0.5,0.0,0.45,0.52,0.42,0.0,0.43,0.47,0.4,0.42,0.48,0.44,0.39,0.52,0.41,0.0,0.44,0.42,0.4,0.42,0.42,0.38,0.41,0.41,0.46,0.4,0.39,0.4,0.4,0.46,0.41,0.41,0.38,0.37,0.51,0.39,0.39,0.41,0.37,0.41,0.38,0.41,0.39,0.36,0.4,0.49,0.35,0.34,0.36,0.32,0.39,0.34,0.4,0.34,0.33,0.34,0.36,0.36,0.32,0.32,0.33,0.35,0.38,0.31,0.34,0.3,0.32,0.28,0.34,0.3,0.29,0.33,0.38,0.32,0.32,0.38,0.3,0.32,0.29,0.32,0.31,0.3,0.31,0.31,0.28,0.32,0.32,0.31,0.31,0.31,0.29,0.3,0.31,0.33,0.31,0.3,0.32,0.27,0.28,0.29,0.28,0.31,0.27,0.31,0.26,0.34,0.27,0.29,0.33,0.31,0.0,0.38,0.32,0.34,0.29,0.29,0.3,0.3,0.29,0.28,0.29,0.32,0.28,0.34,0.28,0.27,0.0,0.27,0.31,0.31,0.28,0.28,0.27,0.26,0.28,0.0,0.0,0.25,0.28,0.25,0.27,0.3,0.27,0.28,0.25,0.29,0.0,0.0,0.0,0.26,0.0,0.26,0.25,0.25,0.25,0.36,0.0,0.31,0.26,0.27,0.28,0.0,0.0,0.26,0.0,0.26,0.41,0.38,0.33,0.31,0.31,0.31,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.25,74.77000000000001
07/20/2021,0.78,0.68,0.62,0.62,0.6,0.62,0.59,0.61,0.62,0.61,0.68,0.63,0.59,0.61,0.52,0.75,0.6,0.55,0.59,0.54,0.54,0.48,0.49,0.43,0.48,0.48,0.5,0.46,0.43,0.52,0.46,0.51,0.45,0.5,0.5,0.0,0.45,0.52,0.42,0.0,0.43,0.47,0.4,0.42,0.48,0.44,0.39,0.52,0.41,0.0,0.44,0.42,0.4,0.42,0.42,0.38,0.41,0.41,0.46,0.4,0.39,0.4,0.4,0.46,0.41,0.41,0.38,0.37,0.51,0.39,0.39,0.41,0.37,0.41,0.38,0.41,0.39,0.36,0.4,0.49,0.35,0.34,0.36,0.32,0.39,0.34,0.4,0.34,0.33,0.34,0.36,0.36,0.32,0.32,0.33,0.35,0.38,0.31,0.34,0.3,0.32,0.28,0.34,0.3,0.29,0.33,0.38,0.32,0.32,0.38,0.3,0.32,0.29,0.32,0.31,0.3,0.31,0.31,0.28,0.32,0.32,0.31,0.31,0.31,0.29,0.3,0.31,0.33,0.31,0.3,0.32,0.27,0.28,0.29,0.28,0.31,0.27,0.31,0.26,0.34,0.27,0.29,0.33,0.31,0.0,0.38,0.32,0.34,0.29,0.29,0.3,0.3,0.29,0.28,0.29,0.32,0.28,0.34,0.28,0.27,0.0,0.27,0.31,0.31,0.28,0.28,0.27,0.26,0.28,0.0,0.0,0.25,0.28,0.25,0.27,0.3,0.27,0.28,0.25,0.29,0.0,0.0,0.0,0.26,0.0,0.26,0.25,0.25,0.25,0.36,0.0,0.31,0.26,0.27,0.28,0.0,0.0,0.26,0.0,0.26,0.41,0.38,0.33,0.31,0.31,0.31,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.25,74.77000000000001
07/21/2021,0.78,0.68,0.62,0.62,0.6,0.62,0.59,0.61,0.62,0.61,0.68,0.63,0.59,0.61,0.52,0.75,0.6,0.55,0.59,0.54,0.54,0.48,0.49,0.43,0.48,0.48,0.5,0.46,0.43,0.52,0.46,0.51,0.45,0.5,0.5,0.0,0.45,0.52,0.42,0.0,0.43,0.47,0.4,0.42,0.48,0.44,0.39,0.52,0.41,0.0,0.44,0.42,0.4,0.42,0.42,0.38,0.41,0.41,0.46,0.4,0.39,0.4,0.4,0.46,0.41,0.41,0.38,0.37,0.51,0.39,0.39,0.41,0.37,0.41,0.38,0.41,0.39,0.36,0.4,0.49,0.35,0.34,0.36,0.32,0.39,0.34,0.4,0.34,0.33,0.34,0.36,0.36,0.32,0.32,0.33,0.35,0.38,0.31,0.34,0.3,0.32,0.28,0.34,0.3,0.29,0.33,0.38,0.32,0.32,0.38,0.3,0.32,0.29,0.32,0.31,0.3,0.31,0.31,0.28,0.32,0.32,0.31,0.31,0.31,0.29,0.3,0.31,0.33,0.31,0.3,0.32,0.27,0.28,0.29,0.28,0.31,0.27,0.31,0.26,0.34,0.27,0.29,0.33,0.31,0.0,0.38,0.32,0.34,0.29,0.29,0.3,0.3,0.29,0.28,0.29,0.32,0.28,0.34,0.28,0.27,0.0,0.27,0.31,0.31,0.28,0.28,0.27,0.26,0.28,0.0,0.0,0.25,0.28,0.25,0.27,0.3,0.27,0.28,0.25,0.29,0.0,0.0,0.0,0.26,0.0,0.26,0.25,0.25,0.25,0.36,0.0,0.31,0.26,0.27,0.28,0.0,0.0,0.26,0.0,0.26,0.41,0.38,0.33,0.31,0.31,0.31,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.25,74.77000000000001
07/22/2021,0.78,0.68,0.62,0.62,0.6,0.62,0.59,0.61,0.62,0.61,0.68,0.63,0.59,0.61,0.52,0.75,0.6,0.55,0.59,0.54,0.54,0.48,0.49,0.43,0.48,0.48,0.5,0.46,0.43,0.52,0.46,0.51,0.45,0.5,0.5,0.0,0.45,0.52,0.42,0.0,0.43,0.47,0.4,0.42,0.48,0.44,0.39,0.52,0.41,0.0,0.44,0.42,0.4,0.42,0.42,0.38,0.41,0.41,0.46,0.4,0.39,0.4,0.4,0.46,0.41,0.41,0.38,0.37,0.51,0.39,0.39,0.41,0.37,0.41,0.38,0.41,0.39,0.36,0.4,0.49,0.35,0.34,0.36,0.32,0.39,0.34,0.4,0.34,0.33,0.34,0.36,0.36,0.32,0.32,0.33,0.35,0.38,0.31,0.34,0.3,0.32,0.28,0.34,0.3,0.29,0.33,0.38,0.32,0.32,0.38,0.3,0.32,0.29,0.32,0.31,0.3,0.31,0.31,0.28,0.32,0.32,0.31,0.31,0.31,0.29,0.3,0.31,0.33,0.31,0.3,0.32,0.27,0.28,0.29,0.28,0.31,0.27,0.31,0.26,0.34,0.27,0.29,0.33,0.31,0.0,0.38,0.32,0.34,0.29,0.29,0.3,0.3,0.29,0.28,0.29,0.32,0.28,0.34,0.28,0.27,0.0,0.27,0.31,0.31,0.28,0.28,0.27,0.26,0.28,0.0,0.0,0.25,0.28,0.25,0.27,0.3,0.27,0.28,0.25,0.29,0.0,0.0,0.0,0.26,0.0,0.26,0.25,0.25,0.25,0.36,0.0,0.31,0.26,0.27,0.28,0.0,0.0,0.26,0.0,0.26,0.41,0.38,0.33,0.31,0.31,0.31,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.25,74.77000000000001
