,UNH,ABT,MDT,TMO,JNJ,DHR,ISRG,SYK,XTSLA,CVS,EW,BDX,ILMN,BSX,HCA,CI,HUM,ANTM,DXCM,CNC,IDXX,RMD,ABBV,ZBH,PFE,LH,IQV,A,BAX,PODD,COO,MCK,TFX,ALGN,EXAS,CERN,DGX,HOLX,WBA,ABMD,MASI,TDOC,CAH,ABC,PEN,TECH,UHS,PKI,AMED,BIO,EHC,WAT,NVCR,DVA,NTRA,STE,GH,HSIC,WELL,XRAY,THC,CHD,VTR,GMED,MPW,AMGN,LHCG,HRC,AVTR,STAA,SEM,NVTA,TNDM,CHE,CRL,INSP,NEO,ACHC,QDEL,BRKR,SWAV,IART,LLY,OMCL,PINC,PEAK,TXG,NVRO,BFAM,NOVT,NVST,CDNA,AMN,CHNG,PACB,LIVN,NUVA,MMSI,MOH,ICUI,TWST,MD,MMS,OHI,ATRC,ENSG,BHC.TO,PGNY,USD,MDRX,VCYT,USPH,OMI,ITGR,NSTG,SBRA,ZTS,DOC,HAE,MYGN,IRTC,MODV,OPCH,PDCO,ICLR,MEDP,LOPE,GKOS,ADPT,HCSG,RCM,SYNH,EVH,SRCL,EYE,SILK,OPK,NEOG,LMNX,PHR,NHI,CSII,QTRX,CVET,ANGO,MGLN,LMAT,PRGO,ADUS,AVNS,TRHC,OSIS,OFIX,OSUR,STRA,CUTR,AXGN,127.HK,XENT,n/a,SUM
07/09/2021,11.87,7.7,5.86,4.46,4.32,4.17,3.94,3.07,2.91,2.7,2.43,2.36,2.34,2.2,1.99,1.91,1.57,1.39,1.31,1.26,1.24,1.16,1.0,0.92,0.84,0.79,0.78,0.78,0.72,0.65,0.64,0.63,0.61,0.61,0.57,0.57,0.54,0.49,0.48,0.48,0.45,0.44,0.43,0.37,0.37,0.36,0.36,0.35,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,100.01
07/12/2021,11.87,7.73,5.89,4.47,4.35,4.15,3.96,3.06,2.92,2.67,2.48,2.38,2.33,2.19,1.99,1.88,1.58,1.38,1.33,1.24,1.25,1.18,1.0,0.9,0.84,0.79,0.78,0.78,0.72,0.64,0.64,0.63,0.63,0.62,0.55,0.57,0.54,0.49,0.47,0.48,0.46,0.43,0.42,0.37,0.36,0.37,0.36,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.18,0.17,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.96
07/13/2021,11.87,7.73,5.89,4.47,4.35,4.15,3.96,3.06,2.92,2.67,2.48,2.38,2.33,2.19,1.99,1.88,1.58,1.38,1.33,1.24,1.25,1.18,1.0,0.9,0.84,0.79,0.78,0.78,0.72,0.64,0.64,0.63,0.63,0.62,0.55,0.57,0.54,0.49,0.47,0.48,0.46,0.43,0.42,0.37,0.36,0.37,0.36,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.18,0.17,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.96
07/14/2021,11.88,7.73,5.9,4.44,4.35,4.14,3.94,3.05,2.9,2.69,2.45,2.36,2.34,2.19,2.02,1.9,1.58,1.39,1.3,1.25,1.25,1.16,1.0,0.9,0.84,0.8,0.78,0.79,0.71,0.64,0.64,0.63,0.62,0.63,0.56,0.57,0.54,0.49,0.48,0.47,0.45,0.43,0.43,0.37,0.37,0.37,0.36,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.27,0.26,0.26,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.98
07/15/2021,11.88,7.73,5.9,4.44,4.35,4.14,3.94,3.05,2.9,2.69,2.45,2.36,2.34,2.19,2.02,1.9,1.58,1.39,1.3,1.25,1.25,1.16,1.0,0.9,0.84,0.8,0.78,0.79,0.71,0.64,0.64,0.63,0.62,0.63,0.56,0.57,0.54,0.49,0.48,0.47,0.45,0.43,0.43,0.37,0.37,0.37,0.36,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.27,0.26,0.26,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.98
07/16/2021,12.09,7.67,5.87,4.42,4.34,4.14,3.97,3.03,2.91,2.71,2.44,2.35,2.38,2.17,2.03,1.9,1.59,1.43,1.32,1.27,1.25,1.16,1.01,0.88,0.85,0.79,0.78,0.78,0.72,0.61,0.64,0.63,0.62,0.64,0.54,0.57,0.54,0.48,0.48,0.47,0.46,0.42,0.43,0.37,0.35,0.36,0.36,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.27,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.2,0.2,0.19,0.17,0.17,0.15,0.15,0.16,0.16,0.16,0.16,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.12,0.13,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.93999999999998
07/19/2021,12.24,7.61,5.83,4.46,4.36,4.23,3.99,3.0,2.93,2.74,2.45,2.35,2.29,2.14,2.06,1.92,1.63,1.44,1.32,1.26,1.25,1.18,1.02,0.87,0.86,0.79,0.78,0.79,0.73,0.6,0.63,0.64,0.56,0.63,0.53,0.57,0.54,0.48,0.47,0.46,0.47,0.4,0.43,0.37,0.34,0.36,0.36,0.34,0.31,0.32,0.31,0.32,0.3,0.3,0.28,0.28,0.25,0.26,0.27,0.25,0.23,0.23,0.23,0.22,0.22,0.23,0.2,0.2,0.19,0.17,0.16,0.14,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.12,0.13,0.13,0.14,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.15,0.07,0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.98
07/20/2021,12.24,7.61,5.83,4.46,4.36,4.23,3.99,3.0,2.93,2.74,2.45,2.35,2.29,2.14,2.06,1.92,1.63,1.44,1.32,1.26,1.25,1.18,1.02,0.87,0.86,0.79,0.78,0.79,0.73,0.6,0.63,0.64,0.56,0.63,0.53,0.57,0.54,0.48,0.47,0.46,0.47,0.4,0.43,0.37,0.34,0.36,0.36,0.34,0.31,0.32,0.31,0.32,0.3,0.3,0.28,0.28,0.25,0.26,0.27,0.25,0.23,0.23,0.23,0.22,0.22,0.23,0.2,0.2,0.19,0.17,0.16,0.14,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.12,0.13,0.13,0.14,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.15,0.07,0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.98
07/21/2021,12.19,7.64,5.83,4.5,4.34,4.28,3.96,3.0,3.01,2.72,2.45,2.36,2.3,2.13,2.04,1.9,1.64,1.42,1.34,1.25,1.26,1.19,1.02,0.87,0.87,0.79,0.78,0.79,0.73,0.61,0.63,0.64,0.58,0.62,0.54,0.56,0.54,0.49,0.47,0.47,0.46,0.4,0.43,0.37,0.34,0.37,0.36,0.34,0.31,0.32,0.31,0.32,0.3,0.3,0.28,0.28,0.26,0.26,0.28,0.24,0.23,0.24,0.23,0.22,0.23,0.23,0.2,0.2,0.19,0.17,0.16,0.14,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.12,0.13,0.13,0.14,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.11,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.0,0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.06,0.01,0.0,100.02
07/22/2021,12.02,7.81,5.75,4.57,4.36,4.31,3.93,2.93,3.04,2.72,2.39,2.38,2.35,2.11,2.05,1.87,1.62,1.41,1.31,1.24,1.28,1.21,1.01,0.86,0.87,0.79,0.77,0.79,0.73,0.61,0.63,0.64,0.56,0.61,0.55,0.56,0.56,0.5,0.47,0.47,0.47,0.42,0.43,0.37,0.35,0.37,0.35,0.35,0.31,0.32,0.31,0.32,0.3,0.3,0.27,0.28,0.26,0.25,0.26,0.24,0.23,0.24,0.23,0.22,0.22,0.23,0.21,0.2,0.19,0.17,0.16,0.14,0.16,0.16,0.16,0.15,0.16,0.14,0.16,0.14,0.12,0.13,0.14,0.14,0.13,0.13,0.11,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.09,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.99
