,BIIB,ALL,CINF,ALLY,LH,BRK.B,CVS,PNC,BK,AFL,AGR,DGX,KR,PGR,EXC,ETR,CFG,DHI,SJM,ACGL,CE,PEG,SRE,GM,TSN,COF,LEN,FTV,CI,ED,PPL,VZ,F,VIAC,TMUS,MS,CNC,MU,HIG,GS,INTC,VICI,FE,HUM,CMCSA,BEN,DTE,ADM,GD,PFG,VTRS,XEL,AEE,AEP,KEY,LUMN,TRV,SO,STT,GIS,MET,EIX,T,BBY,CAG,CAH,C,URI,ES,MTB,TFC,HPE,PCG,TGT,DISCA,AVB,BXP,NUE,HCA,NOC,CERN,STX,WFC,EQR,NVR,ANTM,MKL,PFE,LDOS,MDLZ,DUK,FDX,WDC,WAB,PKG,EMN,LMT,FOXA,CB,STZ,FITB,JPM,CMS,GE,WEC,HPQ,LYB,PCAR,RF,CMI,HBAN,DLTR,EXPD,SYF,AJG,CARR,EOG,RSG,UNH,WMB,HSY,KMI,IP,LHX,MOH,NTRS,VTR,EMR,PEAK,OMC,RJF,JNJ,SWK,BAC,IBM,BDX,MMM,CSX,HRL,K,USB,VMC,PH,DOW,JBHT,FMC,CTVA,WY,CTSH,DFS,MAA,ALB,JCI,PRU,WM,GWW,US Dollar,DOV,PPG,OKE,COST,AVY,O,PEP,MDT,L,FIS,ETN,CBRE,AMP,CDW,J,KHC,TDY,NSC,NEE,MKC,ITW,HON,HAS,CVX,AVGO,AIG,MO,BAX,GLW,MAS,ON,DTM WI,DD,KMX,COP,VLO,WELL,TEL,DRI,D,MPC,ULTA,FCX,ZBH,MISXX,018000.KQ,Morgan Stanley Instl Lqudty Trs Instl,n/a,SUM
07/09/2021,1.08,1.0,0.99,0.96,0.96,0.95,0.94,0.94,0.92,0.91,0.91,0.91,0.91,0.9,0.9,0.9,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.87,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.85,0.83,0.83,0.82,0.81,0.81,0.8,0.8,0.79,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.73,0.72,0.72,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.69,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.65,0.64,0.63,0.63,0.61,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.45,0.44,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.31,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/12/2021,0.54,0.92,0.91,0.92,0.91,0.9,0.87,0.71,0.7,0.89,0.73,0.92,0.72,0.91,0.73,0.92,0.88,0.89,0.9,0.89,0.91,0.91,0.9,0.89,0.89,0.93,0.89,0.91,0.89,0.92,0.53,0.9,0.7,0.85,0.53,0.52,0.72,0.83,0.89,0.7,0.89,0.91,0.72,0.74,0.73,0.9,0.64,0.71,0.53,0.7,0.52,0.54,0.73,0.72,0.7,0.71,0.73,0.73,0.73,0.51,0.17,0.72,0.71,0.69,0.71,0.0,0.87,0.52,0.54,0.7,0.52,0.9,0.73,0.54,0.86,0.38,0.18,0.73,0.55,0.73,0.53,0.52,0.51,0.19,0.36,0.53,0.93,0.53,0.37,0.36,0.53,0.71,0.35,0.53,0.54,0.35,0.53,0.88,0.73,0.51,0.71,0.52,0.53,0.0,0.54,0.52,0.72,0.51,0.71,0.52,0.36,0.72,0.36,0.53,0.17,0.36,0.35,0.37,0.37,0.53,0.36,0.73,0.53,0.37,0.36,0.36,0.0,0.36,0.18,0.17,0.36,0.37,0.53,0.35,0.35,0.18,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.52,0.36,0.17,0.51,0.75,0.52,0.37,0.0,0.0,0.0,0.51,0.18,0.18,0.24,0.18,0.18,0.37,0.0,0.17,0.18,0.18,0.18,0.17,0.0,0.18,0.17,0.0,0.18,0.18,0.17,0.0,0.36,0.18,0.17,0.18,0.0,0.37,0.0,0.18,0.17,0.17,0.17,0.52,0.36,0.17,0.0,0.91,0.37,0.35,0.33,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,99.94
07/13/2021,0.54,0.92,0.91,0.92,0.91,0.9,0.87,0.71,0.7,0.89,0.73,0.92,0.72,0.91,0.73,0.92,0.88,0.89,0.9,0.89,0.91,0.91,0.9,0.89,0.89,0.93,0.89,0.91,0.89,0.92,0.53,0.9,0.7,0.85,0.53,0.52,0.72,0.83,0.89,0.7,0.89,0.91,0.72,0.74,0.73,0.9,0.64,0.71,0.53,0.7,0.52,0.54,0.73,0.72,0.7,0.71,0.73,0.73,0.73,0.51,0.17,0.72,0.71,0.69,0.71,0.0,0.87,0.52,0.54,0.7,0.52,0.9,0.73,0.54,0.86,0.38,0.18,0.73,0.55,0.73,0.53,0.52,0.51,0.19,0.36,0.53,0.93,0.53,0.37,0.36,0.53,0.71,0.35,0.53,0.54,0.35,0.53,0.88,0.73,0.51,0.71,0.52,0.53,0.0,0.54,0.52,0.72,0.51,0.71,0.52,0.36,0.72,0.36,0.53,0.17,0.36,0.35,0.37,0.37,0.53,0.36,0.73,0.53,0.37,0.36,0.36,0.0,0.36,0.18,0.17,0.36,0.37,0.53,0.35,0.35,0.18,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.52,0.36,0.17,0.51,0.75,0.52,0.37,0.0,0.0,0.0,0.51,0.18,0.18,0.24,0.18,0.18,0.37,0.0,0.17,0.18,0.18,0.18,0.17,0.0,0.18,0.17,0.0,0.18,0.18,0.17,0.0,0.36,0.18,0.17,0.18,0.0,0.37,0.0,0.18,0.17,0.17,0.17,0.52,0.36,0.17,0.0,0.91,0.37,0.35,0.33,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,99.94
07/14/2021,0.54,0.92,0.91,0.92,0.91,0.91,0.87,0.71,0.7,0.89,0.73,0.92,0.72,0.91,0.73,0.93,0.89,0.89,0.91,0.89,0.91,0.91,0.9,0.89,0.89,0.93,0.89,0.91,0.89,0.92,0.53,0.9,0.7,0.85,0.53,0.52,0.72,0.83,0.89,0.7,0.89,0.91,0.72,0.74,0.73,0.9,0.64,0.71,0.53,0.7,0.52,0.54,0.73,0.72,0.7,0.71,0.74,0.73,0.73,0.51,0.17,0.72,0.71,0.69,0.71,0.0,0.87,0.52,0.54,0.7,0.52,0.9,0.73,0.54,0.86,0.38,0.18,0.73,0.55,0.73,0.53,0.52,0.51,0.19,0.37,0.53,0.94,0.53,0.37,0.36,0.53,0.71,0.35,0.53,0.54,0.35,0.53,0.88,0.73,0.51,0.71,0.52,0.53,0.0,0.54,0.52,0.72,0.51,0.71,0.52,0.36,0.72,0.36,0.53,0.18,0.36,0.36,0.37,0.37,0.53,0.36,0.73,0.53,0.37,0.36,0.36,0.0,0.36,0.18,0.17,0.36,0.37,0.53,0.35,0.35,0.18,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.52,0.37,0.17,0.51,0.75,0.52,0.37,0.0,0.0,0.0,0.51,0.18,0.18,0.0,0.18,0.18,0.37,0.0,0.17,0.18,0.18,0.18,0.17,0.0,0.18,0.17,0.0,0.18,0.18,0.17,0.0,0.36,0.18,0.17,0.18,0.0,0.37,0.0,0.18,0.17,0.17,0.17,0.53,0.36,0.17,0.0,0.91,0.37,0.35,0.33,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.08,0.0,0.0,0.0,99.89
07/15/2021,0.53,0.92,0.92,0.93,0.91,0.9,0.88,0.72,0.7,0.89,0.73,0.92,0.71,0.91,0.73,0.92,0.89,0.88,0.9,0.88,0.91,0.91,0.9,0.89,0.88,0.95,0.89,0.9,0.89,0.91,0.53,0.9,0.7,0.86,0.53,0.53,0.73,0.84,0.91,0.72,0.9,0.92,0.72,0.74,0.73,0.9,0.64,0.71,0.52,0.71,0.52,0.54,0.74,0.72,0.71,0.71,0.74,0.73,0.73,0.51,0.17,0.72,0.71,0.69,0.71,0.0,0.88,0.53,0.54,0.7,0.52,0.89,0.72,0.54,0.86,0.38,0.18,0.73,0.56,0.73,0.53,0.53,0.51,0.19,0.36,0.54,0.91,0.53,0.37,0.36,0.54,0.72,0.36,0.53,0.54,0.35,0.52,0.89,0.74,0.51,0.72,0.53,0.53,0.0,0.54,0.51,0.71,0.52,0.71,0.52,0.36,0.71,0.36,0.53,0.18,0.36,0.36,0.37,0.37,0.52,0.36,0.73,0.53,0.37,0.36,0.36,0.0,0.37,0.18,0.17,0.37,0.37,0.53,0.35,0.34,0.18,0.36,0.35,0.35,0.35,0.36,0.36,0.36,0.52,0.36,0.17,0.52,0.74,0.52,0.38,0.0,0.0,0.0,0.52,0.18,0.18,0.0,0.18,0.18,0.37,0.0,0.17,0.18,0.18,0.18,0.18,0.0,0.18,0.17,0.0,0.18,0.18,0.17,0.0,0.35,0.18,0.17,0.18,0.0,0.37,0.0,0.18,0.17,0.17,0.17,0.52,0.36,0.17,0.0,0.92,0.37,0.35,0.33,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.11,0.0,0.0,0.0,100.01000000000002
07/16/2021,0.54,0.92,0.92,0.93,0.92,0.91,0.88,0.72,0.7,0.89,0.74,0.92,0.72,0.9,0.73,0.92,0.88,0.86,0.9,0.87,0.92,0.9,0.9,0.9,0.88,0.95,0.87,0.91,0.9,0.91,0.53,0.9,0.7,0.85,0.54,0.54,0.74,0.83,0.91,0.72,0.91,0.91,0.72,0.75,0.73,0.87,0.64,0.71,0.53,0.7,0.51,0.54,0.75,0.73,0.7,0.71,0.74,0.73,0.73,0.51,0.17,0.72,0.71,0.69,0.67,0.0,0.87,0.52,0.55,0.7,0.52,0.85,0.71,0.55,0.86,0.38,0.18,0.72,0.56,0.73,0.54,0.53,0.5,0.19,0.35,0.55,0.91,0.53,0.37,0.36,0.54,0.72,0.36,0.53,0.54,0.35,0.53,0.87,0.74,0.51,0.71,0.53,0.54,0.0,0.55,0.49,0.72,0.52,0.71,0.52,0.36,0.71,0.36,0.53,0.17,0.37,0.36,0.37,0.38,0.52,0.36,0.72,0.53,0.38,0.37,0.36,0.0,0.37,0.18,0.17,0.37,0.37,0.53,0.35,0.35,0.18,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.52,0.37,0.17,0.51,0.73,0.52,0.38,0.0,0.0,0.0,0.52,0.18,0.18,0.0,0.18,0.18,0.36,0.0,0.17,0.18,0.18,0.18,0.17,0.0,0.18,0.17,0.0,0.18,0.18,0.17,0.0,0.36,0.18,0.17,0.18,0.0,0.37,0.0,0.18,0.17,0.17,0.18,0.52,0.36,0.17,0.0,0.92,0.37,0.35,0.33,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.11,0.0,0.0,0.0,99.94
07/19/2021,0.5,0.9,0.92,0.92,0.91,0.91,0.89,0.72,0.69,0.9,0.75,0.92,0.73,0.87,0.75,0.94,0.88,0.87,0.92,0.88,0.93,0.92,0.9,0.87,0.88,0.94,0.88,0.91,0.89,0.94,0.53,0.91,0.68,0.82,0.54,0.53,0.73,0.82,0.92,0.71,0.9,0.91,0.73,0.76,0.73,0.85,0.64,0.7,0.53,0.7,0.51,0.55,0.76,0.74,0.7,0.7,0.75,0.75,0.72,0.52,0.17,0.72,0.71,0.7,0.69,0.0,0.87,0.52,0.57,0.7,0.53,0.87,0.71,0.55,0.84,0.39,0.18,0.72,0.56,0.72,0.54,0.52,0.52,0.19,0.35,0.55,0.91,0.54,0.38,0.37,0.56,0.72,0.34,0.53,0.53,0.35,0.53,0.87,0.75,0.51,0.71,0.53,0.55,0.0,0.56,0.49,0.71,0.52,0.71,0.52,0.36,0.72,0.36,0.52,0.18,0.37,0.33,0.38,0.38,0.51,0.37,0.71,0.51,0.37,0.37,0.36,0.0,0.37,0.19,0.17,0.37,0.37,0.53,0.34,0.35,0.18,0.37,0.36,0.36,0.36,0.37,0.37,0.36,0.52,0.37,0.17,0.5,0.73,0.52,0.38,0.0,0.0,0.0,0.52,0.18,0.18,0.0,0.18,0.18,0.35,0.0,0.17,0.18,0.18,0.18,0.18,0.0,0.18,0.17,0.0,0.18,0.17,0.17,0.0,0.36,0.18,0.17,0.18,0.0,0.36,0.0,0.18,0.18,0.18,0.18,0.52,0.36,0.17,0.0,0.93,0.37,0.34,0.31,0.19,0.18,0.17,0.18,0.16,0.17,0.16,0.17,0.17,0.0,0.0,0.0,100.03
07/20/2021,0.5,0.91,0.93,0.91,0.91,0.91,0.89,0.7,0.7,0.9,0.76,0.93,0.75,0.89,0.76,0.96,0.85,0.87,0.94,0.89,0.91,0.94,0.92,0.85,0.88,0.93,0.88,0.91,0.9,0.95,0.54,0.92,0.67,0.81,0.55,0.53,0.73,0.8,0.93,0.7,0.89,0.91,0.74,0.77,0.73,0.84,0.66,0.7,0.53,0.7,0.51,0.56,0.77,0.75,0.68,0.68,0.76,0.76,0.75,0.52,0.17,0.73,0.72,0.7,0.7,0.0,0.86,0.51,0.58,0.69,0.52,0.87,0.7,0.55,0.84,0.39,0.18,0.7,0.56,0.73,0.53,0.51,0.52,0.19,0.35,0.55,0.93,0.55,0.38,0.37,0.56,0.71,0.33,0.53,0.53,0.34,0.53,0.86,0.76,0.51,0.69,0.52,0.56,0.0,0.57,0.48,0.68,0.52,0.69,0.52,0.35,0.72,0.36,0.51,0.18,0.37,0.32,0.38,0.38,0.51,0.38,0.7,0.51,0.38,0.37,0.36,0.0,0.37,0.19,0.17,0.36,0.37,0.53,0.33,0.34,0.18,0.37,0.36,0.37,0.36,0.37,0.37,0.36,0.5,0.37,0.17,0.5,0.72,0.52,0.37,0.0,0.0,0.0,0.51,0.18,0.18,0.0,0.18,0.18,0.35,0.0,0.17,0.18,0.19,0.18,0.18,0.0,0.18,0.17,0.0,0.18,0.18,0.17,0.0,0.36,0.19,0.18,0.18,0.0,0.36,0.0,0.17,0.17,0.18,0.18,0.52,0.37,0.16,0.0,0.9,0.37,0.33,0.3,0.19,0.18,0.17,0.19,0.16,0.17,0.16,0.17,0.0,0.0,0.18,0.0,99.97
07/21/2021,0.5,0.91,0.93,0.91,0.91,0.91,0.89,0.7,0.7,0.9,0.76,0.93,0.75,0.89,0.76,0.96,0.85,0.87,0.94,0.89,0.91,0.94,0.92,0.85,0.88,0.93,0.88,0.91,0.9,0.95,0.54,0.92,0.67,0.81,0.55,0.53,0.73,0.8,0.93,0.7,0.89,0.91,0.74,0.77,0.73,0.84,0.66,0.7,0.53,0.7,0.51,0.56,0.77,0.75,0.68,0.68,0.76,0.76,0.75,0.52,0.17,0.73,0.72,0.7,0.7,0.0,0.86,0.51,0.58,0.69,0.52,0.87,0.7,0.55,0.84,0.39,0.18,0.7,0.56,0.73,0.53,0.51,0.52,0.19,0.35,0.55,0.93,0.55,0.38,0.37,0.56,0.71,0.33,0.53,0.53,0.34,0.53,0.86,0.76,0.51,0.69,0.52,0.56,0.0,0.57,0.48,0.68,0.52,0.69,0.52,0.35,0.72,0.36,0.51,0.18,0.37,0.32,0.38,0.38,0.51,0.38,0.7,0.51,0.38,0.37,0.36,0.0,0.37,0.19,0.17,0.36,0.37,0.53,0.33,0.34,0.18,0.37,0.36,0.37,0.36,0.37,0.37,0.36,0.5,0.37,0.17,0.5,0.72,0.52,0.37,0.0,0.0,0.0,0.51,0.18,0.18,0.0,0.18,0.18,0.35,0.0,0.17,0.18,0.19,0.18,0.18,0.0,0.18,0.17,0.0,0.18,0.18,0.17,0.0,0.36,0.19,0.18,0.18,0.0,0.36,0.0,0.17,0.17,0.18,0.18,0.52,0.37,0.16,0.0,0.9,0.37,0.33,0.3,0.19,0.18,0.17,0.19,0.16,0.17,0.16,0.17,0.18,0.0,0.0,0.0,99.97
07/22/2021,0.51,0.91,0.91,0.89,0.93,0.91,0.9,0.69,0.69,0.89,0.75,0.96,0.8,0.89,0.76,0.95,0.83,0.89,0.96,0.88,0.9,0.94,0.91,0.85,0.89,0.92,0.9,0.91,0.89,0.96,0.54,0.93,0.66,0.82,0.54,0.53,0.73,0.81,0.92,0.69,0.9,0.91,0.75,0.77,0.74,0.83,0.65,0.7,0.53,0.7,0.52,0.56,0.78,0.75,0.67,0.69,0.75,0.77,0.72,0.54,0.17,0.72,0.72,0.7,0.72,0.0,0.85,0.51,0.58,0.67,0.51,0.87,0.67,0.56,0.84,0.4,0.17,0.7,0.57,0.73,0.53,0.52,0.52,0.19,0.36,0.55,0.93,0.56,0.38,0.38,0.57,0.73,0.33,0.52,0.53,0.34,0.53,0.87,0.75,0.51,0.67,0.51,0.56,0.0,0.57,0.5,0.67,0.53,0.67,0.52,0.34,0.73,0.37,0.5,0.18,0.37,0.31,0.38,0.38,0.51,0.38,0.7,0.51,0.38,0.37,0.35,0.0,0.36,0.19,0.17,0.35,0.38,0.53,0.33,0.35,0.18,0.37,0.36,0.38,0.37,0.36,0.36,0.35,0.5,0.36,0.17,0.5,0.71,0.52,0.37,0.0,0.0,0.0,0.51,0.19,0.19,0.26,0.18,0.18,0.34,0.0,0.17,0.19,0.19,0.18,0.17,0.0,0.18,0.17,0.0,0.18,0.17,0.17,0.0,0.36,0.19,0.18,0.18,0.0,0.36,0.0,0.18,0.17,0.18,0.18,0.52,0.37,0.16,0.0,0.87,0.37,0.33,0.29,0.18,0.18,0.17,0.19,0.15,0.17,0.16,0.17,0.0,0.0,0.0,0.0,99.99
