,XTSLA,GME,OMCL,SAIA,NEO,GTLS,POWI,MSTR,ADC,IIPR,EXPO,AMN,DDD,ENSG,SEM,UFPI,ITRI,JBT,BCPC,AEIS,REZI,CNMD,SIG,TRUP,LPSN,VIAV,ALRM,WTS,SHAK,GKOS,M,FHB,ROG,KFY,SPSC,STMP,LGIH,EXLS,MTH,HP,ARNC,FN,ONTO,VG,AIT,NSIT,WDFC,KLIC,LXP,ABG,DIOD,UNF,FUL,MED,SHOO,LCII,HI,EPRT,BBBY,CCOI,SMPL,KWR,RCII,MMSI,OMI,ITGR,FELE,LTHM,SFBS,SHEN,EGHT,REGI,ABM,BMI,DORM,SJI,MXL,WD,AWR,CWT,FIX,PRFT,ACA,WWW,UFS,FORM,SPXC,MATX,ALGT,EAT,ANF,MDC,CBU,EVTC,IBTX,RMBS,IBP,SNBR,BRC,AIN,FLOW,KTB,GPI,PRLB,PLXS,OI,SITC,PCRX,AAON,CVET,SCL,PPBI,BKU,MDRX,PBH,ATI,MD,JJSF,BOOT,FWRD,CAKE,SBH,MYGN,ESE,ODP,UNIT,ROCK,SANM,VCEL,IRBT,RPAI,B,CORT,HSKA,EPC,BDN,AX,MLI,FSS,CELH,WGO,SSTK,UCTT,COOP,HUBG,ABCB,HTH,VICR,THRM,RLGY,SKYW,SYKE,FCPT,BLMN,IOSP,XPER,TSE,IDCC,AVAV,BCC,PRGS,XHR,MODV,PMT,SFNC,WSFS,RAVN,PSMT,ROIC,CPK,MNRO,ISBC,WRE,CYH,NPO,AGO,VRTS,AVA,FBC,UNFI,ARI,BIG,XNCR,BGS,GMS,DLX,CCS,PIPR,CENTA,KN,AAWW,KRG,MEI,KALU,PLAY,HNI,NMIH,GNW,SKT,CVCO,AEL,CADE,COLB,LNTH,IRT,FBP,GVA,AMCX,CRS,ONB,AAT,AKR,TTEC,COKE,DEA,UCBI,GDOT,CVBF,INDB,CTRE,MGLN,FFBC,FMBI,RNST,DRH,CYTK,FOE,ILPT,COHU,AVNS,PATK,PRAA,STAR,TTGT,FLGT,MHO,LNN,MDP,MTOR,WIRE,TBK,MYRG,SUM
07/09/2021,5.19,1.12,0.66,0.56,0.54,0.54,0.51,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.45,0.45,0.45,0.43,0.43,0.43,0.43,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.91
07/12/2021,5.29,1.1,0.68,0.55,0.55,0.54,0.51,0.49,0.5,0.49,0.48,0.47,0.44,0.47,0.45,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.4,0.39,0.4,0.4,0.4,0.41,0.39,0.37,0.53,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.37,0.33,0.35,0.36,0.33,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.31,0.33,0.32,0.32,0.32,0.33,0.33,0.31,0.32,0.31,0.32,0.28,0.3,0.3,0.3,0.3,0.31,0.3,0.29,0.3,0.31,0.3,0.29,0.28,0.27,0.27,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.28,0.28,0.27,0.29,0.26,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.37,0.26,0.26,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.0,0.21,0.22,0.21,0.21,0.21,0.24,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.0,0.19,0.19,0.19,0.0,0.19,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.27,0.23,0.23,0.2,0.2,0.2,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.61999999999999
07/13/2021,5.29,1.1,0.68,0.55,0.55,0.54,0.51,0.49,0.5,0.49,0.48,0.47,0.44,0.47,0.45,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.4,0.39,0.4,0.4,0.4,0.41,0.39,0.37,0.53,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.37,0.33,0.35,0.36,0.33,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.31,0.33,0.32,0.32,0.32,0.33,0.33,0.31,0.32,0.31,0.32,0.28,0.3,0.3,0.3,0.3,0.31,0.3,0.29,0.3,0.31,0.3,0.29,0.28,0.27,0.27,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.28,0.28,0.27,0.29,0.26,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.37,0.26,0.26,0.28,0.26,0.27,0.24,0.25,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.0,0.21,0.22,0.21,0.21,0.21,0.24,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.0,0.19,0.19,0.19,0.0,0.19,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.27,0.23,0.23,0.2,0.2,0.2,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.61999999999999
07/14/2021,5.01,1.06,0.65,0.54,0.53,0.54,0.5,0.48,0.49,0.49,0.47,0.46,0.43,0.45,0.44,0.45,0.44,0.43,0.42,0.41,0.42,0.39,0.4,0.38,0.4,0.39,0.39,0.4,0.38,0.35,0.54,0.38,0.37,0.37,0.36,0.59,0.36,0.36,0.35,0.34,0.35,0.34,0.34,0.34,0.35,0.35,0.35,0.33,0.34,0.35,0.32,0.34,0.34,0.33,0.33,0.34,0.33,0.33,0.31,0.32,0.31,0.31,0.32,0.31,0.34,0.31,0.31,0.32,0.32,0.27,0.3,0.31,0.29,0.29,0.3,0.3,0.29,0.3,0.3,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.3,0.26,0.25,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.37,0.26,0.26,0.28,0.26,0.26,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.26,0.25,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.23,0.2,0.21,0.21,0.2,0.21,0.0,0.21,0.21,0.21,0.21,0.21,0.23,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.19,0.0,0.26,0.23,0.23,0.0,0.19,0.2,0.0,0.19,0.19,0.19,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.59
07/15/2021,4.02,1.05,0.67,0.55,0.54,0.54,0.5,0.45,0.5,0.5,0.47,0.47,0.39,0.46,0.44,0.46,0.44,0.43,0.43,0.41,0.43,0.4,0.4,0.37,0.39,0.39,0.39,0.41,0.38,0.36,0.56,0.39,0.37,0.37,0.35,0.59,0.36,0.36,0.35,0.34,0.35,0.34,0.35,0.34,0.35,0.35,0.35,0.33,0.35,0.36,0.33,0.34,0.34,0.33,0.33,0.34,0.34,0.33,0.32,0.33,0.31,0.31,0.32,0.31,0.34,0.31,0.32,0.34,0.32,0.27,0.29,0.31,0.3,0.29,0.3,0.3,0.29,0.3,0.31,0.3,0.28,0.28,0.27,0.27,0.28,0.27,0.29,0.29,0.28,0.29,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.28,0.29,0.25,0.26,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.37,0.26,0.26,0.28,0.26,0.26,0.25,0.24,0.25,0.24,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.24,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.23,0.22,0.22,0.23,0.22,0.22,0.23,0.2,0.21,0.21,0.2,0.21,0.19,0.21,0.21,0.21,0.21,0.22,0.26,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.2,0.2,0.19,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.19,0.0,0.0,0.19,0.0,0.27,0.24,0.24,0.0,0.2,0.2,0.0,0.19,0.19,0.19,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.06
07/16/2021,4.12,1.02,0.67,0.56,0.55,0.55,0.51,0.46,0.5,0.51,0.48,0.47,0.38,0.46,0.45,0.46,0.45,0.44,0.43,0.42,0.42,0.4,0.4,0.37,0.39,0.4,0.4,0.41,0.38,0.35,0.55,0.38,0.38,0.38,0.36,0.6,0.35,0.37,0.35,0.34,0.34,0.35,0.35,0.34,0.35,0.35,0.35,0.34,0.35,0.37,0.33,0.33,0.34,0.33,0.33,0.35,0.34,0.33,0.32,0.34,0.32,0.32,0.32,0.32,0.34,0.31,0.32,0.32,0.32,0.27,0.3,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.31,0.3,0.29,0.28,0.27,0.28,0.28,0.28,0.29,0.29,0.28,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.28,0.27,0.27,0.28,0.28,0.29,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.37,0.26,0.27,0.28,0.26,0.26,0.25,0.25,0.25,0.24,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.23,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.21,0.22,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.2,0.21,0.21,0.2,0.21,0.19,0.21,0.22,0.21,0.21,0.22,0.27,0.21,0.2,0.2,0.27,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.0,0.19,0.0,0.19,0.0,0.19,0.0,0.19,0.19,0.19,0.0,0.0,0.0,0.27,0.24,0.24,0.0,0.2,0.2,0.0,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.54
07/19/2021,3.83,0.97,0.68,0.56,0.52,0.55,0.51,0.44,0.52,0.51,0.49,0.47,0.36,0.47,0.44,0.46,0.45,0.44,0.44,0.4,0.41,0.39,0.38,0.36,0.37,0.4,0.38,0.41,0.35,0.27,0.53,0.39,0.38,0.38,0.36,0.62,0.36,0.38,0.35,0.33,0.34,0.35,0.34,0.34,0.36,0.36,0.37,0.34,0.37,0.38,0.33,0.34,0.35,0.33,0.33,0.35,0.34,0.34,0.31,0.34,0.32,0.32,0.32,0.31,0.34,0.31,0.32,0.33,0.33,0.27,0.29,0.32,0.33,0.3,0.31,0.3,0.29,0.31,0.32,0.31,0.28,0.29,0.27,0.27,0.29,0.28,0.3,0.29,0.29,0.28,0.26,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.29,0.24,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.37,0.26,0.27,0.28,0.25,0.26,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.26,0.24,0.22,0.24,0.24,0.25,0.25,0.24,0.25,0.22,0.22,0.23,0.22,0.24,0.24,0.24,0.24,0.24,0.23,0.21,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.0,0.21,0.21,0.22,0.22,0.22,0.27,0.22,0.0,0.2,0.27,0.2,0.21,0.22,0.2,0.21,0.2,0.2,0.21,0.2,0.0,0.0,0.19,0.19,0.0,0.19,0.19,0.19,0.0,0.0,0.19,0.0,0.0,0.2,0.19,0.28,0.25,0.25,0.0,0.21,0.21,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.290000000000006
07/20/2021,3.9,0.96,0.68,0.55,0.52,0.55,0.5,0.44,0.52,0.51,0.48,0.47,0.35,0.47,0.44,0.46,0.44,0.44,0.44,0.4,0.41,0.39,0.38,0.36,0.37,0.4,0.38,0.41,0.35,0.27,0.53,0.39,0.38,0.38,0.36,0.62,0.36,0.38,0.35,0.33,0.34,0.35,0.34,0.34,0.36,0.35,0.36,0.34,0.37,0.37,0.33,0.33,0.35,0.33,0.33,0.35,0.34,0.34,0.31,0.34,0.32,0.32,0.32,0.31,0.33,0.31,0.32,0.33,0.33,0.27,0.29,0.31,0.32,0.3,0.31,0.3,0.29,0.31,0.32,0.31,0.28,0.29,0.27,0.27,0.28,0.28,0.3,0.29,0.28,0.28,0.26,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.28,0.28,0.29,0.24,0.26,0.25,0.27,0.26,0.26,0.26,0.26,0.26,0.37,0.26,0.27,0.28,0.25,0.26,0.24,0.25,0.24,0.25,0.25,0.26,0.25,0.26,0.24,0.26,0.25,0.25,0.26,0.24,0.22,0.24,0.23,0.25,0.25,0.24,0.25,0.21,0.22,0.23,0.22,0.24,0.24,0.23,0.23,0.23,0.23,0.21,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.19,0.21,0.21,0.22,0.22,0.22,0.27,0.22,0.19,0.2,0.27,0.2,0.21,0.22,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.28,0.24,0.25,0.0,0.21,0.21,0.0,0.0,0.19,0.2,0.19,0.19,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.06
07/21/2021,3.89,0.99,0.69,0.55,0.54,0.56,0.5,0.43,0.53,0.53,0.5,0.48,0.33,0.48,0.44,0.45,0.43,0.45,0.45,0.39,0.41,0.4,0.37,0.37,0.38,0.41,0.38,0.41,0.36,0.28,0.56,0.38,0.38,0.38,0.37,0.63,0.36,0.38,0.35,0.33,0.34,0.35,0.33,0.35,0.36,0.36,0.37,0.33,0.37,0.38,0.33,0.35,0.35,0.33,0.33,0.35,0.35,0.35,0.31,0.34,0.33,0.32,0.33,0.31,0.35,0.31,0.33,0.3,0.33,0.28,0.29,0.33,0.33,0.3,0.31,0.3,0.29,0.31,0.33,0.33,0.28,0.29,0.27,0.27,0.29,0.28,0.3,0.3,0.28,0.28,0.26,0.28,0.41,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.28,0.28,0.29,0.25,0.26,0.25,0.27,0.26,0.26,0.25,0.27,0.38,0.39,0.26,0.27,0.27,0.25,0.27,0.24,0.25,0.24,0.25,0.25,0.26,0.25,0.27,0.25,0.26,0.25,0.26,0.26,0.24,0.22,0.25,0.23,0.25,0.25,0.24,0.25,0.21,0.22,0.24,0.21,0.24,0.23,0.35,0.23,0.24,0.24,0.21,0.21,0.23,0.23,0.22,0.23,0.22,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.2,0.31,0.22,0.22,0.22,0.22,0.22,0.22,0.31,0.22,0.0,0.2,0.37,0.2,0.32,0.22,0.0,0.21,0.2,0.2,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.26,0.26,0.0,0.21,0.26,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.2,0.0,0.27,0.27,0.27,0.25,0.24,0.23,0.23,0.22,0.22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.94000000000001
07/22/2021,3.96,1.04,0.7,0.55,0.55,0.55,0.51,0.42,0.53,0.52,0.51,0.48,0.35,0.48,0.44,0.46,0.43,0.44,0.45,0.39,0.41,0.4,0.35,0.39,0.41,0.4,0.38,0.42,0.36,0.28,0.5,0.38,0.38,0.37,0.37,0.64,0.37,0.38,0.36,0.32,0.33,0.36,0.34,0.35,0.36,0.36,0.37,0.35,0.37,0.38,0.33,0.34,0.35,0.33,0.32,0.36,0.35,0.34,0.31,0.35,0.33,0.32,0.33,0.32,0.37,0.31,0.33,0.3,0.33,0.28,0.29,0.31,0.32,0.3,0.32,0.3,0.29,0.31,0.34,0.33,0.28,0.29,0.27,0.27,0.3,0.28,0.3,0.3,0.27,0.27,0.26,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.26,0.34,0.28,0.3,0.25,0.26,0.25,0.26,0.27,0.27,0.26,0.27,0.25,0.35,0.26,0.28,0.26,0.26,0.27,0.24,0.25,0.23,0.25,0.25,0.25,0.26,0.27,0.25,0.25,0.25,0.27,0.26,0.24,0.23,0.26,0.24,0.25,0.25,0.24,0.25,0.22,0.23,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.24,0.21,0.2,0.23,0.23,0.21,0.23,0.22,0.21,0.21,0.23,0.2,0.21,0.21,0.21,0.2,0.21,0.0,0.22,0.22,0.21,0.22,0.22,0.27,0.22,0.0,0.0,0.27,0.0,0.21,0.21,0.0,0.21,0.2,0.2,0.21,0.2,0.0,0.19,0.0,0.19,0.0,0.19,0.0,0.19,0.19,0.0,0.19,0.19,0.0,0.0,0.0,0.28,0.24,0.24,0.19,0.21,0.2,0.0,0.0,0.0,0.0,0.19,0.19,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7
