,V,HD,JNJ,FB,NVDA,AAPL,MSFT,GOOG,UNH,AMZN,MA,ADBE,COST,NKE,NFLX,UNP,AMGN,NOW,ISRG,LRCX,MMM,HCA,IDXX,WDAY,ADSK,WM,MNST,CDNS,ECL,SNPS,FTNT,XLNX,VRTX,CTSH,ATVI,NVR,ILMN,ODFL,CTAS,VMW,VEEV,ZBRA,EBAY,RMD,BIIB,CERN,MCK,CPRT,EPAM,CMI,SIRI,ETSY,SWKS,ULTA,PATH,PINS,PAYC,LKQ,TTWO,FICO,DOCS,ABMD,RH,WSO,MKTX,GDDY,Z,JKHY,RPM,CGNX,WSM,EXAS,UPST,ZEN,UAA,PSTG,DAR,SAM,BMBL,NYT,CASY,NATI,GMED,EXEL,WING,OLED,SKLZ,MTZ,CRUS,WINA,UPWK,BCPC,ALRM,OLLI,APPF,MTH,SNBR,PJT,IRBT,AVAV,n/a,SUM
01/11/2022,5.23,5.21,5.11,5.11,5.06,5.03,4.89,4.89,4.86,4.78,4.64,3.81,3.27,3.1,2.83,1.83,1.51,1.5,1.33,1.25,1.12,1.09,0.9,0.84,0.83,0.75,0.74,0.72,0.72,0.72,0.69,0.68,0.65,0.61,0.6,0.59,0.59,0.54,0.51,0.5,0.48,0.46,0.46,0.45,0.45,0.42,0.41,0.38,0.36,0.34,0.33,0.33,0.3,0.29,0.26,0.23,0.22,0.22,0.21,0.19,0.18,0.18,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.0,99.98
01/12/2022,5.21,5.1,5.22,5.14,4.94,5.08,4.93,4.91,4.78,4.8,4.67,3.82,3.22,3.04,2.79,1.85,1.56,1.49,1.3,1.2,1.14,1.09,0.87,0.84,0.83,0.75,0.73,0.7,0.75,0.7,0.7,0.65,0.68,0.61,0.61,0.57,0.59,0.53,0.5,0.53,0.46,0.45,0.46,0.45,0.44,0.43,0.42,0.37,0.35,0.37,0.34,0.31,0.29,0.29,0.26,0.23,0.22,0.22,0.21,0.19,0.18,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.04,0.02,0.02,0.01,0.01,0.23,100.0
01/13/2022,5.11,5.04,5.22,5.1,4.99,5.1,4.96,4.99,4.87,4.78,4.62,3.95,3.13,2.93,2.8,1.83,1.58,1.51,1.31,1.2,1.13,1.08,0.89,0.85,0.83,0.74,0.73,0.7,0.74,0.7,0.72,0.66,0.69,0.61,0.6,0.58,0.58,0.52,0.51,0.54,0.48,0.45,0.45,0.45,0.45,0.43,0.42,0.37,0.35,0.37,0.34,0.31,0.29,0.28,0.25,0.24,0.23,0.22,0.18,0.19,0.18,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,0.23,99.99
01/14/2022,5.13,4.99,5.12,5.16,5.02,5.14,4.92,4.99,4.87,4.86,4.61,3.95,3.12,2.9,2.78,1.78,1.58,1.52,1.31,1.2,1.13,1.08,0.87,0.86,0.85,0.74,0.73,0.71,0.74,0.71,0.71,0.67,0.69,0.61,0.62,0.58,0.67,0.51,0.51,0.55,0.48,0.45,0.46,0.45,0.46,0.43,0.43,0.38,0.35,0.37,0.34,0.31,0.29,0.28,0.27,0.24,0.23,0.22,0.19,0.19,0.18,0.17,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.11,0.11,0.11,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,0.08,100.01
01/17/2022,5.15,5.02,5.07,5.13,5.04,5.15,4.97,5.04,4.91,4.84,4.62,3.96,3.14,2.93,2.76,1.78,1.58,1.5,1.29,1.22,1.13,1.07,0.87,0.86,0.85,0.73,0.73,0.71,0.74,0.71,0.71,0.66,0.69,0.61,0.61,0.58,0.65,0.51,0.51,0.54,0.48,0.45,0.44,0.46,0.42,0.42,0.43,0.38,0.36,0.36,0.34,0.3,0.29,0.28,0.26,0.25,0.23,0.22,0.2,0.19,0.19,0.17,0.15,0.16,0.16,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.11,0.1,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,0.08,99.99
01/18/2022,5.23,5.08,5.13,5.12,4.88,5.14,4.85,5.05,4.94,4.82,4.73,3.92,3.14,2.94,2.71,1.82,1.6,1.39,1.27,1.25,1.16,1.11,0.86,0.85,0.83,0.74,0.75,0.7,0.74,0.7,0.69,0.65,0.7,0.61,0.62,0.61,0.64,0.51,0.52,0.55,0.46,0.45,0.45,0.48,0.45,0.43,0.43,0.38,0.35,0.38,0.35,0.28,0.29,0.28,0.25,0.24,0.22,0.22,0.2,0.19,0.18,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.11,0.1,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,0.09,99.99
01/19/2022,5.23,5.08,5.13,5.12,4.88,5.14,4.85,5.05,4.94,4.82,4.73,3.92,3.14,2.94,2.71,1.82,1.6,1.39,1.27,1.25,1.16,1.11,0.86,0.85,0.83,0.74,0.75,0.7,0.74,0.7,0.69,0.65,0.7,0.61,0.62,0.61,0.64,0.51,0.52,0.55,0.46,0.45,0.45,0.48,0.45,0.43,0.43,0.38,0.35,0.38,0.35,0.28,0.29,0.28,0.25,0.24,0.22,0.22,0.2,0.19,0.18,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.11,0.1,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,0.09,99.99
01/20/2022,5.23,5.08,5.13,5.12,4.88,5.14,4.85,5.05,4.94,4.82,4.73,3.92,3.14,2.94,2.71,1.82,1.6,1.39,1.27,1.25,1.16,1.11,0.86,0.85,0.83,0.74,0.75,0.7,0.74,0.7,0.69,0.65,0.7,0.61,0.62,0.61,0.64,0.51,0.52,0.55,0.46,0.45,0.45,0.48,0.45,0.43,0.43,0.38,0.35,0.38,0.35,0.28,0.29,0.28,0.25,0.24,0.22,0.22,0.2,0.19,0.18,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.11,0.1,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,0.09,99.99
01/21/2022,5.35,4.9,5.18,5.08,4.84,5.17,4.9,5.04,4.96,4.84,4.78,3.96,3.02,2.94,2.72,1.79,1.65,1.42,1.22,1.25,1.16,1.11,0.85,0.86,0.82,0.74,0.7,0.67,0.72,0.68,0.7,0.65,0.73,0.62,0.81,0.6,0.62,0.51,0.51,0.57,0.45,0.45,0.44,0.47,0.46,0.44,0.44,0.38,0.33,0.38,0.34,0.28,0.3,0.28,0.24,0.23,0.21,0.22,0.2,0.19,0.17,0.16,0.14,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.11,0.1,0.12,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,0.09,99.99
01/24/2022,5.36,4.84,5.19,5.14,4.72,5.09,4.94,5.05,5.01,4.79,4.74,4.01,3.06,2.92,2.77,1.81,1.64,1.43,1.22,1.2,1.17,1.1,0.85,0.87,0.83,0.75,0.7,0.67,0.73,0.68,0.71,0.66,0.73,0.62,0.81,0.59,0.63,0.51,0.51,0.57,0.46,0.45,0.45,0.48,0.45,0.44,0.44,0.38,0.32,0.38,0.34,0.29,0.29,0.28,0.24,0.24,0.22,0.22,0.21,0.19,0.17,0.17,0.14,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.11,0.1,0.12,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.01,0.01,0.01,0.09,100.04
