,2EFA  220630C00000630,2EFA  220630P00078880,Cash&Other,2EFA  220630C00084220,2EFA  220630P00067050,SUM
07/09/2021,96.92,8.57,0.79,-3.13,-3.16,99.99000000000002
07/12/2021,98.46,6.48,0.8,-3.07,-2.67,100.0
07/13/2021,98.46,6.48,0.8,-3.07,-2.67,100.0
07/14/2021,98.46,6.48,0.8,-3.07,-2.67,100.0
07/15/2021,98.72,6.27,0.8,-3.39,-2.4,100.0
07/16/2021,98.11,6.59,0.79,-2.88,-2.61,100.0
07/19/2021,97.79,7.45,0.79,-2.98,-3.05,100.0
07/20/2021,96.67,7.46,0.76,-2.24,-2.66,99.99
07/21/2021,96.67,7.46,0.76,-2.24,-2.66,99.99
07/22/2021,96.15,9.05,0.77,-3.52,-2.45,100.0
07/23/2021,96.39,7.91,0.77,-2.16,-2.92,99.99
07/26/2021,97.33,7.09,0.76,-2.51,-2.68,99.99
07/27/2021,97.52,7.24,0.75,-2.97,-2.54,100.0
07/28/2021,97.52,7.24,0.75,-2.97,-2.54,100.0
07/29/2021,98.22,6.74,0.75,-3.11,-2.61,99.99
07/30/2021,97.89,6.81,0.75,-2.52,-2.93,100.0
08/02/2021,98.27,6.68,0.74,-3.06,-2.64,99.98999999999998
08/03/2021,98.38,6.15,0.72,-3.08,-2.18,99.99
08/04/2021,98.38,6.15,0.72,-3.08,-2.18,99.99
08/05/2021,98.58,6.95,0.73,-3.56,-2.7,100.0
08/06/2021,98.74,6.59,0.72,-3.6,-2.45,100.0
08/10/2021,98.78,6.41,0.73,-2.97,-2.95,100.0
08/11/2021,98.78,6.41,0.73,-2.97,-2.95,100.0
08/13/2021,99.01,6.28,0.73,-3.24,-2.78,100.0
08/16/2021,99.08,5.78,0.72,-3.29,-2.29,100.0
08/17/2021,99.44,5.06,0.72,-3.13,-2.09,100.0
08/18/2021,99.44,5.06,0.72,-3.13,-2.09,100.0
08/19/2021,99.55,5.07,0.68,-3.51,-1.8,99.99
08/20/2021,98.2,5.81,0.69,-2.46,-2.24,100.0
08/23/2021,97.38,6.78,0.68,-2.28,-2.57,99.99
08/24/2021,97.93,6.43,0.69,-2.7,-2.34,100.01
08/25/2021,97.93,6.43,0.69,-2.7,-2.34,100.01
08/26/2021,98.71,6.56,0.68,-3.06,-2.9,99.99
08/27/2021,98.17,5.56,0.67,-2.51,-1.89,100.0
08/30/2021,98.85,5.85,0.66,-2.88,-2.49,99.99
08/31/2021,99.22,5.33,0.66,-3.05,-2.17,99.99
09/01/2021,99.22,5.33,0.66,-3.05,-2.17,99.99
09/02/2021,98.78,5.54,0.66,-3.26,-1.72,100.0
09/03/2021,98.66,5.74,0.65,-3.28,-1.78,99.99
09/06/2021,99.91,5.39,0.64,-3.8,-2.15,99.99
09/07/2021,100.61,5.01,0.64,-4.12,-2.14,100.0
09/08/2021,100.61,5.01,0.64,-4.12,-2.14,100.0
09/09/2021,100.61,5.01,0.64,-4.12,-2.14,100.0
09/10/2021,100.11,5.06,0.63,-3.97,-1.83,100.0
09/13/2021,99.52,5.72,0.63,-3.64,-2.24,99.99
09/14/2021,99.21,5.82,0.63,-3.48,-2.18,100.0
09/15/2021,99.21,5.82,0.63,-3.48,-2.18,99.99999999999999
