,VER.VI,EDPR.LS,BEP.UN.TO,ELET3 BZ,ORSTED.CO,MEL.NZ,RUN,EA-R TB,NPI.TO,MCY.NZ,EGIE3.SA,916.HK,NEP,HYDR.ME,NEOEN.PA,RNW.TO,ERG.MI,3868.HK,SCATC.OL,CEN.NZ,AY,ORA,BLX.TO,9519.T,INE.TO,ECV.DE,SLR.MC,REGI,DRX.L,EVA,FKR.MI,ENRG.TA,TENERGY.AT,ENLT.TA,1407.T,OMGE3.SA,GUNKUL-R TB,ABIO.PA,AZRE,BCPG-R TB,ACE-R TB,GEVO,SUPER-R TB,CASH,SUM
07/09/2021,7.12,5.77,5.56,5.54,5.19,4.69,4.6,3.69,3.62,3.43,3.21,2.98,2.96,2.68,2.55,2.37,2.36,2.31,2.28,2.16,2.14,2.01,1.68,1.65,1.64,1.4,1.27,1.26,1.23,1.1,1.03,0.94,0.88,0.88,0.78,0.71,0.69,0.68,0.63,0.62,0.61,0.44,0.41,0.24,99.98999999999998
07/12/2021,7.09,5.9,5.52,5.5,5.29,4.75,4.32,3.61,3.63,3.29,3.19,3.04,2.91,2.54,2.56,2.43,2.39,2.27,2.24,2.2,2.1,2.01,1.66,1.86,1.65,1.41,1.35,1.27,1.22,1.1,1.04,0.97,0.86,0.88,0.82,0.73,0.66,0.68,0.64,0.6,0.59,0.43,0.4,0.38,99.98000000000002
07/13/2021,7.09,5.9,5.52,5.5,5.29,4.75,4.32,3.61,3.63,3.29,3.19,3.04,2.91,2.54,2.56,2.43,2.39,2.27,2.24,2.2,2.1,2.01,1.66,1.86,1.65,1.41,1.35,1.27,1.22,1.1,1.04,0.97,0.86,0.88,0.82,0.73,0.66,0.68,0.64,0.6,0.59,0.43,0.4,0.38,99.98000000000002
07/14/2021,7.12,5.84,5.51,5.53,5.22,4.73,4.31,3.58,3.68,3.3,3.2,3.0,2.92,2.59,2.49,2.46,2.4,2.33,2.24,2.22,2.1,2.05,1.67,1.8,1.64,1.41,1.32,1.34,1.24,1.12,1.02,0.97,0.86,0.88,0.9,0.74,0.68,0.68,0.67,0.58,0.61,0.44,0.4,0.24,100.03
07/15/2021,7.08,6.0,5.43,5.63,5.29,4.83,4.42,3.53,3.63,3.31,3.25,2.96,2.89,2.59,2.48,2.42,2.36,2.34,2.28,2.2,2.1,2.01,1.64,1.78,1.61,1.41,1.35,1.32,1.23,1.09,1.03,0.97,0.84,0.89,0.93,0.74,0.66,0.68,0.65,0.57,0.64,0.42,0.39,0.12,99.99
07/16/2021,7.13,5.9,5.38,5.65,5.26,4.75,4.32,3.57,3.62,3.27,3.28,2.98,2.86,2.6,2.48,2.41,2.39,2.41,2.24,2.21,2.1,2.03,1.63,1.94,1.6,1.41,1.35,1.28,1.23,1.09,1.04,0.97,0.84,0.9,0.98,0.75,0.68,0.69,0.67,0.58,0.62,0.4,0.39,0.11,99.99
07/19/2021,7.17,5.72,5.45,5.94,5.18,4.87,3.92,3.59,3.68,3.34,3.44,3.03,2.96,2.6,2.39,2.43,2.38,2.44,2.16,2.23,2.09,2.04,1.63,1.79,1.58,1.35,1.28,1.33,1.23,1.11,1.02,0.95,0.86,0.91,0.98,0.78,0.68,0.67,0.61,0.61,0.65,0.39,0.41,0.11,99.98
07/20/2021,7.17,5.72,5.45,5.94,5.18,4.87,3.92,3.59,3.68,3.34,3.44,3.03,2.96,2.6,2.39,2.43,2.38,2.44,2.16,2.23,2.09,2.04,1.63,1.79,1.58,1.35,1.28,1.33,1.23,1.11,1.02,0.95,0.86,0.91,0.98,0.78,0.68,0.67,0.61,0.61,0.65,0.39,0.41,0.11,99.98
07/21/2021,7.22,5.68,5.41,5.99,5.21,4.86,3.84,3.64,3.7,3.34,3.42,3.1,2.92,2.6,2.39,2.43,2.37,2.41,2.16,2.26,2.11,2.06,1.64,1.79,1.57,1.33,1.27,1.35,1.21,1.11,1.03,0.95,0.85,0.9,0.95,0.77,0.69,0.68,0.6,0.62,0.66,0.37,0.41,0.11,99.98
07/22/2021,7.39,5.78,5.46,5.85,5.23,4.94,4.0,3.64,3.7,3.36,3.37,3.06,2.89,2.51,2.41,2.43,2.35,2.44,2.14,2.23,2.09,1.99,1.66,1.86,1.56,1.31,1.28,1.3,1.17,1.11,1.01,0.93,0.81,0.88,0.97,0.75,0.73,0.68,0.59,0.61,0.65,0.38,0.41,0.1,100.01
07/23/2021,7.34,5.7,5.51,5.77,5.23,4.89,4.25,3.56,3.72,3.3,3.34,2.93,2.96,2.51,2.41,2.42,2.34,2.42,2.11,2.24,2.18,2.06,1.67,1.84,1.55,1.3,1.25,1.35,1.15,1.14,1.0,0.93,0.83,0.89,0.98,0.75,0.71,0.67,0.65,0.61,0.65,0.41,0.41,0.1,100.03
07/26/2021,7.3,5.92,5.53,5.61,5.34,4.79,4.27,3.42,3.68,3.41,3.28,2.98,2.88,2.51,2.45,2.44,2.36,2.47,2.22,2.18,2.17,1.99,1.65,1.81,1.54,1.35,1.31,1.31,1.16,1.12,1.03,0.94,0.82,0.9,0.98,0.73,0.67,0.67,0.66,0.61,0.65,0.39,0.4,0.1,100.0
