,MSFT,DHR,IDXX,TMO,UNH,INTU,ZTS,JNJ,WST,ABT,UPS,MSI,ANSS,COST,SNPS,PG,MDT,AMT,CCI,SYK,MMC,TECH,WM,BRO,NEE,COO,GRMN,MCD,PEP,RSG,ABBV,BRK.B,ALL,TMUS,AWK,LLY,LNG,FSLR,DGX,BSX,WMT,SBAC,STE,EW,XOM,PSA,SMG,BIO,EQIX,DUK,TFX,CHTR,PEG,HSY,PM,AEP,MDLZ,HRC,CVS,LBRDK,KO,VZ,CL,ADM,CMCSA,MNST,MRK,CMS,AMGN,KDP,BMY,CVX,REGN,BF.B,DOX,LHX,SJM,STZ,PKI,XEL,CLX,EXC,CAG,KMI,BDX,TAP,LNT,APD,KMB,SO,CHD,CSCO,LMT,WMB,ETR,PFE,AEE,T,NI,ASH,CPB,SRE,PSX,ED,BAX,EIX,K,EVRG,MKC,D,DLR,WEC,FAST,IFF,INGR,KR,KHC,MCK,FE,HSIC,BG,GILD,CERN,HRL,COG,ES,MO,ECL,GIS,LW,JNPR,ATO,TSN,DTE,MASI,OGE,PPL,NEM,PNW,ABC,HOLX,WTRG,AVY,ADP,POST,EXPD,NVR,RNR,WBA,RPM,AJG,MMM,BKR,PPG,AGR,SCI,CTVA,NFG,TXN,UGI,IQV,WAT,NRG,ARE,GPC,POOL,FLO,TYL,IDA,QGEN,CDK,CTXS,CNP,EXR,WTM,IBM,BKI,A,CHE,GNTX,LUMN,MKL,HE,COP,LEG,GRA,JKHY,ATR,CASY,CHH,UTHR,STWD,ACGL,WRB,NEU,MAA,EHC,HUBB,AON,FMC,JPMORGAN US GOVT MMKT FUN,ACI,n/a,603613.SS,RS,IP,HAIN,VRSN,TFSL,CTRA,BUWA.,LSI,SUM
07/09/2021,0.81,0.7,0.68,0.67,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.51
07/12/2021,0.8,0.69,0.69,0.67,0.65,0.65,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.66,0.64,0.63,0.63,0.63,0.63,0.62,0.62,0.63,0.62,0.6,0.61,0.61,0.62,0.61,0.61,0.61,0.61,0.62,0.61,0.6,0.61,0.59,0.59,0.6,0.59,0.58,0.58,0.59,0.57,0.58,0.57,0.58,0.56,0.57,0.57,0.57,0.58,0.57,0.56,0.56,0.56,0.55,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.53,0.54,0.54,0.53,0.54,0.52,0.52,0.53,0.54,0.54,0.54,0.51,0.51,0.52,0.51,0.51,0.52,0.53,0.52,0.53,0.52,0.53,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.51,0.5,0.49,0.49,0.48,0.49,0.49,0.5,0.5,0.5,0.49,0.5,0.51,0.51,0.51,0.5,0.49,0.49,0.49,0.48,0.48,0.49,0.48,0.49,0.49,0.48,0.51,0.5,0.5,0.5,0.49,0.48,0.48,0.48,0.48,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.48,0.46,0.46,0.46,0.43,0.45,0.44,0.44,0.42,0.44,0.44,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.37,0.38,0.38,0.37,0.35,0.33,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.47
07/13/2021,0.8,0.69,0.69,0.67,0.65,0.65,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.66,0.64,0.63,0.63,0.63,0.63,0.62,0.62,0.63,0.62,0.6,0.61,0.61,0.62,0.61,0.61,0.61,0.61,0.62,0.61,0.6,0.61,0.59,0.59,0.6,0.59,0.58,0.58,0.59,0.57,0.58,0.57,0.58,0.56,0.57,0.57,0.57,0.58,0.57,0.56,0.56,0.56,0.55,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.53,0.54,0.54,0.53,0.54,0.52,0.52,0.53,0.54,0.54,0.54,0.51,0.51,0.52,0.51,0.51,0.52,0.53,0.52,0.53,0.52,0.53,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.51,0.5,0.49,0.49,0.48,0.49,0.49,0.5,0.5,0.5,0.49,0.5,0.51,0.51,0.51,0.5,0.49,0.49,0.49,0.48,0.48,0.49,0.48,0.49,0.49,0.48,0.51,0.5,0.5,0.5,0.49,0.48,0.48,0.48,0.48,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.48,0.46,0.46,0.46,0.43,0.45,0.44,0.44,0.42,0.44,0.44,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.37,0.38,0.38,0.37,0.35,0.33,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.47
07/14/2021,0.8,0.69,0.69,0.67,0.65,0.65,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.66,0.64,0.63,0.63,0.63,0.63,0.62,0.62,0.63,0.62,0.6,0.61,0.61,0.62,0.61,0.61,0.61,0.61,0.62,0.61,0.6,0.61,0.59,0.59,0.6,0.59,0.58,0.58,0.59,0.57,0.58,0.57,0.58,0.56,0.57,0.57,0.57,0.58,0.57,0.56,0.56,0.56,0.55,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.53,0.54,0.54,0.53,0.54,0.52,0.52,0.53,0.54,0.54,0.54,0.51,0.51,0.52,0.51,0.51,0.52,0.53,0.52,0.53,0.52,0.53,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.51,0.5,0.49,0.49,0.48,0.49,0.49,0.5,0.5,0.5,0.49,0.5,0.51,0.51,0.51,0.5,0.49,0.49,0.49,0.48,0.48,0.49,0.48,0.49,0.49,0.48,0.51,0.5,0.5,0.5,0.49,0.48,0.48,0.48,0.48,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.48,0.46,0.46,0.46,0.43,0.45,0.44,0.44,0.42,0.44,0.44,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.37,0.38,0.38,0.37,0.35,0.33,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.47
07/15/2021,0.81,0.69,0.68,0.67,0.66,0.65,0.66,0.66,0.65,0.63,0.64,0.63,0.63,0.66,0.64,0.63,0.63,0.63,0.63,0.62,0.62,0.61,0.62,0.61,0.61,0.61,0.62,0.61,0.61,0.61,0.61,0.62,0.61,0.6,0.61,0.6,0.58,0.61,0.59,0.58,0.58,0.59,0.58,0.58,0.57,0.59,0.56,0.57,0.57,0.58,0.57,0.55,0.57,0.56,0.56,0.55,0.56,0.56,0.56,0.54,0.55,0.55,0.55,0.55,0.55,0.54,0.53,0.54,0.53,0.53,0.54,0.53,0.51,0.52,0.53,0.54,0.54,0.51,0.51,0.52,0.51,0.52,0.51,0.52,0.52,0.53,0.52,0.53,0.52,0.52,0.51,0.5,0.5,0.51,0.51,0.51,0.52,0.5,0.52,0.51,0.49,0.49,0.48,0.49,0.49,0.5,0.49,0.5,0.49,0.5,0.52,0.51,0.51,0.5,0.48,0.49,0.48,0.49,0.48,0.49,0.48,0.49,0.49,0.48,0.51,0.5,0.5,0.5,0.48,0.48,0.47,0.49,0.47,0.49,0.48,0.48,0.48,0.47,0.48,0.48,0.46,0.46,0.48,0.46,0.46,0.45,0.44,0.45,0.44,0.44,0.42,0.43,0.44,0.43,0.41,0.42,0.4,0.39,0.38,0.38,0.37,0.39,0.37,0.37,0.35,0.33,0.32,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.28,0.3,0.28,0.28,0.28,0.28,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.0,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.42
07/16/2021,0.82,0.69,0.69,0.68,0.67,0.66,0.67,0.66,0.65,0.64,0.64,0.63,0.63,0.66,0.64,0.64,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.62,0.62,0.63,0.62,0.62,0.63,0.61,0.61,0.61,0.6,0.57,0.61,0.6,0.58,0.59,0.59,0.58,0.58,0.57,0.59,0.56,0.57,0.57,0.58,0.58,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.53,0.56,0.55,0.55,0.54,0.55,0.55,0.54,0.54,0.54,0.54,0.55,0.53,0.52,0.52,0.53,0.54,0.54,0.51,0.51,0.52,0.51,0.52,0.49,0.52,0.52,0.52,0.52,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.51,0.52,0.53,0.5,0.52,0.51,0.49,0.49,0.48,0.49,0.5,0.5,0.49,0.5,0.49,0.5,0.51,0.51,0.51,0.5,0.47,0.5,0.48,0.49,0.48,0.49,0.48,0.49,0.49,0.49,0.51,0.51,0.5,0.5,0.49,0.48,0.48,0.49,0.47,0.49,0.49,0.47,0.48,0.48,0.48,0.48,0.46,0.46,0.48,0.47,0.45,0.46,0.43,0.45,0.44,0.43,0.42,0.44,0.43,0.42,0.42,0.42,0.39,0.38,0.38,0.38,0.37,0.39,0.37,0.37,0.34,0.33,0.32,0.34,0.32,0.3,0.31,0.31,0.3,0.29,0.28,0.3,0.28,0.28,0.28,0.28,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.0,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.69
07/19/2021,0.82,0.7,0.68,0.68,0.67,0.65,0.67,0.66,0.65,0.63,0.64,0.63,0.63,0.67,0.64,0.65,0.62,0.64,0.63,0.61,0.62,0.61,0.63,0.61,0.63,0.6,0.62,0.62,0.64,0.62,0.61,0.62,0.6,0.61,0.62,0.59,0.56,0.56,0.59,0.57,0.59,0.6,0.57,0.58,0.55,0.59,0.55,0.57,0.58,0.59,0.52,0.55,0.57,0.57,0.57,0.57,0.57,0.55,0.56,0.53,0.58,0.55,0.56,0.54,0.55,0.56,0.54,0.55,0.54,0.55,0.55,0.52,0.53,0.52,0.53,0.54,0.55,0.51,0.51,0.53,0.52,0.53,0.5,0.51,0.51,0.51,0.53,0.52,0.53,0.53,0.51,0.51,0.51,0.49,0.52,0.52,0.53,0.5,0.53,0.5,0.49,0.49,0.45,0.5,0.5,0.5,0.5,0.51,0.49,0.51,0.52,0.52,0.51,0.49,0.47,0.5,0.48,0.49,0.48,0.49,0.48,0.49,0.49,0.49,0.48,0.52,0.5,0.51,0.49,0.48,0.49,0.5,0.47,0.49,0.5,0.48,0.48,0.48,0.49,0.47,0.46,0.47,0.48,0.47,0.45,0.45,0.43,0.46,0.43,0.43,0.42,0.44,0.41,0.43,0.42,0.42,0.39,0.38,0.38,0.38,0.37,0.39,0.36,0.37,0.35,0.32,0.33,0.34,0.33,0.31,0.31,0.31,0.3,0.3,0.28,0.3,0.28,0.28,0.28,0.28,0.25,0.25,0.27,0.24,0.24,0.24,0.25,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.63
07/20/2021,0.82,0.71,0.69,0.68,0.67,0.65,0.67,0.65,0.65,0.63,0.64,0.62,0.63,0.66,0.63,0.65,0.62,0.64,0.63,0.61,0.62,0.62,0.63,0.62,0.64,0.6,0.62,0.61,0.64,0.63,0.61,0.62,0.6,0.61,0.63,0.59,0.57,0.55,0.59,0.57,0.59,0.6,0.57,0.58,0.54,0.59,0.56,0.58,0.58,0.6,0.53,0.55,0.58,0.58,0.57,0.57,0.57,0.55,0.56,0.53,0.58,0.55,0.56,0.53,0.54,0.55,0.54,0.56,0.55,0.55,0.55,0.5,0.53,0.51,0.53,0.54,0.55,0.51,0.51,0.53,0.53,0.53,0.5,0.5,0.52,0.51,0.54,0.52,0.54,0.54,0.52,0.51,0.5,0.48,0.52,0.52,0.54,0.5,0.53,0.5,0.49,0.5,0.44,0.51,0.5,0.5,0.5,0.52,0.5,0.52,0.52,0.53,0.51,0.49,0.46,0.51,0.48,0.49,0.49,0.48,0.46,0.49,0.48,0.5,0.47,0.53,0.5,0.51,0.49,0.47,0.48,0.5,0.46,0.5,0.49,0.48,0.49,0.47,0.5,0.47,0.47,0.47,0.47,0.47,0.44,0.45,0.43,0.46,0.43,0.43,0.42,0.44,0.4,0.42,0.42,0.42,0.38,0.38,0.37,0.38,0.37,0.39,0.37,0.38,0.34,0.32,0.33,0.34,0.34,0.3,0.31,0.31,0.31,0.29,0.28,0.3,0.28,0.28,0.27,0.27,0.24,0.26,0.26,0.23,0.23,0.24,0.25,0.23,0.22,0.2,0.2,0.2,0.19,0.19,0.18,0.2,0.18,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.62
07/21/2021,0.82,0.71,0.69,0.68,0.67,0.65,0.67,0.65,0.65,0.63,0.64,0.62,0.63,0.66,0.63,0.65,0.62,0.64,0.63,0.61,0.62,0.62,0.63,0.62,0.64,0.6,0.62,0.61,0.64,0.63,0.61,0.62,0.6,0.61,0.63,0.59,0.57,0.55,0.59,0.57,0.59,0.6,0.57,0.58,0.54,0.59,0.56,0.58,0.58,0.6,0.53,0.55,0.58,0.58,0.57,0.57,0.57,0.55,0.56,0.53,0.58,0.55,0.56,0.53,0.54,0.55,0.54,0.56,0.55,0.55,0.55,0.5,0.53,0.51,0.53,0.54,0.55,0.51,0.51,0.53,0.53,0.53,0.5,0.5,0.52,0.51,0.54,0.52,0.54,0.54,0.52,0.51,0.5,0.48,0.52,0.52,0.54,0.5,0.53,0.5,0.49,0.5,0.44,0.51,0.5,0.5,0.5,0.52,0.5,0.52,0.52,0.53,0.51,0.49,0.46,0.51,0.48,0.49,0.49,0.48,0.46,0.49,0.48,0.5,0.47,0.53,0.5,0.51,0.49,0.47,0.48,0.5,0.46,0.5,0.49,0.48,0.49,0.47,0.5,0.47,0.47,0.47,0.47,0.47,0.44,0.45,0.43,0.46,0.43,0.43,0.42,0.44,0.4,0.42,0.42,0.42,0.38,0.38,0.37,0.38,0.37,0.39,0.37,0.38,0.34,0.32,0.33,0.34,0.34,0.3,0.31,0.31,0.31,0.29,0.28,0.3,0.28,0.28,0.27,0.27,0.24,0.26,0.26,0.23,0.23,0.24,0.25,0.23,0.22,0.2,0.2,0.2,0.19,0.19,0.18,0.2,0.18,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.62
07/22/2021,0.82,0.71,0.7,0.69,0.66,0.65,0.67,0.66,0.65,0.65,0.65,0.62,0.62,0.68,0.64,0.66,0.62,0.64,0.64,0.59,0.61,0.62,0.63,0.61,0.64,0.6,0.62,0.6,0.65,0.63,0.61,0.62,0.59,0.6,0.64,0.6,0.55,0.55,0.61,0.56,0.6,0.61,0.57,0.56,0.53,0.59,0.56,0.58,0.59,0.6,0.52,0.56,0.57,0.58,0.57,0.57,0.58,0.56,0.56,0.54,0.58,0.55,0.57,0.53,0.54,0.56,0.54,0.56,0.55,0.55,0.54,0.5,0.53,0.52,0.53,0.53,0.56,0.51,0.52,0.53,0.54,0.53,0.52,0.49,0.52,0.51,0.54,0.52,0.55,0.54,0.52,0.51,0.5,0.48,0.51,0.53,0.54,0.5,0.52,0.49,0.5,0.49,0.42,0.51,0.5,0.49,0.51,0.52,0.51,0.51,0.52,0.53,0.52,0.48,0.46,0.54,0.49,0.49,0.49,0.48,0.47,0.5,0.48,0.5,0.46,0.53,0.5,0.5,0.5,0.46,0.47,0.5,0.47,0.49,0.5,0.48,0.48,0.46,0.49,0.48,0.48,0.47,0.46,0.46,0.44,0.46,0.43,0.45,0.43,0.43,0.42,0.44,0.38,0.42,0.42,0.43,0.38,0.37,0.38,0.37,0.36,0.39,0.36,0.38,0.34,0.32,0.33,0.35,0.34,0.31,0.3,0.31,0.3,0.29,0.28,0.3,0.28,0.28,0.27,0.27,0.24,0.25,0.27,0.22,0.23,0.25,0.25,0.23,0.22,0.2,0.2,0.19,0.19,0.19,0.18,0.2,0.18,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.66
