,UNH,CVS,ANTM,HUM,HCA,CNC,CI,LH,TDOC,DGX,MOH,UHS,GH,AMED,DVA,EHC,CHE,THC,HQY,LHCG,ACHC,NEO,CHNG,INSP,ENSG,SEM,RCM,SDGR,INOV,MD,ONEM,PINC,PHR,PGNY,OPCH,MPLN,GDRX,MODV,MGLN,SGRY,CYH,HCAT,FLGT,RDNT,BKD,USPH,XTSLA,CSTL,ADUS,CRVL,CLOV,TRHC,PNTG,CERT,TVTY,HNGR,ACCD,NHC,AMWL,SGFY,HIMS,HSTM,GTS,SGAFT,IXCU1,USD,SUM
07/09/2021,22.67,11.99,9.6,4.76,4.57,4.55,4.31,4.13,3.26,2.65,2.27,1.78,1.62,1.33,1.29,1.22,1.17,1.1,1.02,0.99,0.85,0.8,0.79,0.77,0.69,0.68,0.47,0.42,0.4,0.39,0.39,0.38,0.37,0.35,0.34,0.32,0.31,0.31,0.31,0.29,0.29,0.29,0.24,0.23,0.23,0.23,0.2,0.2,0.2,0.19,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.11,0.11,0.11,0.11,0.08,0.01,0.0,0.0,99.96
07/12/2021,22.83,11.94,9.65,4.8,4.59,4.53,4.27,4.14,3.17,2.68,2.26,1.79,1.59,1.35,1.29,1.23,1.16,1.1,0.99,1.03,0.86,0.81,0.79,0.75,0.69,0.67,0.47,0.42,0.4,0.39,0.37,0.38,0.37,0.34,0.34,0.29,0.32,0.32,0.31,0.29,0.3,0.3,0.23,0.23,0.23,0.22,0.18,0.2,0.19,0.19,0.16,0.17,0.16,0.16,0.15,0.14,0.13,0.13,0.11,0.11,0.1,0.11,0.08,0.01,0.0,0.02,99.98
07/13/2021,22.83,11.94,9.65,4.8,4.59,4.53,4.27,4.14,3.17,2.68,2.26,1.79,1.59,1.35,1.29,1.23,1.16,1.1,0.99,1.03,0.86,0.81,0.79,0.75,0.69,0.67,0.47,0.42,0.4,0.39,0.37,0.38,0.37,0.34,0.34,0.29,0.32,0.32,0.31,0.29,0.3,0.3,0.23,0.23,0.23,0.22,0.18,0.2,0.19,0.19,0.16,0.17,0.16,0.16,0.15,0.14,0.13,0.13,0.11,0.11,0.1,0.11,0.08,0.01,0.0,0.02,99.98
07/14/2021,22.73,11.99,9.66,4.77,4.65,4.54,4.29,4.16,3.16,2.67,2.28,1.82,1.61,1.33,1.3,1.23,1.15,1.12,1.0,1.01,0.86,0.81,0.78,0.77,0.69,0.67,0.47,0.42,0.39,0.39,0.37,0.38,0.36,0.33,0.34,0.28,0.31,0.32,0.31,0.29,0.3,0.29,0.24,0.23,0.24,0.23,0.18,0.21,0.19,0.19,0.16,0.17,0.15,0.16,0.15,0.14,0.13,0.13,0.11,0.1,0.1,0.11,0.08,0.01,0.0,0.02,100.03
07/16/2021,23.02,12.0,9.87,4.8,4.64,4.59,4.29,4.13,3.06,2.67,2.27,1.8,1.57,1.3,1.29,1.21,1.15,1.1,0.99,0.98,0.83,0.81,0.76,0.77,0.68,0.67,0.44,0.38,0.4,0.38,0.35,0.38,0.37,0.32,0.33,0.27,0.3,0.31,0.31,0.29,0.29,0.28,0.22,0.23,0.24,0.22,0.19,0.2,0.19,0.19,0.15,0.16,0.15,0.16,0.15,0.14,0.13,0.13,0.1,0.1,0.1,0.11,0.08,0.01,0.0,0.0,100.0
07/19/2021,23.28,12.16,9.9,4.91,4.7,4.55,4.31,4.12,2.92,2.67,2.32,1.82,1.49,1.27,1.28,1.21,1.15,1.09,0.97,0.98,0.82,0.76,0.77,0.72,0.68,0.64,0.43,0.38,0.38,0.37,0.32,0.38,0.35,0.31,0.31,0.28,0.29,0.31,0.31,0.27,0.28,0.28,0.21,0.22,0.24,0.22,0.19,0.18,0.19,0.19,0.14,0.16,0.14,0.15,0.14,0.14,0.12,0.14,0.1,0.1,0.1,0.11,0.08,0.01,0.0,0.01,100.02
07/20/2021,23.28,12.16,9.9,4.91,4.7,4.55,4.31,4.12,2.92,2.67,2.32,1.82,1.49,1.27,1.28,1.21,1.15,1.09,0.97,0.98,0.82,0.76,0.77,0.72,0.68,0.64,0.43,0.38,0.38,0.37,0.32,0.38,0.35,0.31,0.31,0.28,0.29,0.31,0.31,0.27,0.28,0.28,0.21,0.22,0.24,0.22,0.19,0.18,0.19,0.19,0.14,0.16,0.14,0.15,0.14,0.14,0.12,0.14,0.1,0.1,0.1,0.11,0.08,0.01,0.0,0.01,100.02
07/22/2021,23.08,12.16,9.78,4.93,4.73,4.51,4.26,4.16,3.08,2.76,2.26,1.77,1.56,1.29,1.28,1.2,1.16,1.07,0.94,1.0,0.81,0.8,0.79,0.74,0.69,0.63,0.43,0.39,0.39,0.38,0.33,0.39,0.37,0.32,0.32,0.29,0.29,0.31,0.32,0.27,0.27,0.29,0.23,0.22,0.23,0.22,0.19,0.19,0.19,0.19,0.14,0.16,0.14,0.15,0.14,0.14,0.12,0.14,0.1,0.11,0.1,0.11,0.09,0.01,0.0,0.0,100.11
07/23/2021,22.84,12.09,9.73,4.83,5.3,4.44,4.25,4.11,3.09,2.71,2.26,1.82,1.53,1.28,1.27,1.21,1.15,1.14,0.95,1.0,0.84,0.79,0.78,0.7,0.68,0.65,0.43,0.39,0.39,0.39,0.32,0.38,0.36,0.32,0.32,0.3,0.29,0.31,0.37,0.27,0.29,0.29,0.22,0.22,0.23,0.22,0.23,0.19,0.19,0.19,0.14,0.16,0.14,0.15,0.14,0.14,0.12,0.14,0.1,0.1,0.09,0.11,0.09,0.01,0.0,0.0,100.18
07/27/2021,22.92,12.17,9.55,4.85,5.24,4.51,4.24,4.16,3.04,2.73,2.28,1.78,1.55,1.27,1.28,1.19,1.15,1.13,0.94,1.0,0.83,0.8,0.77,0.73,0.66,0.63,0.43,0.39,0.39,0.38,0.33,0.38,0.37,0.32,0.33,0.31,0.3,0.3,0.38,0.26,0.27,0.29,0.23,0.22,0.22,0.21,0.04,0.19,0.19,0.19,0.15,0.15,0.13,0.16,0.14,0.14,0.12,0.14,0.1,0.1,0.09,0.11,0.08,0.0,0.0,0.06,99.99
