,TLT,SCHQ,First American Government Obligs X,Schwab Long-Term US Treasury ETF,FGXXX,TLH,PIMCO 25+ Year Zero Coupon US Trs ETF,ZROZ,n/a,SCHG,VB,URTY,SUM
07/09/2021,69.99,29.98,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,70.0,29.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,70.0,29.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,70.0,29.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,69.89,29.95,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,69.89,29.95,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,69.95,29.98,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,69.97,0.0,0.0,29.96,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,69.95,0.0,0.0,29.97,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,69.95,0.0,0.0,29.97,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,69.98,29.95,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,69.99,29.97,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,69.99,29.97,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,0.0,0.0,0.0,0.2,64.98,34.82,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,0.0,0.0,0.0,0.37,64.82,34.8,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,0.0,0.0,0.0,0.0,0.37,64.82,34.8,0.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,0.0,0.0,0.0,0.0,0.21,64.79,35.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,0.0,0.0,0.0,0.0,0.21,64.79,35.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,0.0,0.0,0.0,0.0,0.21,64.79,35.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,0.0,0.0,0.0,0.0,0.21,64.79,35.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,0.0,0.0,0.0,0.0,0.06,64.83,35.11,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,0.0,0.0,0.0,0.0,0.0,64.87,0.0,35.07,0.07,0.0,0.0,0.0,100.01
08/10/2021,0.0,0.0,0.0,0.0,0.0,64.87,0.0,35.07,0.07,0.0,0.0,0.0,100.01
08/11/2021,0.0,0.0,0.0,0.0,0.0,64.87,0.0,35.07,0.07,0.0,0.0,0.0,100.01
08/13/2021,0.0,0.0,0.0,0.0,0.0,65.02,0.0,34.81,0.17,0.0,0.0,0.0,100.0
08/16/2021,0.0,0.0,0.0,0.0,0.17,65.09,0.0,0.0,34.74,0.0,0.0,0.0,100.0
08/17/2021,0.0,0.0,0.0,0.0,0.17,65.09,0.0,0.0,34.74,0.0,0.0,0.0,100.0
08/18/2021,0.0,0.0,0.0,0.0,0.17,64.83,0.0,0.0,35.0,0.0,0.0,0.0,100.0
08/19/2021,0.0,0.0,0.0,0.0,0.0,64.83,0.0,35.0,0.17,0.0,0.0,0.0,100.0
08/20/2021,0.0,0.0,0.0,0.0,0.0,64.85,0.0,34.99,0.17,0.0,0.0,0.0,100.01
08/23/2021,0.0,0.0,0.0,0.0,0.04,64.77,0.0,0.0,35.19,0.0,0.0,0.0,100.0
08/24/2021,0.0,0.0,0.0,0.0,0.04,64.77,0.0,0.0,35.19,0.0,0.0,0.0,100.0
08/25/2021,0.0,0.0,0.0,0.0,0.0,64.75,0.0,35.21,0.04,0.0,0.0,0.0,100.0
08/26/2021,0.0,0.0,0.0,0.0,0.0,64.75,0.0,35.21,0.04,0.0,0.0,0.0,100.0
08/27/2021,0.0,0.0,0.0,0.0,0.03,65.05,0.0,0.0,34.92,0.0,0.0,0.0,100.0
