,XLK,XLB,XLI,XLF,XLC,XLE,XLP,Ssga Fds/Usa State St Inst Us Gov M Oef ,U.S. Dollar,SDA.AX,002810.KS,n/a,603121.SS,GVMXX,XLV,XLU,SUM
07/09/2021,42.22,16.37,16.03,12.43,7.02,3.02,2.68,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,42.33,16.43,16.07,12.28,6.98,2.97,2.7,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,42.33,16.43,16.07,12.28,6.98,2.97,2.7,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,42.11,16.51,16.09,12.45,6.94,2.99,2.68,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,42.03,16.52,16.07,12.54,6.97,2.98,2.67,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,42.03,16.52,16.07,12.54,6.97,2.98,2.67,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,42.8,7.34,17.73,14.35,2.13,4.86,10.65,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,42.81,7.31,17.76,14.3,2.14,4.77,10.78,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,42.81,7.31,17.76,14.3,2.14,4.77,10.78,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,42.81,7.31,17.76,14.3,2.14,4.77,10.78,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,42.92,7.24,17.9,14.27,2.13,4.67,10.77,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,43.18,7.24,17.81,14.2,2.13,4.72,10.61,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,43.29,7.24,17.75,14.12,2.17,4.67,10.66,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,43.29,7.24,17.75,14.12,2.17,4.67,10.66,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,43.15,7.28,17.7,14.16,2.17,4.78,10.65,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,42.98,7.33,17.7,14.24,2.16,4.76,10.73,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,42.98,7.36,17.68,14.24,2.18,4.81,10.65,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,42.9,7.4,17.7,14.3,2.14,4.82,10.63,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,42.96,7.44,17.71,14.22,2.14,4.76,10.67,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,43.0,7.39,17.67,14.28,2.14,4.74,10.67,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,42.91,7.4,17.74,14.32,2.12,4.78,10.63,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,43.23,7.32,17.58,14.39,2.14,4.7,10.54,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,100.0
08/10/2021,42.98,7.39,17.58,14.6,2.13,4.72,10.49,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/16/2021,42.2,0.0,7.87,4.82,22.04,2.57,20.06,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/17/2021,42.29,0.0,7.82,4.77,21.98,2.53,20.16,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/18/2021,42.29,0.0,7.82,4.77,21.98,2.53,20.16,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/19/2021,42.35,0.0,7.82,4.74,21.95,2.48,20.21,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,99.98999999999998
08/20/2021,42.3,0.0,7.79,4.74,21.92,2.47,20.37,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,100.0
08/23/2021,42.45,0.0,7.71,4.69,21.93,2.37,20.43,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,99.99
08/24/2021,42.65,0.0,7.67,4.68,21.94,2.36,20.3,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/25/2021,42.65,0.0,7.67,4.68,21.94,2.36,20.3,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,100.01
08/27/2021,42.76,0.0,7.7,4.7,22.07,2.46,19.9,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,99.99
08/30/2021,42.7,0.0,7.76,4.76,22.03,2.46,19.88,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,42.68,0.0,7.74,4.77,22.16,2.5,19.75,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,100.0
09/02/2021,42.88,0.0,7.68,4.68,22.18,2.46,19.73,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,100.01
09/03/2021,42.72,0.0,7.67,4.68,22.29,2.44,19.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,100.0
09/06/2021,42.61,0.0,7.71,4.66,22.22,2.46,19.94,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,100.0
09/07/2021,42.75,0.0,7.66,4.63,22.2,2.45,19.91,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,100.0
09/08/2021,42.75,0.0,7.66,4.63,22.2,2.45,19.91,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,100.0
09/09/2021,42.75,0.0,7.66,4.63,22.2,2.45,19.91,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,100.0
09/10/2021,42.91,0.0,7.55,4.62,22.33,2.44,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,100.0
09/13/2021,42.82,0.0,7.57,4.64,22.23,2.43,19.91,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,100.0
09/14/2021,42.71,0.0,7.59,4.64,22.25,2.45,19.97,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,100.01000000000002
09/15/2021,42.74,7.97,0.0,12.49,24.81,0.0,11.74,0.0,0.0,0.0,0.0,-0.03,0.0,0.29,0.0,0.0,100.01
09/16/2021,42.65,7.95,0.0,12.6,24.81,0.0,11.74,0.0,0.0,0.0,0.0,-0.15,0.0,0.4,0.0,0.0,100.0
09/17/2021,42.84,7.91,0.0,12.5,24.74,0.0,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,100.0
09/20/2021,43.01,7.87,0.0,12.52,24.7,0.0,11.69,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,100.0
09/21/2021,42.87,7.8,0.0,12.62,24.73,0.0,11.77,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,100.01
09/22/2021,42.87,7.8,0.0,12.62,24.73,0.0,11.77,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,100.01
09/23/2021,42.99,7.79,0.0,12.55,24.75,0.0,11.85,0.0,0.0,0.0,0.0,-0.16,0.0,0.22,0.0,0.0,99.99
09/24/2021,42.99,7.77,0.0,12.53,24.64,0.0,11.84,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,99.99
09/27/2021,43.19,7.78,0.0,12.63,24.41,0.0,11.76,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,99.99
09/28/2021,43.06,7.75,0.0,12.79,24.44,0.0,11.61,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,99.99
