,FANG,PSXP,CLR,ET,DVN,MPC,EOG,PXD,WES,EPD,DCP,TRGP,KMI,IEP,MPLX,CHTR,OKE,WMB,MMP,SEAS,KR,SAM,CTRA,HII,VZ,CHK,CQP,ACI,PKG,MO,LUV,MTZ,HGV,AR,CACI,STZ,BAH,STLD,ATO,FLO,EME,PFGC,JBHT,FOXA,ARNA,CAH,CSX,NXST,AEP,USFD,REYN,ULTA,MP,LYFT,XEL,ODFL,CMS,DTE,ED,LAD,FYBR,MDU,SO,PNW,M,DUK,UFPI,MUSA,LNT,NI,IDA,AEE,DISH,NSC,NFG,PEG,D,TXRH,VST,CASY,ASGN,CVS,AMN,DRI,DG,AN,BLD,PLNT,EVRG,EQT,CNP,UNH,ABC,INTU,NYT,MCW,LBRDK,OGE,PINC,DVA,BJ,AGR,FE,DNLI,PCG,EXC,CHNG,ACHC,FIVE,TGT,TSCO,WEC,TNET,KNX,ES,PHM,NBIX,VMC,BLDR,KSS,ETR,ROST,WTRG,HCA,SIRI,RSG,WM,BYD,EXP,CI,AZEK,DKS,LEN,CHDN,KMX,TOL,EIX,SRPT,THC,CZR,SITE,ADT,NRG,DHI,NEE,WING,PAYX,TREX,DGX,LSTR,RUN,SWN,ANTM,DASH,RCM,MLM,FXFXX,Z,OPCH,SGEN,FCNCA,UTHR,PENN,UHAL,BURL,PAYC,CNC,ARWR,PCTY,AMED,MEDP,CHWY,FND,ORLY,NTLA,PYCR,RH,SAIA,BEAM,AGL,MOH,DV,CHE,VIR,FATE,CNM,TSP,MRNA,ROKU,TTD,CVNA,HUM,BILL,NVAX,OSH,CABO,CMG,SIVB,SBNY,MTB,PBCT,WFC,PNFP,GL,PGR,KEY,SUM
01/11/2022,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.27,0.26,0.24,0.24,0.22,0.0,0.0,0.0,0.0,0.0,0.0,74.56
01/12/2022,0.44,0.44,0.43,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.4,0.42,0.42,0.41,0.41,0.42,0.42,0.43,0.41,0.41,0.42,0.41,0.4,0.4,0.41,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.4,0.39,0.4,0.39,0.4,0.39,0.41,0.39,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.37,0.38,0.39,0.39,0.39,0.39,0.4,0.39,0.39,0.39,0.39,0.38,0.39,0.38,0.37,0.39,0.38,0.38,0.39,0.39,0.35,0.39,0.39,0.4,0.38,0.37,0.39,0.37,0.34,0.38,0.37,0.38,0.38,0.38,0.39,0.38,0.38,0.36,0.39,0.38,0.38,0.37,0.36,0.38,0.37,0.38,0.37,0.37,0.38,0.36,0.34,0.37,0.36,0.37,0.38,0.36,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.38,0.35,0.37,0.35,0.38,0.37,0.35,0.37,0.36,0.35,0.38,0.34,0.37,0.36,0.34,0.37,0.35,0.36,0.34,0.36,0.35,0.36,0.36,0.35,0.34,0.36,0.35,0.36,0.35,0.34,0.35,0.37,0.36,0.35,0.34,0.33,0.35,0.35,0.34,0.34,0.34,0.34,0.32,0.34,0.33,0.34,0.34,0.32,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.31,0.29,0.32,0.3,0.3,0.3,0.31,0.28,0.27,0.26,0.24,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,74.28999999999999
01/13/2022,0.44,0.46,0.42,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.43,0.42,0.41,0.4,0.41,0.42,0.41,0.4,0.43,0.42,0.43,0.42,0.41,0.43,0.42,0.41,0.4,0.41,0.41,0.4,0.4,0.42,0.4,0.4,0.4,0.38,0.4,0.4,0.39,0.4,0.39,0.4,0.4,0.38,0.38,0.4,0.4,0.4,0.39,0.37,0.4,0.4,0.4,0.38,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.37,0.39,0.38,0.38,0.39,0.39,0.39,0.39,0.4,0.38,0.38,0.39,0.39,0.38,0.39,0.39,0.37,0.4,0.35,0.39,0.39,0.4,0.35,0.38,0.38,0.41,0.39,0.38,0.4,0.37,0.34,0.38,0.37,0.38,0.38,0.39,0.39,0.37,0.39,0.35,0.39,0.38,0.39,0.36,0.35,0.37,0.37,0.38,0.37,0.37,0.38,0.36,0.35,0.36,0.36,0.36,0.38,0.35,0.37,0.37,0.38,0.37,0.37,0.37,0.36,0.38,0.35,0.38,0.36,0.37,0.37,0.35,0.38,0.32,0.35,0.38,0.34,0.36,0.36,0.34,0.36,0.34,0.35,0.34,0.37,0.35,0.36,0.37,0.36,0.35,0.35,0.34,0.36,0.35,0.35,0.36,0.37,0.36,0.35,0.34,0.32,0.36,0.36,0.34,0.35,0.35,0.34,0.33,0.33,0.33,0.34,0.34,0.31,0.33,0.33,0.32,0.33,0.32,0.33,0.32,0.32,0.31,0.29,0.34,0.3,0.33,0.3,0.32,0.3,0.33,0.28,0.27,0.25,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,74.28999999999999
01/14/2022,0.44,0.46,0.44,0.44,0.44,0.44,0.45,0.43,0.42,0.43,0.42,0.42,0.43,0.42,0.42,0.4,0.42,0.43,0.42,0.41,0.41,0.41,0.42,0.42,0.4,0.42,0.43,0.37,0.4,0.4,0.42,0.41,0.39,0.42,0.4,0.41,0.39,0.38,0.39,0.39,0.38,0.4,0.39,0.4,0.39,0.39,0.38,0.4,0.39,0.4,0.39,0.37,0.41,0.4,0.39,0.37,0.38,0.39,0.38,0.39,0.4,0.38,0.38,0.39,0.39,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.41,0.37,0.38,0.38,0.39,0.37,0.39,0.38,0.37,0.4,0.35,0.38,0.37,0.39,0.36,0.39,0.38,0.41,0.38,0.38,0.4,0.38,0.35,0.38,0.37,0.37,0.38,0.39,0.38,0.37,0.38,0.36,0.39,0.37,0.38,0.37,0.35,0.37,0.37,0.37,0.36,0.37,0.37,0.37,0.34,0.36,0.37,0.37,0.37,0.36,0.37,0.37,0.38,0.36,0.36,0.37,0.37,0.39,0.36,0.4,0.37,0.36,0.37,0.36,0.37,0.32,0.36,0.38,0.33,0.37,0.36,0.35,0.36,0.34,0.36,0.34,0.36,0.35,0.37,0.38,0.37,0.37,0.35,0.34,0.35,0.36,0.35,0.35,0.36,0.37,0.36,0.34,0.32,0.36,0.36,0.34,0.35,0.34,0.35,0.33,0.33,0.33,0.34,0.35,0.31,0.32,0.36,0.33,0.33,0.34,0.32,0.33,0.31,0.31,0.31,0.32,0.3,0.34,0.3,0.32,0.31,0.32,0.29,0.26,0.26,0.24,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,74.37
01/17/2022,0.45,0.46,0.44,0.46,0.44,0.44,0.45,0.43,0.43,0.43,0.42,0.43,0.43,0.42,0.42,0.4,0.42,0.44,0.42,0.4,0.41,0.39,0.45,0.42,0.4,0.44,0.44,0.38,0.39,0.4,0.41,0.4,0.39,0.45,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.4,0.4,0.4,0.39,0.39,0.38,0.43,0.4,0.4,0.39,0.37,0.43,0.38,0.39,0.37,0.39,0.39,0.38,0.39,0.4,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.43,0.37,0.38,0.39,0.39,0.37,0.39,0.38,0.37,0.4,0.35,0.37,0.37,0.38,0.36,0.39,0.38,0.43,0.38,0.38,0.4,0.38,0.35,0.37,0.37,0.38,0.38,0.39,0.38,0.37,0.38,0.33,0.4,0.37,0.38,0.36,0.35,0.36,0.37,0.37,0.36,0.37,0.37,0.38,0.35,0.36,0.37,0.37,0.37,0.36,0.36,0.36,0.38,0.36,0.36,0.37,0.37,0.39,0.36,0.39,0.37,0.36,0.37,0.36,0.37,0.31,0.36,0.37,0.34,0.36,0.37,0.36,0.36,0.34,0.35,0.33,0.33,0.35,0.38,0.41,0.37,0.37,0.34,0.34,0.36,0.35,0.34,0.34,0.36,0.37,0.35,0.34,0.32,0.35,0.37,0.33,0.35,0.33,0.33,0.32,0.33,0.33,0.32,0.35,0.31,0.32,0.33,0.32,0.33,0.32,0.32,0.38,0.29,0.32,0.3,0.33,0.29,0.33,0.29,0.32,0.3,0.32,0.28,0.26,0.25,0.24,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,74.32
01/18/2022,0.45,0.46,0.44,0.46,0.44,0.44,0.45,0.43,0.43,0.43,0.42,0.43,0.43,0.42,0.42,0.4,0.42,0.44,0.42,0.4,0.41,0.39,0.45,0.42,0.4,0.44,0.44,0.38,0.39,0.4,0.41,0.4,0.39,0.45,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.4,0.4,0.4,0.39,0.39,0.38,0.43,0.4,0.4,0.39,0.37,0.43,0.38,0.39,0.37,0.39,0.39,0.38,0.39,0.4,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.43,0.37,0.38,0.39,0.39,0.37,0.39,0.38,0.37,0.4,0.35,0.37,0.37,0.38,0.36,0.39,0.38,0.43,0.38,0.38,0.4,0.38,0.35,0.37,0.37,0.38,0.38,0.39,0.38,0.37,0.38,0.33,0.4,0.37,0.38,0.36,0.35,0.36,0.37,0.37,0.36,0.37,0.37,0.38,0.35,0.36,0.37,0.37,0.37,0.36,0.36,0.36,0.38,0.36,0.36,0.37,0.37,0.39,0.36,0.39,0.37,0.36,0.37,0.36,0.37,0.31,0.36,0.37,0.34,0.36,0.37,0.36,0.36,0.34,0.35,0.33,0.33,0.35,0.38,0.41,0.37,0.37,0.34,0.34,0.36,0.35,0.34,0.34,0.36,0.37,0.35,0.34,0.32,0.35,0.37,0.33,0.35,0.33,0.33,0.32,0.33,0.33,0.32,0.35,0.31,0.32,0.33,0.32,0.33,0.32,0.32,0.38,0.29,0.32,0.3,0.33,0.29,0.33,0.29,0.32,0.3,0.32,0.28,0.26,0.25,0.24,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,74.32
01/19/2022,0.45,0.46,0.44,0.46,0.44,0.44,0.45,0.43,0.43,0.43,0.42,0.43,0.43,0.42,0.42,0.4,0.42,0.44,0.42,0.4,0.41,0.39,0.45,0.42,0.4,0.44,0.44,0.38,0.39,0.4,0.41,0.4,0.39,0.45,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.4,0.4,0.4,0.39,0.39,0.38,0.43,0.4,0.4,0.39,0.37,0.43,0.38,0.39,0.37,0.39,0.39,0.38,0.39,0.4,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.43,0.37,0.38,0.39,0.39,0.37,0.39,0.38,0.37,0.4,0.35,0.37,0.37,0.38,0.36,0.39,0.38,0.43,0.38,0.38,0.4,0.38,0.35,0.37,0.37,0.38,0.38,0.39,0.38,0.37,0.38,0.33,0.4,0.37,0.38,0.36,0.35,0.36,0.37,0.37,0.36,0.37,0.37,0.38,0.35,0.36,0.37,0.37,0.37,0.36,0.36,0.36,0.38,0.36,0.36,0.37,0.37,0.39,0.36,0.39,0.37,0.36,0.37,0.36,0.37,0.31,0.36,0.37,0.34,0.36,0.37,0.36,0.36,0.34,0.35,0.33,0.33,0.35,0.38,0.41,0.37,0.37,0.34,0.34,0.36,0.35,0.34,0.34,0.36,0.37,0.35,0.34,0.32,0.35,0.37,0.33,0.35,0.33,0.33,0.32,0.33,0.33,0.32,0.35,0.31,0.32,0.33,0.32,0.33,0.32,0.32,0.38,0.29,0.32,0.3,0.33,0.29,0.33,0.29,0.32,0.3,0.32,0.28,0.26,0.25,0.24,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,74.32
01/20/2022,0.45,0.46,0.44,0.46,0.44,0.44,0.45,0.43,0.43,0.43,0.42,0.43,0.43,0.42,0.42,0.4,0.42,0.44,0.42,0.4,0.41,0.39,0.45,0.42,0.4,0.44,0.44,0.38,0.39,0.4,0.41,0.4,0.39,0.45,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.4,0.4,0.4,0.39,0.39,0.38,0.43,0.4,0.4,0.39,0.37,0.43,0.38,0.39,0.37,0.39,0.39,0.38,0.39,0.4,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.43,0.37,0.38,0.39,0.39,0.37,0.39,0.38,0.37,0.4,0.35,0.37,0.37,0.38,0.36,0.39,0.38,0.43,0.38,0.38,0.4,0.38,0.35,0.37,0.37,0.38,0.38,0.39,0.38,0.37,0.38,0.33,0.4,0.37,0.38,0.36,0.35,0.36,0.37,0.37,0.36,0.37,0.37,0.38,0.35,0.36,0.37,0.37,0.37,0.36,0.36,0.36,0.38,0.36,0.36,0.37,0.37,0.39,0.36,0.39,0.37,0.36,0.37,0.36,0.37,0.31,0.36,0.37,0.34,0.36,0.37,0.36,0.36,0.34,0.35,0.33,0.33,0.35,0.38,0.41,0.37,0.37,0.34,0.34,0.36,0.35,0.34,0.34,0.36,0.37,0.35,0.34,0.32,0.35,0.37,0.33,0.35,0.33,0.33,0.32,0.33,0.33,0.32,0.35,0.31,0.32,0.33,0.32,0.33,0.32,0.32,0.38,0.29,0.32,0.3,0.33,0.29,0.33,0.29,0.32,0.3,0.32,0.28,0.26,0.25,0.24,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,74.32
01/21/2022,0.46,0.49,0.46,0.47,0.46,0.46,0.48,0.47,0.45,0.45,0.42,0.44,0.45,0.44,0.43,0.39,0.42,0.46,0.44,0.37,0.43,0.37,0.45,0.43,0.41,0.43,0.43,0.4,0.41,0.42,0.43,0.41,0.38,0.43,0.42,0.41,0.41,0.38,0.41,0.42,0.38,0.41,0.4,0.42,0.4,0.41,0.38,0.44,0.41,0.41,0.4,0.38,0.42,0.35,0.4,0.37,0.39,0.4,0.39,0.42,0.39,0.39,0.4,0.4,0.38,0.39,0.37,0.38,0.39,0.41,0.38,0.4,0.43,0.37,0.39,0.39,0.39,0.36,0.4,0.38,0.37,0.4,0.36,0.37,0.36,0.39,0.35,0.37,0.38,0.41,0.39,0.39,0.4,0.36,0.34,0.36,0.37,0.39,0.37,0.39,0.36,0.37,0.4,0.28,0.42,0.39,0.38,0.37,0.34,0.37,0.37,0.39,0.35,0.38,0.38,0.38,0.35,0.35,0.36,0.39,0.39,0.35,0.36,0.38,0.38,0.37,0.36,0.36,0.36,0.4,0.32,0.4,0.36,0.35,0.35,0.35,0.37,0.29,0.38,0.35,0.33,0.37,0.37,0.34,0.35,0.32,0.35,0.31,0.33,0.36,0.34,0.39,0.38,0.35,0.33,0.33,0.42,0.34,0.32,0.33,0.33,0.39,0.33,0.33,0.29,0.32,0.37,0.32,0.32,0.32,0.31,0.29,0.31,0.34,0.29,0.33,0.29,0.33,0.3,0.26,0.32,0.29,0.32,0.35,0.27,0.32,0.25,0.28,0.28,0.3,0.27,0.33,0.26,0.25,0.0,0.26,0.25,0.0,0.24,0.24,0.24,0.24,0.0,0.0,0.0,0.0,73.97999999999999
01/24/2022,0.47,0.49,0.47,0.47,0.45,0.46,0.48,0.48,0.44,0.45,0.43,0.44,0.44,0.44,0.44,0.39,0.42,0.45,0.44,0.38,0.44,0.39,0.43,0.43,0.42,0.42,0.43,0.39,0.42,0.43,0.42,0.4,0.37,0.43,0.42,0.41,0.41,0.38,0.41,0.43,0.38,0.41,0.41,0.42,0.4,0.41,0.38,0.44,0.41,0.41,0.4,0.38,0.4,0.34,0.4,0.37,0.4,0.4,0.39,0.42,0.39,0.39,0.41,0.41,0.38,0.4,0.37,0.39,0.39,0.41,0.39,0.4,0.42,0.38,0.38,0.4,0.4,0.37,0.4,0.38,0.37,0.4,0.34,0.38,0.37,0.38,0.36,0.36,0.39,0.41,0.39,0.39,0.4,0.37,0.35,0.37,0.37,0.4,0.37,0.39,0.36,0.38,0.4,0.3,0.42,0.39,0.38,0.37,0.34,0.38,0.37,0.39,0.36,0.38,0.38,0.38,0.35,0.35,0.35,0.41,0.39,0.35,0.36,0.38,0.38,0.37,0.37,0.35,0.36,0.41,0.32,0.41,0.35,0.36,0.35,0.34,0.38,0.28,0.38,0.34,0.33,0.37,0.37,0.34,0.36,0.32,0.35,0.3,0.33,0.37,0.33,0.38,0.38,0.36,0.33,0.33,0.42,0.35,0.32,0.34,0.33,0.38,0.34,0.33,0.3,0.34,0.37,0.32,0.33,0.32,0.31,0.29,0.31,0.34,0.28,0.35,0.28,0.34,0.31,0.25,0.33,0.29,0.32,0.34,0.27,0.33,0.25,0.27,0.28,0.29,0.27,0.32,0.26,0.24,0.0,0.27,0.25,0.0,0.24,0.24,0.24,0.24,0.0,0.0,0.0,0.0,74.21
