,LIN,SHW,APD,FCX,ECL,NEM,DD,PPG,DOW,IFF,CTVA,NUE,BLL,LYB,IP,VMC,MLM,ALB,AMCR,AVY,CE,EMN,FMC,WRK,PKG,CF,MOS,Sealed Air Corporation,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,SEE,603087.SS,SUM
07/09/2021,16.0,6.98,6.77,5.62,5.56,5.46,4.43,4.33,4.31,3.98,3.51,2.99,2.91,2.78,2.56,2.45,2.35,2.13,1.91,1.85,1.83,1.67,1.49,1.47,1.39,1.16,1.13,0.96,0.46,-0.41,0.0,0.0,100.03
07/12/2021,15.97,6.99,6.8,5.44,5.58,5.38,4.42,4.34,4.29,3.99,3.43,3.04,3.04,2.76,2.6,2.49,2.38,2.12,1.9,1.87,1.83,1.65,1.47,1.49,1.4,1.15,1.15,0.96,0.5,-0.46,0.0,0.0,99.97000000000004
07/13/2021,15.97,6.99,6.8,5.44,5.58,5.38,4.42,4.34,4.29,3.99,3.43,3.04,3.04,2.76,2.6,2.49,2.38,2.12,1.9,1.87,1.83,1.65,1.47,1.49,1.4,1.15,1.15,0.96,0.5,-0.46,0.0,0.0,99.97000000000004
07/14/2021,15.97,6.93,6.77,5.61,5.55,5.38,4.44,4.32,4.32,3.91,3.4,3.09,2.96,2.81,2.59,2.47,2.37,2.18,1.89,1.86,1.84,1.67,1.47,1.5,1.4,1.16,1.17,0.94,0.04,0.0,0.0,0.0,100.01
07/15/2021,15.92,6.96,6.74,5.6,5.55,5.3,4.48,4.33,4.32,3.92,3.42,3.1,2.95,2.79,2.58,2.46,2.35,2.32,1.88,1.85,1.84,1.67,1.49,1.49,1.4,1.15,1.17,0.93,0.04,0.0,0.0,0.0,100.00000000000004
07/16/2021,15.92,7.03,6.75,5.53,5.59,5.36,4.5,4.31,4.32,3.87,3.4,3.05,2.96,2.81,2.58,2.46,2.35,2.31,1.91,1.85,1.86,1.66,1.48,1.47,1.4,1.14,1.16,0.92,0.05,0.0,0.0,0.0,100.0
07/19/2021,16.07,7.06,6.74,5.33,5.65,5.38,4.54,4.36,4.27,3.84,3.35,3.06,2.99,2.79,2.51,2.51,2.38,2.32,1.91,1.85,1.88,1.65,1.48,1.43,1.39,1.13,1.13,0.93,0.06,0.0,0.0,0.0,99.99
07/20/2021,16.2,7.26,6.79,5.22,5.75,5.31,4.41,4.39,4.2,3.88,3.35,3.0,3.06,2.69,2.52,2.53,2.39,2.29,1.92,1.84,1.87,1.62,1.47,1.42,1.39,1.1,1.11,0.0,0.0,0.0,0.93,0.07,99.98
07/21/2021,16.2,7.26,6.79,5.22,5.75,5.31,4.41,4.39,4.2,3.88,3.35,3.0,3.06,2.69,2.52,2.53,2.39,2.29,1.92,1.84,1.87,1.62,1.47,1.42,1.39,1.1,1.11,0.93,0.07,0.0,0.0,0.0,99.98
07/22/2021,16.2,7.26,6.79,5.22,5.75,5.31,4.41,4.39,4.2,3.88,3.35,3.0,3.06,2.69,2.52,2.53,2.39,2.29,1.92,1.84,1.87,1.62,1.47,1.42,1.39,1.1,1.11,0.0,0.0,0.0,0.93,0.07,99.98
07/23/2021,16.38,7.3,6.86,5.24,5.78,5.25,4.31,4.13,4.15,3.93,3.38,3.01,3.05,2.69,2.51,2.54,2.38,2.4,1.91,1.83,1.87,1.62,1.46,1.42,1.38,1.11,1.13,0.91,0.07,0.0,0.0,0.0,100.0
07/26/2021,16.47,7.23,6.85,5.47,5.74,5.17,4.31,4.14,4.23,3.95,3.39,3.05,2.92,2.69,2.46,2.54,2.38,2.45,1.91,1.81,1.82,1.61,1.48,1.39,1.36,1.1,1.13,0.9,0.06,0.0,0.0,0.0,100.01
07/27/2021,16.56,7.29,6.84,5.49,5.77,5.13,4.26,4.17,4.18,3.99,3.35,3.05,2.83,2.68,2.46,2.55,2.4,2.4,1.88,1.81,1.86,1.62,1.48,1.38,1.37,1.1,1.11,0.0,0.0,0.0,0.9,0.06,99.97
07/28/2021,16.56,7.29,6.84,5.49,5.77,5.13,4.26,4.17,4.18,3.99,3.35,3.05,2.83,2.68,2.46,2.55,2.4,2.4,1.88,1.81,1.86,1.62,1.48,1.38,1.37,1.1,1.11,0.9,0.06,0.0,0.0,0.0,99.97000000000001
