,TECH,MOH,CGNX,SBNY,SEDG,MASI,CDAY,STLD,CPT,FDS,RGEN,BRO,GGG,FICO,FIVE,WSM,TREX,NDSN,JLL,DECK,AXON,DAR,MPW,TTC,RH,CLF,LII,HUBB,WTRG,CSL,RPM,BLDR,SCI,EWBC,MANH,LAD,CREE,MIDD,OC,XPO,RS,UGI,LAMR,Y,ACM,AFG,KSS,PEN,LSI,UTHR,CPRI,SYNH,WSO,G,FHN,OLED,ARW,LEA,NBIX,AZPN,ATR,CIEN,HRC,DCI,STOR,AGCO,ITT,LECO,JAZZ,NNN,REXR,BC,RGA,FSLR,TPX,JBL,RNR,MKSI,LSCC,OSK,OHI,EHC,AIRC,THC,MAT,FAF,BJ,GNTX,X,DKS,ORI,YETI,CASY,CHE,CBSH,TTEK,JHG,NYT,SEIC,PII,RGLD,BLD,SF,JEF,PNFP,IAA,RUN,WWD,OGE,SLAB,FR,KRC,FFIN,AMG,SKX,EGP,TOL,LFUS,CNXC,BRX,NVST,ACC,POST,OLN,WH,AYI,MAN,EME,LITE,PB,IIVI,EXP,FOXF,THO,CFR,MDU,SON,SNV,SMG,VAC,STAA,LSTR,HOG,AN,COHR,KNX,LPX,SYNA,FL,RBC,SRCL,BRKS,GMED,CACI,PRI,TXRH,AMED,SLM,EXEL,VNT,TDC,INGR,CUZ,NYCB,MSA,ASGN,ACHC,JCOM,SRC,CFX,HELE,SAM,LHCG,NVT,EVR,CC,NCR,NATI,VVV,HALO,KBR,HQY,VLY,IDA,ESNT,CIT,MMS,SNX,MTZ,IART,VMI,MTG,OZK,GBCI,AEO,CLH,IBKR,TKR,SIGI,FLS,CR,THG,EQT,BYD,IRDM,MEDP,RYN,CDK,QDEL,SMTC,ASH,SAIC,CRUS,PACW,SUM
08/27/2021,0.89,0.73,0.72,0.69,0.68,0.67,0.67,0.66,0.65,0.65,0.64,0.63,0.61,0.61,0.6,0.6,0.59,0.59,0.57,0.56,0.56,0.56,0.55,0.55,0.55,0.53,0.53,0.52,0.51,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.66999999999999
08/30/2021,0.89,0.72,0.72,0.68,0.68,0.65,0.67,0.65,0.66,0.66,0.65,0.63,0.61,0.6,0.59,0.66,0.58,0.58,0.57,0.55,0.56,0.56,0.54,0.55,0.56,0.51,0.53,0.52,0.51,0.51,0.5,0.5,0.49,0.48,0.48,0.46,0.46,0.48,0.47,0.45,0.44,0.45,0.45,0.44,0.45,0.43,0.42,0.43,0.44,0.43,0.41,0.43,0.42,0.42,0.42,0.41,0.42,0.41,0.41,0.4,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.37,0.38,0.38,0.37,0.37,0.37,0.38,0.38,0.36,0.37,0.37,0.37,0.36,0.36,0.37,0.37,0.35,0.36,0.36,0.35,0.33,0.41,0.35,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.34,0.33,0.33,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.33,0.31,0.32,0.33,0.32,0.33,0.32,0.31,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.31,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.29,0.29,0.3,0.29,0.28,0.28,0.29,0.28,0.29,0.28,0.27,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.0,0.24,0.24,0.23,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.78
08/31/2021,0.88,0.72,0.72,0.7,0.69,0.64,0.67,0.65,0.66,0.65,0.65,0.62,0.61,0.6,0.55,0.64,0.59,0.58,0.58,0.54,0.55,0.58,0.54,0.54,0.54,0.51,0.53,0.52,0.5,0.51,0.5,0.51,0.48,0.48,0.48,0.46,0.46,0.47,0.47,0.45,0.45,0.44,0.45,0.44,0.45,0.43,0.42,0.42,0.43,0.43,0.4,0.43,0.42,0.41,0.42,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.38,0.3,0.38,0.37,0.37,0.37,0.37,0.38,0.38,0.36,0.38,0.38,0.37,0.36,0.35,0.36,0.37,0.35,0.36,0.36,0.35,0.34,0.42,0.34,0.35,0.34,0.35,0.34,0.35,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.31,0.32,0.33,0.32,0.33,0.32,0.31,0.32,0.3,0.33,0.31,0.31,0.3,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.28,0.27,0.28,0.29,0.3,0.29,0.27,0.28,0.29,0.29,0.29,0.28,0.28,0.29,0.0,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.0,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.0,0.24,0.24,0.23,0.0,0.24,0.24,0.23,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57
09/01/2021,0.88,0.72,0.72,0.7,0.69,0.64,0.67,0.65,0.66,0.65,0.65,0.62,0.61,0.6,0.55,0.64,0.59,0.58,0.58,0.54,0.55,0.58,0.54,0.54,0.54,0.51,0.53,0.52,0.5,0.51,0.5,0.51,0.48,0.48,0.48,0.46,0.46,0.47,0.47,0.45,0.45,0.44,0.45,0.44,0.45,0.43,0.42,0.42,0.43,0.43,0.4,0.43,0.42,0.41,0.42,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.38,0.3,0.38,0.37,0.37,0.37,0.37,0.38,0.38,0.36,0.38,0.38,0.37,0.36,0.35,0.36,0.37,0.35,0.36,0.36,0.35,0.34,0.42,0.34,0.35,0.34,0.35,0.34,0.35,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.31,0.32,0.33,0.32,0.33,0.32,0.31,0.32,0.3,0.33,0.31,0.31,0.3,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.28,0.27,0.28,0.29,0.3,0.29,0.27,0.28,0.29,0.29,0.29,0.28,0.28,0.29,0.0,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.0,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.0,0.24,0.24,0.23,0.0,0.24,0.24,0.23,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57
09/02/2021,0.0,0.72,0.73,0.69,0.71,0.65,0.68,0.65,0.67,0.67,0.67,0.63,0.62,0.61,0.56,0.66,0.6,0.6,0.58,0.54,0.58,0.57,0.55,0.55,0.56,0.51,0.54,0.53,0.52,0.52,0.5,0.51,0.49,0.48,0.49,0.45,0.46,0.48,0.48,0.46,0.45,0.45,0.46,0.44,0.45,0.44,0.42,0.43,0.44,0.44,0.4,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.42,0.41,0.41,0.41,0.45,0.4,0.41,0.4,0.39,0.39,0.3,0.39,0.39,0.37,0.36,0.38,0.39,0.39,0.36,0.38,0.4,0.37,0.36,0.36,0.37,0.37,0.35,0.36,0.36,0.35,0.34,0.43,0.35,0.35,0.35,0.35,0.34,0.36,0.34,0.34,0.35,0.33,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.34,0.32,0.31,0.33,0.32,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.31,0.34,0.32,0.31,0.31,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.33,0.31,0.28,0.28,0.29,0.3,0.31,0.31,0.27,0.29,0.29,0.29,0.3,0.28,0.28,0.28,0.0,0.28,0.28,0.29,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.28,0.26,0.27,0.0,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.0,0.24,0.24,0.24,0.0,0.24,0.24,0.0,0.0,0.0,0.26,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,74.98
09/03/2021,0.0,0.73,0.73,0.7,0.7,0.64,0.69,0.63,0.68,0.67,0.67,0.63,0.62,0.62,0.55,0.66,0.59,0.6,0.58,0.54,0.55,0.57,0.56,0.55,0.55,0.5,0.54,0.52,0.52,0.51,0.5,0.51,0.49,0.48,0.48,0.46,0.46,0.47,0.46,0.45,0.44,0.45,0.46,0.44,0.45,0.44,0.42,0.43,0.45,0.45,0.4,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.42,0.41,0.41,0.41,0.45,0.4,0.41,0.4,0.38,0.39,0.3,0.39,0.39,0.35,0.37,0.37,0.38,0.39,0.36,0.38,0.39,0.37,0.37,0.36,0.37,0.37,0.35,0.36,0.36,0.35,0.34,0.43,0.34,0.35,0.35,0.35,0.35,0.36,0.34,0.34,0.35,0.32,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.34,0.32,0.32,0.33,0.32,0.34,0.33,0.33,0.34,0.32,0.32,0.33,0.31,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.31,0.31,0.3,0.29,0.3,0.3,0.31,0.3,0.3,0.3,0.34,0.3,0.28,0.27,0.29,0.3,0.3,0.31,0.27,0.28,0.3,0.29,0.29,0.28,0.28,0.29,0.0,0.28,0.28,0.29,0.28,0.27,0.27,0.27,0.28,0.28,0.28,0.27,0.28,0.26,0.27,0.0,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.0,0.24,0.24,0.0,0.0,0.24,0.24,0.24,0.24,0.0,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.87
09/06/2021,0.0,0.74,0.72,0.7,0.7,0.65,0.69,0.63,0.69,0.68,0.68,0.64,0.62,0.63,0.49,0.64,0.61,0.61,0.58,0.52,0.55,0.56,0.59,0.54,0.52,0.52,0.53,0.51,0.52,0.51,0.49,0.52,0.5,0.48,0.49,0.45,0.46,0.47,0.47,0.46,0.44,0.46,0.47,0.43,0.45,0.44,0.41,0.44,0.45,0.44,0.4,0.44,0.44,0.42,0.41,0.41,0.41,0.4,0.42,0.41,0.41,0.42,0.47,0.37,0.41,0.4,0.38,0.38,0.31,0.39,0.39,0.36,0.37,0.37,0.39,0.38,0.36,0.38,0.4,0.36,0.37,0.37,0.38,0.38,0.34,0.35,0.37,0.35,0.34,0.43,0.34,0.35,0.36,0.36,0.35,0.38,0.34,0.35,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.33,0.33,0.33,0.34,0.33,0.31,0.32,0.31,0.34,0.33,0.32,0.34,0.33,0.33,0.33,0.31,0.33,0.31,0.3,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.34,0.31,0.28,0.27,0.29,0.3,0.3,0.31,0.28,0.28,0.3,0.29,0.3,0.28,0.28,0.29,0.0,0.28,0.29,0.29,0.29,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.28,0.27,0.27,0.0,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.24,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.0,0.0,0.25,0.24,0.0,0.0,0.23,0.0,0.23,0.26,0.0,0.25,0.25,0.25,0.0,0.25,0.24,0.0,0.0,0.0,0.0,75.0
09/07/2021,0.0,0.75,0.73,0.7,0.69,0.65,0.71,0.62,0.7,0.68,0.69,0.64,0.62,0.63,0.5,0.64,0.61,0.61,0.58,0.53,0.56,0.56,0.59,0.55,0.53,0.51,0.53,0.51,0.51,0.5,0.49,0.53,0.5,0.48,0.49,0.45,0.46,0.47,0.46,0.46,0.44,0.46,0.47,0.43,0.46,0.44,0.41,0.44,0.46,0.44,0.4,0.45,0.44,0.42,0.41,0.42,0.41,0.41,0.42,0.41,0.41,0.41,0.47,0.37,0.41,0.4,0.38,0.38,0.32,0.39,0.4,0.35,0.37,0.37,0.39,0.39,0.35,0.38,0.4,0.36,0.37,0.37,0.38,0.38,0.35,0.35,0.38,0.35,0.33,0.44,0.33,0.35,0.36,0.36,0.35,0.38,0.34,0.35,0.34,0.32,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.34,0.33,0.31,0.32,0.31,0.34,0.33,0.32,0.34,0.33,0.32,0.33,0.3,0.32,0.31,0.29,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.29,0.3,0.3,0.34,0.3,0.28,0.27,0.29,0.3,0.31,0.31,0.28,0.29,0.3,0.3,0.3,0.28,0.28,0.29,0.0,0.27,0.29,0.29,0.29,0.27,0.27,0.27,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.0,0.27,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.27,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.25,0.25,0.25,0.0,0.26,0.24,0.24,0.24,0.0,0.0,75.05
09/08/2021,0.0,0.75,0.73,0.7,0.69,0.65,0.71,0.62,0.7,0.68,0.69,0.64,0.62,0.63,0.5,0.64,0.61,0.61,0.58,0.53,0.56,0.56,0.59,0.55,0.53,0.51,0.53,0.51,0.51,0.5,0.49,0.53,0.5,0.48,0.49,0.45,0.46,0.47,0.46,0.46,0.44,0.46,0.47,0.43,0.46,0.44,0.41,0.44,0.46,0.44,0.4,0.45,0.44,0.42,0.41,0.42,0.41,0.41,0.42,0.41,0.41,0.41,0.47,0.37,0.41,0.4,0.38,0.38,0.32,0.39,0.4,0.35,0.37,0.37,0.39,0.39,0.35,0.38,0.4,0.36,0.37,0.37,0.38,0.38,0.35,0.35,0.38,0.35,0.33,0.44,0.33,0.35,0.36,0.36,0.35,0.38,0.34,0.35,0.34,0.32,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.34,0.33,0.31,0.32,0.31,0.34,0.33,0.32,0.34,0.33,0.32,0.33,0.3,0.32,0.31,0.29,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.29,0.3,0.3,0.34,0.3,0.28,0.27,0.29,0.3,0.31,0.31,0.28,0.29,0.3,0.3,0.3,0.28,0.28,0.29,0.0,0.27,0.29,0.29,0.29,0.27,0.27,0.27,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.0,0.27,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.27,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.25,0.25,0.25,0.0,0.26,0.24,0.24,0.24,0.0,0.0,75.05
09/09/2021,0.0,0.74,0.72,0.7,0.69,0.65,0.71,0.62,0.7,0.68,0.69,0.64,0.62,0.62,0.5,0.63,0.61,0.61,0.58,0.53,0.55,0.56,0.59,0.55,0.53,0.51,0.53,0.51,0.51,0.5,0.49,0.52,0.5,0.48,0.49,0.45,0.46,0.46,0.46,0.46,0.44,0.45,0.47,0.43,0.45,0.44,0.4,0.44,0.46,0.44,0.4,0.45,0.44,0.42,0.41,0.42,0.4,0.4,0.42,0.41,0.41,0.41,0.47,0.36,0.41,0.4,0.38,0.38,0.31,0.39,0.39,0.35,0.37,0.37,0.39,0.39,0.35,0.38,0.4,0.36,0.37,0.37,0.38,0.38,0.35,0.35,0.38,0.35,0.33,0.44,0.33,0.35,0.35,0.35,0.34,0.38,0.34,0.35,0.34,0.32,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.34,0.33,0.31,0.32,0.31,0.34,0.33,0.32,0.34,0.33,0.32,0.33,0.3,0.32,0.31,0.29,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.3,0.3,0.31,0.29,0.3,0.3,0.34,0.3,0.28,0.27,0.29,0.3,0.3,0.31,0.27,0.29,0.29,0.3,0.3,0.28,0.28,0.28,0.0,0.27,0.29,0.29,0.29,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.28,0.27,0.27,0.0,0.27,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.25,0.25,0.25,0.0,0.25,0.24,0.24,0.23,0.0,0.0,74.78
