,SPY,IVV,QQQ,VIXY,VXX,SLQD,SCHJ,NEAR,SPSB,ULST,SHV,IGSB,MINT,n/a,SHY,SUM
08/16/2021,36.79,26.2,25.7,8.81,2.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,99.99000000000004
08/17/2021,36.12,26.27,25.83,9.34,2.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100.01000000000003
08/18/2021,36.12,26.27,25.83,9.34,2.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100.01000000000003
08/19/2021,36.12,26.27,25.83,9.34,2.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100.01000000000003
08/20/2021,36.13,26.28,25.79,9.36,2.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100.00000000000004
08/23/2021,37.23,25.16,25.5,8.6,3.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,99.99000000000002
08/24/2021,33.9,24.72,26.03,11.43,3.82,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100.00000000000004
08/25/2021,33.9,24.72,26.03,11.43,3.82,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100.00000000000004
08/26/2021,33.9,24.72,26.03,11.43,3.82,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100.00000000000004
08/27/2021,33.49,23.44,26.45,11.52,5.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100.00000000000004
08/30/2021,37.88,23.86,26.04,7.59,4.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100.00000000000004
