,AKTS,CHK,BBD.B.TO,TTD,RYCEY,MIME,VMEO,HUBS,BIDU,KURA,603256.SS,PUBM,RNG,DOCU,INSG,PING,AVGO,QRVO,WILD.TO,QTNT,NNOX,VYNE,KBH,NET,GRTS,QS,BOWX,TENB,ABCL,VRNS,MARA,ADAP,First American Government Obligs X,GTES,PROSY,BABA,IAC,Rolls-Royce Holdings PLC ADR,Prosus NV ADR,AbCellera Biologics Inc Ordinary Shares,FGXXX,RFL,KERN,TMHC,NRZ,AGNC,VYNE Therapeutics Inc,688098.SS,ET,PCG,NLY,SUM
07/09/2021,18.04,9.46,8.88,7.67,5.36,3.68,3.15,2.75,2.6,2.45,2.39,2.24,2.16,2.15,2.1,2.07,2.06,1.9,1.73,1.73,1.64,1.63,1.62,1.62,1.55,1.53,1.3,1.01,0.97,0.88,0.79,0.66,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,17.17,9.77,8.92,7.99,5.51,3.88,3.29,2.94,2.43,2.3,0.0,2.1,2.31,2.3,2.07,2.13,2.12,1.94,1.66,1.66,1.62,1.49,1.62,1.73,1.41,1.42,1.32,1.08,0.93,0.93,0.75,0.63,0.16,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,17.17,9.77,8.92,7.99,5.51,3.88,3.29,2.94,2.43,2.3,0.0,2.1,2.31,2.3,2.07,2.13,2.12,1.94,1.66,1.66,1.62,1.49,1.62,1.73,1.41,1.42,1.32,1.08,0.93,0.93,0.75,0.63,0.16,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,17.08,9.8,8.9,7.96,5.47,4.0,3.2,2.89,2.39,2.29,0.0,2.2,2.25,2.28,2.1,2.18,2.15,1.93,1.71,1.71,1.64,1.49,1.57,1.72,1.51,1.42,1.29,1.06,0.94,0.94,0.72,0.64,0.16,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,17.2,9.8,9.39,7.96,5.33,3.94,3.16,2.82,2.38,2.2,0.0,2.16,2.19,2.28,2.05,2.16,2.18,1.94,1.79,1.78,1.65,1.46,1.58,1.7,1.54,1.37,1.28,1.04,0.9,0.93,0.72,0.61,0.16,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,17.2,9.8,9.39,7.96,5.33,3.94,3.16,2.82,2.38,2.2,0.0,2.16,2.19,2.28,2.05,2.16,2.18,1.94,1.79,1.78,1.65,1.46,1.58,1.7,1.54,1.37,1.28,1.04,0.9,0.93,0.72,0.61,0.16,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,17.51,9.47,9.77,6.82,5.94,3.67,2.54,2.01,2.99,1.7,0.0,1.97,2.19,1.13,1.98,2.15,2.25,2.01,1.72,1.61,1.65,1.46,2.16,0.0,1.44,1.36,1.3,1.05,0.85,0.0,0.0,0.6,0.25,0.0,2.55,3.19,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,17.27,9.55,9.71,6.74,0.0,3.63,2.47,2.01,3.09,1.72,0.0,1.99,2.16,0.77,1.96,2.13,2.25,2.01,1.67,1.63,1.57,1.39,2.18,0.0,1.4,1.41,1.31,1.05,0.0,0.0,0.0,0.61,0.0,0.62,0.0,3.28,2.72,5.96,2.59,0.84,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/21/2021,17.28,9.59,9.69,4.7,0.0,2.16,2.41,2.08,3.55,1.23,0.0,2.1,0.28,-0.01,0.55,2.15,2.25,2.01,1.68,1.73,0.8,0.0,2.2,0.0,0.78,1.05,1.34,1.07,0.88,0.0,0.0,0.61,0.0,1.22,0.0,4.2,2.74,6.8,2.89,0.0,0.48,1.9,1.73,1.1,1.1,0.92,0.76,0.0,0.0,0.0,0.0,100.0
07/22/2021,17.28,9.59,9.69,4.7,6.8,2.16,2.41,2.08,3.55,1.23,0.0,2.1,0.28,-0.01,0.55,2.15,2.25,2.01,1.68,1.73,0.8,0.0,2.2,0.0,0.78,1.05,1.34,1.07,0.88,0.0,0.0,0.61,0.0,1.22,2.89,4.2,2.74,0.0,0.0,0.0,0.48,1.9,1.73,1.1,1.1,0.92,0.76,0.0,0.0,0.0,0.0,100.0
07/23/2021,17.55,9.58,9.4,4.83,6.48,2.21,2.37,2.12,3.58,1.24,0.0,2.19,0.27,0.0,0.56,2.19,2.29,2.05,1.66,1.74,0.83,0.8,2.27,0.0,0.78,1.09,1.33,0.05,0.87,0.0,0.0,0.63,0.23,1.21,2.93,4.24,2.77,0.0,0.0,0.0,0.0,2.81,1.75,1.11,1.09,0.93,0.0,0.0,0.0,0.0,0.0,100.03
07/26/2021,17.71,9.78,9.76,3.74,6.95,2.16,2.28,1.69,3.45,1.22,0.0,2.13,0.26,0.0,0.55,2.18,0.9,2.01,1.71,1.72,0.83,0.4,2.23,0.0,0.79,1.08,1.29,0.0,0.83,0.0,0.0,0.64,0.21,0.0,2.78,4.04,3.12,0.0,0.0,0.0,0.0,3.59,1.72,1.12,1.07,0.91,0.0,1.79,0.69,0.66,0.0,99.99
07/27/2021,17.71,9.78,9.76,3.74,6.95,2.16,2.28,1.69,3.45,1.22,0.0,2.13,0.26,0.0,0.55,2.18,0.9,2.01,1.71,1.72,0.83,0.4,2.23,0.0,0.79,1.08,1.29,0.0,0.83,0.0,0.0,0.64,0.21,0.0,2.78,4.04,3.12,0.0,0.0,0.0,0.0,3.59,1.72,1.12,1.07,0.91,0.0,1.79,0.69,0.66,0.0,99.99
