,BIIB,CINF,ALL,LH,ALLY,BRK.B,CVS,PNC,AFL,AGR,DGX,KR,BK,CFG,DHI,ETR,EXC,SJM,PGR,PEG,SRE,GM,CE,ACGL,PPL,VZ,TSN,COF,LEN,FTV,ED,CI,VIAC,F,CNC,MS,TMUS,GS,HIG,MU,INTC,FE,BEN,HUM,VICI,DTE,ADM,CMCSA,VTRS,GD,PFG,SO,AEE,TRV,XEL,LUMN,KEY,AEP,BBY,CAG,EIX,GIS,MET,STT,T,MTB,URI,TFC,ES,CAH,C,HPE,PCG,SC,TGT,DISCA,AVB,NUE,STX,WFC,HCA,NOC,BXP,CERN,DKS,EQR,NVR,PFE,MKL,WDC,MDLZ,DUK,LDOS,ANTM,FDX,JPM,PKG,LMT,WAB,FOXA,FITB,EMN,STZ,CB,CMS,DISH,GE,LYB,ORI,SLG,WEC,RF,UHS,UTHR,UGI,JEF,PCAR,HPQ,FAF,KIM,NXST,SEB,QRTEA,HBAN,FNF,CMI,CACI,VST,UNM,TOL,TPR,PHM,PNW,NWSA,MHK,MTG,INGR,EVRG,DLTR,CACC,BWA,ARW,IVZ,MRO,XRX,MOS,SYF,RDN,POR,MDU,VER,KNX,ESGR,BG,BKH,ATO,AMKR,AFG,EXPD,LKQ,WMB,STLD,SLM,RSG,IP,ESNT,EOG,CARR,AJG,NTRS,WPC,VTR,UNH,MAC,HSY,SIGI,RJF,OMF,OMC,CLR,MOH,FL,EMR,EQT,EVR,MTZ,PEAK,KBH,KMPR,KMI,LHX,JNJ,VMC,USB,THG,SNX,SWK,PINC,BPOP,LPX,DD,WY,PRU,GLW,CTVA,DOW,CTSH,AN,PAG,KRC,HUN,OC,RS,THO,BLDR,KSS,AGNC,AL,NLY,US Dollar,OKE,KMX,DFS,HAS,PH,OGE,NSC,NYCB,PB,RGA,VOYA,WLK,WHR,ZION,UHAL,MAS,COP,K,Y,CNP,JBHT,MMM,BERY,LOPE,OZK,COG,CSX,HRL,OGS,SUM
07/09/2021,0.54,0.5,0.5,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.21
07/12/2021,0.27,0.46,0.46,0.46,0.46,0.45,0.44,0.36,0.45,0.37,0.46,0.36,0.35,0.44,0.44,0.46,0.36,0.45,0.46,0.45,0.45,0.45,0.45,0.44,0.27,0.45,0.45,0.47,0.45,0.45,0.46,0.44,0.42,0.35,0.36,0.26,0.26,0.35,0.45,0.42,0.45,0.36,0.45,0.37,0.45,0.32,0.36,0.37,0.26,0.27,0.35,0.36,0.37,0.37,0.27,0.36,0.35,0.36,0.35,0.36,0.36,0.26,0.0,0.37,0.36,0.35,0.26,0.26,0.27,0.0,0.43,0.45,0.37,0.25,0.27,0.43,0.19,0.36,0.26,0.25,0.28,0.37,0.0,0.27,0.22,0.0,0.18,0.27,0.47,0.18,0.18,0.27,0.19,0.27,0.36,0.26,0.27,0.27,0.26,0.44,0.36,0.0,0.26,0.37,0.27,0.22,0.0,0.36,0.22,0.0,0.27,0.35,0.23,0.19,0.22,0.21,0.26,0.26,0.23,0.23,0.22,0.23,0.21,0.0,0.23,0.26,0.0,0.0,0.22,0.0,0.0,0.22,0.18,0.0,0.23,0.22,0.0,0.0,0.36,0.0,0.0,0.22,0.0,0.0,0.23,0.22,0.26,0.22,0.18,0.18,0.0,0.24,0.22,0.22,0.0,0.0,0.21,0.22,0.0,0.0,0.26,0.18,0.0,0.18,0.27,0.22,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.0,0.18,0.22,0.0,0.0,0.18,0.23,0.0,0.0,0.0,0.0,0.0,0.22,0.21,0.37,0.19,0.19,0.18,0.18,0.22,0.18,0.27,0.18,0.18,0.22,0.46,0.37,0.26,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.870000000000005
07/13/2021,0.27,0.46,0.46,0.46,0.46,0.45,0.44,0.36,0.45,0.37,0.46,0.36,0.35,0.44,0.44,0.46,0.36,0.45,0.46,0.45,0.45,0.45,0.45,0.44,0.27,0.45,0.45,0.47,0.45,0.45,0.46,0.44,0.42,0.35,0.36,0.26,0.26,0.35,0.45,0.42,0.45,0.36,0.45,0.37,0.45,0.32,0.36,0.37,0.26,0.27,0.35,0.36,0.37,0.37,0.27,0.36,0.35,0.36,0.35,0.36,0.36,0.26,0.0,0.37,0.36,0.35,0.26,0.26,0.27,0.0,0.43,0.45,0.37,0.25,0.27,0.43,0.19,0.36,0.26,0.25,0.28,0.37,0.0,0.27,0.22,0.0,0.18,0.27,0.47,0.18,0.18,0.27,0.19,0.27,0.36,0.26,0.27,0.27,0.26,0.44,0.36,0.0,0.26,0.37,0.27,0.22,0.0,0.36,0.22,0.0,0.27,0.35,0.23,0.19,0.22,0.21,0.26,0.26,0.23,0.23,0.22,0.23,0.21,0.0,0.23,0.26,0.0,0.0,0.22,0.0,0.0,0.22,0.18,0.0,0.23,0.22,0.0,0.0,0.36,0.0,0.0,0.22,0.0,0.0,0.23,0.22,0.26,0.22,0.18,0.18,0.0,0.24,0.22,0.22,0.0,0.0,0.21,0.22,0.0,0.0,0.26,0.18,0.0,0.18,0.27,0.22,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.0,0.18,0.22,0.0,0.0,0.18,0.23,0.0,0.0,0.0,0.0,0.0,0.22,0.21,0.37,0.19,0.19,0.18,0.18,0.22,0.18,0.27,0.18,0.18,0.22,0.46,0.37,0.26,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.870000000000005
07/14/2021,0.27,0.46,0.46,0.46,0.46,0.45,0.44,0.36,0.45,0.37,0.46,0.36,0.35,0.44,0.45,0.46,0.36,0.45,0.46,0.46,0.45,0.45,0.46,0.44,0.27,0.45,0.45,0.47,0.45,0.46,0.46,0.45,0.43,0.35,0.36,0.26,0.26,0.35,0.45,0.42,0.45,0.36,0.45,0.37,0.46,0.32,0.36,0.37,0.26,0.27,0.35,0.37,0.37,0.37,0.27,0.36,0.35,0.36,0.35,0.36,0.36,0.26,0.0,0.37,0.36,0.35,0.26,0.26,0.27,0.0,0.43,0.45,0.37,0.25,0.27,0.43,0.19,0.36,0.26,0.25,0.28,0.37,0.0,0.27,0.22,0.0,0.18,0.27,0.47,0.0,0.18,0.27,0.19,0.27,0.36,0.26,0.27,0.27,0.26,0.44,0.36,0.0,0.26,0.37,0.27,0.22,0.0,0.36,0.22,0.0,0.27,0.35,0.23,0.19,0.22,0.21,0.26,0.26,0.23,0.23,0.22,0.23,0.21,0.18,0.23,0.26,0.18,0.0,0.22,0.0,0.0,0.22,0.18,0.0,0.23,0.22,0.0,0.18,0.36,0.0,0.0,0.22,0.0,0.0,0.23,0.22,0.26,0.22,0.0,0.0,0.0,0.24,0.22,0.22,0.18,0.18,0.21,0.22,0.18,0.0,0.26,0.18,0.0,0.18,0.27,0.22,0.0,0.0,0.0,0.18,0.0,0.0,0.19,0.0,0.18,0.0,0.18,0.23,0.0,0.0,0.18,0.23,0.18,0.0,0.0,0.0,0.0,0.22,0.21,0.37,0.19,0.19,0.18,0.18,0.23,0.0,0.27,0.18,0.0,0.22,0.46,0.37,0.26,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.0,0.19,0.19,0.19,0.19,0.18,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,57.96
07/15/2021,0.26,0.46,0.46,0.46,0.47,0.45,0.44,0.36,0.45,0.37,0.46,0.36,0.35,0.45,0.44,0.46,0.37,0.45,0.46,0.45,0.45,0.45,0.46,0.44,0.27,0.45,0.44,0.48,0.44,0.45,0.46,0.44,0.43,0.35,0.37,0.26,0.27,0.36,0.46,0.42,0.45,0.36,0.45,0.37,0.46,0.32,0.35,0.37,0.26,0.26,0.35,0.37,0.37,0.37,0.27,0.35,0.35,0.36,0.35,0.35,0.36,0.25,0.0,0.37,0.35,0.35,0.26,0.26,0.27,0.0,0.44,0.44,0.36,0.25,0.27,0.43,0.19,0.36,0.26,0.25,0.28,0.36,0.0,0.27,0.22,0.0,0.0,0.27,0.46,0.0,0.18,0.27,0.19,0.27,0.36,0.27,0.27,0.26,0.26,0.44,0.36,0.0,0.25,0.37,0.27,0.22,0.0,0.36,0.22,0.0,0.27,0.36,0.23,0.18,0.22,0.21,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.18,0.23,0.26,0.18,0.0,0.22,0.0,0.0,0.22,0.18,0.0,0.23,0.22,0.0,0.18,0.36,0.0,0.0,0.22,0.0,0.0,0.23,0.22,0.27,0.22,0.0,0.0,0.0,0.24,0.22,0.22,0.18,0.18,0.22,0.22,0.18,0.0,0.26,0.19,0.0,0.18,0.27,0.22,0.18,0.18,0.0,0.18,0.0,0.0,0.19,0.0,0.18,0.0,0.18,0.23,0.0,0.0,0.18,0.23,0.18,0.0,0.0,0.0,0.0,0.22,0.21,0.36,0.19,0.18,0.18,0.18,0.23,0.0,0.27,0.18,0.0,0.22,0.46,0.37,0.26,0.26,0.26,0.26,0.26,0.25,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.0,0.18,0.19,0.19,0.19,0.18,0.0,0.0,0.19,0.0,0.18,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,57.89
07/16/2021,0.27,0.46,0.46,0.46,0.47,0.46,0.44,0.36,0.45,0.37,0.46,0.36,0.35,0.44,0.43,0.46,0.37,0.45,0.45,0.45,0.45,0.45,0.46,0.44,0.26,0.45,0.44,0.48,0.44,0.46,0.46,0.45,0.43,0.35,0.37,0.27,0.27,0.36,0.46,0.42,0.46,0.36,0.44,0.38,0.46,0.32,0.36,0.37,0.26,0.27,0.35,0.37,0.37,0.37,0.27,0.36,0.35,0.37,0.35,0.34,0.36,0.26,0.0,0.37,0.36,0.35,0.26,0.26,0.27,0.0,0.44,0.43,0.36,0.25,0.28,0.43,0.19,0.36,0.27,0.25,0.28,0.37,0.0,0.27,0.22,0.0,0.0,0.27,0.46,0.0,0.18,0.27,0.19,0.28,0.36,0.27,0.27,0.26,0.27,0.44,0.36,0.0,0.26,0.37,0.27,0.22,0.0,0.36,0.22,0.0,0.27,0.35,0.23,0.18,0.22,0.21,0.26,0.25,0.22,0.23,0.22,0.22,0.21,0.18,0.22,0.26,0.18,0.0,0.22,0.0,0.0,0.21,0.18,0.0,0.23,0.22,0.0,0.18,0.36,0.0,0.0,0.22,0.0,0.0,0.22,0.22,0.27,0.22,0.0,0.0,0.0,0.25,0.22,0.22,0.18,0.18,0.22,0.22,0.18,0.0,0.26,0.18,0.0,0.19,0.27,0.22,0.18,0.18,0.0,0.18,0.0,0.0,0.19,0.0,0.18,0.0,0.19,0.23,0.0,0.0,0.18,0.22,0.18,0.0,0.0,0.0,0.0,0.21,0.21,0.36,0.19,0.19,0.18,0.18,0.23,0.0,0.27,0.18,0.0,0.21,0.46,0.37,0.26,0.26,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.22,0.22,0.0,0.18,0.19,0.19,0.19,0.18,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.19,0.18,0.18,0.18,0.0,0.18,0.18,0.0,0.0,57.900000000000006
07/19/2021,0.25,0.46,0.45,0.46,0.46,0.46,0.45,0.36,0.45,0.38,0.46,0.37,0.35,0.44,0.44,0.47,0.37,0.46,0.44,0.47,0.45,0.44,0.47,0.44,0.27,0.46,0.44,0.47,0.44,0.46,0.47,0.45,0.41,0.34,0.37,0.27,0.27,0.36,0.46,0.41,0.45,0.37,0.43,0.38,0.46,0.32,0.35,0.37,0.26,0.27,0.35,0.38,0.38,0.38,0.28,0.35,0.35,0.37,0.35,0.35,0.36,0.26,0.0,0.36,0.36,0.35,0.26,0.27,0.28,0.0,0.44,0.44,0.36,0.25,0.28,0.42,0.2,0.36,0.26,0.26,0.28,0.36,0.0,0.27,0.22,0.0,0.0,0.27,0.46,0.0,0.19,0.28,0.19,0.28,0.36,0.27,0.27,0.27,0.27,0.44,0.36,0.0,0.26,0.38,0.28,0.21,0.0,0.36,0.22,0.0,0.28,0.36,0.23,0.18,0.22,0.22,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.18,0.23,0.26,0.18,0.0,0.22,0.0,0.0,0.21,0.18,0.0,0.22,0.22,0.0,0.19,0.36,0.18,0.0,0.22,0.0,0.0,0.22,0.21,0.26,0.22,0.18,0.0,0.0,0.25,0.24,0.22,0.19,0.19,0.21,0.23,0.18,0.0,0.26,0.19,0.0,0.19,0.26,0.22,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.18,0.22,0.0,0.0,0.19,0.21,0.19,0.0,0.0,0.0,0.0,0.22,0.21,0.36,0.19,0.19,0.18,0.19,0.23,0.0,0.27,0.18,0.0,0.21,0.47,0.37,0.26,0.26,0.25,0.26,0.26,0.24,0.23,0.23,0.23,0.21,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.0,0.0,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.18,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.18,0.18,0.0,58.080000000000005
07/20/2021,0.25,0.47,0.46,0.46,0.46,0.46,0.45,0.35,0.45,0.38,0.47,0.38,0.35,0.43,0.44,0.48,0.38,0.47,0.45,0.47,0.47,0.43,0.46,0.45,0.27,0.46,0.44,0.47,0.44,0.46,0.48,0.45,0.41,0.34,0.37,0.27,0.28,0.35,0.47,0.41,0.45,0.37,0.42,0.39,0.46,0.33,0.35,0.37,0.26,0.27,0.35,0.38,0.39,0.38,0.28,0.34,0.34,0.38,0.35,0.35,0.37,0.26,0.0,0.38,0.36,0.35,0.26,0.26,0.29,0.0,0.43,0.44,0.35,0.25,0.28,0.42,0.2,0.35,0.26,0.26,0.28,0.37,0.0,0.27,0.22,0.0,0.0,0.28,0.47,0.0,0.19,0.28,0.19,0.28,0.36,0.26,0.27,0.27,0.27,0.44,0.35,0.0,0.26,0.39,0.28,0.21,0.0,0.34,0.22,0.0,0.29,0.35,0.23,0.19,0.23,0.22,0.26,0.24,0.23,0.23,0.22,0.23,0.2,0.0,0.23,0.26,0.19,0.0,0.22,0.0,0.0,0.21,0.19,0.0,0.22,0.23,0.0,0.19,0.36,0.18,0.0,0.22,0.0,0.0,0.22,0.21,0.26,0.22,0.19,0.18,0.0,0.24,0.24,0.21,0.19,0.19,0.21,0.23,0.18,0.0,0.26,0.18,0.0,0.19,0.26,0.22,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.18,0.22,0.0,0.0,0.19,0.21,0.19,0.0,0.0,0.0,0.0,0.22,0.21,0.36,0.19,0.19,0.19,0.18,0.23,0.0,0.27,0.18,0.0,0.2,0.45,0.36,0.26,0.26,0.25,0.25,0.26,0.25,0.23,0.23,0.22,0.21,0.22,0.21,0.22,0.2,0.22,0.22,0.22,0.0,0.0,0.19,0.19,0.18,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.18,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.18,0.19,0.18,58.15
07/21/2021,0.25,0.47,0.46,0.46,0.46,0.46,0.45,0.35,0.45,0.38,0.47,0.38,0.35,0.43,0.44,0.48,0.38,0.47,0.45,0.47,0.47,0.43,0.46,0.45,0.27,0.46,0.44,0.47,0.44,0.46,0.48,0.45,0.41,0.34,0.37,0.27,0.28,0.35,0.47,0.41,0.45,0.37,0.42,0.39,0.46,0.33,0.35,0.37,0.26,0.27,0.35,0.38,0.39,0.38,0.28,0.34,0.34,0.38,0.35,0.35,0.37,0.26,0.0,0.38,0.36,0.35,0.26,0.26,0.29,0.0,0.43,0.44,0.35,0.25,0.28,0.42,0.2,0.35,0.26,0.26,0.28,0.37,0.0,0.27,0.22,0.0,0.0,0.28,0.47,0.0,0.19,0.28,0.19,0.28,0.36,0.26,0.27,0.27,0.27,0.44,0.35,0.0,0.26,0.39,0.28,0.21,0.0,0.34,0.22,0.0,0.29,0.35,0.23,0.19,0.23,0.22,0.26,0.24,0.23,0.23,0.22,0.23,0.2,0.0,0.23,0.26,0.19,0.0,0.22,0.0,0.0,0.21,0.19,0.0,0.22,0.23,0.0,0.19,0.36,0.18,0.0,0.22,0.0,0.0,0.22,0.21,0.26,0.22,0.19,0.18,0.0,0.24,0.24,0.21,0.19,0.19,0.21,0.23,0.18,0.0,0.26,0.18,0.0,0.19,0.26,0.22,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.18,0.22,0.0,0.0,0.19,0.21,0.19,0.0,0.0,0.0,0.0,0.22,0.21,0.36,0.19,0.19,0.19,0.18,0.23,0.0,0.27,0.18,0.0,0.2,0.45,0.36,0.26,0.26,0.25,0.25,0.26,0.25,0.23,0.23,0.22,0.21,0.22,0.21,0.22,0.2,0.22,0.22,0.22,0.0,0.0,0.19,0.19,0.18,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.18,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.18,0.19,0.18,58.15
07/22/2021,0.25,0.47,0.46,0.46,0.46,0.46,0.45,0.35,0.45,0.38,0.47,0.38,0.35,0.43,0.44,0.48,0.38,0.47,0.45,0.47,0.47,0.43,0.46,0.45,0.27,0.46,0.44,0.47,0.44,0.46,0.48,0.45,0.41,0.34,0.37,0.27,0.28,0.35,0.47,0.41,0.45,0.37,0.42,0.39,0.46,0.33,0.35,0.37,0.26,0.27,0.35,0.38,0.39,0.38,0.28,0.34,0.34,0.38,0.35,0.35,0.37,0.26,0.0,0.38,0.36,0.35,0.26,0.26,0.29,0.0,0.43,0.44,0.35,0.25,0.28,0.42,0.2,0.35,0.26,0.26,0.28,0.37,0.0,0.27,0.22,0.0,0.0,0.28,0.47,0.0,0.19,0.28,0.19,0.28,0.36,0.26,0.27,0.27,0.27,0.44,0.35,0.0,0.26,0.39,0.28,0.21,0.0,0.34,0.22,0.0,0.29,0.35,0.23,0.19,0.23,0.22,0.26,0.24,0.23,0.23,0.22,0.23,0.2,0.0,0.23,0.26,0.19,0.0,0.22,0.0,0.0,0.21,0.19,0.0,0.22,0.23,0.0,0.19,0.36,0.18,0.0,0.22,0.0,0.0,0.22,0.21,0.26,0.22,0.19,0.18,0.0,0.24,0.24,0.21,0.19,0.19,0.21,0.23,0.18,0.0,0.26,0.18,0.0,0.19,0.26,0.22,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.18,0.22,0.0,0.0,0.19,0.21,0.19,0.0,0.0,0.0,0.0,0.22,0.21,0.36,0.19,0.19,0.19,0.18,0.23,0.0,0.27,0.18,0.0,0.2,0.45,0.36,0.26,0.26,0.25,0.25,0.26,0.25,0.23,0.23,0.22,0.21,0.22,0.21,0.22,0.2,0.22,0.22,0.22,0.0,0.0,0.19,0.19,0.18,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.18,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.18,0.19,0.18,58.15
