,4RUT  210930C00904610,4RUT  210930P01809230,4RUT  210930P01507690,Cash&Other,4RUT  210930P00904610,4RUT  210930P01281540,4RUT  210930C01809230,4RUT  210930C01706710,SUM
07/09/2021,160.18,0.72,0.23,0.03,-0.06,-0.11,-27.6,-33.38,100.01
07/12/2021,161.22,0.65,0.21,0.02,-0.05,-0.1,-28.07,-33.88,100.0
07/13/2021,161.22,0.65,0.21,0.02,-0.05,-0.1,-28.07,-33.88,100.0
07/14/2021,161.22,0.65,0.21,0.02,-0.05,-0.1,-28.07,-33.88,100.0
07/15/2021,161.26,0.63,0.21,0.02,-0.05,-0.1,-28.08,-33.89,99.99999999999996
07/16/2021,156.44,0.74,0.23,0.02,-0.06,-0.11,-25.75,-31.52,99.99
07/19/2021,149.9,0.85,0.24,0.01,-0.08,-0.12,-23.02,-27.8,99.98
07/20/2021,146.38,0.98,0.26,0.01,-0.07,-0.12,-21.24,-26.21,99.99
07/21/2021,146.38,0.98,0.26,0.01,-0.07,-0.12,-21.24,-26.21,99.99
07/22/2021,144.47,1.31,0.37,0.01,-0.09,-0.16,-20.17,-25.73,100.01
07/23/2021,151.64,0.89,0.27,0.0,-0.07,-0.13,-23.45,-29.16,99.98999999999998
07/26/2021,152.16,0.82,0.25,0.0,-0.06,-0.12,-23.66,-29.4,99.98999999999998
07/27/2021,152.88,0.72,0.22,-0.01,-0.05,-0.1,-23.95,-29.71,100.0
07/28/2021,152.88,0.72,0.22,-0.01,-0.05,-0.1,-23.95,-29.71,100.0
07/29/2021,153.84,0.71,0.21,-0.01,-0.04,-0.09,-24.42,-30.19,100.01
07/30/2021,150.72,0.84,0.25,-0.01,-0.06,-0.12,-22.95,-28.67,100.0
08/02/2021,156.87,0.59,0.19,-0.02,-0.04,-0.09,-25.84,-31.66,100.0
08/03/2021,155.2,0.62,0.2,-0.02,-0.04,-0.09,-25.04,-30.83,100.0
08/04/2021,155.2,0.62,0.2,-0.02,-0.04,-0.09,-25.04,-30.83,100.0
08/05/2021,153.7,0.69,0.21,-0.02,-0.05,-0.09,-24.32,-30.12,100.0
08/06/2021,153.87,0.61,0.18,-0.03,-0.04,-0.08,-24.36,-30.16,99.99000000000004
08/10/2021,157.33,0.45,0.13,-0.02,-0.02,-0.05,-25.98,-31.84,100.0
08/11/2021,157.33,0.45,0.13,-0.02,-0.02,-0.05,-25.98,-31.84,100.0
08/13/2021,156.26,0.45,0.13,-0.02,-0.02,-0.05,-25.44,-31.3,100.01
08/16/2021,156.93,0.37,0.11,-0.03,-0.01,-0.05,-25.72,-31.61,99.99
08/17/2021,154.46,0.37,0.11,-0.03,-0.01,-0.04,-24.49,-30.37,100.0
08/18/2021,154.46,0.37,0.11,-0.03,-0.01,-0.04,-24.49,-30.37,100.0
08/19/2021,152.24,0.38,0.1,-0.03,-0.01,-0.04,-23.35,-29.28,100.01
08/20/2021,148.53,0.48,0.13,-0.04,-0.02,-0.05,-21.59,-27.43,100.01
08/23/2021,144.11,0.68,0.17,-0.05,-0.03,-0.07,-19.53,-25.29,99.99
08/24/2021,147.8,0.48,0.13,-0.03,-0.02,-0.05,-21.23,-27.07,100.01000000000002
08/25/2021,147.8,0.48,0.13,-0.03,-0.02,-0.05,-21.23,-27.07,100.01000000000002
08/26/2021,152.76,0.31,0.09,-0.03,-0.01,-0.03,-23.59,-29.49,100.01
08/27/2021,155.72,0.25,0.04,-0.01,-0.08,-0.07,-24.96,-30.89,100.0
08/30/2021,153.49,0.3,0.08,-0.02,-0.01,-0.04,-23.95,-29.86,99.99
08/31/2021,160.89,0.19,0.05,-0.02,-0.01,-0.02,-27.57,-33.52,99.98999999999998
09/01/2021,160.89,0.19,0.05,-0.02,-0.01,-0.02,-27.57,-33.52,99.98999999999998
09/02/2021,159.45,0.18,0.04,-0.02,-0.01,-0.02,-26.83,-32.79,100.0
09/03/2021,160.63,0.16,0.04,-0.02,-0.01,-0.01,-27.41,-33.38,100.0
09/06/2021,162.98,0.12,0.03,-0.01,-0.01,-0.01,-28.92,-34.19,99.99
09/07/2021,161.29,0.12,0.02,-0.02,-0.03,-0.01,-28.06,-33.32,99.99
09/08/2021,161.29,0.12,0.02,-0.02,-0.03,-0.01,-28.06,-33.32,99.99
09/09/2021,161.29,0.12,0.02,-0.02,-0.03,-0.01,-28.06,-33.32,99.99
09/10/2021,160.44,0.12,0.03,-0.02,0.0,-0.01,-27.3,-33.27,99.99
09/13/2021,157.58,0.13,0.03,-0.03,0.0,-0.01,-25.88,-31.83,99.99
09/14/2021,155.34,0.18,0.04,0.02,-0.01,-0.02,-24.8,-30.76,99.99
09/15/2021,155.34,0.18,0.04,0.02,-0.01,-0.02,-24.8,-30.76,99.99
09/16/2021,156.77,0.12,0.02,0.02,-0.01,-0.01,-25.47,-31.45,99.99
09/17/2021,152.9,0.13,0.03,0.01,0.0,-0.01,-23.53,-29.53,100.0
09/20/2021,155.77,0.06,0.01,0.17,0.0,0.0,-25.02,-30.99,100.0
09/21/2021,155.04,0.07,0.01,0.17,0.0,0.0,-24.68,-30.61,100.0
09/22/2021,155.04,0.07,0.01,0.17,0.0,0.0,-24.68,-30.61,100.0
09/23/2021,148.81,0.11,0.02,0.17,0.0,-0.01,-21.6,-27.5,99.99999999999999
