,AMZN,AAPL,MSFT,TSLA,FB,NVDA,GOOG,GOOGL,CRM,PYPL,PG,JNJ,HD,WMT,UNH,ADBE,JPM,MRNA,NFLX,ABBV,V,ZM,MA,TMO,FIS,BRK.B,AMD,TMUS,AVGO,NOW,BAC,DHR,GILD,INTC,ABT,LLY,SQ,DIS,CMCSA,MRK,ORCL,VZ,PEP,BMY,CSCO,T,KO,TJX,ACN,COST,QCOM,LOW,UPS,GE,BKNG,NKE,PFE,TXN,MO,AMAT,SNOW,CHTR,BSX,MDT,AMGN,INTU,STLA.MI,FDX,DASH,TGT,MS,XOM,SBUX,MCD,WFC,BLK,SNAP,NEE,PM,FISV,ADSK,TFC,LRCX,HON,UNP,AMT,GPN,SCHW,TEL,PLD,CRWD,CVX,IBM,MU,GS,C,LMT,ROKU,MMM,TWLO,PTON,ANTM,SPGI,DOCU,LHX,ISRG,PINS,KMI,ATVI,DE,FCX,SGEN,CVS,ROST,VRTX,SYK,AXP,BDX,ZTS,DXCM,RTX,ICE,First American Government Obligs X,CI,LBRDK,IR,ETSY,CAT,UBER,CCI,MDLZ,KHC,ADP,RBLX,EQIX,ALGN,WDAY,REGN,MCO,PRU,DUK,CME,CNC,BX,SHW,GM,CB,CL,IQV,MMC,PLTR,EL,DG,USB,ZBH,ADI,VEEV,EW,HUM,HCA,IDXX,WBA,KLAC,NOC,CSX,SBAC,PGR,ILMN,TWTR,ALXN,NEM,APD,CTVA,PNC,MCHP,DOW,D,ITW,SO,COF,PXD,SNPS,MNST,MRVL,WY,TTD,NSC,WM,WDC,KDP,BA,AES,W,EMR,OKTA,CMG,FTNT,ALNY,AON,COP,PSA,TROW,PANW,DLR,FGXXX,MSCI,KMB,EBAY,A,HOLX,CDNS,RMD,GE.,ETN,U,SUM
07/09/2021,5.98,5.43,5.2,3.68,2.26,1.99,1.92,1.72,1.08,1.05,0.97,0.92,0.86,0.83,0.8,0.79,0.76,0.75,0.72,0.71,0.71,0.7,0.67,0.62,0.61,0.61,0.61,0.59,0.57,0.55,0.54,0.54,0.54,0.54,0.53,0.52,0.51,0.5,0.47,0.44,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.41
07/12/2021,6.39,5.66,5.3,3.47,2.22,1.98,1.95,1.76,1.08,1.07,0.98,0.92,0.86,0.82,0.8,0.81,0.73,0.7,0.71,0.72,0.72,0.7,0.67,0.63,0.61,0.6,0.58,0.59,0.56,0.56,0.52,0.55,0.53,0.53,0.53,0.52,0.51,0.48,0.47,0.44,0.47,0.43,0.44,0.43,0.42,0.41,0.41,0.4,0.42,0.41,0.39,0.39,0.4,0.37,0.38,0.38,0.36,0.36,0.35,0.35,0.36,0.36,0.34,0.33,0.32,0.32,0.31,0.3,0.31,0.31,0.3,0.29,0.31,0.3,0.29,0.31,0.29,0.3,0.29,0.3,0.28,0.27,0.26,0.27,0.27,0.26,0.25,0.24,0.25,0.26,0.27,0.23,0.23,0.23,0.23,0.22,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.21,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.0,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.53
07/13/2021,6.39,5.66,5.3,3.47,2.22,1.98,1.95,1.76,1.08,1.07,0.98,0.92,0.86,0.82,0.8,0.81,0.73,0.7,0.71,0.72,0.72,0.7,0.67,0.63,0.61,0.6,0.58,0.59,0.56,0.56,0.52,0.55,0.53,0.53,0.53,0.52,0.51,0.48,0.47,0.44,0.47,0.43,0.44,0.43,0.42,0.41,0.41,0.4,0.42,0.41,0.39,0.39,0.4,0.37,0.38,0.38,0.36,0.36,0.35,0.35,0.36,0.36,0.34,0.33,0.32,0.32,0.31,0.3,0.31,0.31,0.3,0.29,0.31,0.3,0.29,0.31,0.29,0.3,0.29,0.3,0.28,0.27,0.26,0.27,0.27,0.26,0.25,0.24,0.25,0.26,0.27,0.23,0.23,0.23,0.23,0.22,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.21,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.0,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.53
07/14/2021,6.41,5.67,5.25,3.52,2.21,1.95,1.94,1.74,1.07,1.08,0.97,0.92,0.85,0.82,0.8,0.81,0.74,0.74,0.71,0.72,0.71,0.69,0.66,0.62,0.61,0.6,0.58,0.58,0.57,0.57,0.52,0.55,0.52,0.53,0.53,0.52,0.5,0.49,0.46,0.44,0.48,0.43,0.44,0.43,0.42,0.4,0.41,0.41,0.42,0.42,0.4,0.39,0.4,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.39,0.35,0.33,0.33,0.32,0.32,0.3,0.3,0.3,0.31,0.3,0.29,0.31,0.31,0.29,0.31,0.29,0.3,0.3,0.3,0.28,0.27,0.26,0.27,0.26,0.26,0.25,0.24,0.25,0.26,0.26,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.22,0.21,0.2,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.0,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.57999999999998
07/15/2021,6.39,5.63,5.22,3.67,2.22,1.98,1.95,1.76,1.05,1.09,0.97,0.92,0.85,0.82,0.81,0.8,0.75,0.75,0.71,0.72,0.7,0.67,0.67,0.61,0.61,0.6,0.58,0.58,0.58,0.56,0.52,0.55,0.52,0.54,0.53,0.52,0.5,0.51,0.46,0.43,0.47,0.43,0.43,0.43,0.41,0.4,0.41,0.4,0.42,0.41,0.4,0.39,0.4,0.37,0.38,0.38,0.37,0.37,0.35,0.35,0.39,0.34,0.33,0.33,0.32,0.32,0.3,0.31,0.3,0.31,0.3,0.29,0.31,0.3,0.29,0.31,0.28,0.3,0.29,0.3,0.28,0.27,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.27,0.26,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.24,0.22,0.23,0.22,0.24,0.2,0.21,0.21,0.22,0.21,0.19,0.21,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.18,0.18,0.0,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.61000000000001
07/16/2021,6.34,5.69,5.31,3.59,2.23,1.97,1.96,1.77,1.06,1.08,0.97,0.92,0.84,0.82,0.81,0.81,0.75,0.74,0.72,0.72,0.72,0.67,0.68,0.62,0.61,0.6,0.58,0.59,0.58,0.56,0.52,0.55,0.52,0.54,0.53,0.52,0.5,0.51,0.47,0.43,0.47,0.44,0.45,0.43,0.42,0.4,0.41,0.4,0.42,0.41,0.4,0.39,0.39,0.37,0.38,0.38,0.37,0.37,0.35,0.35,0.39,0.34,0.33,0.33,0.32,0.32,0.3,0.31,0.3,0.31,0.31,0.29,0.32,0.31,0.28,0.31,0.28,0.3,0.29,0.3,0.28,0.27,0.26,0.27,0.25,0.26,0.25,0.25,0.25,0.26,0.26,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.24,0.22,0.23,0.23,0.23,0.2,0.21,0.21,0.22,0.2,0.19,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.18,0.18,0.0,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.16,0.17,0.16,0.17,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.1,0.1,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.64999999999999
07/19/2021,6.35,5.84,5.35,3.51,2.2,1.93,1.98,1.78,1.06,1.08,0.98,0.93,0.84,0.83,0.81,0.81,0.74,0.78,0.73,0.72,0.73,0.64,0.7,0.61,0.62,0.6,0.57,0.6,0.58,0.56,0.5,0.55,0.52,0.54,0.52,0.52,0.5,0.51,0.47,0.43,0.48,0.44,0.45,0.44,0.43,0.4,0.42,0.41,0.42,0.42,0.4,0.39,0.39,0.37,0.38,0.38,0.37,0.37,0.36,0.35,0.37,0.34,0.33,0.33,0.32,0.32,0.3,0.3,0.28,0.32,0.3,0.28,0.32,0.31,0.3,0.3,0.28,0.3,0.3,0.3,0.28,0.27,0.26,0.27,0.26,0.27,0.25,0.24,0.25,0.26,0.25,0.23,0.23,0.23,0.24,0.22,0.23,0.22,0.23,0.22,0.21,0.24,0.22,0.22,0.23,0.23,0.19,0.21,0.21,0.21,0.2,0.19,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.18,0.18,0.0,0.18,0.18,0.18,0.16,0.17,0.16,0.18,0.18,0.16,0.17,0.15,0.17,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.0,0.1,0.0,0.11,0.1,0.11,0.11,0.1,0.0,0.0,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.66
07/20/2021,6.28,5.83,5.34,3.51,2.19,1.85,1.98,1.77,1.04,1.07,1.0,0.92,0.86,0.83,0.82,0.81,0.75,0.82,0.72,0.72,0.74,0.64,0.7,0.62,0.63,0.6,0.56,0.6,0.57,0.56,0.5,0.56,0.53,0.53,0.52,0.52,0.49,0.51,0.47,0.44,0.47,0.44,0.45,0.43,0.42,0.41,0.43,0.41,0.43,0.42,0.4,0.39,0.4,0.37,0.38,0.38,0.37,0.36,0.36,0.35,0.37,0.34,0.33,0.32,0.32,0.32,0.29,0.3,0.28,0.32,0.31,0.28,0.32,0.31,0.3,0.3,0.27,0.31,0.3,0.3,0.28,0.28,0.26,0.28,0.26,0.27,0.26,0.24,0.25,0.27,0.25,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.24,0.22,0.21,0.24,0.22,0.22,0.23,0.23,0.19,0.21,0.21,0.21,0.2,0.19,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.18,0.18,0.0,0.18,0.18,0.18,0.16,0.17,0.16,0.18,0.18,0.16,0.17,0.15,0.17,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.12,0.15,0.14,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.1,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.12,0.0,0.0,0.0,0.11,0.1,0.11,0.11,0.1,0.0,0.0,0.11,0.1,0.1,0.11,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.62
07/21/2021,6.22,5.77,5.36,3.49,2.18,1.78,1.99,1.78,1.05,1.07,1.01,0.92,0.86,0.84,0.82,0.82,0.73,0.91,0.71,0.74,0.75,0.65,0.7,0.63,0.63,0.6,0.56,0.6,0.56,0.56,0.5,0.57,0.53,0.53,0.53,0.52,0.5,0.5,0.47,0.44,0.48,0.44,0.46,0.43,0.43,0.41,0.43,0.41,0.42,0.42,0.39,0.4,0.4,0.36,0.38,0.38,0.38,0.36,0.36,0.34,0.37,0.33,0.33,0.33,0.33,0.32,0.29,0.3,0.28,0.32,0.3,0.28,0.32,0.31,0.29,0.3,0.26,0.32,0.3,0.31,0.28,0.27,0.25,0.28,0.26,0.27,0.26,0.24,0.25,0.27,0.25,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.21,0.23,0.23,0.23,0.23,0.23,0.19,0.21,0.21,0.21,0.19,0.2,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.18,0.19,0.0,0.18,0.18,0.18,0.16,0.17,0.16,0.18,0.18,0.16,0.17,0.15,0.18,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.16,0.14,0.15,0.15,0.14,0.14,0.12,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.13,0.12,0.12,0.12,0.0,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.0,0.12,0.0,0.0,0.0,0.11,0.1,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.11,0.15,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.59
07/22/2021,6.22,5.77,5.36,3.49,2.18,1.78,1.99,1.78,1.05,1.07,1.01,0.92,0.86,0.84,0.82,0.82,0.73,0.91,0.71,0.74,0.75,0.65,0.7,0.63,0.63,0.6,0.56,0.6,0.56,0.56,0.5,0.57,0.53,0.53,0.53,0.52,0.5,0.5,0.47,0.44,0.48,0.44,0.46,0.43,0.43,0.41,0.43,0.41,0.42,0.42,0.39,0.4,0.4,0.36,0.38,0.38,0.38,0.36,0.36,0.34,0.37,0.33,0.33,0.33,0.33,0.32,0.29,0.3,0.28,0.32,0.3,0.28,0.32,0.31,0.29,0.3,0.26,0.32,0.3,0.31,0.28,0.27,0.25,0.28,0.26,0.27,0.26,0.24,0.25,0.27,0.25,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.21,0.23,0.23,0.23,0.23,0.23,0.19,0.21,0.21,0.21,0.19,0.2,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.18,0.19,0.0,0.18,0.18,0.18,0.16,0.17,0.16,0.18,0.18,0.16,0.17,0.15,0.18,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.16,0.14,0.15,0.15,0.14,0.14,0.12,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.13,0.12,0.12,0.12,0.0,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.0,0.12,0.0,0.0,0.0,0.11,0.1,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.11,0.15,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.59
