,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,INTC,CSCO,CRM,PFE,KO,T,ABT,PEP,ABBV,TMO,NKE,CVX,LLY,WMT,MRK,ACN,AVGO,WFC,DHR,TXN,COST,MCD,MDT,QCOM,PM,UPS,UNP,BMY,HON,NEE,ORCL,C,AMGN,LOW,SBUX,BLK,INTU,RTX,BA,MS,AMAT,AMT,IBM,GS,TGT,CAT,AMD,SCHW,AXP,MMM,ISRG,GE,NOW,CVS,SPGI,DE,SQ,CHTR,ANTM,LMT,MU,FIS,PLD,ZTS,SYK,BKNG,LRCX,MDLZ,TMUS,MO,CCI,GILD,ZM,ADP,TJX,UBER,COP,GM,MRNA,CI,PNC,DUK,USB,CME,CSX,TFC,EQIX,XTSLA,ILMN,COF,ITW,FDX,BDX,CB,MMC,ATVI,EL,ICE,ADSK,FISV,SO,CL,EW,BX,SHW,NSC,TWLO,APD,ADI,BSX,D,PGR,GPN,F,EMR,HUM,REGN,ETN,MCO,WM,AON,ECL,DG,FCX,DOCU,TWTR,NXPI,IDXX,NOC,HCA,ROP,EOG,JCI,BIIB,ROKU,NEM,VRTX,A,PINS,CMG,VEEV,WDAY,MSCI,TT,ROST,LHX,EXC,KMB,DOW,MRVL,PSA,GD,EBAY,IQV,ALGN,KLAC,TROW,ALXN,DD,BAX,EA,BK,APH,PLTR,AIG,ORLY,PPG,SPG,CARR,SRE,INFO,LULU,MTCH,SLB,DLR,MET,APTV,CNC,DXCM,AEP,ALL,PH,SNPS,CRWD,PRU,USD,MAR,CDNS,TEAM,GE.,XLNX,FTNT,DFS,CTSH,RMD,TRV,YUM,PANW,SNOW,MCHP,SUM
07/09/2021,5.35,5.02,3.83,2.03,1.82,1.77,1.25,1.23,1.19,1.11,1.06,0.97,0.93,0.82,0.82,0.79,0.79,0.76,0.72,0.68,0.63,0.62,0.56,0.56,0.54,0.54,0.53,0.53,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.45,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.14
07/12/2021,5.43,5.05,3.91,2.0,1.82,1.77,1.24,1.22,1.15,1.1,1.08,0.97,0.93,0.84,0.83,0.8,0.78,0.76,0.71,0.7,0.64,0.61,0.55,0.56,0.54,0.54,0.53,0.53,0.51,0.49,0.5,0.5,0.5,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.45,0.42,0.42,0.42,0.43,0.42,0.41,0.38,0.37,0.37,0.35,0.36,0.37,0.36,0.36,0.33,0.34,0.33,0.33,0.3,0.31,0.31,0.31,0.29,0.29,0.3,0.3,0.29,0.3,0.28,0.26,0.26,0.26,0.28,0.27,0.27,0.27,0.25,0.24,0.23,0.22,0.24,0.23,0.23,0.21,0.21,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16000000000001
07/13/2021,5.43,5.05,3.91,2.0,1.82,1.77,1.24,1.22,1.15,1.1,1.08,0.97,0.93,0.84,0.83,0.8,0.78,0.76,0.71,0.7,0.64,0.61,0.55,0.56,0.54,0.54,0.53,0.53,0.51,0.49,0.5,0.5,0.5,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.45,0.42,0.42,0.42,0.43,0.42,0.41,0.38,0.37,0.37,0.35,0.36,0.37,0.36,0.36,0.33,0.34,0.33,0.33,0.3,0.31,0.31,0.31,0.29,0.29,0.3,0.3,0.29,0.3,0.28,0.26,0.26,0.26,0.28,0.27,0.27,0.27,0.25,0.24,0.23,0.22,0.24,0.23,0.23,0.21,0.21,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16000000000001
07/14/2021,5.44,5.0,3.85,2.0,1.8,1.75,1.26,1.22,1.14,1.12,1.07,0.96,0.92,0.84,0.83,0.8,0.78,0.77,0.72,0.69,0.63,0.62,0.55,0.55,0.54,0.54,0.52,0.53,0.5,0.48,0.5,0.49,0.49,0.48,0.48,0.48,0.47,0.48,0.47,0.47,0.46,0.43,0.42,0.42,0.43,0.42,0.41,0.38,0.37,0.37,0.35,0.36,0.37,0.35,0.36,0.34,0.34,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.26,0.26,0.27,0.28,0.27,0.27,0.27,0.26,0.24,0.24,0.23,0.23,0.23,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.03
07/15/2021,5.44,5.0,3.85,2.0,1.8,1.75,1.26,1.22,1.14,1.12,1.07,0.96,0.92,0.84,0.83,0.8,0.78,0.77,0.72,0.69,0.63,0.62,0.55,0.55,0.54,0.54,0.52,0.53,0.5,0.48,0.5,0.49,0.49,0.48,0.48,0.48,0.47,0.48,0.47,0.47,0.46,0.43,0.42,0.42,0.43,0.42,0.41,0.38,0.37,0.37,0.35,0.36,0.37,0.35,0.36,0.34,0.34,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.26,0.26,0.27,0.28,0.27,0.27,0.27,0.26,0.24,0.24,0.23,0.23,0.23,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.03
07/16/2021,5.47,5.06,3.82,2.01,1.83,1.78,1.25,1.24,1.16,1.12,1.07,0.98,0.94,0.85,0.81,0.8,0.8,0.8,0.72,0.69,0.63,0.62,0.56,0.56,0.55,0.54,0.52,0.53,0.51,0.48,0.49,0.5,0.5,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.46,0.43,0.42,0.42,0.43,0.42,0.41,0.38,0.36,0.37,0.35,0.36,0.37,0.35,0.36,0.34,0.34,0.33,0.34,0.31,0.31,0.31,0.29,0.31,0.3,0.3,0.3,0.3,0.3,0.28,0.26,0.27,0.27,0.28,0.27,0.27,0.26,0.26,0.24,0.24,0.23,0.22,0.23,0.22,0.21,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.37
07/19/2021,5.59,5.08,3.78,1.98,1.83,1.79,1.26,1.21,1.09,1.12,1.06,1.01,0.95,0.84,0.83,0.81,0.82,0.8,0.7,0.69,0.63,0.6,0.56,0.56,0.54,0.54,0.5,0.54,0.53,0.49,0.49,0.51,0.5,0.48,0.48,0.47,0.47,0.49,0.47,0.48,0.46,0.45,0.43,0.42,0.44,0.42,0.4,0.38,0.37,0.37,0.35,0.36,0.39,0.36,0.36,0.34,0.34,0.34,0.34,0.3,0.31,0.31,0.29,0.31,0.29,0.3,0.3,0.3,0.3,0.28,0.25,0.27,0.27,0.28,0.27,0.27,0.26,0.26,0.24,0.23,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.18,0.21,0.2,0.18,0.18,0.19,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.14,0.15,0.14,0.14,0.15,0.13,0.14,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.0,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.11,0.1,0.11,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.43
07/20/2021,5.59,5.08,3.78,1.98,1.83,1.79,1.26,1.21,1.09,1.12,1.06,1.01,0.95,0.84,0.83,0.81,0.82,0.8,0.7,0.69,0.63,0.6,0.56,0.56,0.54,0.54,0.5,0.54,0.53,0.49,0.49,0.51,0.5,0.48,0.48,0.47,0.47,0.49,0.47,0.48,0.46,0.45,0.43,0.42,0.44,0.42,0.4,0.38,0.37,0.37,0.35,0.36,0.39,0.36,0.36,0.34,0.34,0.34,0.34,0.3,0.31,0.31,0.29,0.31,0.29,0.3,0.3,0.3,0.3,0.28,0.25,0.27,0.27,0.28,0.27,0.27,0.26,0.26,0.24,0.23,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.18,0.21,0.2,0.18,0.18,0.19,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.14,0.15,0.14,0.14,0.15,0.13,0.14,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.0,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.11,0.1,0.11,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.43
07/21/2021,5.55,5.11,3.75,1.97,1.85,1.81,1.26,1.21,1.05,1.1,1.07,1.01,0.95,0.84,0.83,0.83,0.82,0.79,0.69,0.7,0.63,0.59,0.55,0.57,0.54,0.55,0.51,0.54,0.53,0.49,0.49,0.52,0.5,0.49,0.48,0.46,0.48,0.49,0.48,0.48,0.45,0.44,0.44,0.41,0.44,0.42,0.41,0.38,0.37,0.37,0.35,0.36,0.39,0.37,0.37,0.33,0.34,0.34,0.34,0.3,0.31,0.31,0.28,0.31,0.28,0.31,0.3,0.29,0.3,0.27,0.25,0.26,0.27,0.28,0.27,0.26,0.27,0.26,0.24,0.23,0.22,0.23,0.23,0.23,0.2,0.22,0.23,0.23,0.22,0.21,0.2,0.22,0.21,0.21,0.21,0.21,0.19,0.21,0.2,0.18,0.18,0.18,0.23,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.1,0.12,0.12,0.11,0.12,0.13,0.11,0.0,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.0,0.11,0.1,0.1,0.1,0.1,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5
07/22/2021,5.49,5.12,3.78,1.98,1.84,1.8,1.25,1.23,1.1,1.08,1.08,1.0,0.94,0.85,0.84,0.84,0.78,0.77,0.68,0.71,0.63,0.57,0.56,0.57,0.54,0.55,0.52,0.55,0.53,0.49,0.51,0.53,0.5,0.5,0.48,0.46,0.49,0.5,0.48,0.48,0.46,0.44,0.44,0.42,0.45,0.42,0.4,0.38,0.37,0.38,0.35,0.36,0.38,0.37,0.37,0.33,0.35,0.34,0.33,0.3,0.31,0.3,0.27,0.3,0.29,0.31,0.3,0.29,0.31,0.27,0.26,0.26,0.26,0.28,0.27,0.26,0.27,0.26,0.24,0.23,0.22,0.23,0.23,0.23,0.2,0.22,0.23,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.18,0.18,0.18,0.26,0.19,0.19,0.2,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.15,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.13,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.12,0.13,0.13,0.12,0.14,0.13,0.13,0.14,0.13,0.14,0.12,0.1,0.12,0.12,0.12,0.12,0.13,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.55000000000001
