,TSM,NVDA,ASML,QCOM,AMD,INTC,TXN,AVGO,AMAT,MU,ADI,LRCX,NXPI,KLAC,MCHP,XLNX,MRVL,CDNS,SWKS,STM,MXIM,QRVO,TER,ON,OLED,010950.KS,PTBL.TA,1379.T,SAR.AX,GVMXX,n/a,SNPS,SUM
07/09/2021,14.06,10.32,5.76,5.11,5.07,4.99,4.91,4.8,4.4,4.37,4.31,4.27,3.57,2.96,2.77,2.59,2.49,2.38,2.3,1.89,1.65,1.63,1.56,1.11,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,14.21,10.43,5.87,5.1,4.93,5.0,4.92,4.9,4.36,4.33,4.24,4.21,3.55,2.97,2.73,2.51,2.5,2.44,2.3,1.93,1.62,1.62,1.52,1.09,0.74,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,14.21,10.43,5.87,5.1,4.93,5.0,4.92,4.9,4.36,4.33,4.24,4.21,3.55,2.97,2.73,2.51,2.5,2.44,2.3,1.93,1.62,1.62,1.52,1.09,0.74,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,14.42,10.21,5.85,5.12,4.92,4.98,4.91,4.98,4.34,4.34,4.24,4.19,3.57,2.97,2.72,2.46,2.5,2.42,2.31,1.95,1.61,1.62,1.54,1.1,0.74,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,14.42,10.21,5.85,5.12,4.92,4.98,4.91,4.98,4.34,4.34,4.24,4.19,3.57,2.97,2.72,2.46,2.5,2.42,2.31,1.95,1.61,1.62,1.54,1.1,0.74,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,14.42,10.21,5.85,5.12,4.92,4.98,4.91,4.98,4.34,4.34,4.24,4.19,3.57,2.97,2.72,2.46,2.5,2.42,2.31,1.95,1.61,1.62,1.54,1.1,0.74,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,14.34,9.86,6.08,5.23,4.8,5.06,4.96,5.05,4.37,4.32,4.26,4.26,3.53,2.98,2.65,2.4,2.49,2.45,2.37,1.99,1.62,1.64,1.54,1.08,0.72,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/20/2021,14.44,9.65,6.07,5.28,4.85,5.1,5.01,5.07,4.3,4.31,4.27,4.19,3.53,2.94,2.64,2.43,2.47,2.51,2.39,2.01,1.63,1.65,1.53,1.07,0.72,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,14.44,9.65,6.07,5.28,4.85,5.1,5.01,5.07,4.3,4.31,4.27,4.19,3.53,2.94,2.64,2.43,2.47,2.51,2.39,2.01,1.63,1.65,1.53,1.07,0.72,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,14.44,9.65,6.07,5.28,4.85,5.1,5.01,5.07,4.3,4.31,4.27,4.19,3.53,2.94,2.64,2.43,2.47,2.51,2.39,2.01,1.63,1.65,1.53,1.07,0.72,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,100.01
