,SQM/B.SN,CHILE.SN,COPEC.SN,ENELAM.SN,FALABELLA.SN,BSANTANDER.SN,CCU.SN,CENCOSUD.SN,BCI.SN,CMPC.SN,VAPORES.SN,ENELCHILE.SN,CAP.SN,COLBUN.SN,ANDINA-B.SN,ENTEL.SN,PARAUCO.SN,CONCHATORO.SN,AGUAS-A.SN,AESGENER.SN,ITAUCORP.SN,ECL.SN,SONDA.SN,SMU.SN,RIPLEY.SN,SECURITY.SN,FORUS.SN,IAM.SN,ILC,CENCOSHOPP.SN,XTSLA,CLP,HBCFT,MESU1,CAP,VAPORES,ANDINA.B,CONCHATORO,ENTEL,AGUAS.A,AESGENER,ITAUCORP,SONDA,ECL,SMU,FORUS,IAM,SECURITY,AESANDES.SN,ILC.SN,AESANDES,USD,MESZ1,SUM
07/09/2021,14.1,9.53,8.18,7.11,4.4,4.34,4.34,4.22,4.21,4.07,3.5,3.43,3.35,2.94,2.29,2.27,2.25,2.12,1.65,1.57,1.43,1.27,1.21,1.17,0.99,0.94,0.94,0.92,0.81,0.32,0.17,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/12/2021,14.2,9.5,8.06,7.08,4.57,4.36,4.24,4.2,4.32,4.0,3.49,3.38,3.38,2.95,2.34,2.26,2.26,2.14,1.65,1.61,1.43,1.22,1.18,1.16,0.98,0.93,0.92,0.94,0.79,0.34,0.17,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
07/13/2021,14.2,9.5,8.06,7.08,4.57,4.36,4.24,4.2,4.32,4.0,3.49,3.38,3.38,2.95,2.34,2.26,2.26,2.14,1.65,1.61,1.43,1.22,1.18,1.16,0.98,0.93,0.92,0.94,0.79,0.34,0.17,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
07/14/2021,14.64,9.58,7.87,7.0,4.51,4.39,4.27,4.23,4.35,4.02,3.34,3.34,3.4,2.89,2.36,2.23,2.24,2.08,1.64,1.59,1.42,1.22,1.19,1.15,0.96,0.92,0.94,0.95,0.78,0.34,0.17,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/15/2021,14.64,9.58,7.87,7.0,4.51,4.39,4.27,4.23,4.35,4.02,3.34,3.34,3.4,2.89,2.36,2.23,2.24,2.08,1.64,1.59,1.42,1.22,1.19,1.15,0.96,0.92,0.94,0.95,0.78,0.34,0.17,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,15.54,9.49,7.8,7.05,4.43,4.32,4.24,4.19,4.24,4.14,3.02,3.36,3.33,2.89,2.39,2.19,2.22,2.08,1.62,1.56,1.41,1.21,1.21,1.12,0.94,0.91,0.93,0.94,0.77,0.34,0.12,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/19/2021,15.58,9.46,7.48,7.16,4.49,4.28,4.24,4.31,4.3,4.06,2.98,3.36,3.39,2.92,2.42,2.2,2.26,2.13,1.64,1.53,1.35,1.22,1.22,1.11,0.94,0.89,0.94,0.94,0.72,0.33,0.13,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,15.58,9.46,7.48,7.16,4.49,4.28,4.24,4.31,4.3,4.06,2.98,3.36,3.39,2.92,2.42,2.2,2.26,2.13,1.64,1.53,1.35,1.22,1.22,1.11,0.94,0.89,0.94,0.94,0.72,0.33,0.13,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,14.72,9.56,7.72,6.96,4.53,4.29,4.25,4.42,4.47,4.08,2.86,3.46,3.39,2.98,2.38,2.26,2.33,2.15,1.65,1.55,1.37,1.25,1.25,1.14,0.96,0.89,0.96,0.97,0.72,0.34,0.12,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/23/2021,14.68,9.51,7.69,6.83,4.45,4.47,4.24,4.29,4.51,4.04,3.14,3.6,3.43,2.99,2.35,2.25,2.28,2.12,1.65,1.59,1.36,1.23,1.23,1.13,0.95,0.9,0.96,0.97,0.71,0.34,0.12,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/27/2021,15.27,9.5,7.58,6.82,4.24,4.46,4.21,4.28,4.37,3.99,0.0,3.57,0.0,3.07,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.71,0.35,0.11,0.03,0.01,0.0,3.38,3.2,2.33,2.19,2.17,1.68,1.6,1.36,1.26,1.23,1.11,0.97,0.96,0.89,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/29/2021,15.1,9.4,7.41,6.89,4.25,4.54,4.36,4.38,4.2,3.98,3.33,3.46,3.5,3.12,2.4,2.14,2.19,2.17,1.67,1.63,1.36,1.21,1.27,1.1,0.9,0.91,0.95,0.95,0.71,0.35,0.12,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,15.0,9.46,7.4,6.99,4.27,4.58,4.45,4.41,4.28,3.95,3.2,3.53,3.48,3.12,2.41,2.12,2.19,2.13,1.67,1.64,1.36,1.2,1.21,1.06,0.88,0.89,0.95,0.95,0.71,0.35,0.12,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,15.05,9.68,7.63,6.87,4.13,4.64,4.39,4.28,4.36,3.97,3.21,3.36,3.43,3.18,2.46,2.07,2.14,2.17,1.68,1.58,1.34,1.35,1.15,1.07,0.89,0.89,0.92,0.96,0.68,0.33,0.12,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,14.75,9.5,7.69,6.83,4.21,4.65,4.46,4.19,4.4,4.0,3.3,3.32,3.44,3.13,2.52,2.14,2.14,2.18,1.79,1.57,1.36,1.37,1.16,1.05,0.86,0.89,0.91,1.0,0.69,0.33,0.12,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/04/2021,14.75,9.5,7.69,6.83,4.21,4.65,4.46,4.19,4.4,4.0,3.3,3.32,3.44,3.13,2.52,2.14,2.14,2.18,1.79,1.57,1.36,1.37,1.16,1.05,0.86,0.89,0.91,1.0,0.69,0.33,0.12,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,14.75,9.5,7.69,6.83,4.21,4.65,4.46,4.19,4.4,4.0,3.3,3.32,3.44,3.13,2.52,2.14,2.14,2.18,1.79,1.57,1.36,1.37,1.16,1.05,0.86,0.89,0.91,1.0,0.69,0.33,0.12,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/06/2021,15.36,9.16,7.51,6.9,4.3,4.51,4.77,4.14,4.31,3.85,3.38,3.27,3.38,3.1,2.51,2.23,2.12,2.16,1.76,1.57,1.34,1.32,1.16,1.04,0.84,0.92,0.91,1.0,0.71,0.32,0.12,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,15.97,9.37,7.48,6.68,4.32,4.69,4.38,4.09,4.42,3.84,3.44,3.24,3.22,2.97,2.52,2.21,2.1,2.16,1.77,1.56,1.36,1.28,1.16,0.98,0.82,0.9,0.91,0.99,0.72,0.31,0.16,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
