,TLT,n/a,FGXXX,SCHQ,HYG,HYLB,SUM
08/25/2021,69.96,29.93,0.1,0.0,0.0,0.0,99.98999999999998
08/26/2021,69.96,0.1,0.0,29.93,0.0,0.0,99.98999999999998
08/27/2021,69.93,29.96,0.1,0.0,0.0,0.0,99.99
08/30/2021,69.93,29.97,0.1,0.0,0.0,0.0,100.0
08/31/2021,69.93,29.97,0.1,0.0,0.0,0.0,100.0
09/01/2021,69.96,29.93,0.1,0.0,0.0,0.0,99.98999999999998
09/02/2021,69.96,29.93,0.1,0.0,0.0,0.0,99.98999999999998
09/03/2021,0.0,0.1,0.0,0.0,69.92,29.98,100.0
09/06/2021,0.0,29.95,0.11,0.0,69.94,0.0,100.0
09/07/2021,0.0,0.0,0.11,0.0,69.94,29.95,100.0
09/08/2021,0.0,0.0,0.11,0.0,69.94,29.95,100.0
09/09/2021,0.0,0.0,0.11,0.0,69.93,29.96,100.0
09/10/2021,69.67,0.0,0.47,29.86,0.0,0.0,100.0
09/13/2021,69.78,0.0,0.33,29.89,0.0,0.0,100.0
09/14/2021,69.73,0.0,0.43,29.84,0.0,0.0,100.0
09/15/2021,69.72,0.0,0.43,29.85,0.0,0.0,100.0
09/16/2021,69.72,0.0,0.43,29.85,0.0,0.0,100.0
09/17/2021,69.72,0.0,0.43,29.85,0.0,0.0,100.0
09/20/2021,0.0,0.0,0.1,0.0,69.94,29.96,100.0
09/21/2021,0.0,0.0,0.1,0.0,69.93,29.98,100.01
09/22/2021,0.0,0.0,0.1,0.0,69.93,29.98,100.01
09/23/2021,0.0,0.0,0.1,0.0,69.93,29.98,100.01
09/24/2021,0.0,0.0,0.1,0.0,69.95,29.96,100.01
09/27/2021,0.0,0.0,0.1,0.0,69.95,29.96,100.01
09/28/2021,0.0,0.0,0.1,0.0,69.95,29.96,100.01
09/29/2021,0.0,0.0,0.1,0.0,69.94,29.96,100.0
09/30/2021,0.0,0.0,0.1,0.0,69.94,29.96,100.0
10/01/2021,0.0,0.0,0.06,0.0,69.95,29.98,99.99
10/04/2021,0.0,0.0,0.06,0.0,69.95,29.98,99.99
10/05/2021,0.0,0.0,0.06,0.0,69.94,29.99,99.99
10/06/2021,0.0,0.0,0.06,0.0,69.97,29.96,99.99
10/07/2021,0.0,0.0,0.11,0.0,69.91,29.98,100.0
10/08/2021,0.0,0.0,0.11,0.0,69.91,29.98,100.0
10/11/2021,0.0,0.0,0.11,0.0,69.94,29.95,100.0
10/12/2021,0.0,0.0,0.11,0.0,69.94,29.95,100.0
