,DJUN,DAPR,DMAR,DMAY,DFEB,DJAN,DDEC,DOCT,DNOV,DAUG,DSEP,DJUL,US Dollar,FT Cboe Vest US Equity Deep Bffr ETF Jul,688180.SS,MISXX,Morgan Stanley Instl Lqudty Trs Instl,FT Cboe Vest US Equity Dp Bffr ETF Sep,n/a,601019.SS,SUM
07/09/2021,8.39,8.37,8.37,8.37,8.36,8.35,8.34,8.34,8.32,8.3,8.27,8.25,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,8.39,8.38,8.38,8.36,8.37,8.35,8.32,8.32,8.31,8.29,8.26,8.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,8.39,8.38,8.38,8.36,8.37,8.35,8.32,8.32,8.31,8.29,8.26,8.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,8.39,8.38,8.38,8.36,8.37,8.35,8.33,8.32,8.32,8.29,8.27,0.0,0.0,8.25,-0.01,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/15/2021,8.4,8.38,8.37,8.38,8.36,8.35,8.34,8.33,8.31,8.29,8.26,0.0,0.0,8.25,0.0,0.01,0.0,0.0,0.0,0.0,100.03
07/16/2021,8.38,8.38,8.37,8.38,8.34,8.35,8.34,8.33,8.32,8.3,8.27,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,8.38,8.37,8.36,8.37,8.36,8.34,8.34,8.33,8.31,8.3,8.28,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,8.38,8.37,8.36,8.36,8.35,8.34,8.33,8.34,8.31,8.31,8.29,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,8.38,8.37,8.36,8.36,8.35,8.34,8.33,8.34,8.31,8.31,8.29,0.0,0.0,8.27,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,8.35,8.37,8.35,8.34,8.33,8.34,8.33,8.35,8.32,8.33,8.31,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,8.35,8.37,8.35,8.34,8.33,8.34,8.33,8.35,8.32,8.33,8.31,0.0,0.0,8.27,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,8.39,8.38,8.36,8.36,8.35,8.34,8.33,8.34,8.3,8.28,0.0,8.28,0.0,0.0,0.0,0.0,0.0,8.27,0.0,0.0,99.98
07/27/2021,8.4,8.39,8.37,8.37,8.36,8.34,8.33,8.33,8.28,8.28,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.26,0.0,0.0,100.01
07/28/2021,8.4,8.39,8.37,8.37,8.36,8.34,8.33,8.33,8.28,8.28,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.26,0.0,0.0,100.01
07/29/2021,8.39,8.39,8.37,8.38,8.36,8.34,8.32,8.32,8.3,8.27,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.26,0.0,0.0,100.0
07/30/2021,8.39,8.39,8.37,8.37,8.35,8.33,8.33,8.33,8.3,8.28,0.0,8.29,0.0,0.0,0.0,0.0,0.0,8.26,0.0,0.0,99.99
08/02/2021,8.39,8.4,8.37,8.37,8.35,8.33,8.32,8.32,8.31,8.29,0.0,8.29,0.0,0.0,0.0,0.0,0.0,8.25,0.0,0.0,99.98999999999998
08/03/2021,8.38,8.39,8.36,8.37,8.36,8.33,8.32,8.33,8.3,8.3,8.27,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,8.38,8.39,8.36,8.37,8.36,8.33,8.32,8.33,8.3,8.3,8.27,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,8.38,8.39,8.37,8.37,8.35,8.34,8.32,8.33,8.29,8.29,8.27,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999997
08/06/2021,8.39,8.4,8.37,8.37,8.35,8.33,8.32,8.32,8.3,8.28,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.26,0.0,0.0,99.99
08/09/2021,8.39,8.4,8.37,8.37,8.36,8.33,8.33,8.33,8.29,8.26,0.0,8.32,0.0,0.0,0.0,0.0,0.0,0.0,8.26,-0.01,100.0
08/10/2021,8.39,8.39,8.37,8.38,8.36,8.34,8.32,8.32,8.28,8.28,0.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,8.26,-0.01,99.99
08/11/2021,8.39,8.39,8.37,8.38,8.36,8.34,8.32,8.32,8.28,8.28,0.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,8.26,-0.01,99.99
08/12/2021,8.39,8.4,8.37,8.37,8.36,8.34,8.32,8.32,8.3,8.28,0.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,8.26,-0.01,100.01
08/13/2021,8.39,8.41,8.37,8.37,8.36,8.34,8.32,8.32,8.28,8.28,0.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,8.26,-0.01,100.0
08/16/2021,8.4,8.4,8.38,8.38,8.37,8.34,8.32,8.32,8.3,8.27,0.0,8.32,0.0,0.0,0.0,0.0,0.0,0.0,8.24,-0.01,100.02999999999996
08/17/2021,8.4,8.4,8.37,8.37,8.36,8.34,8.32,8.31,8.3,8.26,0.0,8.31,0.0,0.0,0.0,0.02,0.0,0.0,8.24,0.0,100.0
08/18/2021,8.4,8.4,8.37,8.37,8.36,8.34,8.32,8.31,8.3,8.26,8.24,8.31,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,100.0
08/19/2021,8.4,8.4,8.38,8.38,8.36,8.33,8.32,8.31,8.28,8.26,0.0,8.32,0.0,0.0,0.0,0.02,0.0,0.0,8.24,0.0,100.0
08/20/2021,8.39,8.39,8.37,8.38,8.35,8.34,8.33,8.32,8.28,8.26,0.0,8.31,0.0,0.0,0.0,0.02,0.0,0.0,8.25,0.0,99.99
08/23/2021,0.0,8.33,8.33,8.34,8.33,8.31,8.35,8.35,8.36,8.33,8.33,8.33,0.0,0.0,0.0,0.02,0.0,0.0,8.29,0.0,100.0
08/24/2021,8.31,8.34,8.34,8.35,8.34,8.32,8.35,8.34,8.34,0.0,8.31,8.35,0.0,0.0,0.0,0.02,0.0,0.0,8.3,0.0,100.01
08/25/2021,8.31,8.34,8.34,8.35,8.34,8.32,8.35,8.34,8.34,0.0,8.31,8.35,0.0,0.0,0.0,0.02,0.0,0.0,8.3,0.0,100.01
08/26/2021,8.3,8.34,8.35,8.36,8.34,8.32,8.33,8.32,8.32,8.31,0.0,8.35,0.0,0.0,0.0,0.06,0.0,0.0,8.29,0.0,99.99
08/27/2021,8.3,8.34,8.35,8.36,8.34,8.32,8.34,8.31,8.32,8.33,0.0,8.33,0.0,0.0,0.0,0.06,0.0,0.0,8.29,0.0,99.99000000000001
