,ROG.SW,NOVN.SW,ULVR.L,SIE.DE,SAN.PA,BHP.AX,ALV.DE,GSK.L,RIO.L,VALE3.SA,BATS.L,939.HK,ENEL.MI,IBE.MC,7974.T,BHP.L,ZURN.SW,2317.TW,AAL.L,9433.T,WES.AX,TRP.TO,BN.PA,NG.L,MFC.TO,9434.T,Cash & Cash Equivalents,8001.T,RIO.AX,NTR.TO,1180.SR,9432.T,1398.HK,AD.AS,O39.SI,HOLN.SW,8766.T,SLF.TO,FMG.AX,SREN.SW,5108.T,TSCO.L,U11.SI,BA.L,2914.T,G.MI,QNBK.QA,GMKN.ME,IMB.L,7010.SR,UPM.HE,FAB.,16.HK,SGSN.SW,B3SA3.SA,1925.T,2881.TW,POW.TO,PPL.TO,2503.T,WALMEX.MX,2.HK,III.L,SLHN.SW,11.HK,SCMN.SW,BBRI.JK,2891.TW,GMEXICOB.MX,1301.TW,PBBANK.KL,1113.HK,3407.T,PSN.L,SJR.B.TO,NN.AS,1109.HK,8725.T,1928.T,2388.HK,FORTUM.HE,8630.T,SRG.MI,SNPMF,ASX.AX,017670.KS,STJ.L,TRN.MI,ADEN.SW,1326.TW,ETISALAT.,2884.TW,TATN.ME,TLKM.JK,3034.TW,960.HK,1997.HK,T.TO,1101.TW,RAND.AS,YAR.OL,TRYG.CO,CTC.A.TO,EMIRATESNBD.DB,AQN.TO,HDEF,MRW.L,2601.HK,688.HK,ELISA.HE,033780.KS,ADM.L,2007.HK,6.HK,SVT.L,EN.PA,2892.TW,MNG.L,GFI.JO,GWO.TO,SLM.JO,992.HK,ITC.NS,ELE.MC,MAYBANK.KL,REE.MC,H.TO,POLY.L,HL.L,NTPC.NS,NTGY.MC,ORK.OL,BMRI.JK,868.HK,8795.T,6488,BALN.SW,1801.T,POWERGRID.NS,LUNE.ST,1088.HK,TEL2 B.ST,EVK.DE,1050.SR,CPU.AX,1812.T,MPL.AX,12.HK,BRDT3.SA,AQE.,S68.SI,2328.HK,ELUX B.ST,G1A.DE,PLZL.ME,SPK.NZ,KEY.TO,EVN.AX,SDR.L,IAG.TO,000810.KS,5876.TW,2912.TW,MFG.AX,1802.T,4704.T,ENG.MC,2887.TW,DLG.L,101.HK,1658.HK,BPCL.NS,TOPGLOV.KL,83.HK,4042.T,PTTEP-R.BK,6823.HK,SECU B.ST,AZJ.AX,2202.HK,HEROMOTOCO.NS,ICA.ST,2301.TW,1044.HK,032830.KS,2890.TW,S63.SI,600900.SS,VIVT3.SA,ORNBV.HE,NLMK.ME,BTO.TO,GJF.OL,MBT,1038.HK,4732.T,EQTL3.SA,4182.T,270.HK,ZAIN.,HTO.AT,ALDAR.,010130.KS,DEM,SUM
07/09/2021,5.68,4.45,3.41,2.62,2.55,2.37,2.26,2.19,2.0,1.9,1.85,1.67,1.67,1.58,1.52,1.36,1.3,1.14,1.13,1.11,1.07,1.03,1.02,1.0,0.84,0.81,0.8,0.79,0.77,0.74,0.73,0.73,0.73,0.68,0.67,0.67,0.66,0.65,0.65,0.6,0.59,0.54,0.52,0.51,0.51,0.49,0.49,0.45,0.45,0.45,0.44,0.44,0.42,0.42,0.42,0.39,0.39,0.39,0.39,0.37,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,93.78
07/12/2021,5.73,4.52,3.43,2.64,2.57,2.4,2.28,2.19,2.08,1.88,1.83,1.51,1.67,1.54,1.44,1.45,1.31,1.11,1.17,1.13,1.08,1.04,1.01,1.01,0.83,0.82,0.8,0.78,0.77,0.77,0.72,0.73,0.71,0.69,0.65,0.67,0.66,0.65,0.66,0.61,0.57,0.55,0.51,0.53,0.51,0.49,0.49,0.46,0.46,0.45,0.45,0.43,0.42,0.43,0.42,0.38,0.39,0.39,0.39,0.36,0.36,0.36,0.36,0.35,0.33,0.34,0.32,0.33,0.32,0.31,0.31,0.3,0.29,0.29,0.3,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.24,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.26,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,93.73
07/13/2021,5.73,4.52,3.43,2.64,2.57,2.4,2.28,2.19,2.08,1.88,1.83,1.51,1.67,1.54,1.44,1.45,1.31,1.11,1.17,1.13,1.08,1.04,1.01,1.01,0.83,0.82,0.8,0.78,0.77,0.77,0.72,0.73,0.71,0.69,0.65,0.67,0.66,0.65,0.66,0.61,0.57,0.55,0.51,0.53,0.51,0.49,0.49,0.46,0.46,0.45,0.45,0.43,0.42,0.43,0.42,0.38,0.39,0.39,0.39,0.36,0.36,0.36,0.36,0.35,0.33,0.34,0.32,0.33,0.32,0.31,0.31,0.3,0.29,0.29,0.3,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.24,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.26,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,93.73
07/15/2021,5.74,4.51,3.42,2.64,2.6,2.46,2.26,2.19,2.07,1.9,1.83,1.5,1.69,1.55,1.44,1.44,1.31,1.12,1.15,1.13,1.07,1.03,1.01,1.02,0.83,0.82,0.8,0.79,0.78,0.77,0.7,0.73,0.7,0.69,0.65,0.67,0.66,0.66,0.68,0.61,0.57,0.55,0.51,0.52,0.51,0.49,0.48,0.46,0.46,0.44,0.45,0.43,0.42,0.43,0.43,0.39,0.4,0.39,0.39,0.36,0.36,0.35,0.36,0.35,0.33,0.34,0.32,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.27,0.28,0.27,0.27,0.27,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.26,0.19,0.17,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.08,0.0,0.0,0.0,93.78000000000002
07/16/2021,5.72,4.48,3.43,2.65,2.58,2.43,2.25,2.19,2.05,1.93,1.83,1.5,1.68,1.54,1.43,1.43,1.31,1.13,1.14,1.14,1.07,1.03,1.0,1.01,0.82,0.82,0.81,0.8,0.78,0.77,0.7,0.74,0.7,0.68,0.66,0.67,0.67,0.65,0.69,0.62,0.57,0.55,0.51,0.52,0.52,0.49,0.48,0.47,0.46,0.45,0.45,0.43,0.43,0.43,0.44,0.39,0.4,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.33,0.34,0.32,0.33,0.31,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.28,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.26,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.0,0.0,93.85
07/19/2021,5.72,4.42,3.41,2.57,2.54,2.47,2.25,2.14,2.08,1.96,1.84,1.51,1.66,1.52,1.44,1.44,1.3,1.17,1.16,1.14,1.07,1.02,0.99,1.0,0.82,0.83,0.81,0.8,0.79,0.77,0.7,0.74,0.7,0.68,0.66,0.67,0.67,0.65,0.7,0.61,0.54,0.54,0.51,0.52,0.52,0.48,0.48,0.47,0.46,0.44,0.45,0.43,0.43,0.43,0.45,0.4,0.42,0.39,0.38,0.36,0.37,0.36,0.35,0.34,0.33,0.34,0.32,0.33,0.33,0.31,0.31,0.31,0.3,0.28,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.28,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.21,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.26,0.19,0.18,0.19,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.15,0.14,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.0,93.74
07/22/2021,5.86,4.47,3.48,2.53,2.58,2.43,2.18,2.17,1.96,1.9,1.82,1.53,1.62,1.53,1.43,1.38,1.29,1.16,1.09,1.16,1.1,0.99,1.0,1.01,0.8,0.85,0.78,0.82,0.78,0.73,0.72,0.75,0.71,0.69,0.66,0.65,0.69,0.64,0.7,0.59,0.55,0.54,0.51,0.52,0.53,0.48,0.49,0.47,0.45,0.45,0.45,0.43,0.43,0.43,0.44,0.4,0.44,0.38,0.38,0.36,0.37,0.37,0.34,0.34,0.33,0.35,0.33,0.34,0.32,0.31,0.31,0.31,0.3,0.28,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.29,0.26,0.25,0.25,0.25,0.23,0.25,0.23,0.23,0.24,0.24,0.2,0.24,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.3,0.19,0.18,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.15,0.16,0.15,0.17,0.16,0.14,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.0,0.09,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,93.72
07/23/2021,5.82,4.48,3.46,2.56,2.59,2.38,2.21,2.17,1.99,1.91,1.81,1.52,1.63,1.54,1.4,1.41,1.31,1.14,1.1,1.16,1.11,1.0,1.0,1.0,0.82,0.84,0.79,0.81,0.76,0.75,0.72,0.75,0.71,0.69,0.66,0.66,0.69,0.65,0.69,0.59,0.55,0.54,0.51,0.52,0.54,0.48,0.5,0.47,0.44,0.45,0.45,0.44,0.43,0.43,0.43,0.39,0.44,0.39,0.38,0.36,0.37,0.37,0.35,0.35,0.33,0.35,0.33,0.34,0.32,0.31,0.32,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.29,0.26,0.24,0.25,0.25,0.24,0.25,0.23,0.23,0.24,0.24,0.2,0.25,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.31,0.19,0.18,0.19,0.2,0.18,0.2,0.18,0.19,0.19,0.19,0.19,0.17,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.14,0.15,0.16,0.16,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.0,0.09,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,93.79
07/26/2021,5.59,4.47,3.23,2.67,2.58,2.48,2.25,2.16,1.99,1.93,1.81,1.5,1.68,1.56,1.37,1.43,1.32,1.09,1.14,1.13,1.13,1.02,0.98,0.99,0.83,0.83,0.81,0.8,0.78,0.75,0.71,0.73,0.7,0.7,0.67,0.67,0.68,0.66,0.69,0.61,0.55,0.54,0.51,0.53,0.53,0.49,0.49,0.47,0.45,0.44,0.46,0.43,0.43,0.43,0.43,0.39,0.45,0.39,0.38,0.36,0.37,0.37,0.38,0.36,0.33,0.35,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.28,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.29,0.26,0.25,0.25,0.23,0.24,0.25,0.24,0.23,0.24,0.24,0.21,0.25,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.33,0.2,0.18,0.2,0.2,0.18,0.2,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.15,0.15,0.16,0.16,0.16,0.14,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.12,0.11,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.11,0.09,0.1,0.0,0.09,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.09,0.09,93.72
07/29/2021,5.6,4.45,3.22,2.67,2.57,2.49,2.26,2.14,2.08,1.96,1.83,1.48,1.7,1.55,1.37,1.49,1.33,1.08,1.2,1.13,1.14,1.02,0.98,1.0,0.82,0.83,0.82,0.8,0.79,0.75,0.7,0.72,0.7,0.7,0.66,0.67,0.68,0.66,0.69,0.61,0.55,0.54,0.51,0.54,0.53,0.49,0.49,0.47,0.46,0.45,0.47,0.43,0.42,0.43,0.43,0.39,0.42,0.39,0.4,0.36,0.38,0.37,0.38,0.36,0.33,0.35,0.33,0.33,0.33,0.3,0.31,0.3,0.3,0.28,0.3,0.3,0.28,0.28,0.27,0.26,0.28,0.29,0.27,0.24,0.25,0.23,0.24,0.25,0.24,0.23,0.24,0.23,0.2,0.24,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.33,0.19,0.17,0.19,0.2,0.18,0.2,0.17,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.15,0.19,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.14,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.09,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.11,0.09,0.1,0.09,0.1,0.1,0.09,0.09,0.0,0.09,0.0,0.0,0.1,0.0,93.87
