,TAN,KOMP,ARKF,ARKG,PAWZ,ONLN,CLOU,BOTZ,ESPO,KSTR,CNBS,Grayscale Ethereum Trust (ETH),Us Dollars,ETHE,n/a,SUM
07/09/2021,14.46,10.13,9.76,9.68,9.09,8.81,7.99,7.91,7.74,6.16,4.95,2.1,1.24,0.0,0.0,100.01999999999998
07/12/2021,14.46,9.96,9.58,9.45,9.21,9.18,8.1,7.87,7.51,6.51,4.85,2.12,1.19,0.0,0.0,99.99
07/13/2021,14.46,9.96,9.58,9.45,9.21,9.18,8.1,7.87,7.51,6.51,4.85,2.12,1.19,0.0,0.0,99.99
07/14/2021,14.46,9.99,9.68,9.46,9.21,9.31,8.04,7.9,7.52,6.41,4.81,2.06,1.17,0.0,0.0,100.02
07/15/2021,14.73,9.97,9.65,9.32,9.22,9.19,8.0,8.0,7.53,6.44,4.81,1.95,1.17,0.0,0.0,99.98
07/16/2021,14.71,9.95,9.71,9.2,9.29,9.13,8.06,7.96,7.64,6.43,4.88,1.85,1.19,0.0,0.0,99.99999999999996
07/19/2021,14.15,10.06,9.83,9.09,9.44,9.11,8.1,8.04,7.73,6.58,4.77,1.87,1.22,0.0,0.0,99.99
07/20/2021,14.0,10.02,9.84,9.23,9.52,9.14,8.18,8.02,7.75,6.49,4.65,1.9,1.27,0.0,0.0,100.01
07/21/2021,14.0,10.02,9.84,9.23,9.52,9.14,8.18,8.02,7.75,6.49,4.65,1.9,1.27,0.0,0.0,100.01
07/22/2021,14.0,10.02,9.84,9.23,9.52,9.14,8.18,8.02,7.75,6.49,4.65,1.9,1.27,0.0,0.0,100.01
07/23/2021,14.15,9.93,9.84,9.34,9.6,9.07,8.23,7.92,7.78,6.47,4.59,1.8,1.28,0.0,0.0,100.0
07/26/2021,14.4,9.92,9.97,9.29,9.43,9.04,8.18,7.87,7.64,6.56,4.55,1.92,1.23,0.0,0.0,100.0
07/27/2021,14.1,9.95,10.08,9.28,9.61,9.02,8.27,7.92,7.61,6.48,4.52,1.92,1.24,0.0,0.0,100.0
07/28/2021,14.1,9.95,10.08,9.28,9.61,9.02,8.27,7.92,7.61,6.48,4.52,1.92,1.24,0.0,0.0,100.0
07/29/2021,14.01,10.05,9.93,9.17,9.64,8.95,8.28,7.99,7.47,6.41,4.55,2.29,1.25,0.0,0.0,99.99
07/30/2021,13.99,10.08,9.84,9.21,9.82,8.92,8.33,8.06,7.45,6.32,4.51,2.2,1.27,0.0,0.0,100.0
08/02/2021,14.25,10.1,9.8,9.21,9.6,8.73,8.23,8.01,7.55,6.48,4.6,2.2,1.24,0.0,0.0,100.0
08/03/2021,14.25,10.1,9.8,9.21,9.6,8.73,8.23,8.01,7.55,6.48,4.6,2.2,1.24,0.0,0.0,100.0
08/04/2021,14.25,10.1,9.8,9.21,9.6,8.73,8.23,8.01,7.55,6.48,4.6,2.2,1.24,0.0,0.0,100.0
08/05/2021,14.25,10.1,9.8,9.21,9.6,8.73,8.23,8.01,7.55,6.48,4.6,2.2,1.24,0.0,0.0,100.0
08/06/2021,14.98,10.07,9.67,9.2,9.56,8.42,8.21,8.11,7.39,6.37,4.49,2.37,1.15,0.0,0.0,99.99
09/07/2021,14.07,10.06,10.04,9.16,9.12,7.92,8.7,8.71,7.54,5.58,4.12,0.0,0.0,3.88,1.11,100.01
09/08/2021,14.07,10.06,10.04,9.16,9.12,7.92,8.7,8.71,7.54,5.58,4.12,0.0,0.0,3.88,1.11,100.01
09/09/2021,14.07,10.06,10.04,9.16,9.12,7.92,8.7,8.71,7.54,5.58,4.12,0.0,0.0,3.88,1.11,100.01
09/10/2021,14.05,10.08,10.08,9.08,9.05,8.04,8.72,8.88,7.67,5.76,4.09,0.0,0.0,3.38,1.12,100.0
09/13/2021,14.12,10.1,9.92,9.05,9.25,8.02,8.69,9.02,7.54,5.71,4.0,0.0,0.0,3.45,1.13,100.0
09/14/2021,14.07,10.07,9.89,9.07,9.33,8.04,8.68,8.99,7.64,5.84,3.95,0.0,0.0,3.29,1.14,100.0
09/15/2021,14.07,10.07,9.89,9.07,9.33,8.04,8.68,8.99,7.64,5.84,3.95,0.0,0.0,3.29,1.14,100.0
09/16/2021,14.42,10.13,9.86,8.9,9.28,8.03,8.68,9.13,7.57,5.7,3.92,0.0,0.0,3.24,1.15,100.01
09/17/2021,14.38,10.08,9.87,8.84,9.33,7.96,8.71,9.12,7.6,5.76,3.84,0.0,0.0,3.35,1.16,100.0
09/20/2021,14.1,10.07,9.94,8.85,9.33,8.0,8.77,9.15,7.5,5.55,3.95,0.0,0.0,3.6,1.17,99.98
09/21/2021,14.37,10.01,9.94,9.07,9.32,8.01,8.73,9.11,7.41,5.49,3.94,0.0,0.0,3.43,1.18,100.01
09/22/2021,14.37,10.01,9.94,9.07,9.32,8.01,8.73,9.11,7.41,5.49,3.94,0.0,0.0,3.43,1.18,100.01
09/23/2021,14.37,10.01,9.94,9.07,9.32,8.01,8.73,9.11,7.41,5.49,3.94,0.0,0.0,3.43,1.18,100.01
09/24/2021,14.19,9.99,9.96,9.04,9.6,7.95,8.88,9.3,7.42,5.56,3.93,0.0,0.0,2.99,1.21,100.02
09/27/2021,14.07,10.1,9.97,8.84,9.5,7.96,8.89,9.24,7.42,5.58,4.01,0.0,0.0,3.19,1.2,99.97
09/28/2021,13.86,10.17,9.99,8.68,9.51,8.02,9.01,9.24,7.51,5.7,4.06,0.0,0.0,3.03,1.22,100.00000000000001
