,MRNA,BIO,LH,BNTX,NVAX,ALNY,DGX,ZLAB,CVAC,IMAB,VIR,ADPT,ABCL,IBRX,QDEL,TBLD.L,ETFMG Sit Ultra Short ETF,EBS,DRNA,BCRX,OPK,FLGT,TBIO,INO,AVIR,IMCR,VBIV,LMNX,LLY,REGN,HOLX,ABT,AZN,MRK,ALXN,GILD,GSK,BMY,ABBV,TAK,PFE,SNY,JNJ,PCVX,DVAX,SBTX,VIVO,ARCT,VXRT,ENTA,FGXXX,CMRX,OSUR,ALGS,VACC,XBIT,SIGA,SQZ,CDAK,CUE,TNXP,CVM,PRTK,ATHX,IBIO,ABUS,HOOK,CRMD,TLIS,LHDX,ENOB,CODX,IMNM,PHAS,CFRX,ASMB,ENZ,IMV.TO,EVAX,IFRX,688101.SS,n/a,VALT,688001.SS,688226.SS,OCDX,ADGI,ICVX,SUM
07/09/2021,6.81,6.42,5.94,5.86,4.7,4.34,3.92,3.82,3.36,3.28,2.92,2.89,2.88,2.83,2.82,2.61,2.17,1.77,1.5,1.49,1.47,1.32,1.1,1.02,0.91,0.91,0.9,0.9,0.72,0.72,0.7,0.68,0.68,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.64,0.64,0.63,0.61,0.6,0.58,0.5,0.49,0.48,0.47,0.42,0.39,0.39,0.33,0.28,0.26,0.24,0.21,0.21,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.14,0.14,0.14,0.12,0.12,0.12,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/24/2021,10.62,7.37,6.31,8.51,4.61,4.92,4.36,2.72,3.07,2.16,2.95,2.12,2.15,1.77,2.44,0.0,0.0,1.64,0.76,1.27,1.16,1.27,1.42,0.82,1.23,0.63,0.74,0.0,0.82,0.79,0.77,0.71,1.08,0.65,0.0,0.66,0.66,0.65,0.64,0.61,0.77,0.62,0.66,0.52,0.67,0.51,0.41,0.6,0.47,0.49,0.78,0.25,0.36,0.28,0.24,0.23,0.24,0.17,0.21,0.16,0.11,0.19,0.12,0.16,0.12,0.14,0.09,0.11,0.09,0.19,0.14,0.14,0.08,0.08,0.06,0.07,0.08,0.05,0.05,0.05,2.28,1.89,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/25/2021,10.58,7.23,6.23,8.73,4.78,4.83,4.26,2.74,3.15,2.21,2.96,2.1,2.13,1.88,2.48,0.0,0.0,1.66,0.78,1.24,1.21,1.29,1.39,0.83,1.2,0.61,0.73,0.0,0.8,0.78,0.76,0.69,1.06,0.64,0.0,0.65,0.65,0.64,0.63,0.6,0.75,0.61,0.65,0.54,0.68,0.47,0.41,0.61,0.5,0.51,0.76,0.26,0.36,0.28,0.25,0.23,0.24,0.16,0.2,0.16,0.11,0.19,0.11,0.16,0.12,0.14,0.09,0.11,0.1,0.18,0.13,0.15,0.07,0.07,0.06,0.07,0.08,0.05,0.05,0.05,2.3,1.85,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,10.58,7.23,6.23,8.73,4.78,4.83,4.26,2.74,3.15,2.21,2.96,2.1,2.13,1.88,2.48,0.0,0.0,1.66,0.78,1.24,1.21,1.29,1.39,0.83,1.2,0.61,0.73,0.0,0.8,0.78,0.76,0.69,1.06,0.64,0.0,0.65,0.65,0.64,0.63,0.6,0.75,0.61,0.65,0.54,0.68,0.47,0.41,0.61,0.5,0.51,0.0,0.26,0.36,0.28,0.25,0.23,0.24,0.16,0.2,0.16,0.11,0.19,0.11,0.16,0.12,0.14,0.09,0.11,0.1,0.18,0.13,0.15,0.07,0.07,0.06,0.07,0.08,0.05,0.05,0.05,2.3,0.76,1.85,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,10.56,7.08,5.95,8.93,4.67,4.77,4.06,2.86,3.28,2.43,3.08,2.23,2.19,2.05,2.46,0.0,0.0,1.6,0.75,1.3,1.2,1.28,1.35,0.83,1.17,0.67,0.76,0.0,0.75,0.77,0.73,0.67,1.01,0.61,0.0,0.63,0.61,0.61,0.62,0.59,0.72,0.58,0.61,0.58,0.82,0.43,0.4,0.63,0.52,0.51,0.74,0.27,0.36,0.28,0.24,0.22,0.23,0.16,0.18,0.16,0.11,0.19,0.12,0.16,0.13,0.15,0.09,0.11,0.1,0.18,0.15,0.15,0.08,0.08,0.07,0.07,0.08,0.05,0.05,0.05,2.26,1.79,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999996
08/30/2021,10.7,7.16,5.93,8.96,4.61,4.78,4.06,2.7,3.29,2.25,3.11,2.24,2.23,1.99,2.52,0.0,0.0,1.6,0.73,1.29,1.2,1.31,1.32,0.86,1.15,0.63,0.82,0.0,0.75,0.76,0.74,0.67,1.02,0.6,0.0,0.62,0.61,0.6,0.62,0.58,0.7,0.58,0.6,0.61,0.95,0.41,0.39,0.68,0.52,0.52,0.74,0.27,0.36,0.29,0.25,0.22,0.23,0.17,0.17,0.17,0.11,0.2,0.12,0.16,0.12,0.15,0.09,0.11,0.1,0.17,0.15,0.15,0.08,0.08,0.06,0.07,0.08,0.05,0.05,0.05,2.22,1.79,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,10.7,7.16,5.93,8.96,4.61,4.78,4.06,2.7,3.29,2.25,3.11,2.24,2.23,1.99,2.52,0.0,0.0,1.6,0.73,1.29,1.2,1.31,1.32,0.86,1.15,0.63,0.82,0.0,0.75,0.76,0.74,0.67,1.02,0.6,0.0,0.62,0.61,0.6,0.62,0.58,0.7,0.58,0.6,0.61,0.95,0.41,0.39,0.68,0.52,0.52,0.0,0.27,0.36,0.29,0.25,0.22,0.23,0.17,0.17,0.17,0.11,0.2,0.12,0.16,0.12,0.15,0.09,0.11,0.1,0.17,0.15,0.15,0.08,0.08,0.06,0.07,0.08,0.05,0.05,0.05,2.22,0.74,1.79,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,10.23,7.12,5.92,8.7,4.55,4.82,4.05,2.71,3.3,2.27,3.09,2.34,2.26,2.06,2.58,0.0,0.0,1.63,0.75,1.32,1.23,1.28,1.33,0.87,1.23,0.67,0.86,0.0,0.74,0.76,0.75,0.66,1.02,0.6,0.0,0.62,0.61,0.6,0.62,0.58,0.69,0.58,0.6,0.65,0.92,0.41,0.41,0.7,0.52,0.54,0.74,0.29,0.36,0.3,0.25,0.23,0.23,0.18,0.18,0.18,0.11,0.21,0.12,0.17,0.13,0.15,0.1,0.11,0.1,0.17,0.16,0.15,0.08,0.07,0.07,0.07,0.08,0.05,0.05,0.05,0.0,1.79,0.0,2.3,0.0,0.0,0.0,0.0,99.97999999999998
09/02/2021,10.23,7.12,5.92,8.7,4.55,4.82,4.05,2.71,3.3,2.27,3.09,2.34,2.26,2.06,2.58,0.0,0.0,1.63,0.75,1.32,1.23,1.28,1.33,0.87,1.23,0.67,0.86,0.0,0.74,0.76,0.75,0.66,1.02,0.6,0.0,0.62,0.61,0.6,0.62,0.58,0.69,0.58,0.6,0.65,0.92,0.41,0.41,0.7,0.52,0.54,0.74,0.29,0.36,0.3,0.25,0.23,0.23,0.18,0.18,0.18,0.11,0.21,0.12,0.17,0.13,0.15,0.1,0.11,0.1,0.17,0.16,0.15,0.08,0.07,0.07,0.07,0.08,0.05,0.05,0.05,0.0,1.79,0.0,2.3,0.0,0.0,0.0,0.0,99.97999999999998
09/03/2021,9.93,7.32,5.98,8.38,4.68,4.82,4.1,2.75,3.25,2.3,3.08,2.39,2.24,2.08,2.63,0.0,0.0,1.63,0.77,1.33,1.22,1.26,1.34,0.86,1.2,0.72,0.86,0.0,0.75,0.78,0.76,0.67,1.02,0.6,0.0,0.63,0.61,0.6,0.62,0.58,0.7,0.58,0.61,0.65,0.99,0.38,0.42,0.66,0.51,0.55,0.0,0.28,0.37,0.3,0.23,0.23,0.23,0.17,0.17,0.18,0.11,0.21,0.12,0.17,0.13,0.15,0.09,0.11,0.11,0.17,0.17,0.15,0.08,0.07,0.07,0.07,0.08,0.05,0.06,0.05,0.0,0.74,1.79,0.0,2.31,0.0,0.0,0.0,100.00999999999998
