,MARA,BITF.V,HUT.TO,FGXXX,SSU.,NVDA,HIVE.V,AMD,TSM,RIOT,DGHI.V,GLXY.TO,ARB.L,DMGI.V,CLSK,NB2.DE,n/a,BTBT,TAAL.CN,SUM
08/27/2021,13.08,12.51,11.87,8.51,5.49,4.97,4.72,4.57,4.38,4.28,4.07,3.8,3.74,3.69,3.22,3.11,2.25,1.73,0.0,99.99
08/30/2021,12.69,12.47,12.23,8.65,5.51,5.12,4.65,4.63,4.69,4.19,3.99,3.59,3.9,3.63,3.18,3.11,2.08,1.71,0.0,100.02
08/31/2021,12.69,12.47,12.23,8.65,5.51,5.12,4.65,4.63,4.69,4.19,3.99,3.59,3.9,3.63,3.18,3.11,2.08,1.71,0.0,100.02
09/01/2021,13.27,12.69,13.16,8.15,5.22,4.95,4.54,4.53,4.43,4.2,3.89,3.57,3.66,3.62,3.23,2.89,2.09,1.91,0.0,100.0
09/02/2021,13.27,12.69,13.16,8.15,5.22,4.95,4.54,4.53,4.43,4.2,3.89,3.57,3.66,3.62,3.23,2.89,2.09,1.91,0.0,100.0
09/03/2021,12.17,12.84,14.16,0.0,5.25,4.53,4.65,4.55,4.48,4.13,4.01,3.63,3.68,3.52,3.14,3.03,8.2,1.97,2.06,100.0
09/06/2021,12.1,12.41,13.62,9.71,5.32,4.39,4.73,4.4,4.43,3.91,3.77,3.73,3.66,3.64,3.1,2.96,2.22,1.9,0.0,100.0
09/07/2021,12.05,12.14,14.5,9.43,5.12,4.25,4.66,4.24,4.32,3.74,3.79,3.88,3.69,3.65,3.15,3.12,0.0,1.86,2.38,99.97
09/08/2021,12.05,12.14,14.5,9.43,5.12,4.25,4.66,4.24,4.32,3.74,3.79,3.88,3.69,3.65,3.15,3.12,0.0,1.86,2.38,99.97
09/09/2021,12.05,12.14,14.5,9.43,5.12,4.25,4.66,4.24,4.32,3.74,3.79,3.88,3.69,3.65,3.15,3.12,0.0,1.86,2.38,99.97
09/10/2021,11.19,12.08,16.28,9.39,5.07,4.28,4.62,4.22,4.44,3.33,3.95,4.09,3.49,3.63,3.01,2.98,0.0,1.71,2.26,100.02
09/13/2021,10.81,12.32,16.93,9.53,5.12,4.31,4.57,4.19,4.43,3.21,3.93,4.2,3.47,3.49,2.84,2.76,0.0,1.65,2.25,100.01000000000002
09/14/2021,11.15,12.21,16.9,9.43,5.04,4.23,4.49,4.14,4.41,3.28,3.85,4.17,3.62,3.38,2.97,2.82,0.0,1.65,2.27,100.01
09/15/2021,10.69,11.95,16.66,9.83,5.25,4.47,4.38,4.28,4.61,3.23,3.8,4.16,3.67,3.34,2.95,2.9,0.0,1.58,2.22,99.96999999999998
09/16/2021,10.69,11.95,16.66,9.83,5.25,4.47,4.38,4.28,4.61,3.23,3.8,4.16,3.67,3.34,2.95,2.9,0.0,1.58,2.22,99.96999999999998
09/17/2021,10.71,11.91,16.59,9.9,5.35,4.44,4.51,4.3,4.66,3.22,3.74,4.1,3.63,3.19,2.98,2.99,0.0,1.6,2.19,100.00999999999999
